,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,"Hoi Shui House, Hoi Lai Estate",Sham Shui Po,,1066
1,"Luk Chuen House, Lek Yuen Estate",Sha Tin,,1084
2,"Luk Chuen House, Lek Yuen Estate",Sha Tin,,1085
3,"Luen Yuet House, Kwai Luen Estate",Kwai Tsing,,1086
4,"Luen Yuet House, Kwai Luen Estate",Kwai Tsing,,1087
5,"Fook Hoi House, Lek Yuen Estate",Sha Tin,,1088
6,Hin Tin Village,Sha Tin,,1088
7,Kerry TC Warehouse 1,Kwai Tsing,23/05/2020,1084
8,Kwai Shing East Shopping Centre,Kwai Tsing,27/05/2020,1087
9,Lek Yuen Plaza,Sha Tin,28/05/2020,1084
10,Wo Che Market,Sha Tin,29/05/2020,1085
11,Kwai Shing East Shopping Centre,Kwai Tsing,29/05/2020,1086
12,Kerry TC Warehouse 1,Kwai Tsing,29/05/2020,1087
13,Lek Yuen Plaza,Sha Tin,30/05/2020,1085
14,Kerry TC Warehouse 1,Kwai Tsing,30/05/2020,1086
15,Festival Walk,Sham Shui Po,30/05/2020,1088
