,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,"Mun Wo House, Mun Tung Estate",Islands,1882,
1,"Ching Wu House, Yuk Po Court",North,1887,
2,Kiu Fat Building,Central & Western,1888,
3,"Tower 1, University Heights",Central & Western,1889,
4,"Ping Yin House, Ping Yan Court",Yuen Long,1890,
5,"Block 8, Yoho Town",Yuen Long,1891,
6,"Block E, Allway Gardens",Tsuen Wan,1892,
7,"Block E, Allway Gardens",Tsuen Wan,1893,
8,"Block 1, Aquamarine Garden",Tuen Mun,1894,
9,"Block E, Allway Gardens",Tsuen Wan,1895,
10,"Lok Wong House, Tsz Lok Estate",Wong Tai Sin,1896,
11,"Sau Yue House, Sau Mau Ping Estate",Kwun Tong,1897,
12,"Tower 5, Metro Town",Sai Kung,1898,
13,"Wang On House, Wang Tau Hom Estate",Wong Tai Sin,1899,
14,"Wang On House, Wang Tau Hom Estate",Wong Tai Sin,1900,
15,"Po Tak House, Po Lam Estate",Sai Kung,1902,
16,"Tsui Shek House, Ping Shek Estate",Kwun Tong,1903,
17,"Lam Shek House, Ping Shek Estate",Kwun Tong,1904,
18,Golden Dragon Garden,Kwun Tong,1905,
19,"Kam Huen House, Kam Fung Court",Sha Tin,1906,
20,"Sui Lun House, Siu Lun Court",Tuen Mun,1907,
21,"Tin Lai House, Tin Wan Estate",Southern,1908,
22,"Block 1, Phase 3, Pictorial Garden",Sha Tin,1909,
23,Sheraton Hong Kong Hotel & Towers,Yau Tsim Mong,1910,
24,"Block 4, Fu Ning Garden",Sai Kung,1912,
25,Dorsett Tsuen Wan,Kwai Tsing,1913,
26,Airport Regal Hotel,Islands,1914,
27,"Lok Cheung House, Tsz Lok Estate",Wong Tai Sin,1916,
28,"Lok Cheung House, Tsz Lok Estate",Wong Tai Sin,1917,
29,Tak Fung Building,Kowloon City,1918,
30,"Block 1, Phase 1, Tai Po Centre",Tai Po,1919,
31,"Block 2, Grandway Garden",Sha Tin,1920,
32,"Yung Lai House, Yau Lai Estate",Kwun Tong,1921,
33,"Block 8, City Garden",Eastern,1922,
34,Kam Tao Building,Wan Chai,1923,
35,Fook Wan Mansion,Kowloon City,1924,
36,Chung Yuen Building,Yau Tsim Mong,1925,
37,"Hoi Wai House, Hoi Lai Estate",Sham Shui Po,1926,
38,Wai Yip Building,Sham Shui Po,1927,
39,"Hoi Chi House, Hoi Lai Estate",Sham Shui Po,1928,
40,"Kwong Hing Building, 967 Canton Road",Yau Tsim Mong,1929,
41,"Block 3, Hilltop Gardens",Wong Tai Sin,1930,
42,"Oi Yee House, Yau Oi Estate",Tuen Mun,1931,
43,"Lee Hing House, Lee On Estate",Sha Tin,1932,
44,Kam Tao Building,Wan Chai,1933,
45,Man Po Building,Wong Tai Sin,1934,
46,Man Po Building,Wong Tai Sin,1935,
47,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,1936,
48,"Hoi Wai House, Hoi Lai Estate",Sham Shui Po,1937,
49,"Kwai Yuen House, Chuk Yuen South Estate",Wong Tai Sin,1939,
50,"Fung Chak House, Choi Wan (II) Estate",Wong Tai Sin,1940,
51,Un On Building,Sham Shui Po,1941,
52,"Shun Man House, Oi Man Estate",Kowloon City,1942,
53,"Pik Yuen House, Shek Pai Wan Estate",Southern,1943,
54,"Lung Kwong House, Lower Wong Tai Sin Estate",Wong Tai Sin,1944,
55,"Chung Po House, Tin Chung Court",Yuen Long,1945,
56,"Ching Wu House, Yuk Po Court",North,1946,
57,"Choi Wu House, Choi Yuen Estate",North,1947,
58,"Mei Mun House, Mei Tin Estate",Sha Tin,1948,
59,"King Tao House, King Lam Estate",Sai Kung,1949,
60,"Tower 1, Trinity Towers",Sham Shui Po,1950,
61,"Yan Hei House, Yan On Estate",Sha Tin,1951,
62,"Block B, Perfect Mount Gardens",Eastern,1952,
63,"Tower 4, Grandeur Terrace",Yuen Long,1953,
64,"Oi Wai House, Tsz Oi Court",Wong Tai Sin,1954,
65,"Lok Shing House, Tsz Lok Estate",Wong Tai Sin,1955,
66,"Chu Fung House, Fung Tak Estate",Wong Tai Sin,1956,
67,"On Yan House, Tsz On Court",Wong Tai Sin,1958,
68,"Lok Cheung House, Tsz Lok Estate",Wong Tai Sin,1959,
69,Dorsett Tsuen Wan,Kwai Tsing,1961,
70,"Choi Shing House, Choi Tak Estate",Kwun Tong,1962,
71,"On Yan House, Tsz On Court",Wong Tai Sin,1963,
72,"Pik Fung House, Fung Tak Estate",Wong Tai Sin,1964,
73,"Ka Bong Lau, Ka Wai Chuen",Kowloon City,1965,
74,"Lam Wai House, Lam Tin Estate",Kwun Tong,1966,
75,"Hong Lai House, Yau Lai Estate",Kwun Tong,1967,
76,"Block 1, Palm Mansions, Whampoa Garden",Kowloon City,1968,
77,Hong Ying Court,Kwun Tong,1969,
78,"Block 7, Rhythm Garden",Wong Tai Sin,1970,
79,"Kwong Yau Hse, Kwong Fuk Estate",Tai Po,1971,
80,"Sau King House, Sau Mau Ping Estate",Kwun Tong,1972,
81,"Kwai Tong House, Yau Tong Estate",Kwun Tong,1973,
82,"Pik Yuen House, Shek Pai Wan Estate",Southern,1974,
83,"Yin Kong Village, Kwu Tung",North,1975,
84,"Lam Fai House, Lam Tin Estate",Kwun Tong,1976,
85,"Sui Ming House, Siu Sai Wan Estate",Eastern,1977,
86,"Fai Shing House, May Shing Court",Sha Tin,1978,
87,"Kam Huen House, Kam Fung Court",Sha Tin,1979,
88,"Kam Wan House, Choi Hung Estate",Wong Tai Sin,1980,
89,Tseung Kwan O Village,Sai Kung,1981,
90,Ma Yau Tong Village,Sai Kung,1982,
91,"Tak Chi House, Hau Tak Estate",Sai Kung,1983,
92,"Kwong Hing Building, 967 Canton Road",Yau Tsim Mong,1984,
93,"Kwong Hing Building, 967 Canton Road",Yau Tsim Mong,1985,
94,"Sui Ming House, Siu Sai Wan Estate",Eastern,1987,
95,"Block B, Perfect Mount Gardens",Eastern,1988,
96,San Uk Ling Village,North,1989,
97,"Tower 5, Phase 1 The Capitol, Lohas Park",Sai Kung,1990,
98,"Ming Kok House, Ming Tak Estate",Sai Kung,1991,
99,"Hang Chun House, Cheung Hang Estate",Kwai Tsing,1992,
