,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Lok Fun Mansion,Yau Tsim Mong,,1204
1,"Mei Sau House, Mei Tin Estate",Sha Tin,,1205
2,"Mei Sau House, Mei Tin Estate",Sha Tin,,1206
3,"Mei Sau House, Mei Tin Estate",Sha Tin,,1233
4,The Charterhouse Causeway Bay,Wan Chai,,1250
5,CM+ Hotels and Serviced Apartments,Central & Western,,1251
6,"Tower 10, The Visionary",Islands,,1252
7,"Tower 2, The Waterfront",Yau Tsim Mong,,1254
8,"Block B, Hung Yu Mansion",Sham Shui Po,,1263
9,86 Wing Kwong Street,Kowloon City,,1263
10,"Yuk Shek House, Ping Shek Estate",Kwun Tong,,1269
11,Grand Austin Block 2,Yau Tsim Mong,,1276
12,The Royal Oaks,North,,1276
13,Fook Cheung Building,Yau Tsim Mong,,1283
14,Dorsett Tsuen Wan,Kwai Tsing,,9 cases notified by the Mainland authority
15,"Lai Tat House, On Tat Estate",Kwun Tong,,1289
16,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1291
17,"Tak Wo House, Wo Che Estate",Sha Tin,,1292
18,"Mei Wo House, Wo Che Estate",Sha Tin,,1293
19,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1294
20,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1295
21,Siu Lung Court,Tuen Mun,,1296
22,"Cherry Mansion, 39A Oak Street",Yau Tsim Mong,,1297
23,"Winfair Building, 8 Yuk Wah Crescent",Wong Tai Sin,,1298
24,Dorsett Tsuen Wan,Kwai Tsing,,1299
25,Dorsett Tsuen Wan,Kwai Tsing,,1300
26,Tai Wai Market,Sha Tin,24/06/2020,1233
27,Dragon Centre,Sham Shui Po,24/06/2020,"1233, 1263"
28,Mei Tin Shopping Centre,Sha Tin,25/06/2020,1233
29,Cheung Sha Wan Po On Road Market,Sham Shui Po,25/06/2020,1263
30,"Peaceful Mansion, 283 Shun Ning Road",Sham Shui Po,25/06/2020,1263
31,Sceneway Plaza,Kwun Tong,26/06/2020,1233
32,Sunbeam Commercial Building,Yau Tsim Mong,26/06/2020,1283
33,On Tat Shopping Centre North Wing,Kwun Tong,26/06/2020,1289
34,New Town Plaza,Sha Tin,26/06/2020,1292
35,38 Junction Road,Kowloon City,27/06/2020,1296
36,H8,Yau Tsim Mong,28/06/2020,1292
37,"Treasure World, Site 11, Whampoa Garden",Kowloon City,28/06/2020,1296
38,Lei Cheng Uk Plaza,Sham Shui Po,29/06/2020,1289
39,Hong Kong River Trade Terminal,Tuen Mun,30/06/2020,1269
40,13 Reclamation Street,Yau Tsim Mong,30/06/2020,1283
41,"HA IT Block, Kowloon Hospital",Kowloon City,02/07/2020,1292
42,Tanner Garden Block 3,Eastern,02/07/2020,1296
43,Hong Kong Pacific Centre,Yau Tsim Mong,03/07/2020,1252
44,261 Castle Peak Road,Sham Shui Po,03/07/2020,1263
45,Hong Kong Disneyland Hotel,Islands,03/07/2020,1292
46,60 Yen Chow Street,Sham Shui Po,04/07/2020,1263
47,Ma On Shan Plaza,Sha Tin,04/07/2020,1292
48,Langham Place,Yau Tsim Mong,04/07/2020,1297
49,"Yuk Shek House, Ping Shek Estate",Kwun Tong,04/07/2020,"1269, 1283, 1291, 1297"
50,Choi Wan Commerical Complex,Wong Tai Sin,04/07/2020,"1291, 1295"
51,26-38 Man Ying Street,Yau Tsim Mong,05/07/2020,1289
52,Lek Yuen Shopping Centre,Sha Tin,05/07/2020,1293
53,New Town Plaza,Sha Tin,05/07/2020,1294
54,13 Tai Wai Road,Sha Tin,05/07/2020,1294
55,Kings Wing Plaza 1,Sha Tin,06/07/2020,1293
56,Shui Chuen O Plaza,Sha Tin,06/07/2020,1294
57,The Church of Christ in China Rotary Secondary School,Wong Tai Sin,06/07/2020,1295
