,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,"Hoi Shui House, Hoi Lai Estate",Sham Shui Po,,1066
1,"Luk Chuen House, Lek Yuen Estate",Sha Tin,,"1084, 1085"
2,Kerry TC Warehouse 1,Kwai Tsing,23/05/2020,1084
3,Wo Che Market,Sha Tin,29/05/2020,1085
4,Lek Yuen Plaza,Sha Tin,30/05/2020,"1084, 1085"
