,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,"King Min House, King Lam Estate",Sai Kung,,388,
1,Percival House,Wan Chai,,389,
2,Rosedale Hotel Hong Kong,Wan Chai,,390,
3,1A Fung Fai Terrace,Wan Chai,,391,
4,Tai Long Wan Village,Islands,,392,
5,Hong Lok Road East,Tai Po,,393,
6,Full Shing Building,Yuen Long,,394,
7,"Yonking Garden, Tsing Chuen Wai",Tuen Mun,,395,
8,Auberge Discovery Bay Hong Kong,Islands,,396,
9,"Block 8, Tierra Verde",Kwai Tsing,,397,
10,Dorsett Tsuen Wan,Kwai Tsing,,398,
11,Sun Fung Wai,Tuen Mun,,399,
12,Holiday Inn Golden Mile,Yau Tsim Mong,,400,
13,Holiday Inn Golden Mile,Yau Tsim Mong,,401,
14,Welley Building,Central & Western,,402,
15,"Block A, Park Place",Wan Chai,,403,
16,"Block A, Park Place",Wan Chai,,404,
17,"Tower 16, Laguna Verde",Kowloon City,,405,
18,"Block 2, Stanford Villa",Southern,,406,
19,"Tower 1, Grand Promenade",Eastern,,407,
20,"Lane 12, Liu Pok Tsuen",North,,408,
21,"Tower 6, Island Harbourview",Yau Tsim Mong,,409,
22,52 Conduit Road,Central & Western,,410,
23,San Hui Village,Tuen Mun,,411,
24,Kwun Tong Disciplined Services Quarters,Kwun Tong,,412,
25,"Ping Oi House, Ping Yan Court",Yuen Long,,413,
26,"8 Glee Path, Mei Foo Sun Chuen",Sham Shui Po,,414,
27,Kwun Hei Court,Kowloon City,,415,
28,The Kimberley Hotel,Yau Tsim Mong,,415,
29,Best Western Plus Hotel,Yau Tsim Mong,,415,
30,Nam Wa Po,Tai Po,,416,
31,Blessings Garden,Central & Western,,417,
32,"Block B, Oriental Gardens",Yau Tsim Mong,,418,
33,Metropark Hotel Causeway Bay Hong Kong,Wan Chai,,419,
34,Happy Valley 88,Wan Chai,,420,
35,Sunpeace Court,Yau Tsim Mong,,421,
36,Gold Mine Building,Eastern,,422,
37,Haven Court,Wan Chai,,423,
38,"Tower 6, Caribbean Coast",Islands,,424,
39,19 Lai Chi Kok Road,Yau Tsim Mong,,428,
40,"Block 6, South Horizons, Ap Lei Chau",Southern,,429,
41,"Tower 2, One Silversea",Yau Tsim Mong,,430,
42,"Ching Chak House, Ching Ho Estate",North,,431,
43,"Yee Hing Building, 357 Hennessy Road",Wan Chai,,432,
44,Hang Shun Mansions,Wan Chai,,432,
45,Hang Shun Mansions,Wan Chai,,433,
46,Hang Shun Mansions,Wan Chai,,434,
47,The Harbourview,Central & Western,,435,
48,"Heng Lai House, Tin Heng Estate",Yuen Long,,436,
49,"Tower 5, One Homantin",Kowloon City,,437,
50,St Paul’s Terrace,Central & Western,,438,
51,Villa Castell,Tai Po,,439,
52,Hang Shun Mansions,Wan Chai,,440,
53,Rosewood Hong Kong,Yau Tsim Mong,,441,
54,"Cheuk Wah House, Hing Wah (I) Estate",Eastern,,442,
55,Tai Lung House,Eastern,,444,
56,"Tower 6, The Latitude",Wong Tai Sin,,446,
57,"Chiu Man House, Oi Man Estate",Kowloon City,,447,
58,"Tower 6, Nan Fung Plaza",Sai Kung,,448,
59,280 Ki Lung Street,Sham Shui Po,,450,
60,379 Queen’s Road Central,Central & Western,,451,
61,8 Mercer Street,Central & Western,,452,
62,18 Eastern Street,Central & Western,,453,
63,"Lee Yip House, Shun Lee Estate",Kwun Tong,,454,
64,Yan Sau Wai,Yuen Long,,455,
65,"Sau Wah House, Sau Mau Ping Estate",Kwun Tong,,458,
66,Shining Heights,Yau Tsim Mong,,459,
67,"Tower 9, Metro City Phase 2",Sai Kung,,460,
68,"Twilight Court, Peninsula Village",Islands,,461,
69,"Block A, Hyde Towers",Kwun Tong,,462,
70,"Block B, Abba House",Southern,,463,
71,Scholastic Garden,Central & Western,,464,
72,8 Kennedy Road,Central & Western,,465,
73,"Block 4, Sun Yuen Long Centre",Yuen Long,,466,
74,"Block A, Elm Tree Towers",Wan Chai,,467,
75,"Block 2, Villas Sorrento",Central & Western,,468,
76,OZO Wesley Hong Kong,Wan Chai,,469,
77,YMCA,Yau Tsim Mong,,470,
78,"Block 2, Sun Tuen Mun Centre",Tuen Mun,,471,
79,"Tower 2, Solaria",Tai Po,,472,
80,392 Reclamation Street,Yau Tsim Mong,,473,
81,The Luxe Manor,Yau Tsim Mong,,474,
82,The Palisades,Sai Kung,,475,
83,57 South Bay Road,Southern,,476,
84,Yick Shing Mansion,Wan Chai,,477,
85,"5B, Wings At Sea, Lohas Park",Sai Kung,,478,
86,"Hoi Tsui Mansion, Riviera Gardens",Tsuen Wan,,480,
87,33 Kam Wa Street,Eastern,,481,
88,Dorsett Kwun Tong,Kwun Tong,,482,
89,Scenery Garden,Sha Tin,,483,
90,"Ching Ming House, Tsz Ching Estate",Wong Tai Sin,,484,
91,L’ Hotel Island South,Southern,,485,
