,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,Dorsett Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
1,Courtyard By Marriott Hong Kong,Central & Western,,,
2,J Residence,Wan Chai,,937,
3,288 Des Voeux Road West,Central & Western,,938,
4,Hang Hau Village,Sai Kung,,939,
5,Floral Villas,Sai Kung,,940,
6,"Block 2, Hong Kong Garden",Tsuen Wan,,943,
7,"Kin Tai House, Fu Tai Estate",Tuen Mun,,944,
8,"Block 2, Royal Jubilee",North,,945,
9,"Block 6, Coastal Skyline",Islands,,946,
10,"Block D, Pearl Gardens",Central & Western,,947,
11,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,948,
12,The Imperial Hotel,Yau Tsim Mong,,949,
13,Prudential Hotel,Yau Tsim Mong,,949,
14,Fan Tin Tsuen,Yuen Long,,950,
15,"Tower 2, Island Crest",Central & Western,,953,
16,"Block 6, New Jade Garden",Eastern,,954,
17,Tai Tseng Wai Tsuen,Yuen Long,,955,
18,"Block 8, Seaview Garden",Tuen Mun,,956,
19,Wah Yu Court,Eastern,,957,
20,Wah Yu Court,Eastern,,958,
21,Silka Tsuen Wan Hotel,Tsuen Wan,,959,
22,"Block B1, Yau Tong Industrial City",Kwun Tong,,960,
23,Prat Mansions,Yau Tsim Mong,,961,
24,"Han Kung Mansion, Kam Din Terrace, Taikoo Shing",Eastern,,962,
25,Ramada Hong Kong Grand View,Eastern,,963,
26,Sunderland Estate,Kowloon City,,964,
27,"Cheung Fai Building, 45 - 47 Cochrane Street",Central & Western,,965,
28,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,966,
29,"Harmony Court, 127 Bonham Strand",Central & Western,,968,
30,"Block 2, Sceneway Garden",Kwun Tong,,969,
31,Dorsett Tsuen Wan,Kwai Tsing,,970,
32,"Headland Drive, Discovery Bay",Islands,,971,
33,"Golden Mansion, 83-85 Chatham Road South",Yau Tsim Mong,,972,
34,"Hillier Building, 273 - 275 Queen's Road Central",Central & Western,,973,
35,Tung Hei Court,Kowloon City,,974,
36,JC Castle,Tai Po,,975,
37,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,976,
38,"Block 30, Park Island",Tsuen Wan,,977,
39,Branksome Grande,Central & Western,,978,
40,V Wanchai,Wan Chai,,979,
41,Constellation Cove,Tai Po,,981,
42,"Block 6, Royal Ascot",Sha Tin,,982,
43,"Sau Ching House, Sau Mau Ping Estate",Kwun Tong,,983,
44,"Crestmont Villa, Discovery Bay",Islands,,984,
45,"Tower 1, Harbour Green",Yau Tsim Mong,,985,
46,Bishop Lei International House,Central & Western,,987,
47,"Block 2, Carado Garden",Sha Tin,,988,
48,"Prince Apartments, 226 Prince Edward Road West",Kowloon City,,989,
49,Kennedy Park at Central,Central & Western,,990,
50,YMCA of Hong Kong,Yau Tsim Mong,,992,
51,"Block 3, Garden Terrace",Central & Western,,993,
52,Tin Sam Village,Yuen Long,,996,
53,St Moritz,Sha Tin,,997,
54,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,998,
55,Courtyard By Marriott Hong Kong,Central & Western,,1000,
56,Beau Cloud Mansion,Central & Western,,1001,
57,"Block 1, Pine Villas",Tuen Mun,,1002,
58,Yan Sau Wai,Yuen Long,,1003,
59,"Fu Tai House, Tai Wo Hau Estate",Kwai Tsing,,1004,
60,"Block 8, Seaview Garden",Tuen Mun,,1005,
61,"Block 2, Carado Garden",Sha Tin,,1007,
62,"Block 3, Garden Terrace",Central & Western,,1009,
63,"Tower 11, Avignon",Tuen Mun,,1013,
64,Silka Tsuen Wan Hotel,Kwai Tsing,,1015,
65,CHI Residences 138,Wan Chai,,1017,
66,Metropark Hotel Mongkok,Yau Tsim Mong,,1018,
67,"Block 2, Cronin Garden",Sham Shui Po,,1018,
68,"Block F, Kornhill",Eastern,,1022,
69,"Block 1, Seaview Crescent",Islands,,1024,
70,"Block A, Lux Theatre Building",Kowloon City,,1025,
71,"Hor Tung House, Yu Tung Court",Islands,,1026,
72,Louver Mansion,North,,1034,
73,Lok Sing Centre,Wan Chai,25/03/2020,,"903, 923, 925, 932, 954"
74,23 Luard Road,Wan Chai,26/03/2020,,"682, 857"
75,82 Jaffe Road,Wan Chai,27/03/2020,,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973"
76,iSQUARE,Yau Tsim Mong,28/03/2020,,"504, 756"
77,10 Knutsford Terrace,Yau Tsim Mong,28/03/2020,,"567, 842"
78,K11 Musea,Yau Tsim Mong,28/03/2020,,"687, 702, 704, 705, 758, 759"
79,23 Yip Kan Street,Southern,28/03/2020,,"719, 801, 849"
80,Shek Kip Mei Reporting Centre And PTU KW Operational Base,Sham Shui Po,01/04/2020,,"663, 854"
81,Westlands Centre,Eastern,01/04/2020,,"801, 960"
82,88 Gloucester Road,Wan Chai,03/04/2020,,"923, 925"
83,Shun Tak Centre,Central & Western,04/04/2020,,"923, 932"
84,Windsor House,Wan Chai,05/04/2020,,"903, 925, 944"
85,Golden Mansion,Yau Tsim Mong,08/04/2020,,972
86,8 Hart Avenue,Yau Tsim Mong,08/04/2020,,972
87,World-Wide House,Central & Western,08/04/2020,,981
88,Pak Yee Building,Yuen Long,08/04/2020,,996
89,On Ning Building,Yuen Long,08/04/2020,,996
90,+WOO,Yuen Long,09/04/2020,,976
91,Kornhill Plaza (South),Eastern,11/04/2020,,1022
92,16 Haven Street,Wan Chai,11/04/2020,,1022
93,Gold Coast Yacht and Country Club,Tuen Mun,12/04/2020,,1013
94,Hong Kong Sanatorium & Hospital,Wan Chai,12/04/2020,,1013
95,Hong Kong Sanatorium & Hospital,Wan Chai,13/04/2020,,1022
96,Cityplaza,Eastern,14/04/2020,,1022
