,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,油尖旺,旺角帝盛酒店,廣東省衞健委通報的個案,
1,中西區,香港萬怡酒店,,
2,灣仔,嘉薈軒,937,
3,中西區,德輔道西 288號,938,
4,西貢,坑口村,939,
5,西貢,早禾居,940,
6,荃灣,豪景花園 2座,943,
7,屯門,富泰村健泰樓,944,
8,北區,海禧華庭 2座,945,
9,離島,藍天海岸 6座,946,
10,中西區,明珠台 D座,947,
11,灣仔,柏寧酒店,948,
12,油尖旺,帝國酒店,949,
13,油尖旺,恆豐酒店,949,
14,元朗,蕃田村,950,
15,中西區,縉城峰 2座,953,
16,東區,新翠花園 6座,954,
17,元朗,大井圍村,955,
18,屯門,海景花園 8座,956,
19,東區,華裕閣,957,
20,東區,華裕閣,958,
21,荃灣,荃灣絲麗酒店,959,
22,觀塘,油塘工業城 B1座,960,
23,油尖旺,華寶大廈,961,
24,東區,太古城金殿台漢宮閣,962,
25,東區,華美達盛景酒店,963,
26,九龍城,新德園,964,
27,中西區,禧福道 1號新德園,965,
28,油尖旺,瓏璽 6B座,966,
29,中西區,文咸東街 127號萬和閣,968,
30,觀塘,滙景花園 2座,969,
31,葵青,荃灣帝盛酒店,970,
32,離島,愉景灣朝暉徑,971,
33,油尖旺,漆咸道南 83-85號金德大廈,972,
34,中西區,皇后大道中 273-277號禧利大廈,973,
35,九龍城,東禧閣,974,
36,大埔,龍成堡,975,
37,元朗,十八鄉東頭村,976,
38,荃灣,珀麗灣 30座,977,
39,中西區,蘭心閣,978,
40,灣仔,V Wanchai,979,
41,大埔,滌濤山,981,
42,沙田,駿景園 6座,982,
43,觀塘,秀茂坪邨秀程樓,983,
44,離島,愉景灣倚濤軒,984,
45,油尖旺,君匯港 1座,985,
46,中西區,宏基國際賓館,987,
47,沙田,雲疊花園 2座,988,
48,九龍城,太子道西 226號皇子大廈,989,
49,中西區,君珀,990,
50,油尖旺,香港基督教青年會,992,
51,中西區,花園台 3座,993,
52,元朗,田心村,996,
53,沙田,雲端,997,
54,元朗,十八鄉東頭村,998,
55,中西區,香港萬怡酒店,1000,
56,中西區,碧雲樓,1001,
57,屯門,松苑 1座,1002,
58,元朗,仁壽圍,1003,
59,葵青,大窩口邨富泰樓,1004,
60,屯門,海景花園 8座,1005,
61,沙田,雲疊花園 2座,1007,
62,中西區,花園台 3座,1009,
63,屯門,星堤 11座,1013,
64,葵青,荃灣絲麗酒店,1015,
65,灣仔,太極軒 138,1017,
66,油尖旺,旺角維景酒店,1018,
67,深水埗,樂年花園二座,1018,
68,東區,康怡花園 F座,1022,
69,離島,海堤灣畔一座,1024,
70,九龍城,寶石戲院大廈 A座,1025,
71,離島,裕東苑賀東閣,1026,
72,北區,聯發大廈,1034,
73,灣仔,樂聲大廈,"903, 923, 925, 932, 954",25/03/2020
74,灣仔,盧押道 23號,"682, 857",26/03/2020
75,灣仔,謝斐道 82號,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973",27/03/2020
76,油尖旺,國際廣場,"504, 756",28/03/2020
77,油尖旺,諾士佛臺 10號,"567, 842",28/03/2020
78,油尖旺,K11 Musea,"687, 702, 704, 705, 758, 759",28/03/2020
79,南區,業勤街 23號,"719, 801, 849",28/03/2020
80,深水埗,石硤尾報案中心及西九龍機 動部隊行動基地,"663, 854",01/04/2020
81,東區,華蘭中心,"801, 960",01/04/2020
82,灣仔,告士打道 88號,"923, 925",03/04/2020
83,中西區,信德中心,"923, 932",04/04/2020
84,灣仔,皇室堡,"903, 925, 944",05/04/2020
85,油尖旺,金德大廈,972,08/04/2020
86,油尖旺,赫德道 8號,972,08/04/2020
87,中西區,環球大廈,981,08/04/2020
88,元朗,百宜樓,996,08/04/2020
89,元朗,安寧大廈,996,08/04/2020
90,元朗,+WOO 嘉湖,976,09/04/2020
91,東區,康怡廣場(南),1022,11/04/2020
92,灣仔,希雲街 16號,1022,11/04/2020
93,屯門,黃金海岸鄉村俱樂部.遊艇 會,1013,12/04/2020
94,灣仔,養和醫院,1013,12/04/2020
95,灣仔,養和醫院,1022,13/04/2020
96,東區,太古城中心,1022,14/04/2020
