,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Yuen Long,"Tower 7, The Parcville",4606,
1,Yau Tsim Mong,"Block 5, Prosperous Garden",4607,
2,Kwun Tong,"Sau Chi House, Sau Mau Ping Estate",4608,
3,Sham Shui Po,135 Fuk Wa Street,4609,
4,Islands,Hong Kong Skycity Marriott Hotel,4610,
5,Sha Tin,"Sun Fong House,  Sun Chui Estate",4613,
6,Tsuen Wan,"Wing Ting House, Fuk Loi Estate",4614,
7,Sai Kung,"Block 4, On Ning Garden",4615,
8,Yuen Long,"Chung Kam House, Tin Chung Court",4616,
9,Yau Tsim Mong,Wah Fat Mansion,4617,
10,Wan Chai,"Tower A, Elizabeth House",4624,
11,Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",4626,
12,Kowloon City,Tung Hing Building,4627,
13,Tuen Mun,"Block 12, Lung Mun Oasis",4628,
14,Tuen Mun,"Block 3, Marina Garden",4629,
15,Kwai Tsing,Kwai Loong Building,4630,
16,Sha Tin,"Herring Gull House, Sha Kok Estate",4631,
17,Wan Chai,20 Swatow Street,4632,
18,Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",4633,
19,Wong Tai Sin,"Chiu Sin House, Upper Wong Tai Sin Estate",4634,
20,Sai Kung,"Ming Chi House, Ying Ming Court",4635,
21,Kowloon City,Kam Tong Building,4636,
22,Yau Tsim Mong,175A Fa Yuen Street,4637,
23,North,Ping Yeung San Tsuen,4638,
24,Eastern,The Oakridge,4638,
25,Yau Tsim Mong,The Kimberley Hotel,4639,
26,Sham Shui Po,Hand Wai Court,4640,
27,Wong Tai Sin,"Toi Fung House, Fung Tak Estate",4641,
28,Tsuen Wan,"Block L, Allway Gardens",4642,
29,Sai Kung,"Block 4, On Ning Garden",4643,
30,Tai Po,"Heng Yiu House, Fu Heng Estate",4644,
31,Sha Tin,"Herring Gull House, Sha Kok Estate",4645.0,
32,Tsuen Wan,"Wing Ting House, Fuk Loi Estate",4646.0,
33,Eastern,The Oakridge,4647.0,
34,Sai Kung,"King Yu House, King Lam Estate",4648.0,
35,Yuen Long,"Yiu Foo House, Tin Yiu (I) Estate",4649.0,
36,Yuen Long,"Shing Yuk House, Tin Shing Court",4650.0,
37,Yuen Long,"Yiu Foo House, Tin Yiu (I) Estate",4651.0,
