,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,"Fung Wai House, Sun Tin Wai Estate",Sha Tin,,716,
1,"Block 1, City Garden",Eastern,,717,
2,"Yin Tat House, On Tat Estate",Kwun Tong,,718,
3,"Tower One, Phase 4, Bel-Air On The Peak",Southern,,719,
4,"Tower 10, Mayfair by the Sea II",Tai Po,,720,
5,Arezzo,Central & Western,,721,
6,Hong Kong Reese Hotel,Southern,,722,
7,"Tower 1, Grand Promenade",Eastern,,723,
8,"Block 7, Oscar by the Sea",Sai Kung,,724,
9,"Block 7, Oscar by the Sea",Sai Kung,,725,
10,"Tower 3, Park Delvedere",Sha Tin,,726,
11,"Pik Ngan House, Shek Pai Wan Estate",Southern,,727,
12,Hong Kong Reese Hotel,Southern,,728,
13,Ha Tsuen Shi,Yuen Long,,729,
14,"Block 30A, Park Yoho Genova",Yuen Long,,730,
15,Dorsett Kwun Tong,Kwun Tong,,731,
16,"Tower 6, Banyan Garden",Sham Shui Po,,732,
17,"Best Western Grand Hotel, Tsim Sha Tsui",Yau Tsim Mong,,733,
18,"Yuet Yat House, Yat Tung (II) Estate",Islands,,734,
19,"Friendship Court, 12 -22 Blue Pool Road",Wan Chai,,735,
20,Parker 33,Eastern,,736,
21,"Phase 1, Blessings Garden",Central & Western,,737,
22,Dragon Court,Central & Western,,739,
23,Aigburth,Central & Western,,740,
24,"Wang Ngai House, Cheung Wang Estate",Kwai Tsing,,741,
25,"Block A, Elm Tree Towers",Wan Chai,,742,
26,"Tower 2B, Century Link",Islands,,743,
27,Crowfields Court,Kowloon City,,745,
28,35 Station Lane,Kowloon City,,746,
29,"Tower 1A, Century Link",Islands,,747,
30,"Mei Wah Court, South Horizon",Southern,,748,
31,"La Rossa A, Coastal Skyline",Islands,,749,
32,"Tung Hiu House, Tung Yuk Court",Eastern,,750,
33,"Tower 2, Queen’s Terrace",Central & Western,,751,
34,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,752,
35,Headland Hotel,Islands,,753,
36,"Tak Fu House, Hau Tak Estate",Sai Kung,,754,
37,On Keung Building,Wong Tai Sin,,755,
38,Luxury Court,Yau Tsim Mong,,756,
39,Tung Hei Court,Kowloon City,,757,
40,Windsor Mansions,Yau Tsim Mong,,758,
41,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,759,
42,Yick Shing Mansion,Wan Chai,,760,
43,Yonking Garden,Tuen Mun,,761,
44,"10 Seahorse Lane, Beach Village, Discovery Bay",Islands,,764,
45,"Block 5, Yar Chee Villas",Southern,,765,
46,"Hoi Kwun Mansion, Riveiera Gardens",Tsuen Wan,,767,
47,V Happy Valley,Wan Chai,,768,
48,Man Yue Mansion,Wong Tai Sin,,769,
49,"Tower 8, The Latitude",Wong Tai Sin,,770,
50,"Tower 1, Sorrento",Yau Tsim Mong,,771,
51,"Tower 3, Park Mediterranean",Sai Kung,,772,
52,"Block C, The Manhattan",Southern,,773,
53,"Tower 1, Harbourview Horizon Suites",Kowloon City,,774,
54,10 Po Yick Lane,Tai Po,,775,
55,"Tower 3, The Coronation",Yau Tsim Mong,,776,
56,YMCA of Hong Kong,Yau Tsim Mong,,777,
57,Ho Chung New Village,Sai Kung,,778,
58,Mount Pleasure,Sha Tin,,779,
59,Hong Kong Ocean Park Marriott Hotel,Southern,,780,
60,"Wah Sin House, Wah Kwai Estate",Southern,,781,
61,Fairview Park,Yuen Long,,782,
62,"Block 1, Phase 3, Festival City",Sha Tin,,783,
63,"Tower 1, Rambler Crest",Kwai Tsing,,784,
64,"Block B, Luk Yeung Sun Chuen",Tsuen Wan,,785,
65,Dorsett Mongkok,Yau Tsim Mong,,786,
66,"Block 9, Bamboo Mansion, Whampoa Garden",Kowloon City,,787,
67,One Lasalle,Kowloon City,,788,
68,"Tower 1, One Kai Tak",Kowloon City,,789,
69,"Block B, Sunway Garden",Eastern,,790,
70,37 Celestial Heights,Kowloon City,,791,
71,"Block 5, Cronin Garden",Sham Shui Po,,792,
72,"Block 2, Stanford Villa",Southern,,793,
73,"Block 5, Fanling Town Center",North,,794,
74,"Willow Mansion, Taikoo Shing",Eastern,,795,
75,"Wo Hing House, Hing Wah (II) Estate",Eastern,,796,
76,Tseng Lan Shue Tsuen,Sai Kung,,797,
77,Fortune Villa,Central & Western,,798,
78,Courtyard By Marriott Hong Kong,Central & Western,,799,
79,Dorsett Tsuen Wan,Kwai Tsing,,800,
80,"292 Lockhart Road, Wan Chai",Wan Chai,,801,
81,"Kwai Yat House, Kwai Hong Court",Kwai Tsing,,802,
82,Convention Plaza,Wan Chai,,804,
83,"Block A, Elm Tree Tower",Wan Chai,,805,
84,Mognolia Mansion,Wan Chai,,806,
85,"Block 8, Hee Wong Terrance",Central & Western,,807,
86,"5th Street, Section I, Fairview Park",Yuen Long,,808,
87,"Seung Lai House, Wah Lai Estate",Kwai Tsing,,809,
88,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,811,
89,"Block 1, Garden Terrace",Central & Western,,812,
90,"Tower 10, Caribbean Coast",Islands,,813,
91,Sha Kok Mei Village,Sai Kung,,814,
92,"Hong Wo House, Cheung Hong Estate",Kwai Tsing,,815,
93,"Block 2, Hong Sing Garden",Sai Kung,,816,
94,Arezzo,Central & Western,,817,
95,Escapade,Central & Western,,818,
96,Dorsett Wanchai,Wan Chai,,819,
97,"Ka Kit House, Ka Lung Court",Southern,,820,
98,Novotel Century Hong Kong,Wan Chai,,821,
99,"Block 1, South Wave Court",Southern,,822,
100,Yale Lodge,Central & Western,,823,
101,"Greenpeak Villa, Wong Chuk Shan San Tsuen",Sai Kung,,824,
102,Novotel Century Hong Kong,Wan Chai,,825,
103,Ramada Hong Kong Harbour View Hotel,Central & Western,,826,
104,"Tower A, Chungking Mansions",Yau Tsim Mong,,827,
105,Peak Garden Court,Kowloon City,,828,
106,Peak Garden Court,Kowloon City,,829,
107,"Tower 5, Aria",Wong Tai Sin,,830,
108,Lau Kwai Fong Hotel,Central & Western,,832,
109,"Block 2, Hong Kong Garden",Tsuen Wan,,833,
110,"Tower 14, Hong Kong Parkview",Southern,,834,
111,"Tower 7, Bauhinia Garden",Sai Kung,,835,
112,Resiglow,Wan Chai,,836,
113,Hang Shun Mansions,Wan Chai,,838,
114,Metropark Hotel Mongkok,Yau Tsim Mong,,839,
115,"Ping Sin House, Ping Tin Estate",Kwun Tong,,840,
116,St. Moritz,Sha Tin,,843,
117,35 Station Lane,Kowloon City,,844,
118,38 Jordan Road,Yau Tsim Mong,,845,
119,"Block 2, Laguna City",Kwun Tong,,846,
120,Princeton Tower,Central & Western,,847,
121,"Chau Kwai House, Kwai Chung Estate",Kwai Tsing,,848,
122,292 Lockhart Road,Wan Chai,,849,
123,"Seabird Lane, Discovery Bay",Islands,,850,
124,"Tower 2, One Homantin",Kowloon City,,851,
125,Best Western Plus Hotel Hong Kong,Central & Western,,852,
126,"Block 1, Dragon Centre",Wan Chai,,853,
127,"Ko Fung House, Ko Cheung Court",Kwun Tong,,854,
128,"Kan Tau Tsuen, Kwan Tei",North,,855,
129,"Chuen Shui House, Shui Pin Wai Estate",Yuen Long,,856,
130,United Mansion,Wan Chai,,857,
131,"Block B, Lung Fung Garden",North,,858,
132,"Block B, Lung Fung Garden",North,,859,
133,"Block B, Lung Fung Garden",North,,860,
134,Le Billionnaire,Kowloon City,,862,
135,"Sheung Yan House, Sheung Tak Estate",Sai Kung,,863,
136,Rose Gardens,Central & Western,,865,
137,Bishop Lei International House,Central & Western,,866,
138,Dorsett Tsuen Wan,Kwai Tsing,,867,
139,"Fai Shing House, May Shing Court",Sha Tin,,868,
140,Green Valley Mansion,Wan Chai,,869,
141,Kei Ling Ha San Wai,Tai Po,,870,
142,Silka Tsuen Wan Hotel,Kwai Tsing,,871,
143,"Hang King House, Siu Shan Court",Tuen Mun,,872,
144,Borrett Mansions,Central & Western,,873,
145,Dorsett Wanchai,Wan Chai,,874,
146,Kam Tong Building,Yau Tsim Mong,,875,
147,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,876,
148,Island View,Islands,,878,
149,"Block 4, Laguna City",Kwun Tong,,879,
150,Tagus Residences,Wan Chai,,881,
151,Kei Pik Shan,Sai Kung,,882,
152,Blue Pool Court,Wan Chai,,883,
153,"Choi Shing House, Choi Tak Estate",Kwun Tong,,884,
154,"Block B, Monticello",Central & Western,,885,
155,Ramada Hong Kong Grand View,Eastern,,886,
156,Kam Fat Building,Tuen Mun,,887,
157,"Tower 2, The Metropolis Residence",Kowloon City,,888,
158,"Block 33, Baguio Villa (Lower)",Southern,,889,
159,"Block C, Garden Vista",Sha Tin,,890,
160,Tung Hei Court,Kowloon City,,891,
161,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,892,
162,"Orchid Path, The Westwood, (Phase 1C), Palm Springs",Yuen Long,,893,
163,Borrett Mansions,Central & Western,,894,
164,Kensington House,Kowloon City,,895,
165,"Tower 1, Festival City (Phase 2)",Sha Tin,,896,
166,"Tower 2, Island Crest",Central & Western,,897,
167,Ha Shan Kai Wat,North,,898,
168,Lexington Hill,Central & Western,,899,
169,Robinson Place,Central & Western,,900,
170,Winfield Gardens,Wan Chai,,901,
171,Yan Sau Wai,Yuen Long,,902,
172,"Block 7, Bauhinia Garden",Sai Kung,,903,
173,San Hui Village,Tuen Mun,,905,
174,"Chiu Man House, Oi Man Estate",Kowloon City,,912,
175,"Chiu Man House, Oi Man Estate",Kowloon City,,913,
176,"Ko Ching House, Ko Cheung Court",Kwun Tong,,914,
177,123 Pak Tai Street,Kowloon City,,915,
178,Holiday Inn Express Hong Kong Mongkok,Yau Tsim Mong,,Case notified by the Health,
179,40-42 Circular Pathway,Central & Western,,916,
180,"Block 4, South Horizons",Southern,,917,
181,"Fujian Hotel, Mirador Mansion",Yau Tsim Mong,,918,
182,Mau Po Road,Sai Kung,,919,
183,Dorsett Wanchai,Wan Chai,,920,
184,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,921,
185,"Kat Hing Wai, Kam Tin",Yuen Long,,922,
186,Lakeview Garden (House Zone),Sha Tin,,923,
187,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,924,
188,"Tak Cheung House, Tak Long Estate",Kowloon City,,925,
189,"Chak Fai House, Tin Chak Estate",Yuen Long,,926,
190,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,928,
191,Yick Shing Mansion,Wan Chai,,929,
192,Wah Yu Court,Eastern,,932,
193,109 Temple Street,Yau Tsim Mong,,933,
194,"Section C, 5th Street, Fairview Park",Yuen Long,,934,
195,Chung Hom Kok Road,Southern,,935,
196,"Hin Kwai House, Hin Keng Estate",Sha Tin,,936,
197,Dorsett Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
198,Courtyard By Marriott Hong Kong,Central & Western,,,
199,J Residence,Wan Chai,,937,
200,288 Des Voeux Road West,Central & Western,,938,
201,Hang Hau Village,Sai Kung,,939,
202,Floral Villas,Sai Kung,,940,
203,"Block 2, Hong Kong Garden",Tsuen Wan,,943,
204,"Kin Tai House, Fu Tai Estate",Tuen Mun,,944,
205,"Block 2, Royal Jubilee",North,,945,
206,"Block 6, Coastal Skyline",Islands,,946,
207,"Block D, Pearl Gardens",Central & Western,,947,
208,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,948,
209,The Imperial Hotel,Yau Tsim Mong,,949,
210,Prudential Hotel,Yau Tsim Mong,,949,
211,Fan Tin Tsuen,Yuen Long,,950,
212,"Tower 2, Island Crest",Central & Western,,953,
213,"Block 6, New Jade Garden",Eastern,,954,
214,Tai Tseng Wai Tsuen,Yuen Long,,955,
215,"Block 8, Seaview Garden",Tuen Mun,,956,
216,Wah Yu Court,Eastern,,957,
217,Wah Yu Court,Eastern,,958,
218,Silka Tsuen Wan Hotel,Tsuen Wan,,959,
219,"Block B1, Yau Tong Industrial City",Kwun Tong,,960,
220,Prat Mansions,Yau Tsim Mong,,961,
221,"Han Kung Mansion, Kam Din Terrace, Taikoo Shing",Eastern,,962,
222,Ramada Hong Kong Grand View,Eastern,,963,
223,Sunderland Estate,Kowloon City,,964,
224,"Cheung Fai Building, 45 - 47 Cochrane Street",Central & Western,,965,
225,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,966,
226,"Harmony Court, 127 Bonham Strand",Central & Western,,968,
227,"Block 2, Sceneway Garden",Kwun Tong,,969,
228,Dorsett Tsuen Wan,Kwai Tsing,,970,
229,"Headland Drive, Discovery Bay",Islands,,971,
230,"Golden Mansion, 83-85 Chatham Road South",Yau Tsim Mong,,972,
231,"Hillier Building, 273 - 275 Queen's Road Central",Central & Western,,973,
232,Tung Hei Court,Kowloon City,,974,
233,JC Castle,Tai Po,,975,
234,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,976,
235,"Block 30, Park Island",Tsuen Wan,,977,
236,Branksome Grande,Central & Western,,978,
237,V Wanchai,Wan Chai,,979,
238,Constellation Cove,Tai Po,,981,
239,"Block 6, Royal Ascot",Sha Tin,,982,
240,"Sau Ching House, Sau Mau Ping Estate",Kwun Tong,,983,
