,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,Princeton Tower,Central & Western,,847,
1,"Chau Kwai House, Kwai Chung Estate",Kwai Tsing,,848,
2,292 Lockhart Road,Wan Chai,,849,
3,"Seabird Lane, Discovery Bay",Islands,,850,
4,"Tower 2, One Homantin",Kowloon City,,851,
5,Best Western Plus Hotel Hong Kong,Central & Western,,852,
6,"Block 1, Dragon Centre",Wan Chai,,853,
7,"Ko Fung House, Ko Cheung Court",Kwun Tong,,854,
8,"Kan Tau Tsuen, Kwan Tei",North,,855,
9,"Chuen Shui House, Shui Pin Wai Estate",Yuen Long,,856,
10,United Mansion,Wan Chai,,857,
11,"Block B, Lung Fung Garden",North,,858,
12,"Block B, Lung Fung Garden",North,,859,
13,"Block B, Lung Fung Garden",North,,860,
14,Le Billionnaire,Kowloon City,,862,
15,"Sheung Yan House, Sheung Tak Estate",Sai Kung,,863,
16,Rose Gardens,Central & Western,,865,
17,Bishop Lei International House,Central & Western,,866,
18,Dorsett Tsuen Wan,Kwai Tsing,,867,
19,"Fai Shing House, May Shing Court",Sha Tin,,868,
20,Green Valley Mansion,Wan Chai,,869,
21,Kei Ling Ha San Wai,Tai Po,,870,
22,Silka Tsuen Wan Hotel,Kwai Tsing,,871,
23,"Hang King House, Siu Shan Court",Tuen Mun,,872,
24,Borrett Mansions,Central & Western,,873,
25,Dorsett Wanchai,Wan Chai,,874,
26,Kam Tong Building,Yau Tsim Mong,,875,
27,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,876,
28,Island View,Islands,,878,
29,"Block 4, Laguna City",Kwun Tong,,879,
30,Tagus Residences,Wan Chai,,881,
31,Kei Pik Shan,Sai Kung,,882,
32,Blue Pool Court,Wan Chai,,883,
33,"Choi Shing House, Choi Tak Estate",Kwun Tong,,884,
34,"Block B, Monticello",Central & Western,,885,
35,Ramada Hong Kong Grand View,Eastern,,886,
36,Kam Fat Building,Tuen Mun,,887,
37,"Tower 2, The Metropolis Residence",Kowloon City,,888,
38,"Block 33, Baguio Villa (Lower)",Southern,,889,
39,"Block C, Garden Vista",Sha Tin,,890,
40,Tung Hei Court,Kowloon City,,891,
41,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,892,
42,"Orchid Path, The Westwood, (Phase 1C), Palm Springs",Yuen Long,,893,
43,Borrett Mansions,Central & Western,,894,
44,Kensington House,Kowloon City,,895,
45,"Tower 1, Festival City (Phase 2)",Sha Tin,,896,
46,"Tower 2, Island Crest",Central & Western,,897,
47,Ha Shan Kai Wat,North,,898,
48,Lexington Hill,Central & Western,,899,
49,Robinson Place,Central & Western,,900,
50,Winfield Gardens,Wan Chai,,901,
51,Yan Sau Wai,Yuen Long,,902,
52,"Block 7, Bauhinia Garden",Sai Kung,,903,
53,San Hui Village,Tuen Mun,,905,
54,"Chiu Man House, Oi Man Estate",Kowloon City,,912,
55,"Chiu Man House, Oi Man Estate",Kowloon City,,913,
56,"Ko Ching House, Ko Cheung Court",Kwun Tong,,914,
57,123 Pak Tai Street,Kowloon City,,915,
58,Holiday Inn Express Hong Kong Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
59,40-42 Circular Pathway,Central & Western,,916,
60,"Block 4, South Horizons",Southern,,917,
