,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Tai Po,"Block 18, Phase 5, Tai Po Centre",5432,
1,Yau Tsim Mong,Tak Fung Building,5433,
2,Eastern,"Tai Woo Mansion, Taikoo Shing",5435,
3,Sham Shui Po,"Hoi Fai House, Hoi Lai Estate",5436,
4,Yau Tsim Mong,Best Western Plus Hotel Kowloon,5437,
5,Wong Tai Sin,"Hong Yun House, Tsz Hong Estate",5439,
6,Tai Po,"Kwong Yan House, Kwong Fuk Estate",5440,
7,Sha Tin,"Shing Wai House, Sun Tin Wai Estate",5446,
8,Southern,"Tower 9, Larvotto",5451,
9,Central & Western,Shama Hollywood Hong Kong,5454,
10,Wong Tai Sin,"Hong Yun House, Tsz Hong Estate",5455,
11,Wong Tai Sin,"Hong Yun House, Tsz Hong Estate",5456,
12,Tai Po,"Kwong Yan House, Kwong Fuk Estate",5457,
13,Southern,Ovolo Southside,5458,
14,Yau Tsim Mong,Tak Fung Building,5459,
15,Sai Kung,"Tower 6, Nan Fung Plaza",5463,
16,Islands,Hong Kong Skycity Marriott Hotel,5464,
17,Kwai Tsing,"Silka Tsuen Wan, Hong Kong",5465,
18,Yau Tsim Mong,Delta Hotel,5466,
19,Yau Tsim Mong,Travelodge Kowloon,5467,
20,Islands,Novotel Citygate Hong Kong,5468,
21,Islands,Headland Hotel,5469,
22,Yuen Long,"Tower 12, The Parcville",5470,
23,Eastern,Ramada Hong Kong Grand View,5471,
24,Kwai Tsing,"Block 6, Kwai Shing West Estate",5472,
25,Kwai Tsing,"Block 6, Kwai Shing West Estate",5474,
26,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5475,
27,Sha Tin,Courtyard By Marriott Hong Kong Sha Tin,5476,
28,Kwai Tsing,"Silka Tsuen Wan, Hong Kong",5477,
29,Yau Tsim Mong,"Dorsett Mongkok, Hong Kong",5478,
30,Sha Tin,"Yue Chak House, Yue Tin Court",5479,
31,Islands,Hong Kong Skycity Marriott Hotel,5482,
32,Islands,Hong Kong Skycity Marriott Hotel,5483,
33,Yau Tsim Mong,"Block 2, The Long Beach",5484,
34,Kwun Tong,"Dorsett Kwun Tong, Hong Kong",5486,
35,Wan Chai,"Victoria Heights, 43A Stubbs Road",5487,
36,Islands,"Tower 3, The Visionary",5488,
37,Sha Tin,"Yue Chak House, Yue Tin Court",5492,
38,Islands,Hong Kong Skycity Marriott Hotel,5496,
39,Tuen Mun,"King On House, Shan King Estate",5497,
40,Tuen Mun,"King On House, Shan King Estate",5498,
41,Kowloon City,"Sik Man House, Ho Man Tin Estate",5499,
42,Wan Chai,168 Tung Lo Wan Road,5500,
43,Sha Tin,"Block F, Garden Rivera",5501,
44,Sai Kung,Clear Water Bay Apartments,5502,
45,Southern,Red Hill Park,5503,
46,Sai Kung,"Po Lam Estate, Po Tai House",5504,
47,Sha Tin,"Block F, Garden Rivera",5505,
48,Islands,"Ying Yat House, Yat Tung Estate",5506,
49,Kwun Tong,"Block 17, Laguna City",5507,
50,Sai Kung,Crowne Plaza Hong Kong Kowloon East Hotel,5509,
51,Eastern,"Tower 2, Pacific Palisades",5510,
52,Kowloon City,Billion Court,5511,
53,Yau Tsim Mong,Lee Man Building,5512,
54,Central & Western,Tai Fat Building,5513,
55,Wan Chai,Malibu Garden,5514,
56,Sai Kung,Alto Residences,5515,
57,Wan Chai,Chee On Building,5516,
58,Sai Kung,"Block 2, Hillview Court",5517,
59,Tsuen Wan,Hoi Pa San Tsuen,5518,
60,Central & Western,Flourish Court,5520,
61,Wong Tai Sin,"Fu Tung House, Tung Tau Estate",5521,
62,Yau Tsim Mong,"Tai Chuen Building, Cosmopolitan Estates",5523,
63,Yau Tsim Mong,Yan Hong Building,5524,
64,Sha Tin,"Block 5, Royal Ascot",5525,
65,Sha Tin,"Yiu Ping House, Yiu On Estate",5526,
66,Sha Tin,"Block 5, Royal Ascot",5529,
67,Wan Chai,"Block E, Beverly Hill",5530,
68,Yau Tsim Mong,"Tower 1, The Harbourside",5531,
69,Yuen Long,"Wah Choi House, Tin Wah Estate",5532,
70,Yau Tsim Mong,Lee Man Building,5533,
71,Yau Tsim Mong,Paradise Square,5534,
72,Kowloon City,"Tower 3, K. City",5535,
73,Yau Tsim Mong,70 Fa Yuen Street,5536,
74,Kwun Tong,"Shun Tai House, Shun Chi Court",5537,
75,Yau Tsim Mong,Far East Mansion,5538,
76,Sham Shui Po,17A-17D Shek Kip Mei Street,5539,
77,Kowloon City,Metropark Hotel Kowloon,5540,
78,Eastern,"Tower 6, Grand Promenade",5541,
79,Tsuen Wan,"Block 5, City Point",5542,
80,Central & Western,Visalia Garden,5543,
81,Wan Chai,Yick Wah Building,5544,
82,Wan Chai,Malahon Apartments,5545,
83,Yau Tsim Mong,"831 Canton Road, Kam Wah Building",5546,
84,Kowloon City,Kowloon Tong Mansion,5547,
85,Wan Chai,Hong Kong Mansion,5548,
86,Yau Tsim Mong,7 Cedar Street,5549,
87,Islands,"Block 2, Coastal Skyline",5550,
88,Sai Kung,"Tower 1, The Grandiose",5551,
89,Sai Kung,"Tower 3, Le Prestige, LOHAS Park",5552,
90,Wan Chai,"6 Dragon Terrace, Dragon Court",5553,
91,Southern,"Block 21, Baguio Villa",5554,
92,Wan Chai,451 Lockhart Road,5555,
93,Kwun Tong,"Block 34, Laguna City",5556,
94,Central & Western,"Block 2, Garden Terrace",5557,
