,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),HongKongSkycityMarriottHotel,5380,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
62,Wong Tai Sin,182-188 Junction Road Eat Chinese Restaurant,5337,,,,31/10/2020
63,Yuen Long,Lam Hau Tsuen Lam Tai East Road,5354,,,,31/10/2020
64,Sha Tin,Jockey Club Kitchee Centre,5354,,,,31/10/2020
65,Yuen Long,Tin Shui Wai Community Sports Ground,5354,,,,31/10/2020
66,Southern,1 Heung Yip Road,"5332, 5342",,,,31/10/2020
67,Wan Chai,Chun Hing Mansion McDonald's,5343,,,,01/11/2020
68,Sha Tin,New Town Plaza,5375,,,,01/11/2020
69,Yuen Long,112A On Ning Road,5354,,,,02/11/2020
70,Wong Tai Sin,Lok Fu Place Marugame Seimen,5398,,,,03/11/2020
71,Kowloon City,Hong Kong Baptist University,5398,,,,03/11/2020
72,Central & Western,United Centre,5417,,,,03/11/2020
73,Wong Tai Sin,Morse Park Soccer Pitch,5354,,,,04/11/2020
74,Tai Po,Wing Fat Building Sushi Tokumi,5365,,,,04/11/2020
75,Tuen Mun,Lai Bo Shopping Centre,5398,,,,04/11/2020
76,Kowloon City,6 San Shan Road Yue Min Fong,5398,,,,04/11/2020
77,Southern,One Island South,5398,,,,04/11/2020
78,Tai Po,13 Heung Sze Wui Street Wah Fai Restaurant and Cake Shop,5365,,,,05/11/2020
79,Kowloon City,EDB Kowloon Tong Education Services Center,5382,,,,05/11/2020
80,Kowloon City,Festival Walk On-Yasai,5382,,,,05/11/2020
81,Yau Tsim Mong,Block 17 Charming Garden,5382,,,,05/11/2020
82,Eastern,Hyatt Centric Victoria Harbour Hong Kong,5398,,,,05/11/2020
83,Yau Tsim Mong,Argyle Centre Phase 1,5398,,,,05/11/2020
84,Sham Shui Po,Pei Ho Street Sports Centre,5398,,,,05/11/2020
85,Kowloon City,South Wall Road Chong Fat Chiu Chow Restaurant,5399,,,,05/11/2020
86,Sai Kung,Tai Mong Tsai Road Beach Pub,5399,,,,05/11/2020
87,Yau Tsim Mong,Chong Hing Square Ying Dining,5439,,,,05/11/2020
88,Sha Tin,Sha Tin Fun City Steak Expert,5382,,,,06/11/2020
89,Wan Chai,Kin Lee Building,5384,,,,06/11/2020
90,Tsuen Wan,Tsuen Wan Plaza Super Star Chinese Cuisine,5399,,,,06/11/2020
91,Tsuen Wan,Citywalk Mak's Noodle,5399,,,,06/11/2020
92,Tsuen Wan,Citywalk Mixian Sense,5399,,,,06/11/2020
93,Sham Shui Po,Hoi Lai Shopping Centre 喜兆年酒家,5436,,,,06/11/2020
94,Sham Shui Po,Hoi Lai Shopping Centre,5436,,,,06/11/2020
95,Yau Tsim Mong,Wu Sang House Majesty Seafood Restaurant,5439,,,,06/11/2020
96,Sha Tin,New Town Plaza Phase I Tristar Kitchen,"5375, 5382",,,,06/11/2020
97,Wan Chai,Everbright Centre,"5375, 5384",,,,06/11/2020
98,Islands,Citygate,"5388, 5389",,,,06/11/2020
99,Wan Chai,Haywood Mansion,5371,,,,07/11/2020
100,Central & Western,Chong Yuet Ming Amenities Centre The University of Hong Kong Café 330,5382,,,,07/11/2020
101,Central & Western,Meng Wah Complex The University of Hong Kong,5382,,,,07/11/2020
102,Sha Tin,M.C. BOX Lung Heng Market,5384,,,,07/11/2020
103,Islands,Inspiration Lake Children's Playground,5388,,,,07/11/2020
104,Tuen Mun,14 Yan Oi Tong Circuit,5398,,,,07/11/2020
105,Central & Western,22-32 Po Fu Lam Road 鴻興茶餐廳,5419,,,,07/11/2020
106,Yau Tsim Mong,MOKO Pak Loh Chiu Chow Restaurant,5419,,,,07/11/2020
107,Yau Tsim Mong,85-87 Ivy Street Golden Sand Restaurant,5427,,,,07/11/2020
108,Yau Tsim Mong,West9zone,5427,,,,07/11/2020
109,Tai Po,Fortune Plaza Julimount Restaurant,5432,,,,07/11/2020
110,Kowloon City,Comfort Court Tak Cheong Noodle,"5367, 5371",,,,07/11/2020
111,Sha Tin,SKH Holy Spirit Primary School,"5375, 5382",,,,07/11/2020
112,Wan Chai,178-186 Johnston Road McDonald's,5384,,,,08/11/2020
113,Yau Tsim Mong,Langham Place McDonald's,5391,,,,08/11/2020
