,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,九龍城,新翠園,,351
1,南區,金豐大廈,,496
2,灣仔,柏寧酒店,,648
3,灣仔,英皇駿景酒店,,648
4,油尖旺,帝京酒店,,648
5,油尖旺,恆豐酒店,,949
6,油尖旺,帝國酒店,,949
7,油尖旺,最佳盛品酒店尖沙咀,,949
8,東區,太古城金殿台漢宮閣,,962
9,東區,華美達盛景酒店,,963
10,九龍城,新德園,,964
11,中西區,禧福道 1號新德園,,965
12,油尖旺,瓏璽 6B座,,966
13,中西區,文咸東街 127號萬和閣,,968
14,觀塘,滙景花園 2座,,969
15,葵青,荃灣帝盛酒店,,970
16,離島,愉景灣朝暉徑,,971
17,油尖旺,漆咸道南 83-85號金德大廈,,972
18,中西區,皇后大道中 273-277號禧利大廈,,973
19,九龍城,東禧閣,,974
20,大埔,龍成堡,,975
21,元朗,十八鄉東頭村,,976
22,荃灣,珀麗灣 30座,,977
23,中西區,蘭心閣,,978
24,灣仔,V Wanchai,,979
25,大埔,滌濤山,,981
26,沙田,駿景園 6座,,982
27,觀塘,秀茂坪邨秀程樓,,983
28,離島,愉景灣倚濤軒,,984
29,油尖旺,君匯港 1座,,985
30,中西區,宏基國際賓館,,987
31,沙田,雲疊花園 2座,,988
32,九龍城,太子道西 226號皇子大廈,,989
33,中西區,君珀,,990
34,油尖旺,香港基督教青年會,,992
35,中西區,花園台 3座,,993
36,元朗,田心村,,996
37,沙田,雲端,,997
38,元朗,十八鄉東頭村,,998
39,中西區,香港萬怡酒店,,1000
40,中西區,碧雲樓,,1001
41,屯門,松苑 1座,,1002
42,元朗,仁壽圍,,1003
43,葵青,大窩口邨富泰樓,,1004
44,屯門,海景花園 8座,,1005
45,沙田,雲疊花園 2座,,1007
46,中西區,花園台 3座,,1009
47,屯門,星堤 11座,,1013
48,葵青,荃灣絲麗酒店,,1015
49,灣仔,太極軒 138,,1017
50,油尖旺,旺角維景酒店,,1018
51,深水埗,樂年花園二座,,1018
52,東區,康怡花園 F座,,1022
53,離島,海堤灣畔一座,,1024
54,九龍城,寶石戲院大廈 A座,,1025
55,離島,裕東苑賀東閣,,1026
56,北區,聯發大廈,,1034
57,中西區,四方街 3號,,1035
58,灣仔,The Ellipsis,,1036
59,灣仔,盧押道 23號,26/03/2020,"682, 857"
60,灣仔,謝斐道 82號,27/03/2020,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973"
61,油尖旺,國際廣場,28/03/2020,"504, 756"
62,油尖旺,諾士佛臺 10號,28/03/2020,"567, 842"
63,油尖旺,K11 Musea,28/03/2020,"687, 702, 704, 705, 758, 759"
64,南區,業勤街 23號,28/03/2020,"719, 801, 849"
65,深水埗,石硤尾報案中心及西九龍機 動部隊行動基地,01/04/2020,"663, 854"
66,東區,華蘭中心,01/04/2020,"801, 960"
67,灣仔,告士打道 88號,03/04/2020,"923, 925"
68,中西區,信德中心,04/04/2020,"923, 932"
69,灣仔,皇室堡,05/04/2020,"903, 925, 944"
70,元朗,+WOO 嘉湖,09/04/2020,976
71,中西區,萬邦行,09/04/2020,1036
72,灣仔,軒尼斯大廈,10/04/2020,648
73,灣仔,皇室堡,11/04/2020,648
74,灣仔,台山中心,11/04/2020,648
75,東區,康怡廣場(南),11/04/2020,1022
76,灣仔,希雲街 16號,11/04/2020,1022
77,灣仔,耀華街 4號,12/04/2020,648
78,灣仔,禮雲大樓,12/04/2020,648
79,屯門,黃金海岸鄉村俱樂部.遊艇 會,12/04/2020,1013
80,灣仔,養和醫院,12/04/2020,1013
81,灣仔,養和醫院,13/04/2020,1022
82,東區,太古城中心,14/04/2020,1022
83,沙田,愉翠商場,17/04/2020,1004
84,荃灣,大窩口第二商場,20/04/2020,1004.0
85,荃灣,荃薈,20/04/2020,1004.0
86,中西區,文華東方酒店,21/04/2020,1036.0
87,中西區,the L. place,21/04/2020,1036.0
