,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,九龍城,新翠園,,351
1,南區,金豐大廈,,496
2,灣仔,柏寧酒店,,648
3,灣仔,英皇駿景酒店,,648
4,油尖旺,帝京酒店,,648
5,油尖旺,恆豐酒店,,949
6,油尖旺,帝國酒店,,949
7,油尖旺,最佳盛品酒店尖沙咀,,949
8,中西區,文咸東街 127號萬和閣,,968
9,大埔,龍成堡,,975
10,元朗,十八鄉東頭村,,976
11,荃灣,珀麗灣 30座,,977
12,中西區,蘭心閣,,978
13,灣仔,V Wanchai,,979
14,大埔,滌濤山,,981
15,沙田,駿景園 6座,,982
16,觀塘,秀茂坪邨秀程樓,,983
17,離島,愉景灣倚濤軒,,984
18,油尖旺,君匯港 1座,,985
19,中西區,宏基國際賓館,,987
20,沙田,雲疊花園 2座,,988
21,九龍城,太子道西 226號皇子大廈,,989
22,中西區,君珀,,990
23,油尖旺,香港基督教青年會,,992
24,中西區,花園台 3座,,993
25,元朗,田心村,,996
26,沙田,雲端,,997
27,元朗,十八鄉東頭村,,998
28,中西區,香港萬怡酒店,,1000
29,中西區,碧雲樓,,1001
30,屯門,松苑 1座,,1002
31,元朗,仁壽圍,,1003
32,葵青,大窩口邨富泰樓,,1004
33,屯門,海景花園 8座,,1005
34,沙田,雲疊花園 2座,,1007
35,中西區,花園台 3座,,1009
36,屯門,星堤 11座,,1013
37,葵青,荃灣絲麗酒店,,1015
38,灣仔,太極軒 138,,1017
39,油尖旺,旺角維景酒店,,1018
40,深水埗,樂年花園二座,,1018
41,東區,康怡花園 F座,,1022
42,離島,海堤灣畔一座,,1024
43,九龍城,寶石戲院大廈 A座,,1025
44,離島,裕東苑賀東閣,,1026
45,北區,聯發大廈,,1034
46,中西區,四方街 3號,,1035
47,灣仔,The Ellipsis,,1036
48,灣仔,謝斐道 82號,27/03/2020,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973"
49,油尖旺,國際廣場,28/03/2020,"504, 756"
50,油尖旺,諾士佛臺 10號,28/03/2020,"567, 842"
51,油尖旺,K11 Musea,28/03/2020,"687, 702, 704, 705, 758, 759"
52,南區,業勤街 23號,28/03/2020,"719, 801, 849"
53,深水埗,石硤尾報案中心及西九龍機 動部隊行動基地,01/04/2020,"663, 854"
54,東區,華蘭中心,01/04/2020,"801, 960"
55,灣仔,告士打道 88號,03/04/2020,"923, 925"
56,中西區,信德中心,04/04/2020,"923, 932"
57,灣仔,皇室堡,05/04/2020,"903, 925, 944"
58,灣仔,軒尼斯大廈,10/04/2020,648
59,灣仔,皇室堡,11/04/2020,648
60,灣仔,台山中心,11/04/2020,648
61,東區,康怡廣場(南),11/04/2020,1022
62,灣仔,希雲街 16號,11/04/2020,1022
63,灣仔,耀華街 4號,12/04/2020,648
64,灣仔,禮雲大樓,12/04/2020,648
65,屯門,黃金海岸鄉村俱樂部.遊艇 會,12/04/2020,1013
66,灣仔,養和醫院,12/04/2020,1013
67,灣仔,養和醫院,13/04/2020,1022
68,東區,太古城中心,14/04/2020,1022
69,沙田,愉翠商場,17/04/2020,1004
70,荃灣,大窩口第二商場,20/04/2020,1004
71,荃灣,荃薈,20/04/2020,1004
72,中西區,文華東方酒店,21/04/2020,1036
73,中西區,the L. place,21/04/2020,1036
