,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,Kwun Tong Disciplined Services Quarters,Kwun Tong,,412,
1,"Ping Oi House, Ping Yan Court",Yuen Long,,413,
2,"8 Glee Path, Mei Foo Sun Chuen",Sham Shui Po,,414,
3,Kwun Hei Court,Kowloon City,,415,
4,The Kimberley Hotel,Yau Tsim Mong,,415,
5,Best Western Plus Hotel,Yau Tsim Mong,,415,
6,Nam Wa Po,Tai Po,,416,
7,Blessings Garden,Central & Western,,417,
8,"Block B, Oriental Gardens",Yau Tsim Mong,,418,
9,Metropark Hotel Causeway Bay Hong Kong,Wan Chai,,419,
10,Happy Valley 88,Wan Chai,,420,
11,Sunpeace Court,Yau Tsim Mong,,421,
12,Gold Mine Building,Eastern,,422,
13,Haven Court,Wan Chai,,423,
14,"Tower 6, Caribbean Coast",Islands,,424,
15,19 Lai Chi Kok Road,Yau Tsim Mong,,428,
16,"Block 6, South Horizons, Ap Lei Chau",Southern,,429,
17,"Tower 2, One Silversea",Yau Tsim Mong,,430,
18,"Ching Chak House, Ching Ho Estate",North,,431,
19,"Yee Hing Building, 357 Hennessy Road",Wan Chai,,432,
20,Hang Shun Mansions,Wan Chai,,432,
21,Hang Shun Mansions,Wan Chai,,433,
22,Hang Shun Mansions,Wan Chai,,434,
23,The Harbourview,Central & Western,,435,
24,"Heng Lai House, Tin Heng Estate",Yuen Long,,436,
25,"Tower 5, One Homantin",Kowloon City,,437,
26,St Paul’s Terrace,Central & Western,,438,
27,Villa Castell,Tai Po,,439,
28,Hang Shun Mansions,Wan Chai,,440,
29,Rosewood Hong Kong,Yau Tsim Mong,,441,
30,"Cheuk Wah House, Hing Wah (I) Estate",Eastern,,442,
31,Tai Lung House,Eastern,,444,
32,"Tower 6, The Latitude",Wong Tai Sin,,446,
33,"Chiu Man House, Oi Man Estate",Kowloon City,,447,
34,"Tower 6, Nan Fung Plaza",Sai Kung,,448,
35,280 Ki Lung Street,Sham Shui Po,,450,
36,379 Queen’s Road Central,Central & Western,,451,
37,8 Mercer Street,Central & Western,,452,
38,18 Eastern Street,Central & Western,,453,
39,"Lee Yip House, Shun Lee Estate",Kwun Tong,,454,
40,Yan Sau Wai,Yuen Long,,455,
41,"Sau Wah House, Sau Mau Ping Estate",Kwun Tong,,458,
42,Shining Heights,Yau Tsim Mong,,459,
43,"Tower 9, Metro City Phase 2",Sai Kung,,460,
44,"Twilight Court, Peninsula Village",Islands,,461,
45,"Block A, Hyde Towers",Kwun Tong,,462,
46,"Block B, Abba House",Southern,,463,
47,Scholastic Garden,Central & Western,,464,
48,8 Kennedy Road,Central & Western,,465,
49,"Block 4, Sun Yuen Long Centre",Yuen Long,,466,
50,"Block A, Elm Tree Towers",Wan Chai,,467,
51,"Block 2, Villas Sorrento",Central & Western,,468,
52,OZO Wesley Hong Kong,Wan Chai,,469,
53,YMCA,Yau Tsim Mong,,470,
54,"Block 2, Sun Tuen Mun Centre",Tuen Mun,,471,
55,"Tower 2, Solaria",Tai Po,,472,
56,392 Reclamation Street,Yau Tsim Mong,,473,
57,The Luxe Manor,Yau Tsim Mong,,474,
58,The Palisades,Sai Kung,,475,
59,57 South Bay Road,Southern,,476,
60,Yick Shing Mansion,Wan Chai,,477,
61,"5B, Wings At Sea, Lohas Park",Sai Kung,,478,
62,"Hoi Tsui Mansion, Riviera Gardens",Tsuen Wan,,480,
63,33 Kam Wa Street,Eastern,,481,
64,Dorsett Kwun Tong,Kwun Tong,,482,
65,Scenery Garden,Sha Tin,,483,
66,"Ching Ming House, Tsz Ching Estate",Wong Tai Sin,,484,
67,L’ Hotel Island South,Southern,,485,
68,Courtyard by Marriott Hong Kong Sha Tin,Sha Tin,,486,
69,OZO Wesley Hong Kong,Wan Chai,,487,
70,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,488,
71,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,489,
72,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,490,
73,"Block 14, Richland Gardens",Kwun Tong,,491,
74,"Block 8, Tierra Verde",Kwai Tsing,,492,
75,"Block 3, Charming Garden",Yau Tsim Mong,,493,
76,Super Tower,Sham Shui Po,,494,
77,"Hin Yeung House, Hin Keng Estate",Sha Tin,,495,
78,Kam Fung Building,Southern,,496,
79,Willie Court,Yau Tsim Mong,,497,
80,Tsim Sha Tsui Mansion,Yau Tsim Mong,,498,
81,Kensington Plaza,Yau Tsim Mong,,499,
82,"Block 33, Heng Fa Chuen",Eastern,,500,
83,Hang Shun Mansions,Wan Chai,,501,
84,"Block 3, Chelsea Heights",Tuen Mun,,504,
85,"Block 2, Castello",Sha Tin,,507,
86,"Block CD, 142 Pokfulam Road",Southern,,508,
87,Hing Lee Building,Kowloon City,,509,
88,"Wai Sum House, Lung Hang Estate",Sha Tin,,510,
89,"2B, Park Yoho",Yuen Long,,511,
90,Wai Ching Mansion,Yau Tsim Mong,,512,
91,310-312 Hennessy Road,Wan Chai,,513,
92,"Tower 3, Mantin Heights",Kowloon City,,514,
93,"Block A, Hyde Tower",Kwun Tong,,515,
