,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號,相關確診/疑似/個案編號
0,黃大仙,啟德花園 2座,,,275
1,灣仔,恆信大廈,,,276
2,灣仔,謝斐道 307號,,,277
3,灣仔,Tagus Residences,,,278
4,離島,寶峰寶琳閣,,,279
5,中西區,太極軒 120,,,281
6,中西區,荷李活道 208號,,,282
7,南區,如心南灣海景酒店,,,283
8,沙田,海柏花園 6座,,,284
9,油尖旺,浪澄灣 7座,,,285
10,西貢,北港㘭路,,,286
11,荃灣,樂悠居,,,287
12,葵青,青衣長安邨安海樓,,,287
13,東區,和富中心 6座,,,288
14,東區,鯉景灣安曉閣,,,289
15,南區,奧華·時尚精品酒店,,,290
16,南區,龍德苑晉德閣,,,291
17,灣仔,香港珀麗酒店,,,292
18,灣仔,萬茂苑,,,293
19,荃灣,環宇海灣 1座,,,295
20,北區,粉嶺圍南,,,296
21,東區,華美達盛景酒店,,,297
22,北區,華明邨禮明樓,,,298
23,九龍城,海韻軒 3座,,,299
24,油尖旺,九龍珀麗酒店,,,300
25,沙田,廣林苑馥林閣,,,301
26,沙田,香港體育學院精英運動員宿舍,,,302
27,東區,東霖苑,,,"303, 304"
0,東區,筲箕灣道 191-193號,,,306
1,觀塘,德田邨德瑞樓,,,308
2,灣仔,鳳輝臺蔚雲閣,,,309
3,中西區,駿豪閣,,,310
4,九龍城,鶴齡街 8號,,,311
5,葵青,葵康苑葵逸閣,,,312
6,油尖旺,麗東大廈,,,313
7,深水埗,怡閣苑怡泰閣,,,314
8,中西區,威勝大廈,,,315
9,南區,數碼港艾美酒店,,,316
10,西貢,匡湖居,,,317
11,南區,AQUA 33 四座,,,318
12,中西區,羲皇臺 8座,,,319
13,屯門,漣山,,,320
14,離島,諾富特東薈城酒店,,,321
15,九龍城,施他佛道 25號,,,322
16,油尖旺,君頤峰 6座,,,323
17,油尖旺,九龍珀麗酒店,,,324
18,中西區,聯邦花園維也納閣,,,325
19,南區,曼克頓花園 D座,,,326
20,中西區,曉峰閣 1座,,,327
21,離島,昇薈 10座,,,328
22,大埔,大埔中心 4期 8座,,,332
23,油尖旺,太子道西 207號加多利大廈,,,333
24,東區,賽西湖大廈,,,334
25,油尖旺,香港華麗酒店,,,335
26,九龍城,窩打老道 152號,,,336
27,葵青,美寧大廈,,,337
28,葵青,葵涌邨秋葵樓,,,338
29,東區,西灣河東熹苑華熹閣,,,339
30,西貢,西貢逸瓏海匯 1座,,,339
31,東區,柴灣小西灣邨瑞發樓,,,340
32,灣仔,跑馬地樂活道 38號,,,341
0,南區,鴨脷洲利東邨東業樓,,,342
1,東區,北角灝美旅舍,,,342
2,灣仔,灣仔香島大廈,,,343
3,西貢,新都城第一期 4座,,,344
4,中西區,半山寶雲山莊,,,345
5,灣仔,寶明大廈,,,346
6,沙田,雅典居 7座,,,347
7,東區,富景花園 3座,,,348
8,沙田,耀安邨耀遜樓,,,349
9,大埔,江庫雅苑 10座,,,350
10,大埔,江庫雅苑 10座,,,351
11,西貢,西沙路西徑村,,,352
12,觀塘,觀塘帝盛酒店,,,353
13,中西區,荷李活道 53號,,,354
14,沙田,駿景園 11座,,,從日本回港(鑽石公主號)
15,中西區,澤安閣,,,從日本回港(鑽石公主號)
16,東區,太古城金山閣,,,358
17,九龍城,施他佛道,,,359
18,中西區,皇后大道西 312號,,,360
19,中西區,瑧璈,,,361
20,中西區,金谷大廈,,,362
21,南區,曼克頓花園 C座,,,363
22,沙田,富豪花園翡翠閣,,,366
23,中西區,金谷大廈,,,367
24,中西區,香港四季酒店,,,"368,369"
25,中西區,平安里 1號,,,370
26,離島,滿東邨滿和樓,,,371
27,南區,海怡半島 12座,,,372
28,灣仔,星港大廈,,,373
29,南區,碧瑤灣 25座,,,374
30,中西區,威勝大廈,,,375
31,大埔,新屋家,,,377
32,中西區,匯賢居,,,378
0,九龍城,牛津道 1號,,,379
1,東區,明園西街 6號,,,380
2,西貢,匡湖居,,,381
3,大埔,新達廣場 3座,,,383
4,灣仔,恆信大廈,,,384
5,西貢,廣明苑廣昌閣,,,385
6,離島,銀灣邨銀月樓,,,386
7,灣仔,恆信大廈,,,387
8,西貢,景林邨景棉樓,,,388
9,灣仔,波斯富大廈,,,389
10,灣仔,香港珀麗酒店,,,390
11,灣仔,鳳輝臺 1A號,,,391
12,離島,大浪灣村,,,392
13,大埔,康樂東路,,,393
14,元朗,富盛大廈,,,394
15,屯門,青磚圍雍景園,,,395
16,離島,香港愉景灣酒店,,,396
17,葵青,盈翠半島 8座,,,397
18,荃灣,荃灣帝盛酒店,,,398
19,屯門,順風圍,,,399
20,油尖旺,香港金域假日酒店,,,400
21,油尖旺,香港金域假日酒店,,,401
22,中西區,威利大廈,,,402
23,灣仔,雅栢苑 A座,,,403
24,灣仔,雅栢苑 A座,,,404
25,九龍城,海逸豪園 16座,,,405
26,南區,旭逸居 2座,,,406
27,東區,嘉亨灣 1座,,,407
28,北區,料壆村 12巷,,,408
29,油尖旺,維港灣 6座,,,409
30,中西區,半山干德道 52號,,,410
31,屯門,屯門新墟村,,,411
32,觀塘,觀塘紀律部隊宿舍,,,412
0,元朗,屏欣苑屏愛閣,,,413
1,深水埗,美孚新邨吉利徑 8號,,,414
2,九龍城,冠熹苑,,,415
3,油尖旺,尖沙咀君怡酒店,,,415
4,油尖旺,最佳盛品酒店,,,415
5,大埔,南華莆,,,416
6,中西區,殷樺花園,,,417
7,油尖旺,東方花園 B座,,,418
8,灣仔,香港銅鑼灣維景酒店,,,419
9,灣仔,Happy Valley 88,,,420
10,油尖旺,日和閣,,,421
11,東區,金源洋樓,,,422
12,灣仔,希雲大廈,,,423
13,離島,映灣園 6座,,,424
14,油尖旺,荔枝角道 19號,,,428
15,南區,鴨脷洲海怡半島 6座,,,429
16,油尖旺,一號銀海 2座,,,430
17,北區,清河邨清澤樓,,,431
18,灣仔,軒尼詩道 357號宜興樓,,,432
19,灣仔,恆信大廈,,,432
20,灣仔,恆信大廈,,,433
21,灣仔,恆信大廈,,,434
22,中西區,港景別墅,,,435
23,元朗,天恒邨恒麗樓,,,436
24,九龍城,One Homantin 5座,,,437
25,中西區,菁英臺,,,438
26,大埔,新翠山莊,,,439
27,灣仔,恆信大廈,,,440
28,油尖旺,香港瑰麗酒店,,,441
29,東區,興華(一)邨卓華樓,,,442
30,東區,太隆樓,,,444
31,黃大仙,譽港灣 6座,,,446
32,九龍城,愛民邨昭民樓,,,447
0,西貢,南豐廣場 6座,,,448
1,深水埗,基隆街 280號,,,450
2,中西區,皇后大道中 379號,,,451
3,中西區,孖沙街 8號,,,452
4,中西區,東街 18號,,,453
5,觀塘,順利邨利業樓,,,454
6,元朗,仁壽圍,,,455
7,觀塘,秀茂坪邨秀華樓,,,458
8,油尖旺,亮賢居,,,459
9,西貢,新都城第二期九座,,,460
10,離島,蘅峰曦欣閣,,,461
11,觀塘,凱德大廈 A座,,,462
12,南區,福群大樓 B座,,,463
13,中西區,俊傑花園,,,464
14,中西區,堅尼地道 8號,,,465
15,元朗,新元朗中心第 4座,,,466
16,灣仔,愉富大廈 A座,,,467
17,中西區,御海園 2座,,,468
18,灣仔,香港遨舍衛蘭軒,,,469
19,油尖旺,香港基督教青年會,,,470
20,屯門,新屯門中心 2座,,,471
21,大埔,嘉熙 2座,,,472
22,油尖旺,新填地街 392號,,,473
23,油尖旺,帝樂文娜公館,,,474
24,西貢,海逸居,,,475
25,南區,南灣道 57號,,,476
26,灣仔,益誠樓,,,477
27,西貢,日出康城晉海 5B,,,478
28,荃灣,海濱花園海翠閣,,,480
29,東區,金華街 33號,,,481
30,觀塘,觀塘帝盛酒店,,,482
31,沙田,豐景花園,,,483
32,黃大仙,慈正邨正明樓,,,484
0,南區,如心南灣海景酒店,,,485
1,沙田,香港沙田萬怡酒店,,,486
2,灣仔,香港遨舍衛蘭軒,,,487
3,觀塘,曉麗苑曉天閣,,,488
4,觀塘,曉麗苑曉天閣,,,489
5,元朗,嘉湖山莊樂湖居 4座,,,490
6,觀塘,麗晶花園 14座,,,491
7,葵青,盈翠半島 8座,,,492
8,油尖旺,富榮花園 3座,,,493
9,深水埗,高雲閣,,,494
10,沙田,顯徑邨顯揚樓,,,495
11,南區,金豐大廈,,,496
12,油尖旺,偉利閣,,,497
13,油尖旺,華源大廈,,,498
14,油尖旺,金威廣場,,,499
15,東區,杏花邨 33座,,,500
16,灣仔,恆信大廈,,,501
17,屯門,卓爾居 3座,,,504
18,沙田,帝堡城 2座,,,507
19,南區,薄扶林道 142號 CD座,,,508
20,九龍城,興利大廈,,,509
21,沙田,隆亨邨慧心樓,,,510
22,元朗,峻巒 2B,,,511
23,油尖旺,偉成大廈,,,512
24,灣仔,軒尼詩道 310至 312號,,,513
25,九龍城,皓畋三座,,,514
26,觀塘,凱德大廈 A座,,,515
27,油尖旺,渡船街 319號順興大廈,,,516
28,深水埗,基隆街 280號,,,517
29,觀塘,德福花園 Q2座,,,518
30,油尖旺,彌敦道 315號,,,519
31,油尖旺,漾日居 3座,,,520
32,中西區,聚賢居 2座,,,522
0,中西區,聚賢居 2座,,,523
1,灣仔,嘉易大廈,,,524
2,灣仔,駱克道 238-240號,,,525
3,葵青,葵涌邨綠葵樓,,,526
4,灣仔,驊宅,,,528
5,油尖旺,海景大廈,,,529
6,油尖旺,長樂街 22號,,,531
7,葵青,荃灣絲麗酒店,,,532
8,南區,石排灣邨碧山樓,,,533
9,東區,福昌樓,,,534
10,中西區,歌賦街 32號,,,535
11,灣仔,金禧大廈,,,536
12,中西區,Ardshiel,,,537
13,沙田,嵐岸 6座,,,538
14,沙田,錦英苑 E座,,,539
15,中西區,香港華美達海景酒店,,,540
16,西貢,澳貝村,,,541
17,中西區,漢寧大廈,,,542
18,中西區,德輔道西 217號,,,543
19,中西區,福利別墅,,,544
20,觀塘,君立酒店,,,545
21,元朗,喜利大廈,,,546
22,北區,凱榮路,,,547
23,中西區,豫苑,,,548
24,屯門,寶怡花園 2座,,,549
25,九龍城,佛光街 30號,,,550
26,九龍城,紅樂道 12號,,,551
27,大埔,下坑村,,,552
28,東區,和富中心 1座,,,553
29,油尖旺,旺角智選假日酒店,,,554
30,中西區,輝鴻閣,,,555
31,中西區,華麗都會酒店,,,556
32,灣仔,灣仔帝盛酒店,,,557
0,沙田,玖瓏山,,,558
1,九龍城,大夫第 A座,,,559
2,中西區,香港華美達海景酒店,,,560
3,屯門,海典軒,,,561
4,西貢,富康花園 4座,,,562
5,中西區,輝煌臺,,,563
6,中西區,學士臺 2座,,,564
7,沙田,帝堡城 2座,,,565
8,中西區,列堤頓道 32號,,,566
9,油尖旺,基隆街 101號,,,567
10,東區,杏花邨 41座,,,568
11,西貢,日出康城領凱 10座,,,569
12,黃大仙,星河名居 E座,,,570
13,南區,松苑,,,571
14,觀塘,康利苑 1座,,,572
15,沙田,盛薈 5座,,,573
16,西貢,怡明邨怡茵樓,,,574
