,Building name,District,Last date of visitby any of theinvolved case(s),Related confirmed /probable cases,Related confirmed / probablecase number
0,"Block 2, Kai Tak Garden",Wong Tai Sin,,,275
1,Hang Shun Mansions,Wan Chai,,,276
2,307 Jaffe Road,Wan Chai,,,277
3,Tagus Residences,Wan Chai,,,278
4,"Woodland Court, Parkvale Village",Islands,,,279
5,Chi Residences 120,Central & Western,,,281
6,208 Hollywood Road,Central & Western,,,282
7,L'Hoel Island South,Southern,,,283
8,"Block 6, Bayshore Towers",Sha Tin,,,284
9,"Tower 7, The Long Beach",Yau Tsim Mong,,,285
10,Pak Kong Au Road,Sai Kung,,,286
11,Indi Home,Tsuen Wan,,,287
12,"On Hoi House, Cheung On Estate",Kwai Tsing,,,287
13,"Block 6, Provident Centre",Eastern,,,288
14,"On Hiu Mansion, Lei King Wan",Eastern,,,289
15,Ovolo Southside,Southern,,,290
16,"Chun Tak House, Lung Tak Court",Southern,,,291
17,Rosedale Hotel Hong Kong,Wan Chai,,,292
18,Monmouth Villa,Wan Chai,,,293
19,"Block 1, City Point",Tsuen Wan,,,295
20,Fanling Wai South,North,,,296
21,Ramada Hong Kong Grand View,Eastern,,,297
22,"Lai Ming House, Wah Ming Estate",North,,,298
23,"Tower 3, Harbour View Horizon Hotel",Kowloon City,,,299
24,Rosedale Hotel Kowloon,Yau Tsim Mong,,,300
25,"Fook Lam House, Kwong Lam Court",Sha Tin,,,301
0,Athlete's Hostel in HK Sports Institues,Sha Tin,,,302
1,Tung Lam Court,Eastern,,,"303, 304"
2,191-193 Shau Kei Wan Road,Eastern,,,306
3,"Tak Shui House, Tak Tin Estate",Kwun Tong,,,308
4,"Celeste Court, Fung Fai Terrace",Wan Chai,,,309
5,Valiant Park,Central & Western,,,310
6,8 Hok Ling Street,Kowloon City,,,311
7,"Kwai Yat House, Kwai Hong Court",Kwai Tsing,,,312
8,Lyton Building,Yau Tsim Mong,,,313
9,"Yee Tai House, Yee Kok Court",Sham Shui Po,,,314
10,Wise Mansion,Central & Western,,,315
11,Le Meridien Cyberport,Southern,,,316
12,Marina Cove,Sai Kung,,,317
13,"Block 4, Aqua 33",Southern,,,318
14,"Block 8, Hee Wong Terrace",Central &Western,,,319
15,The Hillgrove,Tuen Mun,,,320
16,Novotel Citygate Hong Kong,Islands,,,321
17,25 Stafford Road,Kowloon City,,,322
18,"Block 6, Parc Palais",Yau Tsim Mong,,,323
19,Rosedale Hotel Kowloon,Yau Tsim Mong,,,324
20,"Vienna Court, Realty Gardens",Central &Western,,,325
21,"Block D, The Manhattan",Southern,,,326
22,"Tower 1, Hillsborough Court",Central & Western,,,327
23,"Tower 10, the Visionary",Islands,,,328
24,"Block 8, Phase 4, Tai Po Centre",Tai Po,,,332
25,"Kadoorie Avenue Mansion, 207 PrinceEdward Road West",Yau Tsim Mong,,,333
26,Braemar Hill Mansions,Eastern,,,334
27,Best Western Grand Hotel Hong Kong,Yau Tsim Mong,,,335
28,152 Waterloo Road,Kowloon City,,,336
29,Mai Ning Building,Kwai Tsing,,,337
30,"Chau Kwai House, Kwai Chung Estate",Kwai Tsing,,,338
0,"Wah Hei House, Tung Hei Court, Sai Wan Ho",Eastern,,,339
1,"Block 1, Park Mediterranean, Sai Kung",Sai Kung,,,339
2,"Sui Fat House, Siu Sai Wan Estate, Chai Wan",Eastern,,,340
3,"38 Broadwood Road, Happy Valley",Wan Chai,,,341
4,"Tung Yip House, Lei Tung Estate, Ap LeiChau",Southern,,,342
5,"Stayed in Homy Inn, North Point",Eastern,,,342
6,"Island Building, Wan Chai",Wan Chai,,,343
7,"Tower 4, Metro City Phase 1",Sai Kung,,,344
8,"Fairlane Tower, Mid-levels",Central & Western,,,345
9,Po Ming Building,Wan Chai,,,346
10,"Block 7, Villa Athena",Sha Tin,,,347
11,"Block 3, Fullview Garden",Eastern,,,348
12,"Yiu Shun House, Yiu On Estate",Sha Tin,,,349
13,"Block 10, Treasure Spot Palace",Tai Po,,,350
14,"Block 10, Treasure Spot Palace",Tai Po,,,351
15,"Sai Keng Village, Sai Sha Road",Sai Kung,,,352
16,Dorsett Kwun Tong,Kwun Tong,,,353
17,53 Hollywood Road,Central & Western,,,354
18,Block 11 Royal Ascot,Sha Tin,,,Returning from Japan(Diamond Princess cruise)
19,Chester Court,Central & Western,,,Returning from Japan(Diamond Princess cruise)
20,"Kam Shan Mansion, Taikoo Shing",Eastern,,,358
21,Stafford Road,Kowloon City,,,359
22,312 Queen's Road West,Central & Western,,,360
23,Bohemian House,Central & Western,,,361
24,Golden Valley Mansion,Central & Western,,,362
25,"Block C, The Manhattan",Southern,,,363
26,"Jade Heights, Belair Gardens",Sha Tin,,,366
27,Golden Valley Mansion,Central & Western,,,367
28,Four Seasons Hotel Hong Kong,Central & Western,,,"368, 369"
29,1 Ping On Lane,Central & Western,,,370
0,"Mun Wo House, Mun Tung Estate",Islands,,,371
1,"Block 12, South Horizons",Southern,,,372
2,Sing Kong Building,Wan Chai,,,373
3,"Block 25, Baguio Villa",Southern,,,374
4,Wise Mansion,Central & Western,,,375
5,San Uk Ka,Tai Po,,,377
6,Centre Place,Central & Western,,,378
7,1 Oxford Road,Kowloon City,,,379
8,6 Ming Yuen Western Street,Eastern,,,380
9,Marina Cove,Sai Kung,,,381
10,"Block 3, Uptown Plaza",Tai Po,,,383
11,Hang Shun Mansions,Wan Chai,,,384
12,"Kwong Cheong House, Kwong Ming Court",Sai Kung,,,385
13,"Ngan Yuet House, Ngan Wan Estate",Islands,,,386
14,Hang Shun Mansions,Wan Chai,,,387
15,"King Min House, King Lam Estate",Sai Kung,,,388
16,Percival House,Wan Chai,,,389
17,Rosedale Hotel Hong Kong,Wan Chai,,,390
18,1A Fung Fai Terrace,Wan Chai,,,391
19,Tai Long Wan Village,Islands,,,392
20,Hong Lok Road East,Tai Po,,,393
21,Full Shing Building,Yuen Long,,,394
22,"Yonking Garden, Tsing Chuen Wai",Tuen Mun,,,395
23,Auberge Discovery Bay Hong Kong,Islands,,,396
24,"Block 8, Tierra Verde",Kwai Tsing,,,397
25,Dorsett Tsuen Wan,Tsuen Wan,,,398
26,Sun Fung Wai,Tuen Mun,,,399
27,Holiday Inn Golden Mile,Yau Tsim Mong,,,400
28,Holiday Inn Golden Mile,Yau Tsim Mong,,,401
29,Welley Building,Central & Western,,,402
30,"Block A, Park Place",Wan Chai,,,403
0,"Block A, Park Place",Wan Chai,,,404
1,"Tower 16, Laguna Verde",Kowloon City,,,405
2,"Block 2, Stanford Villa",Southern,,,406
3,"Tower 1, Grand Promenade",Eastern,,,407
4,"Lane 12, Liu Pok Tsuen",North,,,408
5,"Tower 6, Island Harbourview",Yau Tsim Mong,,,409
6,52 Conduit Road,Central & Western,,,410
7,San Hui Village,Tuen Mun,,,411
8,Kwun Tong Disciplined Services Quarters,Kwun Tong,,,412
9,"Ping Oi House, Ping Yan Court",Yuen Long,,,413
10,"8 Glee Path, Mei Foo Sun Chuen",Sham Shui Po,,,414
11,Kwun Hei Court,Kowloon City,,,415
12,The Kimberley Hotel,Yau Tsim Mong,,,415
13,Best Western Plus Hotel,Yau Tsim Mong,,,415
14,Nam Wa Po,Tai Po,,,416
15,Blessings Garden,Central & Western,,,417
16,"Block B, Oriental Gardens",Yau Tsim Mong,,,418
17,Metropark Hotel Causeway Bay Hong Kong,Wan Chai,,,419
18,Happy Valley 88,Wan Chai,,,420
19,Sunpeace Court,Yau Tsim Mong,,,421
20,Gold Mine Building,Eastern,,,422
21,Haven Court,Wan Chai,,,423
22,"Tower 6, Caribbean Coast",Islands,,,424
23,19 Lai Chi Kok Road,Yau Tsim Mong,,,428
24,"Block 6, South Horizons, Ap Lei Chau",Southern,,,429
25,"Tower 2, One Silversea",Yau Tsim Mong,,,430
26,"Ching Chak House, Ching Ho Estate",North,,,431
27,"Yee Hing Building, 357 Hennessy Road",Wan Chai,,,432
28,Hang Shun Mansions,Wan Chai,,,432
29,Hang Shun Mansions,Wan Chai,,,433
30,Hang Shun Mansions,Wan Chai,,,434
0,The Harbourview,Central & Western,,,435
1,"Heng Lai House, Tin Heng Estate",Yuen Long,,,436
2,"Tower 5, One Homantin",Kowloon City,,,437
3,St Paul's Terrace,Central & Western,,,438
4,Villa Castell,Tai Po,,,439
5,Hang Shun Mansions,Wan Chai,,,440
6,Rosewood Hong Kong,Yau Tsim Mong,,,441
7,"Cheuk Wah House, Hing Wah (I) Estate",Eastern,,,442
