,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Kowloon City,Pearl Court,351,
1,Southern,Kam Fung Building,496,
2,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,557,
3,Wan Chai,The Park Lane Hong Kong,648,
4,Wan Chai,The Emperor Hotel,648,
5,Yau Tsim Mong,Royal Plaza Hotel,648,
6,Yuen Long,"Block 4, Locwood Court, Kingswood Villas",876,
7,Yau Tsim Mong,Prudential Hotel,949,
8,Yau Tsim Mong,Imperial Hotel,949,
9,Yau Tsim Mong,Best Western Plus Hotel Kowloon,949,
10,Central & Western,"Harmony Court, 127 Bonham Strand",968,
11,Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",1004,
12,North,Louver Mansion,1034,
13,Central & Western,3 Square Street,1035,
14,Wan Chai,The Ellipsis,1036,
15,Central & Western,Mandarin Oriental Hotel,1036,21/04/2020
16,Central & Western,the L. place,1036,21/04/2020
