,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Hung Fat House,Yuen Long,1712,
1,17 Tung Choi Street,Yau Tsim Mong,1715,
2,151 Kowloon City Road,Kowloon City,1716,
3,Kimberley Mansion,Yau Tsim Mong,1717,
4,Winfair Building,Wong Tai Sin,1718,
5,"Hong Tim House, Tsz Hong Estate",Wong Tai Sin,1719,
6,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1720,
7,Hayon Building,Yau Tsim Mong,1721,
8,"Pik Fung House, Fung Tak Estate",Wong Tai Sin,1722,
9,"Block 6, Whampoa Garden (Phase 4), Palm Mansions",Kowloon City,1723,
10,616 Reclamation Street,Yau Tsim Mong,1724,
11,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,1725,
12,"Toi Fung House, Fung Tak Estate",Wong Tai Sin,1726,
13,"Po Shing Mansion, 157-159 Kowloon City Road",Kowloon City,1727,
14,"Ching On House, Tsz Ching Estate",Wong Tai Sin,1728,
15,"Oi Ning House, Tsz Oi Court",Wong Tai Sin,1730,
16,"Sau Tai House, Fu Tai Estate",Tuen Mun,1731,
17,"Lai Yung House, Lai Tsui Court",Sham Shui Po,1732,
18,Wan Fung Building,Yau Tsim Mong,1733,
19,"King Yip House, Shan King Estate",Tuen Mun,1734,
20,"Pak Suet House, Choi Hung Estate",Wong Tai Sin,1735,
21,"Ching Tak House, Tsz Ching Estate",Wong Tai Sin,1736,
22,"Block 2, Kwai Fong Terrace",Kwai Tsing,1737,
23,"Block 2, Sceneway Garden",Kwun Tong,1738,
24,"Chong Tak Building, 37 Austin Road",Yau Tsim Mong,1739,
25,"Tao Yuan House, Chuk Yuen (North) Estate",Wong Tai Sin,1740,
26,"Block K, Sunshine City",Sha Tin,1741,
27,"Yung Lai House, Yau Lai Estate",Kwun Tong,1742,
28,"Block 5, Villa Tiara",Tuen Mun,1743,
29,"Oi Yan House, Tsz Oi Court",Wong Tai Sin,1744,
30,"Hing Tsui House, Hing Wah (1) Estate",Eastern,1745,
31,"Yuen Fat Building, 1-1E Nelson Street",Yau Tsim Mong,1746,
32,"Tak Lai House, Tak Tin Estate",Kwun Tong,1747,
33,"Block 3, Hill Top Gardens",Wong Tai Sin,1748,
34,"Block 26, Phase 4, South Horizons",Southern,1749,
35,"Kwai Yuen House, Chuk Yuen (South) Estate",Wong Tai Sin,1750,
36,"Yu Cheong House, Yu Ming Court",Sai Kung,1751,
37,"Block 6, Hill View Court",Sai Kung,1752,
38,"Mei King Mansion Phase 1, 2 Mei King Street",Kowloon City,1754,
39,"Man Tai House, Tsz Man Estate",Wong Tai Sin,1755,
40,"Oi Kan House, Tsz Oi Court",Wong Tai Sin,1756,
41,"San Po Kong Mansion, 2-32 Yin hing Street",Wong Tai Sin,1757,
42,"Sing San House, Choi Wan (I) Estate",Wong Tai Sin,1758,
43,"Wing Chun House, Wing Cheong Estate",Sham Shui Po,1759,
44,"Block 6, Palm Mansions, Whampoa Garden",Kowloon City,1760,
45,"On Yan House, Tsz On Court",Wong Tai Sin,1761,
46,"Ngan On House, Kam On Court",Sha Tin,1762,
47,"Tower 5, Goodview Garden",Tuen Mun,1763,
48,"Ching On House, Tsz Ching Estate",Wong Tai Sin,1764,
49,18 Whampoa Street,Kowloon City,1765,
50,"May Ming Mansion, 312 Nathan Road",Yau Tsim Mong,1766,
51,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,1767,
52,Anho House,Yau Tsim Mong,1768,
53,"Block 3, Hill Top Gardens",Wong Tai Sin,1769,
54,"Block 2, Grandway Garden",Sha Tin,1770,
55,"Chung Hing Building, 33 Chung Wui Street",Yau Tsim Mong,1771,
