,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Sham Shui Po,"Tsuen Shek House, 95-99 Cheung Sha Wan Road",10454,
1,Yau Tsim Mong,Majestic House,10455,
2,Kowloon City,"Block A, Loong King Mansion",10456,
3,Kowloon City,"Block A, Loong King Mansion",10457,
4,Kowloon City,Cheung Wan Building,10462,
5,Yuen Long,"Heng Lok House, Tin Heng Estate",10463,
6,Kwun Tong,"Chin Wah House, Lok Wah South Estate",10464,
7,Kowloon City,"Block 3, Harbourview Horizon Suites",10465,
8,Central & Western,"Tower 1, 63 Pok Fu Lam Road",10466,
9,Kowloon City,"Block 3, Harbourview Horizon Suites",10467,
10,Yau Tsim Mong,66-66A Parkes Street,10468,
11,Yau Tsim Mong,66-66A Parkes Street,10469,
12,Kowloon City,"Block 3, Harbourview Horizon Suites",10470,
13,Kowloon City,"Ka Yee Lau, Ka Wai Chuen",10472,
14,Kowloon City,"Ka Lei Lau, Ka Wai Chuen",10473,
15,Kowloon City,"Ka Yee Lau, Ka Wai Chuen",10474,
16,Kowloon City,"Tun Man House, Oi Man Estate",10475,
17,Kowloon City,"Ka Lei Lau, Ka Wai Chuen",10476,
18,Yau Tsim Mong,Majestic House,10477,
19,Kowloon City,"Tower 19, Laguna Verde",10479,
20,Eastern,Wiseman Building,10480,
21,Central & Western,Sing Fai Building,10481,
22,Kowloon City,"Yat Man House, Ho Man Tin Estate",10482,
23,Tsuen Wan,"Block R, Luk Yeung Sun Chuen",10483,
24,Tsuen Wan,"Block R, Luk Yeung Sun Chuen",10484,
25,Wong Tai Sin,"Chun Sing House, Tin Ma Court",10485,
26,Wong Tai Sin,"Kai Sin House, Upper Wong Tai Sin Estate",10486,
27,Yau Tsim Mong,Ramada Hong Kong Grand,10487,
28,Eastern,"May Wah House, Hing Wah (I) Estate",10488,
29,Central & Western,Yue Yee Mansion,10489,
30,Central & Western,Yue Yee Mansion,10490,
31,Wan Chai,The Emperor Hotel,10490,
32,Sha Tin,"Yiu Wo House, Yiu On Estate",10492,
33,Yau Tsim Mong,24 Cheong Lok Street,10493,
34,Kwai Tsing,"Kwai Foon House, Kwai Fong Estate",10494,
35,Yau Tsim Mong,24 Cheong Lok Street,10495,
36,Islands,Hong Kong SkyCity Marriott Hotel,10497,
37,Yau Tsim Mong,Man Wai Building,10498,
38,Yau Tsim Mong,74 Tai Nan Street,10499,
39,Yuen Long,"Yan Chak House, Tin Yan Estate",10500,
40,Yuen Long,"Yan Chak House, Tin Yan Estate",10501,
41,Yuen Long,Strong Sing Garden,10502,
42,Sham Shui Po,"Nam Ming House, Nam Shan Estate",10503,
43,Sai Kung,"Block 9, Beverly Garden",10504,
44,Kowloon City,31 Winslow Street,10505,
45,Yuen Long,Tong Tau Po Tsuen,10506,
46,Tuen Mun,"Block 3, Oi Fai House, Yau Oi Estate",10507,
47,Wong Tai Sin,"Choi Yip House, Choi Fai Estate",10508,
48,Wong Tai Sin,"Choi Yip House, Choi Fai Estate",10509,
49,Wong Tai Sin,"Choi Yip House, Choi Fai Estate",10510,
50,Southern,Le Palais,10512,
51,Wan Chai,8 Stone Nullah Lane,10513,
52,Kowloon City,Fu Yip Building,10514,
53,Kowloon City,Fu Yip Building,10515,
54,Kowloon City,"Tower 19, Laguna Verde",10516,
55,Wan Chai,"Block 1, Lei Wen Court",10517,
56,Wan Chai,8 Stone Nullah Lane,10520,
57,Sha Tin,"Block B, Lee Shau Kee Complex, The Hang Seng University of Hong Kong",10521,
58,Yau Tsim Mong,"Mandarin Court, 647-651 Shanghai Street",10522,
59,Yau Tsim Mong,24 Cheong Lok Street,10523,
60,Yau Tsim Mong,159 Reclamation Street,10524,
61,Yau Tsim Mong,9 Tung Choi Street,10525,
62,Central & Western,Carbo Mansion,10526,
63,Eastern,"Block E, Sky Scraper",10527,
64,Islands,"Ping Yat House, Yat Tung Estate",10528,
65,Eastern,"Block E, Sky Scraper",10529,
66,Southern,"Tower 21, Mei Chun Court, South Horizons",10530,
67,North,Po Sheung Tsuen,10531,
68,Islands,Hong Kong SkyCity Marriott Hotel,10533,
69,Sai Kung,"Block 4, Serenity Place",10534,
70,Sham Shui Po,"The Salvation Army Nam Shan Residence for Senior Citizens, Nam Shan Estate",10535,
71,Yau Tsim Mong,Man Ying Building,10536,
72,Kowloon City,Fu Yip Building,10537,
73,Kowloon City,Sung Oi Building,10538,
74,Central & Western,Carbo Mansion,10539,
75,Yuen Long,"Block 12, Kenswood Court",10540,
76,Yuen Long,"Block 1, Kenswood Court",10540,
77,Tuen Mun,"Block 3, Yuet Wu Villa",10541,
78,Sai Kung,"Block 4, Serenity Place",10543,
79,Sai Kung,"Wo Yat House, Wo Ming Court",10544,
80,Tai Po,Koon Nam House,10545,
81,Yuen Long,San Wai Tsuen,10546,
82,Yau Tsim Mong,14-16 Kimberley Street,10547,
83,Yau Tsim Mong,42-44 Temple Street,10548,
84,Yuen Long,San Wai Tsuen,10549,
85,Yuen Long,Wang Fung Building,10550,
86,Sha Tin,"Heng Kong House, Heng On Estate",10551,
87,Wan Chai,"Dorsett Wanchai, Hong Kong",10553,
88,Yau Tsim Mong,Austin Mansion,10554,
89,Sai Kung,"Wo Cheong House, Wo Ming Court",10557,
90,Kowloon City,Fu Yip Building,10558,
91,Yau Tsim Mong,42 Temple Street,10559,
92,Central & Western,Carbo Mansion,10561,
93,Yau Tsim Mong,42 Temple Street,10562,
94,Yau Tsim Mong,Man Ying Building,10563,
95,Tuen Mun,"Yin Tai House, Fu Tai Estate",10564,
96,Islands,Hong Kong SkyCity Marriott Hotel,10565,
97,Kowloon City,"Rose House, Ma Tau Wai Estate",10566,
98,Kowloon City,"Ming Fai House, Kwun Fai Court",10567,
99,Sai Kung,"Block 4, Serenity Place",10568,
100,Wong Tai Sin,"Pentahotel Hong Kong, Kowloon",10569,
101,Central & Western,Carbo Mansion,10570,
102,Central & Western,Carbo Mansion,10571,
103,Tuen Mun,"Tower 1, Goodview Garden",10573,
104,Tai Po,Wing Wo Building,10574,
105,Yau Tsim Mong,14-16 Kimberley Street,10575,
106,Yau Tsim Mong,Man Ying Building,10576,
107,Kowloon City,Wah Fat Building,10578,
108,Yau Tsim Mong,14-16 Kimberley Street,10579,
109,Yuen Long,"Block B, Fu Loy Garden",10580,
110,Islands,"Tower 9, Carmel Cove, Phase 3, Caribbean Coast",10581,
111,Tuen Mun,"Tower 9, Hong Kong Gold Coast",10582,
112,Yau Tsim Mong,Ka Po House,10583,
113,Yau Tsim Mong,Lei Ying Building,10584,
114,Yau Tsim Mong,"Mandarin Court, 647-651 Shanghai Street",10585,
115,Yuen Long,"San Wai Tsuen, San Tin",10586,
116,Yau Tsim Mong,Man Ying Building,10587,
117,Yau Tsim Mong,Man Ying Building,10588,
118,Yau Tsim Mong,Ka Po House,10589,
119,Central & Western,26 Queen's Road West,10590,
120,Central & Western,Lee On Mansion,10590,
121,Kowloon City,Wah Fat Building,10591,
122,Kowloon City,"Rose House, Ma Tau Wai Estate",10592,
123,Eastern,Wai Lee Building,10595,
124,Yuen Long,"Block 12, Kenswood Court, Kingswood Villas",10596,
125,Yuen Long,"Block 1, Kenswood Court, Kingswood Villas",10597,
126,Yuen Long,"Block 12, Kenswood Court, Kingswood Villas",10598,
127,Tai Po,"Tai Yee House, Tai Yuen Estate",10599,
128,North,Ma Shi Po West Tsuen,10600,
129,Kowloon City,Cheong Lok Mansion,10601,
130,Wan Chai,Best Western Hotel Causeway Bay,10602,
131,Kowloon City,Tak Lee Court,10603,
132,Yau Tsim Mong,"Mandarin Court, 647-651 Shanghai Street",10604,
133,Yuen Long,Maxwell House,10605,
134,Eastern,Wai Lee Building,10608,
135,Tuen Mun,"Mei Tai House, Fu Tai Estate",10609,
136,Kowloon City,Sung Oi Building,10610,
137,Kowloon City,Sung Oi Building,10611,
138,Yau Tsim Mong,"Mandarin Court, 647-651 Shanghai Street",10612,
139,Eastern,Wai Lee Building,10614,
140,Eastern,Wai Lee Building,10615,
141,Yuen Long,"Tower 2, Greenery Place",10616,
142,Yuen Long,"Block 1, Great Garden",10617,
143,Kwun Tong,"Ming Tai House, On Tai Estate",10618,
144,Tai Po,"Oi Wo House, Tai Wo Estate",10619,
145,Islands,"Tower 9 Carmel Cove, Caribbean Coast Phase 3",10620,
146,Islands,"Tower 9 Carmel Cove, Caribbean Coast Phase 3",10621,
147,Southern,"Mei Chun Court, South Horizons",10622,
148,Islands,"Tower 9 Carmel Cove, Caribbean Coast Phase 3",10623,
149,Central & Western,Lee On Mansion,10626,
150,Islands,"Ping Yat House, Yat Tung Estate",10627,
151,Yau Tsim Mong,Ramada Hong Kong Grand Hotel,10628,
152,Yuen Long,"Ping Tong Fa Yuen, Fui Sha Wai",10629,
153,Yau Tsim Mong,42 Temple Street,10630,
154,Tuen Mun,"Block 2, Kingston Terrace",10631,
155,Yuen Long,"Block 12, Kenswood Court",10632,
156,Kowloon City,3 Hung Wan Street,10632,
157,Kowloon City,Cheong Lok Mansion,10633,
158,Kwai Tsing,"Hong Cheung House, Cheung Hong Estate",10634,
159,Yau Tsim Mong,157-159 Reclamation Street,10635,
160,Tai Po,"Block 3, Grand Palisades",10636,
161,Yau Tsim Mong,"Mandarin Court, 647-651 Shanghai Street",10637,
162,Yau Tsim Mong,"Mandarin Court, 647-651 Shanghai Street",10640,
163,Yuen Long,Maxwell House,10641,
164,Yau Tsim Mong,"Mandarin Court, 647-651 Shanghai Street",10642,
165,Tai Po,"Oi Wo House, Tai Wo Estate",10643,
