,Building name,District,Last date of visitby any of theinvolved case(s),Related confirmed /probable cases,Related confirmed / probablecase number
13,"Yonking Garden, Tsing Chuen Wai",Tuen Mun,,,395
14,Auberge Discovery Bay Hong Kong,Islands,,,396
15,"Block 8, Tierra Verde",Kwai Tsing,,,397
16,Dorsett Tsuen Wan,Tsuen Wan,,,398
17,Sun Fung Wai,Tuen Mun,,,399
18,Holiday Inn Golden Mile,Yau Tsim Mong,,,400
19,Holiday Inn Golden Mile,Yau Tsim Mong,,,401
20,Welley Building,Central & Western,,,402
21,"Block A, Park Place",Wan Chai,,,403
22,"Block A, Park Place",Wan Chai,,,404
23,"Tower 16, Laguna Verde",Kowloon City,,,405
24,"Block 2, Stanford Villa",Southern,,,406
25,"Tower 1, Grand Promenade",Eastern,,,407
26,"Lane 12, Liu Pok Tsuen",North,,,408
27,"Tower 6, Island Harbourview",Yau Tsim Mong,,,409
28,52 Conduit Road,Central & Western,,,410
29,San Hui Village,Tuen Mun,,,411
30,Kwun Tong Disciplined Services Quarters,Kwun Tong,,,412
0,"Ping Oi House, Ping Yan Court",Yuen Long,,,413
1,"8 Glee Path, Mei Foo Sun Chuen",Sham Shui Po,,,414
2,Kwun Hei Court,Kowloon City,,,415
3,The Kimberley Hotel,Yau Tsim Mong,,,415
4,Best Western Plus Hotel,Yau Tsim Mong,,,415
5,Nam Wa Po,Tai Po,,,416
6,Blessings Garden,Central & Western,,,417
7,"Block B, Oriental Gardens",Yau Tsim Mong,,,418
8,Metropark Hotel Causeway Bay Hong Kong,Wan Chai,,,419
9,Happy Valley 88,Wan Chai,,,420
10,Sunpeace Court,Yau Tsim Mong,,,421
11,Gold Mine Building,Eastern,,,422
12,Haven Court,Wan Chai,,,423
13,"Tower 6, Caribbean Coast",Islands,,,424
14,19 Lai Chi Kok Road,Yau Tsim Mong,,,428
15,"Block 6, South Horizons, Ap Lei Chau",Southern,,,429
16,"Tower 2, One Silversea",Yau Tsim Mong,,,430
17,"Ching Chak House, Ching Ho Estate",North,,,431
18,"Yee Hing Building, 357 Hennessy Road",Wan Chai,,,432
19,Hang Shun Mansions,Wan Chai,,,432
20,Hang Shun Mansions,Wan Chai,,,433
21,Hang Shun Mansions,Wan Chai,,,434
22,The Harbourview,Central & Western,,,435
23,"Heng Lai House, Tin Heng Estate",Yuen Long,,,436
24,"Tower 5, One Homantin",Kowloon City,,,437
25,St Paul’s Terrace,Central & Western,,,438
26,Villa Castell,Tai Po,,,439
27,Hang Shun Mansions,Wan Chai,,,440
28,Rosewood Hong Kong,Yau Tsim Mong,,,441
29,"Cheuk Wah House, Hing Wah (I) Estate",Eastern,,,442
30,Tai Lung House,Eastern,,,444
0,"Tower 6, The Latitude",Wong Tai Sin,,,446
1,"Chiu Man House, Oi Man Estate",Kowloon City,,,447
2,"Tower 6, Nan Fung Plaza",Sai Kung,,,448
3,280 Ki Lung Street,Sham Shui Po,,,450
4,379 Queen’s Road Central,Central & Western,,,451
5,8 Mercer Street,Central & Western,,,452
6,18 Eastern Street,Central & Western,,,453
7,"Lee Yip House, Shun Lee Estate",Kwun Tong,,,454
8,Yan Sau Wai,Yuen Long,,,455
9,"Sau Wah House, Sau Mau Ping Estate",Kwun Tong,,,458
10,Shining Heights,Yau Tsim Mong,,,459
11,"Tower 9, Metro City Phase 2",Sai Kung,,,460
12,"Twilight Court, Peninsula Village",Islands,,,461
13,"Block A, Hyde Towers",Kwun Tong,,,462
14,"Block B, Abba House",Southern,,,463
15,Scholastic Garden,Central & Western,,,464
16,8 Kennedy Road,Central & Western,,,465
17,"Block 4, Sun Yuen Long Centre",Yuen Long,,,466
18,"Block A, Elm Tree Towers",Wan Chai,,,467
19,"Block 2, Villas Sorrento",Central & Western,,,468
20,OZO Wesley Hong Kong,Wan Chai,,,469
21,YMCA,Yau Tsim Mong,,,470
22,"Block 2, Sun Tuen Mun Centre",Tuen Mun,,,471
23,"Tower 2, Solaria",Tai Po,,,472
24,392 Reclamation Street,Yau Tsim Mong,,,473
25,The Luxe Manor,Yau Tsim Mong,,,474
26,The Palisades,Sai Kung,,,475
27,57 South Bay Road,Southern,,,476
28,Yick Shing Mansion,Wan Chai,,,477
29,"5B, Wings At Sea, Lohas Park",Sai Kung,,,478
30,"Hoi Tsui Mansion, Riviera Gardens",Tsuen Wan,,,480
0,33 Kam Wa Street,Eastern,,,481
1,Dorsett Kwun Tong,Kwun Tong,,,482
2,Scenery Garden,Sha Tin,,,483
3,"Ching Ming House, Tsz Ching Estate",Wong Tai Sin,,,484
4,L’ Hotel Island South,Southern,,,485
5,Courtyard by Marriott Hong Kong Sha Tin,Sha Tin,,,486
6,OZO Wesley Hong Kong,Wan Chai,,,487
7,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,,488
8,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,,489
9,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,,490
10,"Block 14, Richland Gardens",Kwun Tong,,,491
11,"Block 8, Tierra Verde",Kwai Tsing,,,492
12,"Block 3, Charming Garden",Yau Tsim Mong,,,493
13,Super Tower,Sham Shui Po,,,494
14,"Hin Yeung House, Hin Keng Estate",Sha Tin,,,495
15,Kam Fung Building,Southern,,,496
16,Willie Court,Yau Tsim Mong,,,497
17,Tsim Sha Tsui Mansion,Yau Tsim Mong,,,498
18,Kensington Plaza,Yau Tsim Mong,,,499
19,"Block 33, Heng Fa Chuen",Eastern,,,500
20,Hang Shun Mansions,Wan Chai,,,501
21,"Block 3, Chelsea Heights",Tuen Mun,,,504
22,"Block 2, Castello",Sha Tin,,,507
23,"Block CD, 142 Pokfulam Road",Southern,,,508
24,Hing Lee Building,Kowloon City,,,509
25,"Wai Sum House, Lung Hang Estate",Sha Tin,,,510
26,"2B, Park Yoho",Yuen Long,,,511
27,Wai Ching Mansion,Yau Tsim Mong,,,512
28,310-312 Hennessy Road,Wan Chai,,,513
29,"Tower 3, Mantin Heights",Kowloon City,,,514
30,"Block A, Hyde Tower",Kwun Tong,,,515
0,Shun Hing Building,Yau Tsim Mong,,,516
1,280 Ki Lung Street,Sham Shui Po,,,517
2,Telford Gardens Block Q2,Kwun Tong,,,518
3,315 Nathan Road,Yau Tsim Mong,,,519
4,"Tower 3, Waterfront",Yau Tsim Mong,,,520
5,"Tower 2, Centrestage",Central & Western,,,522
6,"Tower 2, Centrestage",Central & Western,,,523
7,Ka Yee Building,Wan Chai,,,524
8,238-240 Lockhart Road,Wan Chai,,,525
9,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,,526
10,Queen’s Cube,Wan Chai,,,528
11,Ocean View Court,Yau Tsim Mong,,,529
12,22 Cheong Lok Street,Yau Tsim Mong,,,531
13,Silka Tsuen Wan Hotel,Kwai Tsing,,,532
14,"Pik Shan House, Shek Pai Wan Estate",Southern,,,533
15,Fok Cheong Building,Eastern,,,534
16,32 Gough Street,Central & Western,,,535
17,Golden Jubilee House,Wan Chai,,,536
18,Ardshiel,Central & Western,,,537
19,Sausalito Tower 6,Sha Tin,,,538
20,"Block E, Kam Ying Court",Sha Tin,,,539
21,Ramada Hong Kong Harbour View Hotel,Central & Western,,,540
22,O Pui Village,Sai Kung,,,541
23,Honiton Building,Central & Western,,,542
24,217 Des Voeux Road West,Central & Western,,,543
25,Felix Villas,Central & Western,,,544
26,Camlux Hotel,Kwun Tong,,,545
27,Healey Building,Yuen Long,,,546
28,Hai Wing Road,North,,,547
29,Euston Court,Central & Western,,,548
30,"Block 2, Blossom Garden",Tuen Mun,,,549
0,30 Fat Kwong Street,Kowloon City,,,550
1,12 Hung Lok Road,Kowloon City,,,551
2,Ha Hang Village,Tai Po,,,552
3,"Block 1, Provident Centre",Eastern,,,553
4,Holiday Inn Express Hong Kong Mongkok,Yau Tsim Mong,,,554
5,Excelsior Court,Central & Western,,,555
6,Grand City Hotel,Central & Western,,,556
7,Dorsett Wanchai,Wan Chai,,,557
8,Dragons Range,Sha Tin,,,558
9,"Block A, The Dahfuldy",Kowloon City,,,559
10,Ramada Hong Kong Harbour View Hotel,Central & Western,,,560
11,Oceania Heights,Tuen Mun,,,561
12,"Block 4, Beverly Garden",Sai Kung,,,562
13,Fairview Height,Central & Western,,,563
14,"Block 2, Academic Terrace",Central & Western,,,564
15,"Block 2, The Castello",Sha Tin,,,565
16,32 Lyttelton Road,Central & Western,,,566
17,101 Ki Lung Street,Yau Tsim Mong,,,567
18,"Block 41, Heng Fa Chuen",Eastern,,,568
19,"Tower 10, La Splendeur Tower, Lohas Park",Sai Kung,,,569
20,"Block E, Galaxia",Wong Tai Sin,,,570
21,Pine Crest,Southern,,,571
22,"Block 1, Hong Lee Court",Kwun Tong,,,572
23,"Tower 5, Festival City II",Sha Tin,,,573
24,"Yee Yan House, Yee Ming Estate",Sai Kung,,,574
25,48 Kennedy Road,Central & Western,,,575
26,Golden Valley Mansion,Central & Western,,,576
27,Golden Valley Mansion,Central & Western,,,577
28,Golden Valley Mansion,Central & Western,,,578
29,Golden Valley Mansion,Central & Western,,,579
30,"Hing Shing House, Tai Hing Estate",Tuen Mun,,,580
0,"Siu Fu House, Siu Kwai Court",Tuen Mun,,,581
1,"Block 4, Provident Centre",Eastern,,,583
2,The Morgan,Central & Western,,,584
3,"Block B, Wing Tak Mansion",Wan Chai,,,585
4,"Block 1, Central Park",Yau Tsim Mong,,,586
5,Kong Ha Village,North,,,587
6,Kong Ha Village,North,,,588
7,The Park Lane,Wan Chai,,,589
8,"Block 1, Hong Lee Court",Kwun Tong,,,590
9,"Block 1, Sceneway Garden",Kwun Tong,,,591
10,"Block 3, Victoria Centre",Wan Chai,,,592
11,"Block 10, Grand Yoho",Yuen Long,,,593
12,Butterfly on Prat Boutique Hotel,Yau Tsim Mong,,,594
13,Monterey Villas,Islands,,,595
14,"Block 1, Chestwood Court, Kingswood Villas",Yuen Long,,,596
15,Dorsett Kwun Tong,Kwun Tong,,,597
16,"Block 8, City One Shatin",Sha Tin,,,598
17,"Cheung Tak House, Cheung Wah Estate",North,,,599
18,"Tower 7, Le Prime, Lohas Park",Sai Kung,,,600
19,Novotel Century Hong Kong Hotel,Wan Chai,,,601
20,"Block 3, The Sorrento, Tsim Sha Tsui",Yau Tsim Mong,,,602
21,"Tower 1, One Kai Tak (I)",Kowloon City,,,603
22,Best Western Grand Hotel,Yau Tsim Mong,,,604
23,Bishop Lei International House,Central & Western,,,605
24,Shining Building,Wan Chai,,,606
25,"Tower 2, Anglers’ Bay",Tsuen Wan,,,607
26,Fairview Park,Yuen Long,,,608
27,Kwun Hei Court,Kowloon City,,,609
28,Kak Tin Village,Sha Tin,,,610
29,4 Argyle Street,Yau Tsim Mong,,,611
30,"Block A, Elm Tree Tower",Wan Chai,,,612
0,"Block A, Elm Tree Tower",Wan Chai,,,613
1,"Yiu Tsui House, Kai Tsui Court",Eastern,,,614
2,Wong Nai Tun Tsuen,Yuen Long,,,615
3,"Block AB, Scenic Villas",Southern,,,616
4,"Block C, Devon Court",Kowloon City,,,617
5,Wing Wah Mansion,Central & Western,,,618
6,"Ming Yan House, Ming Nga Court",Tai Po,,,619
7,"Ming Yan House, Ming Nga Court",Tai Po,,,620
8,"Tower 8, The Leighton Hill",Wan Chai,,,621
9,"Block A, Elm Tree Towers",Wan Chai,,,622
10,"Tower 1A, Century Link",Islands,,,623
11,"Tower 3A, Tierra Verde",Kwai Tsing,,,624
12,Ma Kwu Lam Village,Tai Po,,,625
13,Hang Shun Mansions,Wan Chai,,,626
14,"Sun On Building, 484-496, Queen’s RoadWest",Central & Western,,,627
15,"Block 2, New Jade Garden",Eastern,,,628
16,"Mei Sang House, Shek Kip Mei Estate",Sham Shui Po,,,629
17,Hang Shun Mansions,Wan Chai,,,630
18,"Tower 2, Robinson Place",Central & Western,,,631
19,"Siu Fu House, Siu Kwai Court",Tuen Mun,,,632
20,"Block 6, Casa De Oro",Yuen Long,,,633
21,Kadoorie Avenue Mansion,Kowloon City,,,634
22,"Tat Hei House, Po Tat Estate",Kwun Tong,,,637
23,Po Hong Mansion,Tai Po,,,638
24,"Kan Wah House, Lok Wah North Estate",Kwun Tong,,,639
25,The Morgan,Central & Western,,,640
26,Headland Hotel,Islands,,,641
27,Sheung Heu Building,Kwun Tong,,,643
28,8 Kennedy Road,Central & Western,,,644
29,"Belleve Court, Pictorial Garden",Sha Tin,,,645
30,"Block 15, Caribbean Coast",Islands,,,646
0,Renaissance Harbour View Hotel,Wan Chai,,,647
1,The Park Lane Hong Kong,Wan Chai,,,648
2,"114 Broadway, Mei Foo Sun Chuen",Sham Shui Po,,,649
3,Page 148,Yau Tsim Mong,,,650
4,"Block 11, Caribbean Coast",Islands,,,651
5,"On Tao House, Cheung On Estate",Kwai Tsing,,,652
6,Best Western Grand Hotel,Yau Tsim Mong,,,653
7,"Pik Lam House, Tsui Lam Estate",Sai Kung,,,654
8,"Block 8, Provident Centre",Eastern,,,655
9,"Block 48, Heng Fa Chuen",Eastern,,,656
10,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,,657
11,Tsing Fai San Tsuen,Kwai Tsing,,,658
12,"On Tao House, Cheung On Estate",Kwai Tsing,,,659
13,Park Hotel Hong Kong,Yau Tsim Mong,,,660
14,"Block 4, Hong Kong Parkview",Southern,,,661
15,"Hong Yat House, Yat Tung Estate",Islands,,,662
16,"Fu Loy House, Fu Cheong Estate",Sham Shui Po,,,663
17,Kingston Lodge,Sha Tin,,,664
18,"Tower 7, The Waterfront",Yau Tsim Mong,,,665
19,"Tower 7, The Waterfront",Yau Tsim Mong,,,666
20,Chek Nai Ping,Sha Tin,,,667
21,Elegant Terrace,Wan Chai,,,668
22,Metropark Hotel Mongkok,Yau Tsim Mong,,,669
23,Ko Po Tsuen,Yuen Long,,,670
24,"Palm Drive, Redhill Peninsula",Southern,,,671
25,YMCA of Hong Kong,Yau Tsim Mong,,,672
26,"Block B, Paterson Building",Wan Chai,,,673
27,"Cheung Chi House, Cheung Wah Estate",North,,,674
28,Hong Kong Skycity Marriott Hotel,Islands,,,675
29,Dorsett Wanchai,Wan Chai,,,676
30,"Pik Shan House, Shek Pai Wan Estate",Southern,,,677
0,"Lung Wah House, Lower Wong Tai Sin Estate",Wong Tai Sin,,,678
1,L’ Hotel Island South,Southern,,,679
2,"Block 4, Phase 3, Metrocity",Sai Kung,,,680
3,L’ Hotel Island South,Southern,,,681
4,"Tower 10, Mount Pavilia",Sai Kung,,,682
5,Fairview Height,Central & Western,,,683
6,"Lowrise 9, Mayfair by the Sea I",Tai Po,,,684
7,"Villa San De Oka, San Uk Ka Tsuen",Tai Po,,,685
8,Artisan House,Central & Western,,,686
9,"Tower 2A, Century Link",Islands,,,687
10,"Block 9, Deerhill Bay",Tai Po,,,688
11,The Manhattan,Southern,,,689
12,The Avenue,Wan Chai,,,690
13,"Siu Fu House, Siu Kwai Court",Tuen Mun,,,691
14,"Block D, Villa Lotto",Wan Chai,,,692
15,Bishop Lei International House,Central & Western,,,693
16,Pak Fai Mansion,Central & Western,,,694
17,Lai Yee Court,Eastern,,,695
18,"Block 17, Mei Fai Court, South Horizons",Southern,,,696
19,"Block 17, Mei Fai Court, South Horizons",Southern,,,697
20,"Block 4, Laguna City",Kwun Tong,,,698
21,Panorama Gardens,Central & Western,,,699
22,Dorsett Kwun Tong,Kwun Tong,,,700
23,"Tower 6, The Papillons",Sai Kung,,,701
24,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,,702
25,"Marigold House, So Uk Estate",Sham Shui Po,,,703
26,Kwun Tong Mansion,Kwun Tong,,,704
27,"Block B, Fuk Ming Building",Yau Tsim Mong,,,705
28,Boland Court Phase 1,Kowloon City,,,706
29,Oceanic Mansion,Eastern,,,707
30,Glory Heights,Central & Western,,,708
0,"Block 7, Villa Athena",Sha Tin,,,709
1,"Pacific House, Affluence Garden",Tuen Mun,,,710
2,"Pacific House, Affluence Garden",Tuen Mun,,,711
3,Luxe Manor Hotel,Yau Tsim Mong,,,712
4,"Pik Shan House, Shek Pai Wan Estate",Southern,,,713
5,Fortune Villa,Central & Western,,,714
6,"Tower 6, Banyan Garden",Sham Shui Po,,,715
7,"Fung Wai House, Sun Tin Wai Estate",Sha Tin,,,716
8,"Block 1, City Garden",Eastern,,,717
9,"Yin Tat House, On Tat Estate",Kwun Tong,,,718
10,"Tower One, Phase 4, Bel-Air On The Peak",Southern,,,719
11,"Tower 10, Mayfair by the Sea II",Tai Po,,,720
12,Arezzo,Central & Western,,,721
13,Hong Kong Reese Hotel,Southern,,,722
14,"Tower 1, Grand Promenade",Eastern,,,723
15,"Block 7, Oscar by the Sea",Sai Kung,,,724
16,"Block 7, Oscar by the Sea",Sai Kung,,,725
17,"Tower 3, Park Delvedere",Sha Tin,,,726
18,"Pik Ngan House, Shek Pai Wan Estate",Southern,,,727
19,Hong Kong Reese Hotel,Southern,,,728
20,Ha Tsuen Shi,Yuen Long,,,729
21,"Block 30A, Park Yoho Genova",Yuen Long,,,730
22,Dorsett Kwun Tong,Kwun Tong,,,731
23,"Tower 6, Banyan Garden",Sham Shui Po,,,732
24,Best Western Grand Hotel Hong Kong,Yau Tsim Mong,,,733
25,"Yuet Yat House, Yat Tung (II) Estate",Islands,,,734
26,"Friendship Court, 12 -22 Blue Pool Road",Wan Chai,,,735
27,Parker 33,Eastern,,,736
28,"Phase 1, Blessings Garden",Central & Western,,,737
29,Dragon Court,Central & Western,,,739
30,Aigburth,Central & Western,,,740
0,"Wang Ngai House, Cheung Wang Estate",Kwai Tsing,,,741
1,"Block A, Elm Tree Towers",Wan Chai,,,742
2,"Tower 2B, Century Link",Islands,,,743
3,Crowfields Court,Kowloon City,,,745
4,35 Station Lane,Kowloon City,,,746
5,"Tower 1A, Century Link",Islands,,,747
6,"Mei Wah Court, South Horizon",Southern,,,748
7,"La Rossa A, Coastal Skyline",Islands,,,749
8,"Tung Hiu House, Tung Yuk Court",Eastern,,,750
9,"Tower 2, Queen’s Terrace",Central & Western,,,751
10,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,,752
11,Headland Hotel,Islands,,,753
12,"Tak Fu House, Hau Tak Estate",Sai Kung,,,754
13,On Keung Building,Wong Tai Sin,,,755
14,Luxury Court,Yau Tsim Mong,,,756
15,Tung Hei Court,Kowloon City,,,757
16,Windsor Mansions,Yau Tsim Mong,,,758
17,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,,759
18,Yick Shing Mansion,Wan Chai,,,760
19,Yonking Garden,Tuen Mun,,,761
20,"10 Seahorse Lane, Beach Village, DiscoveryBay",Islands,,,764
21,"Block 5, Yar Chee Villas",Southern,,,765
22,"Hoi Kwun Mansion, Riveiera Gardens",Tsuen Wan,,,767
23,V Happy Valley,Wan Chai,,,768
24,Man Yue Mansion,Wong Tai Sin,,,769
25,"Tower 8, The Latitude",Wong Tai Sin,,,770
26,"Tower 1, Sorrento",Yau Tsim Mong,,,771
27,"Tower 3, Park Mediterranean",Sai Kung,,,772
28,"Block C, The Manhattan",Southern,,,773
29,"Tower 1, Harbourview Horizon Suites",Kowloon City,,,774
0,10 Po Yick Lane,Tai Po,,,775
1,"Tower 3, The Coronation",Yau Tsim Mong,,,776
2,YMCA of Hong Kong,Yau Tsim Mong,,,777
3,Ho Chung New Village,Sai Kung,,,778
4,Mount Pleasure,Sha Tin,,,779
5,Hong Kong Ocean Park Marriott Hotel,Southern,,,780
6,"Wah Sin House, Wah Kwai Estate",Southern,,,781
7,Fairview Park,Yuen Long,,,782
8,"Block 1, Phase 3, Festival City",Sha Tin,,,783
9,"Tower 1, Rambler Crest",Kwai Tsing,,,784
10,"Block B, Luk Yeung Sun Chuen",Tsuen Wan,,,785
11,Dorsett Mong Kok,Yau Tsim Mong,,,786
12,"Block 9, Bamboo Mansion, Whampoa Garden",Kowloon City,,,787
13,One Lasalle,Kowloon City,,,788
14,"Tower 1, One Kai Tak",Kowloon City,,,789
15,"Block B, Sunway Garden",Eastern,,,790
16,37 Celestial Heights,Kowloon City,,,791
17,"Block 5, Cronin Garden",Sham Shui Po,,,792
18,"Block 2, Stanford Villa",Southern,,,793
19,"Block 5, Fanling Town Center",North,,,794
20,"Willow Mansion, Taikoo Shing",Eastern,,,795
21,"Wo Hing House, Hing Wah (II) Estate",Eastern,,,796
22,Tseng Lan Shue Tsuen,Sai Kung,,,797
23,Fortune Villa,Central & Western,,,798
24,Courtyard By Marriott Hong Kong,Central & Western,,,799
25,Dorsett Tsuen Wan,Tsuen Wan,,,800
26,"292 Lockhart Road, Wan Chai",Wan Chai,,,801
27,"Kwai Yat House, Kwai Hong Court",Kwai Tsing,,,802
28,Convention Plaza,Wan Chai,,,804
29,"Block A, Elm Tree Tower",Wan Chai,,,805
30,Mognolia Mansion,Wan Chai,,,806
0,"Block 8, Hee Wong Terrance",Central & Western,,,807
1,"5th Street, Section I, Fairview Park",Yuen Long,,,808
2,"Seung Lai House, Wah Lai Estate",Kwai Tsing,,,809
3,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,,811
4,"Block 1, Garden Terrace",Central & Western,,,812
5,"Tower 10, Caribbean Coast",Islands,,,813
6,Sha Kok Mei Village,Sai Kung,,,814
7,"Hong Wo House, Cheung Hong Estate",Kwai Tsing,,,815
8,"Block 2, Hong Sing Garden",Sai Kung,,,816
9,Arezzo,Central & Western,,,817
10,Escapade,Central & Western,,,818
11,Dorsett Wanchai,Wan Chai,,,819
12,"Ka Kit House, Ka Lung Court",Southern,,,820
13,Novotel Century Hong Kong,Wan Chai,,,821
14,"Block 1, South Wave Court",Southern,,,822
15,Yale Lodge,Central & Western,,,823
16,"Greenpeak Villa, Wong Chuk Shan San Tsuen",Sai Kung,,,824
17,Novotel Century Hong Kong,Wan Chai,,,825
18,Ramada Hong Kong Harbour View Hotel,Central & Western,,,826
19,"Tower A, Chungking Mansions",Yau Tsim Mong,,,827
20,Peak Garden Court,Kowloon City,,,828
21,Peak Garden Court,Kowloon City,,,829
22,"Tower 5, Aria",Wong Tai Sin,,,830
23,Lau Kwai Fong Hotel,Central & Western,,,832
24,"Block 2, Hong Kong Garden",Tsuen Wan,,,833
25,"Tower 14, Hong Kong Parkview",Southern,,,834
26,"Tower 7, Bauhinia Garden",Sai Kung,,,835
27,Resiglow,Wan Chai,,,836
28,Hang Shun Mansions,Wan Chai,,,838
29,Metropark Hotel Mongkok,Yau Tsim Mong,,,839
30,"Ping Sin House, Ping Tao Estate",Kwun Tong,,,840
0,St. Moritz,Sha Tin,,,843
1,35 Station Lane,Kowloon City,,,844
2,38 Jordan Road,Yau Tsim Mong,,,845
3,"Block 2, Laguna City",Kwun Tong,,,846
4,Princeton Tower,Central & Western,,,847
5,"Chau Kwai House, Kwai Chung Estate",Kwai Tsing,,,848
6,292 Lockhart Road,Wan Chai,,,849
7,"Seabird Lane, Discovery Bay",Islands,,,850
8,"Tower 2, One Homantin",Kowloon City,,,851
9,Best Western Plus Hotel Hong Kong,Central & Western,,,852
10,"Block 1, Dragon Centre",Wan Chai,,,853
11,"Ko Fung House, Ko Cheung Court",Kwun Tong,,,854
12,"Kan Tau Tsuen, Kwan Tei",North,,,855
13,"Chuen Shui House, Shui Pin Wai Estate",Yuen Long,,,856
14,United Mansion,Wan Chai,,,857
15,"Block B, Lung Fung Garden",North,,,858
16,"Block B, Lung Fung Garden",North,,,859
17,"Block B, Lung Fung Garden",North,,,860
18,Le Billionnaire,Kowloon City,,,862
19,"Sheung Yan House, Sheung Tak Estate",Sai Kung,,,863
20,Rose Gardens,Central & Western,,,865
21,Bishop Lei International House,Central & Western,,,866
22,Dorsett Tsuen Wan,Kwai Tsing,,,867
23,"Fai Shing House, May Shing Court",Sha Tin,,,868
24,Green Valley Mansion,Wan Chai,,,869
25,Kei Ling Ha San Wai,Tai Po,,,870
26,Silka Tsuen Wan Hotel,Kwai Tsing,,,871
27,"Hang King House, Siu Shan Court",Tuen Mun,,,872
28,Borrett Mansions,Central & Western,,,873
