,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,沙田,駿景園 11座,,從日本回港(鑽石公主號)
1,中西區,澤安閣,,從日本回港(鑽石公主號)
2,東區,太古城金山閣,,358
3,九龍城,施他佛道,,359
4,中西區,皇后大道西 312號,,360
5,中西區,瑧璈,,361
6,中西區,金谷大廈,,362
7,南區,曼克頓花園 C座,,363
8,沙田,富豪花園翡翠閣,,366
9,中西區,金谷大廈,,367
10,中西區,香港四季酒店,,"368,369"
11,中西區,平安里 1號,,370
12,離島,滿東邨滿和樓,,371
13,南區,海怡半島 12座,,372
14,灣仔,星港大廈,,373
15,南區,碧瑤灣 25座,,374
16,中西區,威勝大廈,,375
17,大埔,新屋家,,377
18,中西區,匯賢居,,378
19,九龍城,牛津道 1號,,379
20,東區,明園西街 6號,,380
21,西貢,匡湖居,,381
22,大埔,新達廣場 3座,,383
23,灣仔,恆信大廈,,384
24,西貢,廣明苑廣昌閣,,385
25,離島,銀灣邨銀月樓,,386
26,灣仔,恆信大廈,,387
27,西貢,景林邨景棉樓,,388
28,灣仔,波斯富大廈,,389
29,灣仔,香港珀麗酒店,,390
30,灣仔,鳳輝臺 1A號,,391
31,離島,大浪灣村,,392
32,大埔,康樂東路,,393
33,元朗,富盛大廈,,394
34,屯門,青磚圍雍景園,,395
35,離島,香港愉景灣酒店,,396
36,葵青,盈翠半島 8座,,397
37,葵青,荃灣帝盛酒店,,398
38,屯門,順風圍,,399
39,油尖旺,香港金域假日酒店,,400
40,油尖旺,香港金域假日酒店,,401
41,中西區,威利大廈,,402
42,灣仔,雅栢苑 A座,,403
43,灣仔,雅栢苑 A座,,404
44,九龍城,海逸豪園 16座,,405
45,南區,旭逸居 2座,,406
46,東區,嘉亨灣 1座,,407
47,北區,料壆村 12巷,,408
48,油尖旺,維港灣 6座,,409
49,中西區,半山干德道 52號,,410
50,屯門,屯門新墟村,,411
51,觀塘,觀塘紀律部隊宿舍,,412
52,元朗,屏欣苑屏愛閣,,413
53,深水埗,美孚新邨吉利徑 8號,,414
54,九龍城,冠熹苑,,415
55,油尖旺,尖沙咀君怡酒店,,415
56,油尖旺,最佳盛品酒店,,415
57,大埔,南華莆,,416
58,中西區,殷樺花園,,417
59,油尖旺,東方花園 B座,,418
60,灣仔,香港銅鑼灣維景酒店,,419
61,灣仔,Happy Valley 88,,420
62,油尖旺,日和閣,,421
63,東區,金源洋樓,,422
64,灣仔,希雲大廈,,423
65,離島,映灣園 6座,,424
66,油尖旺,荔枝角道 19號,,428
67,南區,鴨脷洲海怡半島 6座,,429
68,油尖旺,一號銀海 2座,,430
69,北區,清河邨清澤樓,,431
70,灣仔,軒尼詩道 357號宜興樓,,432
