,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
119,Courtyard by Marriott Hong Kong Sha Tin,Sha Tin,,486,
120,OZO Wesley Hong Kong,Wan Chai,,487,
121,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,488,
122,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,489,
123,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,490,
124,"Block 14, Richland Gardens",Kwun Tong,,491,
125,"Block 8, Tierra Verde",Kwai Tsing,,492,
126,"Block 3, Charming Garden",Yau Tsim Mong,,493,
127,Super Tower,Sham Shui Po,,494,
128,"Hin Yeung House, Hin Keng Estate",Sha Tin,,495,
129,Kam Fung Building,Southern,,496,
130,Willie Court,Yau Tsim Mong,,497,
131,Tsim Sha Tsui Mansion,Yau Tsim Mong,,498,
132,Kensington Plaza,Yau Tsim Mong,,499,
133,"Block 33, Heng Fa Chuen",Eastern,,500,
134,Hang Shun Mansions,Wan Chai,,501,
135,"Block 3, Chelsea Heights",Tuen Mun,,504,
136,"Block 2, Castello",Sha Tin,,507,
137,"Block CD, 142 Pokfulam Road",Southern,,508,
138,Hing Lee Building,Kowloon City,,509,
139,"Wai Sum House, Lung Hang Estate",Sha Tin,,510,
140,"2B, Park Yoho",Yuen Long,,511,
141,Wai Ching Mansion,Yau Tsim Mong,,512,
142,310-312 Hennessy Road,Wan Chai,,513,
143,"Tower 3, Mantin Heights",Kowloon City,,514,
144,"Block A, Hyde Tower",Kwun Tong,,515,
145,Shun Hing Building,Yau Tsim Mong,,516,
146,280 Ki Lung Street,Sham Shui Po,,517,
147,Telford Gardens Block Q2,Kwun Tong,,518,
148,315 Nathan Road,Yau Tsim Mong,,519,
149,"Tower 3, Waterfront",Yau Tsim Mong,,520,
150,"Tower 2, Centrestage",Central & Western,,522,
151,"Tower 2, Centrestage",Central & Western,,523,
152,Ka Yee Building,Wan Chai,,524,
153,238-240 Lockhart Road,Wan Chai,,525,
154,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,526,
155,Queen’s Cube,Wan Chai,,528,
156,Ocean View Court,Yau Tsim Mong,,529,
157,22 Cheong Lok Street,Yau Tsim Mong,,531,
158,Silka Tsuen Wan Hotel,Kwai Tsing,,532,
159,"Pik Shan House, Shek Pai Wan Estate",Southern,,533,
160,Fok Cheong Building,Eastern,,534,
161,32 Gough Street,Central & Western,,535,
162,Golden Jubilee House,Wan Chai,,536,
163,Ardshiel,Central & Western,,537,
164,Sausalito Tower 6,Sha Tin,,538,
165,"Block E, Kam Ying Court",Sha Tin,,539,
166,Ramada Hong Kong Harbour View Hotel,Central & Western,,540,
167,O Pui Village,Sai Kung,,541,
168,Honiton Building,Central & Western,,542,
169,217 Des Voeux Road West,Central & Western,,543,
170,Felix Villas,Central & Western,,544,
171,Camlux Hotel,Kwun Tong,,545,
172,Healey Building,Yuen Long,,546,
173,Hai Wing Road,North,,547,
174,Euston Court,Central & Western,,548,
175,"Block 2, Blossom Garden",Tuen Mun,,549,
176,30 Fat Kwong Street,Kowloon City,,550,
177,12 Hung Lok Road,Kowloon City,,551,
178,Ha Hang Village,Tai Po,,552,
179,"Block 1, Provident Centre",Eastern,,553,
180,Holiday Inn Express Hong Kong Mongkok,Yau Tsim Mong,,554,
181,Excelsior Court,Central & Western,,555,
182,Grand City Hotel,Central & Western,,556,
183,Dorsett Wanchai,Wan Chai,,557,
184,Dragons Range,Sha Tin,,558,
185,"Block A, The Dahfuldy",Kowloon City,,559,
186,Ramada Hong Kong Harbour View Hotel,Central & Western,,560,
187,Oceania Heights,Tuen Mun,,561,
188,"Block 4, Beverly Garden",Sai Kung,,562,
189,Fairview Height,Central & Western,,563,
190,"Block 2, Academic Terrace",Central & Western,,564,
191,"Block 2, The Castello",Sha Tin,,565,
192,32 Lyttelton Road,Central & Western,,566,
193,101 Ki Lung Street,Yau Tsim Mong,,567,
194,"Block 41, Heng Fa Chuen",Eastern,,568,
195,"Tower 10, La Splendeur Tower, Lohas Park",Sai Kung,,569,
196,"Block E, Galaxia",Wong Tai Sin,,570,
197,Pine Crest,Southern,,571,
198,"Block 1, Hong Lee Court",Kwun Tong,,572,
199,"Tower 5, Festival City II",Sha Tin,,573,
200,"Yee Yan House, Yee Ming Estate",Sai Kung,,574,
201,48 Kennedy Road,Central & Western,,575,
202,Golden Valley Mansion,Central & Western,,576,
203,Golden Valley Mansion,Central & Western,,577,
204,Golden Valley Mansion,Central & Western,,578,
205,Golden Valley Mansion,Central & Western,,579,
206,"Hing Shing House, Tai Hing Estate",Tuen Mun,,580,
207,"Siu Fu House, Siu Kwai Court",Tuen Mun,,581,
208,"Block 4, Provident Centre",Eastern,,583,
209,The Morgan,Central & Western,,584,
210,"Block B, Wing Tak Mansion",Wan Chai,,585,
211,"Block 1, Central Park",Yau Tsim Mong,,586,
212,Kong Ha Village,North,,587,
213,Kong Ha Village,North,,588,
214,The Park Lane,Wan Chai,,589,
215,"Block 1, Hong Lee Court",Kwun Tong,,590,
216,"Block 1, Sceneway Garden",Kwun Tong,,591,
217,"Block 3, Victoria Centre",Wan Chai,,592,
218,"Block 10, Grand Yoho",Yuen Long,,593,
219,Butterfly on Prat Boutique Hotel,Yau Tsim Mong,,594,
220,Monterey Villas,Islands,,595,
221,"Block 1, Chestwood Court, Kingswood Villas",Yuen Long,,596,
222,Dorsett Kwun Tong,Kwun Tong,,597,
223,"Block 8, City One Shatin",Sha Tin,,598,
224,"Cheung Tak House, Cheung Wah Estate",North,,599,
225,"Tower 7, Le Prime, Lohas Park",Sai Kung,,600,
226,Novotel Century Hong Kong Hotel,Wan Chai,,601,
227,"Block 3, The Sorrento, Tsim Sha Tsui",Yau Tsim Mong,,602,
228,"Tower 1, One Kai Tak (I)",Kowloon City,,603,
229,Best Western Grand Hotel,Yau Tsim Mong,,604,
230,Bishop Lei International House,Central & Western,,605,
231,Shining Building,Wan Chai,,606,
232,"Tower 2, Anglers’ Bay",Tsuen Wan,,607,
233,Fairview Park,Yuen Long,,608,
234,Kwun Hei Court,Kowloon City,,609,
235,Kak Tin Village,Sha Tin,,610,
236,4 Argyle Street,Yau Tsim Mong,,611,
237,"Block A, Elm Tree Tower",Wan Chai,,612,
238,"Block A, Elm Tree Tower",Wan Chai,,613,
239,"Yiu Tsui House, Kai Tsui Court",Eastern,,614,
240,Wong Nai Tun Tsuen,Yuen Long,,615,
241,"Block AB, Scenic Villas",Southern,,616,
242,"Block C, Devon Court",Kowloon City,,617,
243,Wing Wah Mansion,Central & Western,,618,
244,"Ming Yan House, Ming Nga Court",Tai Po,,619,
