,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Wong Tai Sin,"Wang Mei House, Tin Wang Court",4081,
1,Tuen Mun,"Siu Keung House, Siu Kwai Court",4082,
2,Central & Western,Kin On Commercial Building,4083,
3,Wong Tai Sin,"Lung Lok House, Lower Wong Tai Sin (II) Estate",4084,
4,Kwun Tong,"Kai Shing House, Kai Yip Estate",4085,
5,Kowloon City,"Chung Man House, Oi Man Estate",4086,
6,Eastern,"Block 2, Cheerful Garden",4087,
7,Eastern,"Block 1, Fullview Garden",4088,
8,Wong Tai Sin,"Pak Yuen House, Chuk Yuen North Estate",4089,
9,Islands,"Him Yat House, Yat Tung (II) Estate",4090,
10,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",4091,
11,Yau Tsim Mong,Lauren Court,4092,
12,Wong Tai Sin,"Lung Tai House, Lower Wong Tai Sin (II) Estate",4093,
13,Wong Tai Sin,"Lung Tai House, Lower Wong Tai Sin (II) Estate",4094,
14,Wong Tai Sin,"Lung Tai House, Lower Wong Tai Sin (II) Estate",4095,
15,Kowloon City,"Tak Cheung House, Tak Long Estate",4097,
16,Yuen Long,"Luen Fat House, Kin Yip Street",4098,
17,Yau Tsim Mong,Tai Kok Tsui Building,4100,
18,Sham Shui Po,"Begonia House, So Uk Estate",4101,
19,Sha Tin,"Block 3, Wai Wah Centre",4102,
20,Tsuen Wan,The Blue Yard,4103,
21,Tai Po,"Hang Wo House, Tai Wo Estate",4104,
22,Yuen Long,Tung Chan Wai,4105,
23,North,"Lai Ming House, Wah Ming Estate",4106,
24,Sham Shui Po,135 Fuk Wa Street,4107,
25,Kowloon City,"Block 1, Willow Mansions, Phase 3, Whampoa Garden",4108,
26,Kowloon City,"Block 1, Willow Mansions, Phase 3, Whampoa Garden",4109,
27,Kowloon City,"Block 1, Willow Mansions, Phase 3, Whampoa Garden",4110,
28,Kwai Tsing,"Ching Mui House, Cheung Ching Estate",4111,
29,Yuen Long,"Yat Long House, Tin Yat Estate",4112,
30,Yuen Long,Yau Pok Road,4113,
31,Sham Shui Po,"Block A, Hung Yu Mansion",4115,
32,Central & Western,Kin On Commercial Building,4116,
33,Yau Tsim Mong,Po Hing Building,4117,
34,Central & Western,Kin On Commercial Building,4118,
35,Islands,"Kam Ho Court, Treasure Bay",4119,
36,Sham Shui Po,"Mei Ying House, Shek Kip Mei Estate",4121,
37,Sham Shui Po,"Block A, Hung Yu Mansion",4122,
38,Sai Kung,"Block C, Sai Kung Town Centre",4123,
39,Sha Tin,"Chung Wo House, Chung On Estate",4124,
40,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",4126,
41,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",4127,
42,Central & Western,Kin On Commercial Building,4128,
43,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",4129,
44,Sai Kung,"Tsui Ming House, Chung Ming Court",4130,
45,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",4131,
46,Tai Po,"Hang Wo House, Tai Wo Estate",4132,
47,Yuen Long,"Block 6, Parkside Villa",4134,
48,Yuen Long,"Tower 3, The Parcville",4135,
49,Tuen Mun,"Oi Tai House, Fu Tai Estate",4136,
50,Eastern,"Sui Tai House, Siu Sai Wan Estate",4137,
51,Kwai Tsing,"Wang Sum House, Cheung Wang Estate",4138,
52,Tuen Mun,"Block 9, Sun Tuen Mun Centre",4140,
53,Yau Tsim Mong,Hing Wah Building,4141,
54,Sham Shui Po,"Cheung Tai House, Cheung Sha Wan Estate",4142,
55,North,"Block 2, Tsui Lai Garden",4143,
56,Kwun Tong,"Choi Yan House, Choi Tak Estate",4144,
57,Yuen Long,"Yan Fuk House, Tin Yan Estate",4145,
58,Tuen Mun,"Block 8, Po Tin Estate",4147,
59,Kwun Tong,"Low Block, Tsui Nam House, Tsui Ping (North) Estate",4148,
60,Central & Western,Tung Hing Mansion,4149,
61,Sham Shui Po,"Block A, Hung Yu Mansion",4150,
