,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
<<<<<<< HEAD
0,40-42 Circular Pathway,Central & Western,,916,
1,"Block 4, South Horizons",Southern,,917,
2,"Fujian Hotel, Mirador Mansion",Yau Tsim Mong,,918,
3,Mau Po Road,Sai Kung,,919,
4,Dorsett Wanchai,Wan Chai,,920,
5,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,921,
6,"Kat Hing Wai, Kam Tin",Yuen Long,,922,
7,Lakeview Garden (House Zone),Sha Tin,,923,
8,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,924,
9,"Tak Cheung House, Tak Long Estate",Kowloon City,,925,
10,"Chak Fai House, Tin Chak Estate",Yuen Long,,926,
11,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,928,
12,Yick Shing Mansion,Wan Chai,,929,
13,Wah Yu Court,Eastern,,932,
14,109 Temple Street,Yau Tsim Mong,,933,
15,"Section C, 5th Street, Fairview Park",Yuen Long,,934,
16,Chung Hom Kok Road,Southern,,935,
17,"Hin Kwai House, Hin Keng Estate",Sha Tin,,936,
18,Dorsett Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
19,Courtyard By Marriott Hong Kong,Central & Western,,,
20,J Residence,Wan Chai,,937,
21,288 Des Voeux Road West,Central & Western,,938,
22,Hang Hau Village,Sai Kung,,939,
23,Floral Villas,Sai Kung,,940,
24,"Block 2, Hong Kong Garden",Tsuen Wan,,943,
25,"Kin Tai House, Fu Tai Estate",Tuen Mun,,944,
26,"Block 2, Royal Jubilee",North,,945,
27,"Block 6, Coastal Skyline",Islands,,946,
28,"Block D, Pearl Gardens",Central & Western,,947,
29,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,948,
30,The Imperial Hotel,Yau Tsim Mong,,949,
31,Prudential Hotel,Yau Tsim Mong,,949,
32,Fan Tin Tsuen,Yuen Long,,950,
33,"Tower 2, Island Crest",Central & Western,,953,
34,"Block 6, New Jade Garden",Eastern,,954,
35,Tai Tseng Wai Tsuen,Yuen Long,,955,
36,"Block 8, Seaview Garden",Tuen Mun,,956,
37,Wah Yu Court,Eastern,,957,
38,Wah Yu Court,Eastern,,958,
39,Silka Tsuen Wan Hotel,Tsuen Wan,,959,
40,"Block B1, Yau Tong Industrial City",Kwun Tong,,960,
41,Prat Mansions,Yau Tsim Mong,,961,
42,"Han Kung Mansion, Kam Din Terrace, Taikoo Shing",Eastern,,962,
43,Ramada Hong Kong Grand View,Eastern,,963,
44,Sunderland Estate,Kowloon City,,964,
45,"Cheung Fai Building, 45 - 47 Cochrane Street",Central & Western,,965,
46,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,966,
47,"Harmony Court, 127 Bonham Strand",Central & Western,,968,
48,"Block 2, Sceneway Garden",Kwun Tong,,969,
49,Dorsett Tsuen Wan,Kwai Tsing,,970,
50,"Headland Drive, Discovery Bay",Islands,,971,
51,"Golden Mansion, 83-85 Chatham Road South",Yau Tsim Mong,,972,
52,"Hillier Building, 273 - 275 Queen's Road Central",Central & Western,,973,
53,Tung Hei Court,Kowloon City,,974,
54,JC Castle,Tai Po,,975,
55,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,976,
56,"Block 30, Park Island",Tsuen Wan,,977,
57,Branksome Grande,Central & Western,,978,
58,V Wanchai,Wan Chai,,979,
59,Constellation Cove,Tai Po,,981,
60,"Block 6, Royal Ascot",Sha Tin,,982,
61,"Sau Ching House, Sau Mau Ping Estate",Kwun Tong,,983,
62,"Crestmont Villa, Discovery Bay",Islands,,984,
63,"Tower 1, Harbour Green",Yau Tsim Mong,,985,
64,Bishop Lei International House,Central & Western,,987,
65,"Block 2, Carado Garden",Sha Tin,,988,
66,"Prince Apartments, 226 Prince Edward Road West",Kowloon City,,989,
67,Kennedy Park at Central,Central & Western,,990,
68,YMCA of Hong Kong,Yau Tsim Mong,,992,
69,"Block 3, Garden Terrace",Central & Western,,993,
70,Tin Sam Village,Yuen Long,,996,
71,St Moritz,Sha Tin,,997,
72,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,998,
73,Courtyard By Marriott Hong Kong,Central & Western,,1000,
74,Beau Cloud Mansion,Central & Western,,1001,
75,"Block 1, Pine Villas",Tuen Mun,,1002,
76,Yan Sau Wai,Yuen Long,,1003,
77,"Fu Tai House, Tai Wo Hau Estate",Kwai Tsing,,1004,
78,"Block 8, Seaview Garden",Tuen Mun,,1005,
79,"Block 2, Carado Garden",Sha Tin,,1007,
80,"Block 3, Garden Terrace",Central & Western,,1009,
81,"Tower 11, Avignon",Tuen Mun,,1013,
82,Silka Tsuen Wan Hotel,Kwai Tsing,,1015,
83,CHI Residences 138,Wan Chai,,1017,
84,Metropark Hotel Mongkok,Yau Tsim Mong,,1018,
85,"Block 2, Cronin Garden",Sham Shui Po,,1018,
86,"Block F, Kornhill",Eastern,,1022,
87,"Block 1, Seaview Crescent",Islands,,1024,
88,"Block A, Lux Theatre Building",Kowloon City,,1025,
89,"Hor Tung House, Yu Tung Court",Islands,,1026,
90,Ho Lee Commercial Building,Central & Western,24/03/2020,,"182, 227, 276, 343, 360, 362, 367, 384, 386, 387, 389, 394, 411, 422, 432, 433, 440, 442, 453, 497, 501, 511, 513, 576, 627, 746, 877"
91,76 Jaffe Road,Wan Chai,24/03/2020,,"276, 343, 362, 367, 386, 387, 389, 413, 432, 433, 434, 440, 477, 499, 501, 509, 513, 519, 524, 576, 635, 638, 707, 746, 864, 877, 951"
92,9 Knutsford Terrace,Yau Tsim Mong,24/03/2020,,"387, 389, 395, 411, 428, 433, 447, 450, 458, 462, 466,483, 484, 498, 501, 510, 511, 512, 513, 514, 517, 526, 573, 581, 614, 615, 625, 663, 670, 674, 746, 755, 846, 863, 904, 906, 998"
93,10-11 Knustsford Terrace,Yau Tsim Mong,24/03/2020,,"483, 516"
94,MW Plaza,Yau Tsim Mong,24/03/2020,,"567, 842"
95,25 Carnarvon Road,Yau Tsim Mong,24/03/2020,,"662, 687, 702, 704, 705, 758, 759"
96,Lok Sing Centre,Wan Chai,25/03/2020,,"903, 923, 925, 932, 954"
97,23 Luard Road,Wan Chai,26/03/2020,,"682, 857"
98,82 Jaffe Road,Wan Chai,27/03/2020,,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973"
99,iSQUARE,Yau Tsim Mong,28/03/2020,,"504, 756"
100,10 Knutsford Terrace,Yau Tsim Mong,28/03/2020,,"567, 842"
101,K11 Musea,Yau Tsim Mong,28/03/2020,,"687, 702, 704, 705, 758, 759"
102,23 Yip Kan Street,Southern,28/03/2020,,"719, 801, 849"
103,Shek Kip Mei Reporting Centre And PTU KW Operational Base,Sham Shui Po,01/04/2020,,"663, 854"
104,Westlands Centre,Eastern,01/04/2020,,"801, 960"
105,88 Gloucester Road,Wan Chai,03/04/2020,,"923, 925"
106,Shun Tak Centre,Central & Western,04/04/2020,,"923, 932"
107,Windsor House,Wan Chai,05/04/2020,,"903, 925, 944"
108,New East Ocean Centre,Yau Tsim Mong,07/04/2020,,955
109,Festival Walk,Kowloon City,07/04/2020,,955
110,176 Queen's Road,Central & Western,07/04/2020,,972
111,China Insurance Group Building,Central & Western,07/04/2020,,972
112,9 Queen's Road Central,Central & Western,07/04/2020,,972
113,Kingswood Richly Plaza,Yuen Long,07/04/2020,,996
114,Golden Mansion,Yau Tsim Mong,08/04/2020,,972
115,8 Hart Avenue,Yau Tsim Mong,08/04/2020,,972
116,World-Wide House,Central & Western,08/04/2020,,981
117,Pak Yee Building,Yuen Long,08/04/2020,,996
118,On Ning Building,Yuen Long,08/04/2020,,996
119,+WOO,Yuen Long,09/04/2020,,976
120,Kornhill Plaza (South),Eastern,11/04/2020,,1022
121,16 Haven Street,Wan Chai,11/04/2020,,1022
122,Gold Coast Yacht and Country Club,Tuen Mun,12/04/2020,,1013
123,Hong Kong Sanatorium & Hospital,Wan Chai,12/04/2020,,1013
124,Hong Kong Sanatorium & Hospital,Wan Chai,13/04/2020,,1022
125,Cityplaza,Eastern,14/04/2020,,1022
=======
0,Central & Western,40-42 Circular Pathway,916,,
1,Southern,"Block 4, South Horizons",917,,
2,Yau Tsim Mong,"Fujian Hotel, Mirador Mansion",918,,
3,Sai Kung,Mau Po Road,919,,
4,Wan Chai,Dorsett Wanchai,920,,
5,Yau Tsim Mong,"Tower 6B, Imperial Cullinan",921,,
6,Yuen Long,"Kat Hing Wai, Kam Tin",922,,
7,Sha Tin,Lakeview Garden (House Zone),923,,
8,Kwun Tong,"Sau Chi House, Sau Mau Ping Estate",924,,
9,Kowloon City,"Tak Cheung House, Tak Long Estate",925,,
10,Yuen Long,"Chak Fai House, Tin Chak Estate",926,,
11,Kwai Tsing,"Luk Kwai House, Kwai Chung Estate",928,,
12,Wan Chai,Yick Shing Mansion,929,,
13,Eastern,Wah Yu Court,932,,
14,Yau Tsim Mong,109 Temple Street,933,,
15,Yuen Long,"Section C, 5th Street, Fairview Park",934,,
16,Southern,Chung Hom Kok Road,935,,
17,Sha Tin,"Hin Kwai House, Hin Keng Estate",936,,
18,Yau Tsim Mong,Dorsett Mongkok,Case notified by the Health Commission of Guangdong Province,,
19,Central & Western,Courtyard By Marriott Hong Kong,,,
20,Wan Chai,J Residence,937,,
21,Central & Western,288 Des Voeux Road West,938,,
22,Sai Kung,Hang Hau Village,939,,
23,Sai Kung,Floral Villas,940,,
24,Tsuen Wan,"Block 2, Hong Kong Garden",943,,
25,Tuen Mun,"Kin Tai House, Fu Tai Estate",944,,
26,North,"Block 2, Royal Jubilee",945,,
27,Islands,"Block 6, Coastal Skyline",946,,
28,Central & Western,"Block D, Pearl Gardens",947,,
29,Wan Chai,"The Park Lane Hong Kong, a Pullman Hotel",948,,
30,Yau Tsim Mong,The Imperial Hotel,949,,
31,Yau Tsim Mong,Prudential Hotel,949,,
32,Yuen Long,Fan Tin Tsuen,950,,
33,Central & Western,"Tower 2, Island Crest",953,,
34,Eastern,"Block 6, New Jade Garden",954,,
35,Yuen Long,Tai Tseng Wai Tsuen,955,,
36,Tuen Mun,"Block 8, Seaview Garden",956,,
37,Eastern,Wah Yu Court,957,,
38,Eastern,Wah Yu Court,958,,
39,Tsuen Wan,Silka Tsuen Wan Hotel,959,,
