,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,中西區,弓絃巷 40-42號,,916
1,南區,海怡半島 4座,,917
2,油尖旺,美麗都大廈福建酒店,,918
3,西貢,茅莆路,,919
4,灣仔,灣仔帝盛酒店,,920
5,油尖旺,瓏璽 6B座,,921
6,元朗,錦田吉慶圍,,922
7,沙田,湖景花園 (洋房區),,923
8,觀塘,秀茂坪邨秀緻樓,,924
9,九龍城,九龍城德朗邨德璋樓,,925
10,元朗,天澤邨澤輝樓,,926
11,葵青,葵涌邨綠葵樓,,928
12,灣仔,益誠樓,,929
13,東區,華裕閣,,932
14,油尖旺,廟街 109號,,933
15,元朗,錦綉花園 C段 5街,,934
16,南區,舂坎角道,,935
17,沙田,顯徑邨顯貴樓,,936
18,油尖旺,旺角帝盛酒店,,廣東省衞健委通報的個案
19,中西區,香港萬怡酒店,,
20,灣仔,嘉薈軒,,937
21,中西區,德輔道西 288號,,938
22,西貢,坑口村,,939
23,西貢,早禾居,,940
24,荃灣,豪景花園 2座,,943
25,屯門,富泰村健泰樓,,944
26,北區,海禧華庭 2座,,945
27,離島,藍天海岸 6座,,946
28,中西區,明珠台 D座,,947
29,灣仔,柏寧酒店,,948
30,油尖旺,帝國酒店,,949
31,油尖旺,恆豐酒店,,949
32,元朗,蕃田村,,950
33,中西區,縉城峰 2座,,953
34,東區,新翠花園 6座,,954
35,元朗,大井圍村,,955
36,屯門,海景花園 8座,,956
37,東區,華裕閣,,957
38,東區,華裕閣,,958
39,荃灣,荃灣絲麗酒店,,959
40,觀塘,油塘工業城 B1座,,960
41,油尖旺,華寶大廈,,961
42,東區,太古城金殿台漢宮閣,,962
43,東區,華美達盛景酒店,,963
44,九龍城,新德園,,964
45,中西區,禧福道 1號新德園,,965
46,油尖旺,瓏璽 6B座,,966
47,中西區,文咸東街 127號萬和閣,,968
48,觀塘,滙景花園 2座,,969
49,葵青,荃灣帝盛酒店,,970
50,離島,愉景灣朝暉徑,,971
51,油尖旺,漆咸道南 83-85號金德大廈,,972
52,中西區,皇后大道中 273-277號禧利大廈,,973
53,九龍城,東禧閣,,974
54,大埔,龍成堡,,975
55,元朗,十八鄉東頭村,,976
56,荃灣,珀麗灣 30座,,977
57,中西區,Branksome Grande,,978
58,灣仔,V Wanchai,,979
59,大埔,滌濤山,,981
60,沙田,駿景園 6座,,982
61,觀塘,秀茂坪邨秀程樓,,983
62,離島,愉景灣倚濤軒,,984
63,油尖旺,君匯港 1座,,985
64,中西區,宏基國際賓館,,987
65,沙田,雲疊花園 2座,,988
66,九龍城,太子道西 226號皇子大廈,,989
67,中西區,君珀,,990
