,District,BuildingName,LastDate/ReportingDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
380,Pravo Hotel,Yau Tsim Mong,09/07/2020,1480
381,Universal Commercial Building,Yau Tsim Mong,09/07/2020,1480
382,To Kwa Wan Market and Government Offices,Kowloon City,09/07/2020,1498
383,298 Ki Lung Street Hei Baat Fong,Sham Shui Po,09/07/2020,1501
384,Kam On Building,Wong Tai Sin,09/07/2020,1519
385,"8 Clear Water Bay Road, Infinity Eight Café de Coral",Kwun Tong,09/07/2020,"1394, 1523"
386,Tse Wan Shan Shopping Centre,Wong Tai Sin,09/07/2020,"1404, 1477, 1538, 1549, 1564, 1565, 1570"
387,Fu Fai Commercial Centre Dim Sum Square,Central & Western,09/07/2020,"1474, 1479, 1518, 1550"
388,MTR Choi Hung Station Circle K,Wong Tai Sin,10/07/2020,1414
389,Ping Shek Estate Fortune Harbour Restaurant,Kwun Tong,10/07/2020,1414
390,Silvercord Din Tai Fung,Yau Tsim Mong,10/07/2020,1419
391,42 Yuk Wah Street,Wong Tai Sin,10/07/2020,1445
392,East Point City One Cuisine,Sai Kung,10/07/2020,1453
393,Ping Shek Estate Market,Kwun Tong,10/07/2020,1455
394,Lutheran School for the Deaf,Kwai Tsing,10/07/2020,1457
395,Dorsett Tsuen Wan Hong Kong,Kwai Tsing,10/07/2020,1464
396,Wah Sing Industrial Building 金沙餐廳,Kwai Tsing,10/07/2020,1464
397,Tseung Kwan O Plaza,Sai Kung,10/07/2020,1466
398,San Hui Market,Tuen Mun,10/07/2020,1471
399,Tung Chau Street Park Squash Centre,Sham Shui Po,10/07/2020,1472
400,Choi Ying Place Ngan Long Restaurant,Kwun Tong,10/07/2020,1475
401,"Choi Lok House, Choi Fook Estate",Kwun Tong,10/07/2020,1475
402,58 Yuk Wah Street,Wong Tai Sin,10/07/2020,1477
403,Tsim Sha Tsui Centre,Yau Tsim Mong,10/07/2020,1484
404,Metro City Phase I Fairwood Fast Food,Sai Kung,10/07/2020,1501
405,Cheung Sha Wan Government Offices,Sham Shui Po,10/07/2020,1501
406,Immigration Tower,Wan Chai,10/07/2020,1542
407,Tsz Wan Shan Shopping Centre Deluxe Cuisine,Wong Tai Sin,10/07/2020,"1365, 1393, 1424, 1425, 1509, 1515, 1538"
408,Ngau Chi Wan Market,Wong Tai Sin,10/07/2020,"1371, 1388, 1389, 1394, 1467"
409,Ching Long Shopping Centre Zone A,Kowloon City,11/07/2020,1457
410,"Po Lam Market, Po Lam Estate",Sai Kung,11/07/2020,1501
411,Shui Wo Street Municipal Services Building,Kwun Tong,11/07/2020,1512
412,St. Teresa's Hospital,Kowloon City,11/07/2020,1513
413,"Tsz Wan Shan Shopping Centre, Green River Restaurant",Wong Tai Sin,11/07/2020,"1430, 1440, 1444, 1445, 1484, 1519, 1531, 1532, 1555"
414,Market in Choi Wan(I) Estate,Wong Tai Sin,12/07/2020,1401
415,Shatin Centre,Sha Tin,12/07/2020,1434
416,Tsui Ping Commercial Complex,Kwun Tong,12/07/2020,1512
417,Tin Shing Shopping Centre,Yuen Long,12/07/2020,1540
418,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,12/07/2020,"1310, 1311, 1312, 1321, 1408, 1410"
419,Good Hope School,Wong Tai Sin,12/07/2020,"1375, 1429, 1437"
420,104 Fuk Wa Street 圓方餃子粥麵,Sham Shui Po,13/07/2020,1434
421,New Kowloon Plaza Ming Garden Restaurant,Yau Tsim Mong,13/07/2020,1488
422,Precious Blood Hospital,Sham Shui Po,13/07/2020,1524
423,Wo Che Plaza 金百滬,Sha Tin,13/07/2020,"1372, 1434"
424,Lek Yuen Shopping Centre 富東閣海鮮酒家,Sha Tin,13/07/2020,"1372, 1434"
425,Tsz Wan Shan Shopping Centre Windsor,Wong Tai Sin,13/07/2020,"1477, 1514, 1534, 1567, 1569, 1555"
