,District,BuildingName,LastDate/ReportingDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
80,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,1362
81,"Hoi Wen House , Hoi Fu Court",Yau Tsim Mong,,1364
82,"On Hong House, Tsz On Court",Wong Tai Sin,,1365
83,"Wing Loong Building, 260-266 Castle Peak Road",Sham Shui Po,,1366
84,"Lucky Building, To Kwa Wan",Kowloon City,,1368
85,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1371
86,"Mei Wo House, Wo Che Estate, Sha Tin",Sha Tin,,1372
87,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1374
88,"Tower 7, The Wings Phase 1",Sai Kung,,1375
89,"Hau Tat House, On Tat Estate",Kwun Tong,,1376
90,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1377
91,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1378
92,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1379
93,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1380
94,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1381
95,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1382
96,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1383
97,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1384
98,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1385
99,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1386
100,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1387
101,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1388
102,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1389
103,"Wings At Sea, LOHAS Park",Sai Kung,,1390
104,"King Mei House, Shan King Estate",Tuen Mun,,1391
105,"Panda Hotel, Tsuen Wan",Tsuen Wan,,1392
106,"On Hong House, Tsz On Court",Wong Tai Sin,,1393
107,"Block 1, Bay View Garden",Wong Tai Sin,,1394
108,"G/F, No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1395
109,"Lei Ye House, Lei Yue Mun Estate, Yau Tong",Kwun Tong,,1396
110,"Sing San House, Choi Wan Estate",Wong Tai Sin,,1397
111,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1398
112,"Lucky Building, To Kwa Wan",Kowloon City,,1400
113,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1401
114,"King Mei House, Shan King Estate",Tuen Mun,,1402
115,"Ming Sing House, Kin Ming Estate",Sai Kung,,1404
116,Manning Theatre Building,Wong Tai Sin,,1407
117,"Block A, Gomme House",Wong Tai Sin,,1408
118,"Tak Wo House, Wo Che Estate",Sha Tin,,1409
119,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,,1410
120,"Hung Shek House, Ping Shek Estate",Kwun Tong,,1414
121,"Wah Yuen House, Chuk Yuen South Estate",Wong Tai Sin,,1415
122,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1416
123,Sheraton Hotel Hong Kong,Yau Tsim Mong,,1419
124,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,,1424
125,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,,1425
126,"Ling Nam Building, Cheung Ning Street",Kowloon City,,1426
127,"Block 7, Lung Mun Oasis",Tuen Mun,,1427
128,Orion Court,Yuen Long,,1428
129,"Tower 3, The Wings Phase 1",Sai Kung,,1429
130,Manning Theatre Building,Wong Tai Sin,,1430
131,"Block 10, Locwood Court, Kingswood Villas",Yuen Long,,1431
132,"Wu Kwong House, Wu King Estate",Tuen Mun,,1432
133,"Tower 8, Tsuen Kwan O Plaza",Sai Kung,,1433
134,183 Tai Nam Street,Sham Shui Po,,1434
135,"Cheong Yin House, Nam Cheong Estate",Sham Shui Po,,1435
136,"Luen Yuet House, Kwai Luen Estate",Kwai Tsing,,1436
137,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1437
138,Tong Kung Leng,North,,1438
139,"Block A, Wang Hong House, Hong Wah Court",Kwun Tong,,1439
140,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,,1440
141,"Block 2, Po Tin Interim Housing",Tuen Mun,,1442
142,"Po Kan House, Po Lam Estate",Sai Kung,,1443
143,"Ching On House, Tsz Ching Estate",Wong Tai Sin,,1444
144,"Ching On House, Tsz Ching Estate",Wong Tai Sin,,1445
145,"Block 1, Bayview Garden",Tsuen Wan,,1446
146,"Block 15, Braemar Hill Mansions",Eastern,,1447
147,"Tower 3, the Leighton Hill",Wan Chai,,1448
148,"Tan Fung House, Choi Hung Estate",Wong Tai Sin,,1449
149,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1450
150,"Block 1, Serenity Place",Sai Kung,,1453
151,"Lok King House, Lai King Estate",Kwai Tsing,,1454
152,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1455
153,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1456
154,"Tak Sui House, Tak Long Estate",Kowloon City,,1457
155,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1458
156,"On Chung House, Shun On Estate",Kwun Tong,,1463
157,"Yu Kui House, Yu Chui Court",Sha Tin,,1464
158,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1465
159,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1466
160,"Chui King House, Choi Hung Estate",Wong Tai Sin,,1467
161,"Chui King House, Choi Hung Estate",Wong Tai Sin,,1468
162,Dorsett Kwun Tong,Kwun Tong,,1469
163,"Tower 3, the Leighton Hill",Wan Chai,,1470
164,Aquamarine Garden,Tuen Mun,,1471
165,Berwick Mansion,Sham Shui Po,,1472
166,"Kam Chun House, Tung Chun Court",Eastern,,1474
167,"Block A, Clague Garden Estate",Tsuen Wan,,1475
168,"Man Kin House, Tsz Man Estate",Wong Tai Sin,,1477
