,District,BuildingName,LastDate/ReportingDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
83,"On Hong House, Tsz On Court",Wong Tai Sin,,1365
84,"Wing Loong Building, 260-266 Castle Peak Road",Sham Shui Po,,1366
85,"Lucky Building, To Kwa Wan",Kowloon City,,1368
86,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1371
87,"Mei Wo House, Wo Che Estate, Sha Tin",Sha Tin,,1372
88,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1374
89,"Tower 7, The Wings Phase 1",Sai Kung,,1375
90,"Hau Tat House, On Tat Estate",Kwun Tong,,1376
91,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1377
92,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1378
93,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1379
94,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1380
95,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1381
96,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1382
97,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1383
98,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1384
99,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1385
100,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1386
101,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1387
102,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1388
103,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1389
104,"Wings At Sea, LOHAS Park",Sai Kung,,1390
105,"King Mei House, Shan King Estate",Tuen Mun,,1391
106,"Panda Hotel, Tsuen Wan",Tsuen Wan,,1392
107,"On Hong House, Tsz On Court",Wong Tai Sin,,1393
108,"Block 1, Bay View Garden",Wong Tai Sin,,1394
109,"G/F, No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1395
110,"Lei Ye House, Lei Yue Mun Estate, Yau Tong",Kwun Tong,,1396
111,"Sing San House, Choi Wan Estate",Wong Tai Sin,,1397
112,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1398
113,"Lucky Building, To Kwa Wan",Kowloon City,,1400
114,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1401
115,"King Mei House, Shan King Estate",Tuen Mun,,1402
116,"Ming Sing House, Kin Ming Estate",Sai Kung,,1404
117,Manning Theatre Building,Wong Tai Sin,,1407
118,"Block A, Gomme House",Wong Tai Sin,,1408
119,"Tak Wo House, Wo Che Estate",Sha Tin,,1409
120,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,,1410
121,"Hung Shek House, Ping Shek Estate",Kwun Tong,,1414
122,"Wah Yuen House, Chuk Yuen South Estate",Wong Tai Sin,,1415
123,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1416
124,Sheraton Hotel Hong Kong,Yau Tsim Mong,,1419
125,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,,1424
126,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,,1425
127,"Ling Nam Building, Cheung Ning Street",Kowloon City,,1426
128,"Block 7, Lung Mun Oasis",Tuen Mun,,1427
129,Orion Court,Yuen Long,,1428
130,"Tower 3, The Wings Phase 1",Sai Kung,,1429
131,Manning Theatre Building,Wong Tai Sin,,1430
132,"Block 10, Locwood Court, Kingswood Villas",Yuen Long,,1431
133,"Wu Kwong House, Wu King Estate",Tuen Mun,,1432
134,"Tower 8, Tsuen Kwan O Plaza",Sai Kung,,1433
135,183 Tai Nam Street,Sham Shui Po,,1434
136,"Cheong Yin House, Nam Cheong Estate",Sham Shui Po,,1435
137,"Luen Yuet House, Kwai Luen Estate",Kwai Tsing,,1436
138,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1437
139,Tong Kung Leng,North,,1438
140,"Block A, Wang Hong House, Hong Wah Court",Kwun Tong,,1439
141,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,,1440
142,"Block 2, Po Tin Interim Housing",Tuen Mun,,1442
143,"Po Kan House, Po Lam Estate",Sai Kung,,1443
144,"Ching On House, Tsz Ching Estate",Wong Tai Sin,,1444
145,"Ching On House, Tsz Ching Estate",Wong Tai Sin,,1445
146,"Block 1, Bayview Garden",Tsuen Wan,,1446
147,"Block 15, Braemar Hill Mansions",Eastern,,1447
148,"Tower 3, the Leighton Hill",Wan Chai,,1448
149,"Tan Fung House, Choi Hung Estate",Wong Tai Sin,,1449
150,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1450
151,"Block 1, Serenity Place",Sai Kung,,1453
152,"Lok King House, Lai King Estate",Kwai Tsing,,1454
153,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1455
154,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1456
155,"Tak Sui House, Tak Long Estate",Kowloon City,,1457
156,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1458
157,"On Chung House, Shun On Estate",Kwun Tong,,1463
158,"Yu Kui House, Yu Chui Court",Sha Tin,,1464
159,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1465
160,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1466
161,"Chui King House, Choi Hung Estate",Wong Tai Sin,,1467
162,"Chui King House, Choi Hung Estate",Wong Tai Sin,,1468
163,Dorsett Kwun Tong,Kwun Tong,,1469
164,"Tower 3, the Leighton Hill",Wan Chai,,1470
165,Aquamarine Garden,Tuen Mun,,1471
166,Berwick Mansion,Sham Shui Po,,1472
167,"Kam Chun House, Tung Chun Court",Eastern,,1474
168,"Block A, Clague Garden Estate",Tsuen Wan,,1475
169,"Man Kin House, Tsz Man Estate",Wong Tai Sin,,1477
170,"Toi Fung House, Fung Tak Estate",Wong Tai Sin,,1478
171,"Po Hong House, Po Lai Court",Sham Shui Po,,1479
172,"Yin Ming House, Chung Ming Court",Sai Kung,,1480
173,"Lai Pak House, Lai Tsui Court",Sham Shui Po,,1481
174,Orion Court,Yuen Long,,1482
175,Manley House,Yau Tsim Mong,,1483
176,"Kai Lok House, Kai Yip Estate",Kwun Tong,,1484
177,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1487
178,"Block 7, Lung Mun Oasis",Tuen Mun,,1490
179,"Fung Hei House, Fung Lai Court",Wong Tai Sin,,1491
180,"Pang Ching Court, Chuk Yuen Estate",Wong Tai Sin,,1492
181,"Block B, Lai Tong Building",Yau Tsim Mong,,1493
182,Panda Hotel,Tsuen Wan,,1495
183,"Sin Sam House, Lung Hang Estate",Sha Tin,,1497
184,Lucky Building,Kowloon City,,1498
185,Panda Hotel,Tsuen Wan,,1499
186,"Block 1, Serenity Place",Sai Kung,,1501
187,"Yue Yat House, Yue Tin Court",Sha Tin,,1506
188,"36 Tseuk Luk Street, San Po Kong",Wong Tai Sin,,1507
189,"36 Tseuk Luk Street, San Po Kong",Wong Tai Sin,,1508
190,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,,1509
191,Ka Wah Building,Wong Tai Sin,,1510
192,Ling Nam Building,Kowloon City,,1511
193,"Tsui Lok House, Tsui Ping (South) Estate",Kwun Tong,,1512
194,"Block A, Tung Lo Court",Sham Shui Po,,1513
195,"Ching Yuen House, Tsz Ching Estate",Wong Tai Sin,,1514
196,"Ching Tai House, Tsz Ching Estate",Wong Tai Sin,,1515
197,"Block B, Lai Tong Building",Yau Tsim Mong,,1516
198,"Man Kin House, Tsz Man Estate",Wong Tai Sin,,1517
199,"Sui Fat House, Siu Sai Wan Estate",Eastern,,1518
200,"Ching Yi House, Tsz Ching Estate",Wong Tai Sin,,1519
201,"Man Kin House, Tsz Man Estate",Wong Tai Sin,,1520
202,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,,1521
203,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,,1522
204,Lei Cheng Uk Plaza,Sham Shui Po,29/06/2020,1289
205,17-19 Man Wai Street 慶豐燒鵝餐廳小廚,Yau Tsim Mong,01/07/2020,1317
206,Shing Wah Mansion Van Gogh Kitchen,Wan Chai,01/07/2020,1319
207,The Octagon Sportful Garden Restaurant,Tsuen Wan,01/07/2020,1358
208,"Tamjai Yunnan Mixian, Kings Wing Plaza 2,",Sha Tin,01/07/2020,1385
209,Ngau Chi Wan Municipal Services Building 德利餐廳,Kwun Tong,01/07/2020,1414
210,Tuen Mun Town Plaza Teishoku 8,Tuen Mun,01/07/2020,"1402, 1403"
211,"HA IT Block, Kowloon Hospital",Kowloon City,02/07/2020,1292
212,"Home World (Site 12), The Whampoa",Kowloon City,02/07/2020,1296
213,"Treasure World, Site 11, Whampoa Garden",Kowloon City,02/07/2020,1296
214,Block 3 Tanner Garden,Eastern,02/07/2020,1296
215,Island Place,Eastern,02/07/2020,1296
216,113-115 Tung Choi Street,Yau Tsim Mong,02/07/2020,1296
217,Hong Kong River Trade Terminal 建榮飯堂,Tuen Mun,02/07/2020,"1269,1427, 1432,1490"
218,261 Castle Peak Road,Sham Shui Po,03/07/2020,1263
219,Hong Kong Disneyland Hotel,Islands,03/07/2020,1292
220,12A-12H Westlands Road Ladies & Gentlemen Restaurant,Eastern,03/07/2020,1304
221,Hysan Place Ippudo HK,Wan Chai,03/07/2020,1319
222,Dominion Centre,Wan Chai,03/07/2020,1319
223,Plaza Hollywood Mcdonald's,Wong Tai Sin,03/07/2020,1429
224,60 Yen Chow Street,Sham Shui Po,04/07/2020,1263
225,Ma On Shan Plaza,Sha Tin,04/07/2020,1292
226,Langham Place,Yau Tsim Mong,04/07/2020,1297
227,30-36 Mongkok Road Mcdonald's,Yau Tsim Mong,04/07/2020,1305
228,Diocesan Boys' School Primary Division,Kowloon City,04/07/2020,1313
229,Prudential CentreFood Republic,Yau Tsim Mong,04/07/2020,1313
230,Belvedere Garden Phase 3 Imperial Restaurant,Tsuen Wan,04/07/2020,1313
231,Harbour City Shake Shack,Yau Tsim Mong,04/07/2020,1319
232,Causeway Bay Plaza Deluxe Daikiya Japanese Restaurant,Wan Chai,04/07/2020,1319
233,5 Luard RoadFeather & Bone,Wan Chai,04/07/2020,1319
234,8 Clear Water Bay Road Infinity Eight,Kwun Tong,04/07/2020,1322
235,Temple Mall SouthKam Kee Cafe,Wong Tai Sin,04/07/2020,1358
236,Choi Wan Commercial Complex Choi Wan Market,Wong Tai Sin,04/07/2020,1361
237,Lei Yue Mun Municipal Services Building,Kwun Tong,04/07/2020,1368
238,Shui Chuen O Plaza 太子燒味,Sha Tin,04/07/2020,1379
239,Austin Plaza,Yau Tsim Mong,04/07/2020,1394
240,Victoria Mall,Yau Tsim Mong,04/07/2020,1394
241,Tung Wai Court Basement,Tuen Mun,04/07/2020,1402
242,Parklane Plaza,Tuen Mun,04/07/2020,1403
243,"Yuk Shek House, Ping Shek EstateBun Kee Congee & Noodle Foods",Kwun Tong,04/07/2020,"1269, 1283, 1291, 1297, 1322, 1361, 1388, 1414, 1456, 1457"
244,Lek Yuen Shopping Centre,Sha Tin,05/07/2020,1293
245,13 Tai Wai Road,Sha Tin,05/07/2020,1294
246,New Town Plaza,Sha Tin,05/07/2020,1294
247,Mongkok City Building,Yau Tsim Mong,05/07/2020,1304
248,Commerical Complex Choi Wan Estate McDonald's,Wong Tai Sin,05/07/2020,1305
249,Tseun Wan PlazaMou Mou Club,Tsuen Wan,05/07/2020,1313
250,Renaissance Hong Kong Harbour View Hotel,Wan Chai,05/07/2020,1313
251,Lee Theatre PlazaThe Graces Restaurant,Wan Chai,05/07/2020,1319
252,Man Tak House,Wong Tai Sin,05/07/2020,1322
253,Kwun Tong Plaza 龍寶酒家,Kwun Tong,05/07/2020,1332
254,Metro TownTong Kee Bao Dim,Sai Kung,05/07/2020,1356
255,24 Man Wai Street 新華寶城餐廳,Yau Tsim Mong,05/07/2020,1356
256,56-58 Nga Tsin Wai Road Shun Hing Restaurant,Kowloon City,05/07/2020,1358
257,Domain,Kwun Tong,05/07/2020,1368
258,Lei Yue Mun Plaza,Kwun Tong,05/07/2020,1368
259,Shui Chuen O Plaza McDonald’s,Sha Tin,05/07/2020,1381
260,Ma On Shan Plaza Beans Be Water,Sha Tin,05/07/2020,1385
261,MCP Central,Sai Kung,05/07/2020,1443
262,Nga Chi Wan Municipal Services Building,Wong Tai Sin,05/07/2020,1468
263,26-38 Man Ying Street Sun Fat Restaurant,Yau Tsim Mong,05/07/2020,"1289, 1301, 1317, 1324, 1329, 1396, 1438, 1449"
264,Kings Wing Plaza 1 Rich Pot,Sha Tin,06/07/2020,1293
265,The Church of Christ in China Rotary Secondary School,Wong Tai Sin,06/07/2020,1295
266,Richland Garden Shopping Arcade,Tuen Mun,06/07/2020,1296
267,Westlands Centre,Eastern,06/07/2020,1304
268,Harbour Plaza Metropolis,Yau Tsim Mong,06/07/2020,1313
269,Trade Square,Sham Shui Po,06/07/2020,1313
270,Choi Ming Shopping Centre茶魚飯后,Sai Kung,06/07/2020,1356
271,Lee Garden phase 1,Wan Chai,06/07/2020,1358
272,"Hyatt Regency Hong Kong, Sha Tin",Sha Tin,06/07/2020,1359
273,Oriental Crystal Finance Centre,Yau Tsim Mong,06/07/2020,1359
274,Wai King Building,Kwun Tong,06/07/2020,1371
275,Park Central Shopping Centre Kanada-ya,Sai Kung,06/07/2020,1375
276,Sun Chui Shopping Centre Pizza Hut,Sha Tin,06/07/2020,1387
277,2 Kwai Chi Pat,Wong Tai Sin,06/07/2020,1388
278,Yee Hing Court Via Restaurant,Yau Tsim Mong,06/07/2020,1426
279,Winsum Industrial Building,Sham Shui Po,06/07/2020,1428
280,Paul Y. Centre,Kwun Tong,06/07/2020,1431
281,"New Trade Plaza, 6 On Ping Street",Sha Tin,06/07/2020,1440
282,"Shop A&B, G/F, Honland Building, 108-118 Prince Edward RoadCafé de Coral",Yau Tsim Mong,06/07/2020,1512
283,Lung Hing Tong,Sham Shui Po,06/07/2020,1512
284,Dragon Centre,Sham Shui Po,06/07/2020,"1233, 1263, 1435"
285,12 Yuk Wah Cres Times Café,Wong Tai Sin,06/07/2020,"1358, 1359"
286,The Globe,Sham Shui Po,06/07/2020,"1359, 1464"
287,MOSTown,Sha Tin,06/07/2020,"1372, 1385"
288,60A Lung Chi Path 新志興至尊燒鵝大王,Wong Tai Sin,07/07/2020,1305
289,4-24 Ting Fu StreetPing Wheat Noodles,Kwun Tong,07/07/2020,1329
290,Our Lady's College,Wong Tai Sin,07/07/2020,1331
291,Sun Hing Furniture Commercial Building,Yau Tsim Mong,07/07/2020,1332
292,MTR Tiu Keng Leng StationHuman Health Medical Centre,Sai Kung,07/07/2020,1356.0
293,Tokwawan Mansion TamJaiSamGor,Kowloon City,07/07/2020,1368.0
294,67 Pak Tai Street,Kowloon City,07/07/2020,1368.0
295,CitygateGenki Sushi,Islands,07/07/2020,1377.0
296,Grand Central Plaza Beans The Greenhouse,Sha Tin,07/07/2020,1383.0
297,Temple Mall South ItaMoMo Café,Wong Tai Sin,07/07/2020,1383.0
298,Tsz Wan Shan Shopping CentrePho Nguyen Lan,Wong Tai Sin,07/07/2020,1383.0
299,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,Sha Tin,07/07/2020,1387.0
300,The L. Square,Wan Chai,07/07/2020,1415.0
301,Causeway Bay Plaza,Wan Chai,07/07/2020,1415.0
302,Kowloon Bay Industrial Centre,Kwun Tong,07/07/2020,1415.0
303,"Cheng Yu Tung Building, The Hong Kong Univeristy of Science and Technology",Sai Kung,07/07/2020,1416.0
304,The One,Yau Tsim Mong,07/07/2020,1431.0
305,"Cooked Food Centre, Pei Ho Street Municipal Services Building",Sham Shui Po,07/07/2020,1435.0
306,118 Connaught Road West,Central & Western,07/07/2020,1440.0
307,"Winfair Building, 8 Yuk Wah Crescent",Wong Tai Sin,07/07/2020,1487.0
308,Hong Kong Baptist Hospital,Kowloon City,07/07/2020,"1314, 1364"
309,"Argyle Centre Phase I, 688 Nathan Road, Mong Kok, Kowloon",Yau Tsim Mong,07/07/2020,"1315, 1512"
310,Choi Wan Commerical Complex Lucky Dragon Palace Restaurant,Wong Tai Sin,07/07/2020,"1361, 1397"
311,Sincere Podium,Yau Tsim Mong,08/07/2020,1368
312,Park Central Shopping Centre,Sai Kung,08/07/2020,1375
313,Po Leung Kuk Chee Jing Yin Primary School,Sha Tin,08/07/2020,1378
314,5 Jat Min Chuen Street,Sha Tin,08/07/2020,1379
315,"Wet market, Shui Chuen O Estate",Sha Tin,08/07/2020,1384
316,PopCorn,Sai Kung,08/07/2020,1404
317,"Phase 3, Ocean Shores,",Sai Kung,08/07/2020,1429
318,2G Somerset Road,Kowloon City,08/07/2020,1477
319,Tsz Wan Shan Shopping Centre Windsor,Wong Tai Sin,08/07/2020,1477
320,iSQUARE Yakiniku Gyukura,Yau Tsim Mong,08/07/2020,1480
321,Shui Chuen O Plaza,Sha Tin,08/07/2020,"1294, 1384, 1385"
322,City Garden Shopping Centre (Maxi Mall),Eastern,08/07/2020,"1390, 1447"
323,Maritime Square 2 Snack Express,Kwai Tsing,09/07/2020,1333
324,G.T. (Ellen Yeung) School,Sai Kung,09/07/2020,1371
325,City Plaza,Eastern,09/07/2020,1376
326,Legend Court Fo Shui Lo,Yau Tsim Mong,09/07/2020,1383
327,Hilton PlazaTamJai SamGor,Sha Tin,09/07/2020,1385
328,No.8 Clear Water Bay RoadCafé de Coral,Kwun Tong,09/07/2020,1394
329,World-wide Industrial Centre,Sha Tin,09/07/2020,1400
330,Christian Alliance S C Chan Memorial College,Tuen Mun,09/07/2020,1402
331,Shan King Estate Taoist Ching Chung Primary School,Tuen Mun,09/07/2020,1403
332,Wang Fung Building,Yuen Long,09/07/2020,1428
333,"Golden Centre, 94 Yen Chow Street 潮福蒸氣火 鍋",Sham Shui Po,09/07/2020,1435
334,Fu Hong Wet Market,Sai Kung,09/07/2020,1466
335,Tai Kiu Market,Yuen Long,09/07/2020,1471
336,Lions Rise Mall Gaia Veggie Shop,Wong Tai Sin,09/07/2020,1477
337,2 Sheung Ning Road TKO Gateway,Sai Kung,09/07/2020,1480
338,Pravo Hotel,Yau Tsim Mong,09/07/2020,1480
339,Universal Commercial Building,Yau Tsim Mong,09/07/2020,1480
340,To Kwa Wan Market and Government Offices,Kowloon City,09/07/2020,1498
341,Kam On Building,Wong Tai Sin,09/07/2020,1519
342,Ngau Chi Wan Market,Wong Tai Sin,09/07/2020,"1371, 1388, 1389, 1394"
343,Tse Wan Shan Shopping Centre,Wong Tai Sin,09/07/2020,"1404, 1477"
344,Fu Fai Commercial Centre Dim Sum Square,Central & Western,09/07/2020,"1474, 1479, 1518"
345,MTR Choi Hung Station Circle K,Wong Tai Sin,10/07/2020,1414
346,Ping Shek Estate Fortune Harbour Restaurant,Kwun Tong,10/07/2020,1414
347,42 Yuk Wah Street,Wong Tai Sin,10/07/2020,1445
348,Ping Shek Estate Market,Kwun Tong,10/07/2020,1455
349,Lutheran School for the Deaf,Kwai Tsing,10/07/2020,1457
350,Tseung Kwan O Plaza,Sai Kung,10/07/2020,1466
351,San Hui Market,Tuen Mun,10/07/2020,1471
352,Tung Chau Street Park Squash Centre,Sham Shui Po,10/07/2020,1472
353,58 Yuk Wah Street,Wong Tai Sin,10/07/2020,1477
354,Tsz Wan Shan Shopping Centre Deluxe Cuisine,Wong Tai Sin,10/07/2020,"1365, 1393, 1424, 1425, 1509, 1515"
355,Ching Long Shopping Centre Zone A,Kowloon City,11/07/2020,1457
356,Shui Wo Street Municipal Services Building,Kwun Tong,11/07/2020,1512
357,St. Teresa's Hospital,Kowloon City,11/07/2020,1513
358,"Tsz Wan Shan Shopping Centre, Green River Restaurant",Wong Tai Sin,11/07/2020,"1430, 1440, 1444, 1445, 1484, 1519"
359,Market in Choi Wan(I) Estate,Wong Tai Sin,12/07/2020,1401
360,Shatin Centre,Sha Tin,12/07/2020,1434
361,Tsui Ping Commercial Complex,Kwun Tong,12/07/2020,1512
362,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,12/07/2020,"1310, 1311, 1312, 1321, 1408, 1410"
363,Good Hope School,Wong Tai Sin,12/07/2020,"1375, 1429, 1437"
364,104 Fuk Wa Street 圓方餃子粥麵,Sham Shui Po,13/07/2020,1434
365,New Kowloon Plaza Ming Garden Restaurant,Yau Tsim Mong,13/07/2020,1488
366,Wo Che Plaza 金百滬,Sha Tin,13/07/2020,"1372, 1434"
367,Lek Yuen Shopping Centre 富東閣海鮮酒家,Sha Tin,13/07/2020,"1372, 1434"
