,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,灣仔,柏寧酒店,892,
1,元朗,加州花園(1期 C)偉仕居紫蘭徑,893,
2,中西區,寶德臺,894,
3,九龍城,金城大廈,895,
4,沙田,名城 2期 1座,896,
5,中西區,縉城峰 2座,897,
6,北區,下山雞乙,898,
7,中西區,Lexington Hill,899,
8,中西區,雍景臺,900,
9,灣仔,永富苑,901,
10,元朗,仁壽圍,902,
11,西貢,寶盈花園 7座,903,
12,屯門,新墟村,905,
13,九龍城,愛民邨昭民樓,912,
14,九龍城,愛民邨昭民樓,913,
15,觀塘,高翔苑高靜閣,914,
16,九龍城,北帝街 123號,915,
17,油尖旺,香港旺角智選假日酒店,廣東省衞健委通報的個案,
18,中西區,弓絃巷 40-42號,916,
19,南區,海怡半島 4座,917,
20,油尖旺,美麗都大廈福建酒店,918,
21,西貢,茅莆路,919,
22,灣仔,灣仔帝盛酒店,920,
23,油尖旺,瓏璽 6B座,921,
24,元朗,錦田吉慶圍,922,
25,沙田,湖景花園 (洋房區),923,
26,觀塘,秀茂坪邨秀緻樓,924,
27,九龍城,九龍城德朗邨德璋樓,925,
28,元朗,天澤邨澤輝樓,926,
29,葵青,葵涌邨綠葵樓,928,
30,灣仔,益誠樓,929,
31,東區,華裕閣,932,
32,油尖旺,廟街 109號,933,
33,元朗,錦綉花園 C段 5街,934,
34,南區,舂坎角道,935,
35,沙田,顯徑邨顯貴樓,936,
36,油尖旺,旺角帝盛酒店,廣東省衞健委通報的個案,
37,中西區,香港萬怡酒店,,
38,灣仔,嘉薈軒,937,
39,中西區,德輔道西 288號,938,
40,西貢,坑口村,939,
41,西貢,早禾居,940,
42,荃灣,豪景花園 2座,943,
43,屯門,富泰村健泰樓,944,
44,北區,海禧華庭 2座,945,
45,離島,藍天海岸 6座,946,
46,中西區,明珠台 D座,947,
47,灣仔,柏寧酒店,948,
48,油尖旺,帝國酒店,949,
49,油尖旺,恆豐酒店,949,
50,元朗,蕃田村,950,
51,中西區,縉城峰 2座,953,
52,東區,新翠花園 6座,954,
53,元朗,大井圍村,955,
54,屯門,海景花園 8座,956,
55,東區,華裕閣,957,
56,東區,華裕閣,958,
57,荃灣,荃灣絲麗酒店,959,
58,觀塘,油塘工業城 B1座,960,
59,油尖旺,華寶大廈,961,
60,東區,太古城金殿台漢宮閣,962,
61,東區,華美達盛景酒店,963,
62,九龍城,新德園,964,
63,中西區,禧福道 1號新德園,965,
64,油尖旺,瓏璽 6B座,966,
65,中西區,文咸東街 127號萬和閣,968,
66,觀塘,滙景花園 2座,969,
67,葵青,荃灣帝盛酒店,970,
68,離島,愉景灣朝暉徑,971,
69,油尖旺,漆咸道南 83-85號金德大廈,972,
70,中西區,皇后大道中 273-277號禧利大廈,973,
71,九龍城,東禧閣,974,
72,大埔,龍成堡,975,
73,元朗,十八鄉東頭村,976,
74,荃灣,珀麗灣 30座,977,
75,中西區,Branksome Grande,978,
76,灣仔,V Wanchai,979,
77,大埔,滌濤山,981,
78,沙田,駿景園 6座,982,
79,觀塘,秀茂坪邨秀程樓,983,
80,離島,愉景灣倚濤軒,984,
81,油尖旺,君匯港 1座,985,
82,中西區,宏基國際賓館,987,
83,沙田,雲疊花園 2座,988,
84,九龍城,太子道西 226號皇子大廈,989,
85,中西區,君珀,990,
86,油尖旺,香港基督教青年會,992,
87,中西區,花園台 3座,993,
88,元朗,田心村,996,
89,沙田,雲端,997,
90,元朗,十八鄉東頭村,998,
91,中西區,香港萬怡酒店,1000,
92,中西區,碧雲樓,1001,
93,屯門,松苑 1座,1002,
94,元朗,仁壽圍,1003,
95,葵青,大窩口邨富泰樓,1004,
96,屯門,海景花園 8座,1005,
97,沙田,雲疊花園 2座,1007,
98,中西區,花園台 3座,1009,
99,屯門,星堤 11座,1013,
100,葵青,荃灣絲麗酒店,1015,
101,灣仔,太極軒 138,1017,
102,油尖旺,旺角維景酒店,1018,
103,深水埗,樂年花園二座,1018,
104,東區,康怡花園 F座,1022,
105,離島,海堤灣畔一座,1024,
106,九龍城,寶石戲院大廈 A座,1025,
107,離島,裕東苑賀東閣,1026,
108,中西區,好利商業大廈,"182, 227, 276, 343, 360, 362, 367, 384, 386, 387, 389, 394, 411, 422, 432, 433, 440, 442, 453, 497, 501, 511, 513, 576, 627, 746, 877",24/03/2020
109,灣仔,謝斐道 76號,"276, 343, 362, 367, 386, 387, 389, 413, 432, 433, 434, 440, 477, 499, 501, 509, 513, 519, 524, 576, 635, 638, 707, 746, 864, 877, 951",24/03/2020
110,油尖旺,諾士佛臺 9號,"387, 389, 395, 411, 428, 433, 447, 450, 458, 462, 466,  483, 484, 498, 501, 510, 511, 512, 513, 514, 517, 526, 573, 581, 614, 615, 625, 663, 670, 674, 746, 755, 846, 863, 904, 906, 998",24/03/2020
111,油尖旺,諾士佛臺 10-11號,"483, 516",24/03/2020
112,油尖旺,明華廣場,"567, 842",24/03/2020
113,油尖旺,加拿分道 25號,"662, 687, 702, 704, 705, 758, 759",24/03/2020
114,灣仔,樂聲大廈,"903, 923, 925, 932, 954",25/03/2020
115,灣仔,盧押道 23號,"682, 857",26/03/2020
116,灣仔,謝斐道 82號,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973",27/03/2020
117,油尖旺,國際廣場,"504, 756",28/03/2020
118,油尖旺,諾士佛臺 10號,"567, 842",28/03/2020
119,油尖旺,K11 Musea,"687, 702, 704, 705, 758, 759",28/03/2020
120,南區,業勤街 23號,"719, 801, 849",28/03/2020
121,深水埗,石硤尾報案中心及西九龍機 動部隊行動基地,"663, 854",01/04/2020
122,東區,華蘭中心,"801, 960",01/04/2020
123,灣仔,告士打道 88號,"923, 925",03/04/2020
124,中西區,信德中心,"923, 932",04/04/2020
125,灣仔,皇室堡,"903, 925, 944",05/04/2020
126,灣仔,香港港安醫院,935,06/04/2020
127,北區,石湖墟市政大廈,945,06/04/2020
128,北區,海聯廣場,945,06/04/2020
129,東區,漁灣街市,958,06/04/2020
130,東區,漁灣邨行政大樓,958,06/04/2020
131,觀塘,大本型,960,06/04/2020
132,中西區,文咸東街 121號,971,06/04/2020
133,灣仔,英皇集團中心,972,06/04/2020
134,中西區,萬邦行,978,06/04/2020
135,黃大仙,八達工業大廈,978,06/04/2020
136,中西區,置地文華東方酒店,978,06/04/2020
137,油尖旺,新東海商業中心,955,07/04/2020
138,九龍城,又一城,955,07/04/2020
139,中西區,皇后大道中 176號,972,07/04/2020
140,中西區,中保集團大廈,972,07/04/2020
141,中西區,皇后大道中 9號,972,07/04/2020
142,元朗,嘉湖新北江商場,996,07/04/2020
143,油尖旺,金德大廈,972,08/04/2020
144,油尖旺,赫德道 8號,972,08/04/2020
145,中西區,環球大廈,981,08/04/2020
146,元朗,百宜樓,996,08/04/2020
147,元朗,安寧大廈,996,08/04/2020
148,元朗,+WOO 嘉湖,976,09/04/2020
149,東區,康怡廣場(南),1022,11/04/2020
150,灣仔,希雲街 16號,1022,11/04/2020
151,屯門,黃金海岸鄉村俱樂部.遊艇 會,1013,12/04/2020
152,灣仔,養和醫院,1013,12/04/2020
153,灣仔,養和醫院,1022,13/04/2020
154,東區,太古城中心,1022,14/04/2020
