,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,Yan Sau Wai,Yuen Long,,455,
1,"Sau Wah House, Sau Mau Ping Estate",Kwun Tong,,458,
2,Shining Heights,Yau Tsim Mong,,459,
3,"Tower 9, Metro City Phase 2",Sai Kung,,460,
4,"Twilight Court, Peninsula Village",Islands,,461,
5,"Block A, Hyde Towers",Kwun Tong,,462,
6,"Block B, Abba House",Southern,,463,
7,Scholastic Garden,Central & Western,,464,
8,8 Kennedy Road,Central & Western,,465,
9,"Block 4, Sun Yuen Long Centre",Yuen Long,,466,
10,"Block A, Elm Tree Towers",Wan Chai,,467,
11,"Block 2, Villas Sorrento",Central & Western,,468,
12,OZO Wesley Hong Kong,Wan Chai,,469,
13,YMCA,Yau Tsim Mong,,470,
14,"Block 2, Sun Tuen Mun Centre",Tuen Mun,,471,
15,"Tower 2, Solaria",Tai Po,,472,
16,392 Reclamation Street,Yau Tsim Mong,,473,
17,The Luxe Manor,Yau Tsim Mong,,474,
18,The Palisades,Sai Kung,,475,
19,57 South Bay Road,Southern,,476,
20,Yick Shing Mansion,Wan Chai,,477,
21,"5B, Wings At Sea, Lohas Park",Sai Kung,,478,
22,"Hoi Tsui Mansion, Riviera Gardens",Tsuen Wan,,480,
23,33 Kam Wa Street,Eastern,,481,
24,Dorsett Kwun Tong,Kwun Tong,,482,
25,Scenery Garden,Sha Tin,,483,
26,"Ching Ming House, Tsz Ching Estate",Wong Tai Sin,,484,
27,L’ Hotel Island South,Southern,,485,
28,Courtyard by Marriott Hong Kong Sha Tin,Sha Tin,,486,
29,OZO Wesley Hong Kong,Wan Chai,,487,
30,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,488,
31,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,489,
32,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,490,
33,"Block 14, Richland Gardens",Kwun Tong,,491,
34,"Block 8, Tierra Verde",Kwai Tsing,,492,
35,"Block 3, Charming Garden",Yau Tsim Mong,,493,
36,Super Tower,Sham Shui Po,,494,
37,"Hin Yeung House, Hin Keng Estate",Sha Tin,,495,
38,Kam Fung Building,Southern,,496,
39,Willie Court,Yau Tsim Mong,,497,
40,Tsim Sha Tsui Mansion,Yau Tsim Mong,,498,
41,Kensington Plaza,Yau Tsim Mong,,499,
42,"Block 33, Heng Fa Chuen",Eastern,,500,
43,Hang Shun Mansions,Wan Chai,,501,
44,"Block 3, Chelsea Heights",Tuen Mun,,504,
45,"Block 2, Castello",Sha Tin,,507,
46,"Block CD, 142 Pokfulam Road",Southern,,508,
47,Hing Lee Building,Kowloon City,,509,
48,"Wai Sum House, Lung Hang Estate",Sha Tin,,510,
49,"2B, Park Yoho",Yuen Long,,511,
50,Wai Ching Mansion,Yau Tsim Mong,,512,
51,310-312 Hennessy Road,Wan Chai,,513,
52,"Tower 3, Mantin Heights",Kowloon City,,514,
53,"Block A, Hyde Tower",Kwun Tong,,515,
54,Shun Hing Building,Yau Tsim Mong,,516,
55,280 Ki Lung Street,Sham Shui Po,,517,
56,Telford Gardens Block Q2,Kwun Tong,,518,
57,315 Nathan Road,Yau Tsim Mong,,519,
58,"Tower 3, Waterfront",Yau Tsim Mong,,520,
59,"Tower 2, Centrestage",Central & Western,,522,
60,"Tower 2, Centrestage",Central & Western,,523,
61,Ka Yee Building,Wan Chai,,524,
62,238-240 Lockhart Road,Wan Chai,,525,
63,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,526,
64,Queen’s Cube,Wan Chai,,528,
65,Ocean View Court,Yau Tsim Mong,,529,
66,22 Cheong Lok Street,Yau Tsim Mong,,531,
67,Silka Tsuen Wan Hotel,Kwai Tsing,,532,
68,"Pik Shan House, Shek Pai Wan Estate",Southern,,533,
69,Fok Cheong Building,Eastern,,534,
70,32 Gough Street,Central & Western,,535,
71,Golden Jubilee House,Wan Chai,,536,
72,Ardshiel,Central & Western,,537,
73,Sausalito Tower 6,Sha Tin,,538,
74,"Block E, Kam Ying Court",Sha Tin,,539,
75,Ramada Hong Kong Harbour View Hotel,Central & Western,,540,
