,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Sham Shui Po,184 Tai Nan Street,8848,
1,Sham Shui Po,Wah Po House,8849,
2,Wong Tai Sin,Hong Kong Sheng Kung Hui Nursing Home,8852,
3,Eastern,"Sui Tai House, Siu Sai Wan Estate",8854,
4,Kwai Tsing,"Lai Ying House, Lai Yan Court",8856,
5,Tuen Mun,Hotel Cozi Resort,8857,
6,Sham Shui Po,"Fook Yat House, Fortune Estate",8858,
7,Sham Shui Po,"Tower 2, Heya Star",8859,
8,Sham Shui Po,"Tower 2, Heya Star",8860,
9,Eastern,"Yiu Fook House, Yiu Tung Estate",8861,
10,Sham Shui Po,"Fu Yee House, Fu Cheong Estate",8862,
11,Kwun Tong,"Lee Hong House, Shun Lee Estate",8863,
12,Kowloon City,"Chi Chun Lau, Chun Seen Mei Chuen",8864,
13,Sai Kung,"Po Chi House, Po Lam Estate",8865,
14,Sham Shui Po,"Un Nga House, Un Chau Estate",8866,
15,Yau Tsim Mong,Mai Koon Building,8867,
16,Kowloon City,"Hung Yan House, Hung Hom Estate",8868,
17,Yuen Long,Kat Hing Wai,8869,
18,Kowloon City,Kwun Hei Court,8870,
19,Kwai Tsing,"Kwai Yat House, Kwai Hong Court",8871,
20,Kwun Tong,"Block A, Wah Fung Gardens",8872,
21,Eastern,Tai Lung House,8873,
22,Eastern,"Block 5, New Jade Garden",8874,
23,Eastern,"Block 5, New Jade Garden",8875,
24,Sham Shui Po,Tai Po House,8876,
25,Southern,Command Tower,8877,
26,Eastern,"Block 4, Cheerful Garden",8878,
27,Central & Western,Grand City Hotel,8880,
28,Yau Tsim Mong,"Kam Tong Building, 1M-1S Waterloo Road",8881,
29,Wan Chai,Monmouth Place,8882,
30,Central & Western,Ramada Hong Kong Harbour View,8884,
31,Kwai Tsing,Dorsett Tsuen Wan Hong Kong,8885,
32,Yuen Long,Kat Hing Wai,8886,
33,Yuen Long,Kat Hing Wai,8887,
34,Yuen Long,Kat Hing Wai,8888,
35,Yuen Long,"Jumbo Building, 11-11A Pau Cheung Square",8889,
36,Wong Tai Sin,18 Choi Hung Road,8890,
37,Eastern,"Block 4, Lok Hin Terrace",8891,
38,Eastern,"Block 4, Lok Hin Terrace",8892,
39,Kowloon City,"Magnolia House, Ma Tau Wai Estate",8893,
40,Sham Shui Po,"Wing Hei House, Po Hei Court",8894,
41,Yuen Long,Kat Hing Wai,8895,
42,Sai Kung,"Po Chi House, Po Lam Estate",8896,
43,Kowloon City,"Chi Chun Lau, Chun Seen Mei Chuen",8897,
44,Kwai Tsing,Tai Wong Ha Resite Village,8898,
45,Sham Shui Po,355 Tai Nan Street,8899,
46,Sham Shui Po,Wah Po House,8900,
47,Kowloon City,"Chi Chun Lau, Chun Seen Mei Chuen",8901,
48,Yuen Long,"Chuen Shui House, Shui Pin Wai Estate",8902,
49,Sai Kung,"Po Chi House, Po Lam Estate",8903,
50,Kwun Tong,"Block 21, Laguna City",8904,
51,North,Kai Leng Tsuen,8905,
52,Yuen Long,Kat Hing Wai,8906,
53,Yau Tsim Mong,"Block A, United Mansion",8907,
54,Yau Tsim Mong,"Block A, United Mansion",8908,
55,Southern,"Tung Hing House, Lei Tung Estate",8909,
56,Kwun Tong,"Fung Lai House, Yau Lai Estate",8910,
57,Kowloon City,"Block 2, Majestic Park",8911,
58,Sham Shui Po,Wah Po House,8912,
59,Sai Kung,"Almond Blossom, Tower 9 (Left Wing), La Splendeur, LOHAS Park",8913,
60,Kowloon City,"Block 2, Majestic Park",8914,
61,Kowloon City,"Block A, Lux Theatre Building",8915,
62,Yuen Long,Tin Sam Tsuen,8916,
63,Kwun Tong,"Sau Yin House, Sau Mau Ping Estate",8917,
64,Wan Chai,Jet Foil Mansion,8918,
65,Wan Chai,Jet Foil Mansion,8919,
66,Yau Tsim Mong,Ramada Hong Kong Grand,8920,
67,Yuen Long,"Block 2, Grandeur Terrace",8921,
68,Wong Tai Sin,"Hong Yun House, Tsz Hong Estate",8922,
69,Wong Tai Sin,"Block 4, Kai Tak Garden",8923,
70,Sham Shui Po,"Fook Yuet House, Fortune Estate",8924,
71,Central & Western,Tung Tat Building,8925,
72,Kwai Tsing,Lion Building,8926,
73,Sha Tin,"Tower 5, Phase 2, Festival City",8927,
74,Yau Tsim Mong,Man Ying Building,8928,
75,Wong Tai Sin,"Sau Man House, Choi Wan (I) Estate",8929,
