,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Pollock Building,Yau Tsim Mong,2642,
1,"Hong Kin House, Tsz Hong Estate",Wong Tai Sin,2715,
2,"Wing Lok House, Fuk Loi Estate",Tsuen Wan,2772,
3,Hing Tat Mansion,Kwun Tong,2914,
4,"Wing Lok House, Fuk Loi Estate",Tsuen Wan,2981,
5,"Block 7, Bellagio",Tsuen Wan,3005,
6,Ta Lung House,Kowloon City,3007,
7,"Ying Lok House, Choi Ying Estate",Kwun Tong,3009,
8,Ta Lung House,Kowloon City,3010,
9,Ta Lung House,Kowloon City,3011,
10,Ta Lung House,Kowloon City,3012,
11,Morning Light Building,Kwun Tong,3013,
12,Tsui Fung Building,Wong Tai Sin,3015,
13,"Block 5, Shun Lee Disciplined Services Quarters",Kwun Tong,3016,
14,"Block 5, Shun Lee Disciplined Services Quarters",Kwun Tong,3017,
15,"Sau Shan House, Cheung Shan Estate",Tsuen Wan,3018,
16,"Mei Tak House, Mei Tung Estate",Kowloon City,3019,
17,"Mei Tak House, Mei Tung Estate",Kowloon City,3020,
18,"Mei Tak House, Mei Tung Estate",Kowloon City,3021,
19,"Wo Hing House, Hing Wah (II) Estate",Eastern,3022,
20,"Chui Yuen House, Chuk Yuen South Estate",Wong Tai Sin,3023,
21,Ching Shing Court,Kwai Tsing,3024,
22,"Block 2, Lily Mansions, Site 9, Whampoa Garden",Kowloon City,3025,
23,"Luen Yuet House, Kwai Luen Estate",Kwai Tsing,3026,
24,Top View Mansion,Wan Chai,3027,
25,"Choi Lok House, Choi Fook Estate",Kwun Tong,3028,
26,"Choi Lok House, Choi Fook Estate",Kwun Tong,3029,
27,Pao Fung Mansion,Sham Shui Po,3030,
28,"Block 2, Royal Peninsula",Kowloon City,3031,
29,Ting Sun Plaza,Kowloon City,3032,
30,"Mei Chuen House, Mei Tin Estate",Sha Tin,3033,
31,"Mei Chuen House, Mei Tin Estate",Sha Tin,3034,
32,"Lok Chuen House, Shui Chuen O Estate",Sha Tin,3035,
33,"Block B, Sun Sing Centre",Eastern,3036,
34,"Block B, Sun Sing Centre",Eastern,3037,
35,"Tsui Tin House, Pak Tin Estate",Sham Shui Po,3038,
36,Wing Wo Building,Kowloon City,3039,
37,"Shing Hei House, Kwai Shing East Estate",Kwai Tsing,3040,
38,Po Sheung Tsuen,North,3041,
39,"Kui Yat House, Yat Tung (2) Estate",Islands,3042,
40,"Po Shan House, Po Pui Court",Kwun Tong,3043,
41,"Block 5, Rhythm Garden",Wong Tai Sin,3044,
42,"Wai Man House, Oi Man Estate",Kowloon City,3046,
43,"Block 2, Phase 1, The Cairnhill",Tsuen Wan,3047,
44,Lodgewood Hotels Apartments by L'hotel,Wan Chai,3048,
45,Hing Cheong Building,Eastern,3049,
46,"Kui Yat House, Yat Tung (2) Estate",Islands,3050,
47,"Block 10, Laguna City",Kwun Tong,3051,
48,Rex Building,Yau Tsim Mong,3052,
49,Rex Building,Yau Tsim Mong,3053,
50,Yee On Building,Kwun Tong,3054,
51,"Tsui Lok House, Tsui Ping (South) Estate",Kwun Tong,3055,
52,"Yeung Mei House, Yau Chui Court",Kwun Tong,3056,
53,"Aster Sky, The Cullinan",Yau Tsim Mong,3057,
54,"Block 1, Greenknoll Court",Kwai Tsing,3058,
55,3 Nam Tau Street,Yau Tsim Mong,3059,
56,Gold Villa,Sai Kung,3060,
57,"Fu Shan Mansion, Kao Shan Terrace",Eastern,3061,
58,"Tower 3, Phase 1, Festival City",Sha Tin,3062,
59,"Mei Fung House, Mei Lam Estate",Sha Tin,3063,
60,Hung Leng,North,3064,
61,Fanling Wai,North,3065,
62,"Block 5, Saddle Ridge Garden",Sha Tin,3067,
63,Wo Fung Building,Sham Shui Po,3068,
64,"Lee Tsui House, Wan Tsui Estate",Eastern,3070,
65,"Block 3, The Zenith",Wan Chai,3071,
66,"Hing Tsui House, Hing Wah (I) Estate",Eastern,3072,
67,"Lee Tsui House, Wan Tsui Estate",Eastern,3073,
68,"Lee Tsui House, Wan Tsui Estate",Eastern,3074,
69,"Heng Shan House, Heng On Estate",Sha Tin,3075,
70,Shun Cheong Mansion,Yau Tsim Mong,3076,
71,"Lai Ching House, Lai On Estate",Sham Shui Po,3077,
72,Pok Fu Lam Village,Southern,3078,
73,"Block 10, Beverly Garden",Sai Kung,3079,
74,"Block C, Sai Kung Town Centre",Sai Kung,3080,
75,"Block 2, Tsui Lai Garden",North,3081,
76,"Po Man House, Oi Man Estate",Kowloon City,3082,
77,Wa Shan Tsuen,North,3083,
78,"Wa Kwong House, Wa Fu (I) Estate",Southern,3084,
79,"Block 26, Heng Fa Chuen",Eastern,3085,
80,Ming Yuet Building,Eastern,3086,
81,"Po Shan House, Po Pui Court",Kwun Tong,3087,
82,"Po Shan House, Po Pui Court",Kwun Tong,3088,
83,"Tsui Mui House, Tsui Ping (North) Estate",Kwun Tong,3089,
84,"No. 104, 105, 106, 107, 114, 115, G/F, & No. 112-113, Terrace 1, Wong Ka Wai",Tuen Mun,3090,
85,"Civic House, Affluence Garden",Tuen Mun,3091,
86,"San Yin House, San Wai Court",Tuen Mun,3092,
87,"Shing Hang House, Tin Shing Court",Yuen Long,3093,
88,Wine Street,Yuen Long,3094,
89,"Chak Sing House, Tin Chak Estate",Yuen Long,3095,
90,"Block 7, Hanford Garden",Tuen Mun,3096,
91,"Yat Long House, Tin Yat Estate",Yuen Long,3097,
92,"Block 2, Sereno Verde",Yuen Long,3098,
93,"Block 2, Sereno Verde",Yuen Long,3100,
94,"Block 9, Tsui Chuk Garden",Wong Tai Sin,3101,
95,"Block 8, Metro Harbour View",Yau Tsim Mong,3102,
96,88 Shau Kei Wan Road,Eastern,3103,
97,"Block 2, Grandway Garden",Sha Tin,3104,
98,"Mei Mun House, Mei Tin Estate",Sha Tin,3105,
99,"Oi Ming House, Yau Oi Estate",Tuen Mun,3106,
100,"Kai King Lau, Cho Yiu Chuen",Kwai Tsing,3107,
101,"Bik Tsui House, Kwai Tsui Estate",Kwai Tsing,3108,
102,"Oi Ming House, Yau Oi Estate",Tuen Mun,3109,
103,"Wah Tong House, Yau Tong Estate",Kwun Tong,3111,
104,"Mei Mun House, Mei Tin Estate",Sha Tin,3112,
105,"Stage 5, Mei Foo Sun Chuen",Sham Shui Po,3114,
106,"Ngan Fung House, Fung Tak Estate",Wong Tai Sin,3115,
107,"Lok Kwai House, Kwai Fuk Court",Kwai Tsing,3117,
108,Sun Sing Building,Eastern,3118,
109,"Tower 5, Grand Waterfront",Kowloon City,3119,
110,"Oi Tat House, On Tat Estate",Kwun Tong,3120,
111,"Lai Yung House, Lai Tsui Court",Sham Shui Po,3121,
112,"Siu Kei House, Siu Hong Court",Tuen Mun,3122,
113,"Heng Fung House, Heng On Estate",Sha Tin,3123,
114,"Block 7, Metro Town",Sai Kung,3124,
115,"Siu Kei House, Siu Hong Court",Tuen Mun,3125,
116,Sun Tai Building,Kowloon City,3126,
117,"Siu Kei House, Siu Hong Court",Tuen Mun,3127,
118,"Bik Tsui House, Kwai Tsui Estate",Kwai Tsing,3128,
119,"Wah Suen House, Ching Wah Court",Kwai Tsing,3130,
120,"Block 8, Oscar By The Sea",Sai Kung,3131,
121,"Tower 1, Goodview Garden",Tuen Mun,3132,
122,"Tower 11A, Phase 1A, Park Yoho",Yuen Long,3133,
123,"Siu Kei House, Siu Hong Court",Tuen Mun,3134,
124,"Lok Wong House, Tsz Lok Estate",Wong Tai Sin,3135,
125,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,3136,
126,Po Thai Building,Central & Western,3137,
127,"Wing Shue House, Lei Muk Shue Estate",Tsuen Wan,3138,
128,"Tsui Lok House, Tsui Ping (South) Estate",Kwun Tong,3139,
129,"Tak Sui House, Tak Long Estate",Kowloon City,3140,
130,"Tak Sui House, Tak Long Estate",Kowloon City,3141,
131,"Hiu Yat House, Hiu Lai Court",Kwun Tong,3142,
132,Tui Min Hoi Tsuen,Sai Kung,3143,
133,"Kar Man House, Oi Man Estate",Kowloon City,3144,
134,Wing Wah Building,Sham Shui Po,3145,
135,"Block F, Allway Gardens",Tsuen Wan,3146,
136,"Lam Shek House, Ping Shek Estate",Kwun Tong,3147,
137,"Mei Fung House, Mei Lam Estate",Sha Tin,3148,
138,"Lai Ming House, Wah Ming Estate",North,3149,
139,"Block 5, Shun Lee Disciplined Services Quarters",Kwun Tong,3150,
140,"Career Court, Tonkin Street",Sham Shui Po,3151,
141,"Tower 6, Le Prime, Lohas Park",Sai Kung,3152,
142,"No. 104, 105, 106, 107, 114, 115, G/F, & No. 112-113, Terrace 1, Wong Ka Wai",Tuen Mun,3153,
143,"Tat Kwai House, Po Tat Estate",Kwun Tong,3154,
144,"Hiu Tao House, Tung Tao Court",Eastern,3155,
145,"Block 2, Melody Garden",Tuen Mun,3156,
146,"Wang Hong House, Hong Wah Court",Kwun Tong,3157,
147,"Block A, Phase 3, Kwan Yick Building",Central & Western,3158,
148,"Block 1, Fung Shing Street Disciplined Services Quarters",Wong Tai Sin,3159,
149,"Chung Ming House, Wah Ming Estate",North,3160,
150,"Chi Shek House, Shek Yam Estate",Kwai Tsing,3161,
151,"Block 1, Grandway Garden",Sha Tin,3162,
152,Golden Crown Court,Yau Tsim Mong,3163,
153,"Block 4, City One Shatin",Sha Tin,3164,
154,"Block 1, Well On Garden",Sai Kung,3165,
155,"Golden Cassia Court, Full Wealth Gardens",Eastern,3166,
156,"Golden Cassia Court, Full Wealth Gardens",Eastern,3167,
157,Dorsett Tsuen Wan,Kwai Tsing,3169,
158,"Po Man House, Oi Man Estate",Kowloon City,3170,
159,"Tsz Fung House, Fung Tak Estate",Wong Tai Sin,3171,
160,"Nga Kwai House, Kwai Chung Estate",Kwai Tsing,3172,
161,"Nga Kwai House, Kwai Chung Estate",Kwai Tsing,3173,
162,"Nga Kwai House, Kwai Chung Estate",Kwai Tsing,3174,
163,"Nga Kwai House, Kwai Chung Estate",Kwai Tsing,3175,
164,Hong Lok House,Yau Tsim Mong,3176,
165,"Lok Kei Lau, Lok Man Sun Chuen",Kowloon City,3177,
166,3 To Kwa Wan Road,Kowloon City,3178,
167,"Hoi Wan Mansion, Riviera Gardens",Tsuen Wan,3179,
168,Cheong Ip Building,Wan Chai,3180,
169,"Boon Yuet House, Choi Wan (I) Estate",Wong Tai Sin,3181,
170,"Boon Yuet House, Choi Wan (I) Estate",Wong Tai Sin,3182,
171,"Lok Cheung House, Tsz Lok Estate",Wong Tai Sin,3183,
