,Building name,District,"Last date of visitby any of theinvolved case(s)","Related confirmed /probable cases","Related confirmed / probablecase number"
27,"Commercial Centre 1, Yat TungShopping Centre",Islands,20/03/2020,371,
28,22 Wai Yan Street,Tai Po,20/03/2020,377,
0,48 Po Heung Street,Tai Po,20/03/2020,377,
1,Sands Building,Yau Tsim Mong,20/03/2020,388,
2,Yip Fung Building,Central & Western,20/03/2020,391,
3,K11,Yau Tsim Mong,20/03/2020,400,
4,K11,Yau Tsim Mong,20/03/2020,401,
5,Mira Place Tower A,Yau Tsim Mong,20/03/2020,405,
6,Cathay Pacific City,Islands,20/03/2020,411,
7,Manulife Tower,Kwun Tong,20/03/2020,414,
8,Austin Tower Phase II,Yau Tsim Mong,20/03/2020,415,
9,Manson House,Yau Tsim Mong,20/03/2020,428,
10,Marina Square East Centre,Southern,20/03/2020,429,
11,26 Nathan Road,Yau Tsim Mong,20/03/2020,437,
12,7 Ashley Road,Yau Tsim Mong,20/03/2020,437,
13,6 Knutsford Terrace,Yau Tsim Mong,20/03/2020,466,
14,10 Knutsford Terrace,Yau Tsim Mong,20/03/2020,466,
15,39 Hankow Road,Yau Tsim Mong,20/03/2020,514,
16,iSQUARE,Yau Tsim Mong,20/03/2020,514,
17,18 Java Road,Eastern,20/03/2020,534,
18,Kai Tak Garden Shopping Arcade,Wong Tai Sin,21/03/2020,275,
19,Le Meridien Cyberport,Southern,21/03/2020,316,
20,16 Science Park Avenue,Sha Tin,21/03/2020,333,
21,Elements,Yau Tsim Mong,21/03/2020,346,
22,Uptown Plaza,Tai Po,21/03/2020,377,
23,Hysan Place,Wan Chai,21/03/2020,402,
24,"Hei Tsui House, Wan Tsui Estate",Eastern,21/03/2020,412,
0,Philip House,Yau Tsim Mong,21/03/2020,415,
1,Olympian City 2,Yau Tsim Mong,21/03/2020,428,
2,"Block 3, Golden Dragon IndustrialCentre",Kwai Tsing,21/03/2020,442,
3,314 Sai Yeung Choi Street North,Yau Tsim Mong,21/03/2020,450,
4,Tai Kok Tsui Municipal,Yau Tsim Mong,21/03/2020,450,
5,Elements,Yau Tsim Mong,21/03/2020,464,
6,Central Buildling,Central & Western,21/03/2020,465,
7,Coda Plaza,Central & Western,21/03/2020,476,
8,Ho Lee Commercial Building,Central & Western,22/03/2020,"182, 227, 276, 343,360, 362, 367, 384,386, 387, 389, 394,411, 422, 432, 433,440, 442, 453, 497,501, 511, 513, 576,627",
9,2B Hung Fook Street,Kowloon City,22/03/2020,385,
10,Mai Kei Building,Tuen Mun,22/03/2020,411,
11,69 - 119 Broadway Street,Sham Shui Po,22/03/2020,414,
12,Empire Centre,Yau Tsim Mong,22/03/2020,415,
13,Central Building,Central & Western,22/03/2020,420,
14,"Chai Wan Municipal ServicesBuilding",Eastern,22/03/2020,422,
15,354 Hennessy Road,Wan Chai,22/03/2020,423,
16,Dragon Rise Building,Wan Chai,22/03/2020,423,
17,Citywalk Phase 1,Tsuen Wan,22/03/2020,428,
18,Hing Wah Plaza,Eastern,22/03/2020,442,
19,88 Gloucester Road,Wan Chai,22/03/2020,524,
0,33 Des Voeux Road Central,Central & Western,23/03/2020,402,
1,Lai Wan Market,Sham Shui Po,23/03/2020,414,
2,Best Western Plus Hotel Kowloon,Yau Tsim Mong,23/03/2020,415,
3,Wing On House,Central & Western,23/03/2020,422,
4,Wai Fong Court,Eastern,23/03/2020,422,
5,Hollywood Plaza,Yau Tsim Mong,23/03/2020,428,
6,King Wah Centre,Yau Tsim Mong,23/03/2020,428,
7,498-500 Nathan Road,Yau Tsim Mong,23/03/2020,437,
8,Hang Lung Centre,Wan Chai,23/03/2020,465,
9,Henley Building,Central & Western,23/03/2020,466,
10,Hysan Place,Wan Chai,23/03/2020,466,
11,The Park Lane,Wan Chai,23/03/2020,466,
12,Sha Tin Government Offices,Shatin,23/03/2020,514,
13,Lee Chau Commercial Building,Yau Tsim Mong,23/03/2020,516,
14,76 Jaffe Road,Wan Chai,24/03/2020,"276, 343, 362, 367,386, 387, 389, 413,432, 433, 434, 440,477, 499, 501, 509,513, 519, 524, 576,635, 638",
15,Wah Po Building,Central & Western,24/03/2020,319,
16,9 Knutsford Terrace,Yau Tsim Mong,24/03/2020,"387, 389, 395, 411,428, 433, 447, 450,458, 462, 466,483,484, 498, 501, 510,511, 512, 513, 514,517, 526, 573, 581,614, 615, 625",
17,Silvercord,Yau Tsim Mong,24/03/2020,388,
18,Lander Hotel Prince Edward,Sham Shui Po,24/03/2020,388,
0,Mary Building,Yau Tsim Mong,24/03/2020,388,
1,Sceneway Plaza,Kwun Tong,24/03/2020,412,
2,Ping Yan Shopping Centre,Yuen Long,24/03/2020,413,
3,China Insurance Group Building,Central & Western,24/03/2020,415,
4,Sham Shui Po Police Station,Sham Shui Po,24/03/2020,428,
5,Metroplaza,Kwai Tsing,24/03/2020,442,
6,Yin Hing Building,Wong Tai Sin,24/03/2020,450,
7,Hyatt Regency Hong Kong,Sha Tin,24/03/2020,458,
8,Eu Yan Sang Tower,Yau Tsim Mong,24/03/2020,465,
9,"ICBC Tower, Garden Road",Central & Western,24/03/2020,467,
10,10-11 Knustsford Terrace,Yau Tsim Mong,24/03/2020,"483, 516",
11,Hilton Plaza,Sha Tin,24/03/2020,483,
12,Langham Place,Yau Tsim Mong,24/03/2020,611,
13,Yoho Mall II,Yuen Long,25/03/2020,413,
14,Pionner Centre,Yau Tsim Mong,25/03/2020,415,
15,Entertainment Building,Central & Western,25/03/2020,452,
16,Abba Shopping Mall,Southern,25/03/2020,463,
17,Yan Oi General Out-Patient Clinic,Tuen Mun,25/03/2020,466,
18,"T.W.G.HS. Jockey ClubRehabilitation Complex",Southern,25/03/2020,512,
19,St. Teresa's Hospital,Yau Tsim Mong,25/03/2020,514,
20,5 Tonnochy Road,Wan Chai,25/03/2020,525,
21,Hong Kong Baptist Hospital,Kowloon City,25/03/2020,611,
22,36 Pottinger Street,Central & Western,25/03/2020,618,
23,Fu Hing Building,Yuen Long,26/03/2020,466,
24,Yoho Mall I,Yuen Long,26/03/2020,466,
25,New Town Plaza,Shatin,26/03/2020,495,
0,82 Jaffe Road,Wan Chai,27/03/2020,"276, 362, 367, 386,387, 389, 432, 433,440, 481, 501, 513,531, 626",
1,"Hong Kong Adventist Hospital -Tsuen Wan",Tsuen Wan,27/03/2020,511,
2,China Insurance Group Building,Central & Western,27/03/2020,609,
3,Cathay Pacific City,Islands,28/03/2020,641,
