,Unnamed: 0,Unnamed: 1,地區,大廈名稱,家居檢疫最後日期
1,1.0,,中西區,德福道西 334-350 號恒裕大廈,07/02/2020
2,2.0,,中西區,德輔道西 464 號碧華閣,07/02/2020
3,3.0,,中西區,德輔道西 296-302 號良基大廈,07/02/2020
4,4.0,,中西區,香港大學第三學生村-日新學院,07/02/2020
5,5.0,,東區,鰂魚涌新威園 C 座,07/02/2020
6,6.0,,離島區,迎東邨迎悅樓,07/02/2020
7,7.0,,九龍城區,福佬村道 44A 號福興樓,07/02/2020
8,8.0,,九龍城區,華豐街 7-8 號衡豐樓,07/02/2020
9,9.0,,九龍城區,窩打老道 3A 號,07/02/2020
10,10.0,,葵青區,葵芳邨葵正樓,07/02/2020
11,11.0,,葵青區,葵涌廣埸第一座,07/02/2020
12,12.0,,觀塘區,順天邨天池樓,07/02/2020
13,13.0,,西貢區,怡明邨怡茵樓,07/02/2020
14,14.0,,西貢區,清水灣道大埔仔村,07/02/2020
15,15.0,,沙田區,水泉澳邨峻泉樓,07/02/2020
16,16.0,,沙田區,新港城中心 4 期 K 座,07/02/2020
17,17.0,,沙田區,沙田第一城 49 座,07/02/2020
18,18.0,,沙田區,香港中文大學陳昆棟樓,07/02/2020
19,19.0,,南區,漁安苑銀安閣,07/02/2020
20,20.0,,黃大仙區,竹園南邨麗園樓,07/02/2020
21,21.0,,黃大仙區,黃大仙下邨龍逸樓,07/02/2020
22,22.0,,油尖旺區,利奧坊曉岸第二座,07/02/2020
23,23.0,,油尖旺區,佐敦道 18-24 號鴻運大廈,07/02/2020
24,24.0,,油尖旺區,利奧坊曉岸第一座,07/02/2020
25,25.0,,油尖旺區,砵蘭街 46-52 號 iRent 油麻地公寓,07/02/2020
26,26.0,,元朗區,錦上路牛徑村,07/02/2020
1,27.0,加惠臺 1 座,中西區,,08/02/2020
2,28.0,香港大學賽馬會第三學生村宿舍 B 棟,中西區,,08/02/2020
3,29.0,南豐新邨 6 座,東區,,08/02/2020
4,30.0,翠樂邨翠祿樓,東區,,08/02/2020
5,31.0,逸東邨瑞逸樓,離島區,,08/02/2020
6,32.0,黃埔花園第 2 期 10 座,九龍城區,,08/02/2020
7,33.0,必嘉圍福年新樓 A 座,九龍城區,,08/02/2020
8,34.0,大窩口邨富賢樓,葵青區,,08/02/2020
9,35.0,長青邨青榕樓,葵青區,,08/02/2020
10,36.0,彩興苑彩薈閣,觀塘區,,08/02/2020
11,37.0,宜安街 2-4 號致昌大厦,觀塘區,,08/02/2020
12,38.0,平田邨平誠樓,觀塘區,,08/02/2020
13,39.0,日出康城 5 座,西貢區,,08/02/2020
14,40.0,李達三葉耀珍伉儷李本俊會議大樓,西貢區,,08/02/2020
15,41.0,佳景路 9 號浩明園,西貢區,,08/02/2020
16,42.0,顯徑邨顯富樓,沙田區,,08/02/2020
17,43.0,大圍名城 3 期 3 座,沙田區,,08/02/2020
18,44.0,榮昌邨榮俊樓,深水埗區,,08/02/2020
19,45.0,海麗邨海和樓,深水埗區,,08/02/2020
20,46.0,楊屋道 100 號爵悅庭西爵,荃灣區,,08/02/2020
21,47.0,環宇海灣 8 座,荃灣區,,08/02/2020
22,48.0,美樂花園 4 座,屯門區,,08/02/2020
23,49.0,美樂花園 10 座,屯門區,,08/02/2020
24,50.0,鍾屋村,屯門區,,08/02/2020
25,51.0,屯門海翠花園 6 座,屯門區,,08/02/2020
26,52.0,海華苑 2 期,灣仔區,,08/02/2020
27,53.0,黃大仙上邨昌善樓,黃大仙區,,08/02/2020
28,54.0,凱帆軒 2 座,油尖旺區,,08/02/2020
29,55.0,媽横路 45-67 號福順樓,元朗區,,08/02/2020
1,56.0,,元朗區,嘉湖山莊麗湖居 4 座,08/02/2020
2,57.0,,元朗區,峻巒 1A 期 10A 座,08/02/2020
3,58.0,,元朗區,嘉湖山莊賞湖居 2 座,08/02/2020
4,59.0,,中西區,皇后大道西 427-437 號生昌大厦,09/02/2020
5,60.0,,九龍城區,蕪湖街 181 號裕新大廈 C 座,09/02/2020
6,61.0,,北區,上水圍大元村 7 巷,09/02/2020
7,62.0,,北區,清河村清照樓,09/02/2020
8,63.0,,南區,鴨脷洲邨利添樓,09/02/2020
9,64.0,,大埔區,太和邨寶雅苑興和閣,09/02/2020
10,65.0,,荃灣區,大窩口邨富德樓,09/02/2020
11,66.0,,油尖旺區,香港理工大學勵志堂,09/02/2020
12,67.0,,油尖旺區,港景峰 1 座,09/02/2020
13,68.0,,元朗區,水邊圍邨泉水樓,09/02/2020
14,69.0,,元朗區,天富苑朗富閣,09/02/2020
15,70.0,,元朗區,天慈村慈平樓,09/02/2020
16,71.0,,元朗區,天富苑榮富閣,09/02/2020
17,72.0,,北區,粉嶺中心 A 座,10/02/2020
18,73.0,,沙田區,富豪花園富儷閣,10/02/2020
19,74.0,,油尖旺區,弼街 69 號,10/02/2020
20,75.0,,屯門區,新都大廈 A 座,11/02/2020
21,76.0,,元朗區,朗屏邨悅屏樓,11/02/2020
22,77.0,,深水埗區,汝洲街 259 號彩蘭樓,12/02/2020
23,78.0,,屯門區,蝴蝶邨蝶翎樓,12/02/2020
