,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Sham Shui Po,"Tower 6, Manhattan Hill",5564,
1,Islands,Novotel Citygate Hong Kong,5565,
2,Islands,Airport Regal Hotel,5566,
3,Yuen Long,"Hay Ping House, Long Ping Estate",5567,
4,Yuen Long,Tsat Sing Kong Tsuen,5568,
5,Central & Western,"Block 2, Garden Terrace",5569,
6,Sha Tin,"Tower 4, Park Belvedere",5570,
7,Sha Tin,"Laurel Court, World-wide Gardens",5571,
8,Kwai Tsing,"Wah Shun Court, Wah Yuen Chuen",5572,
9,Sha Tin,"Block A, Greenwood Garden",5573,
10,Sha Tin,"Tower 1, Lake Silver",5574,
11,Sai Kung,"Villa Rhapsody, Symphony Bay",5575,
12,Tai Po,"Block 7, Richwood Park",5576,
13,Sham Shui Po,17A-17D Shek Kip Mei Street,5577,
14,Kwai Tsing,"Block 2, Grand Horizon",5578,
15,Kwun Tong,"Tin Yiu House, Shun Tin Estate",5579,
16,Islands,Regal Airport Hotel Hong Kong,5580,
17,Kwai Tsing,"Tower 8, Tierra Verde",5581,
18,Central & Western,Beau Cloud Mansion,5582,
19,Sha Tin,"Tower 7, The Palazzo",5583,
20,Islands,Regal Airport Hotel Hong Kong,5584,
21,Wan Chai,11 Broom Road,5585,
22,Southern,"Phase 1, Residence Bel-Air",5586,
23,Wan Chai,The Altitude,5587,
24,Yau Tsim Mong,Lee Man Building,5588,
25,Yau Tsim Mong,142-144 Tai Nam Street,5589,
26,Tsuen Wan,"Block 2, Rhine Garden",5590,
27,Yau Tsim Mong,Hing Lung Building,5591,
28,Yuen Long,Ko Po San Tsuen,5592,
29,Yuen Long,"Goodview Court, Yuen Long",5593,
30,Eastern,"Block 3, City Garden",5594,
31,Central & Western,The Morgan,5595,
32,Wan Chai,"Block C, Paterson Building",5596,
33,Central & Western,Sea View Mansion,5597,
34,Central & Western,Birchwood Place,5598,
35,Yuen Long,"M9, Yoho Midtown",5599,
36,Yuen Long,Tsat Sing Kong Tsuen,5600,
37,Yuen Long,"Hung Long House, Hung Fuk Estate",5601,
38,Sham Shui Po,"Tower 6, The Pacifica",5602,
39,Wong Tai Sin,Aspen Crest,5603,
40,Wong Tai Sin,Aspen Crest,5604,
41,Yau Tsim Mong,Lee Fat Building,5605,
42,Yau Tsim Mong,97 Hak Po Street,5606,
43,Eastern,Grand Garden,5607,
44,Yau Tsim Mong,Sun Hing Building,5608,
45,Yau Tsim Mong,40 Tung Choi Street,5609,
46,Sai Kung,Nam Shan Village,5610,
47,Sai Kung,Pak Kong Village,5611,
48,Kowloon City,"Block 2, Phase 10, Whampoa Garden",5612,
49,North,"Chow Wu House, Yuk Po Court",5613,
50,Central & Western,"Paris Court, Realty Gardens",5614,
51,Sham Shui Po,"Man Lok House, Tai Hang Sai Estate",5615,
52,Yau Tsim Mong,"Cam Key Mansion, 495 Shanghai Street",5616,
53,Wan Chai,The Altitude,5617,
54,Wan Chai,"Block C, Fontana Gardens",5618,
55,Wan Chai,"Lai Kit Lau, Lai Tak Tsuen",5619,
56,Tai Po,Tai Hang Tsz Tong Tsuen,5620,
57,Yau Tsim Mong,"Block 2, The Long Beach",5621,
58,Sai Kung,"Tower 5, Capri 33 Tong Yin Street",5622,
59,Sai Kung,"Po Tai House, Po Lam Estate",5624,
60,Southern,"Block 1, Ocean Court",5625,
61,Kwun Tong,"Wing Mei House, Yau Chui Court",5626,
62,Central & Western,Sik On House,5627,
63,Sai Kung,"Block1, Beverly Garden",5628,
64,Central & Western,Flourish Court,5629,
65,Yuen Long,"Chung Hoi House, Tin Chung Court",5630,
66,Yau Tsim Mong,Far East Consortium Mongkok Building,5631,
67,Wan Chai,"Block C-D, Woodland Heights",5632,
68,Kwun Tong,"Block P, Telford Gardens",5633,
69,Wan Chai,Celeste Court,5634,
70,Wan Chai,"Lai Kit Lau, Lai Tak Tsuen",5636,
71,Wong Tai Sin,"Tower 1, Lions Rise",5637,
72,Kowloon City,Sunderland Estate,5638,
73,Islands,Tong Fuk Tsuen Village,5639,
74,Wan Chai,"Block A, Evergreen Villa",5640,
75,Southern,"Block 2, South Wave Court",5641,
76,Sha Tin,"Fook Hoi House, Lek Yuen Estate",5642,
77,Sha Tin,"Block 6, Julimount Garden",5643,
78,Sha Tin,"Yiu Ping House, Yiu On Estate",5644,
79,Sha Tin,"Kam Wai House, Kam Fung Court",5645,
80,Sha Tin,"Fook Lam House, Kwong Lam Court",5646,
81,Sha Tin,"Block 3, Monte Vista",5647,
82,Tai Po,Fook On Building,5648,
83,Tai Po,Fook On Building,5649,
84,Wan Chai,Phoenix Apartments,5656,
85,Yau Tsim Mong,Po On Building,5657,
86,Tsuen Wan,"Savoy Heights, Hong Kong Garden",5658,
87,Kowloon City,2 Rutland Quadrant,5659,
88,Yau Tsim Mong,Lee Man Building,5660,
89,Yau Tsim Mong,"Tower 2, Central Park",5661,
90,Yau Tsim Mong,Lee Man Building,5662,
91,Kowloon City,Morning Joy Building,5663,
92,Eastern,"Block A, Healthy Gardens",5664,
93,Yau Tsim Mong,Lee Man Building,5665,
94,Yau Tsim Mong,Lee Man Building,5666,
95,Sham Shui Po,119 Tai Nan Street,5667,
96,Eastern,Tai On Building,5668,
97,Sha Tin,"Block 4, Mountain Shore",5669,
98,Sham Shui Po,Cheong Wah Building,5670,
99,Kwun Tong,"Tin Wan House, Shun Tin Estate",5671,
100,Tai Po,"Block 6, Serenity Park",5672,
101,Kowloon City,Wing On Court,5673,
102,Kwai Tsing,"Shing Lok House, Kwai Shing East Estate",5674,
103,Kwun Tong,"Tsui Hon House, Tsui Ping South Estate",5675,
104,Kwai Tsing,"Wah Pik House, Ching Wah Court",5676,
105,Southern,"Fu On Yuen, Chi Fu Fa Yuen",5677,
106,Yau Tsim Mong,"Tower 1, Central Park",5678,
107,Central & Western,Caine Building,5679,
108,Eastern,"Block 47, Heng Fa Chuen",5680,
109,Eastern,"Block 1, Tanner Garden",5681,
110,Eastern,"Tower C, Wilshire Towers",5682,
111,Sham Shui Po,17A-17D Shek Kip Mei Street,5683,
112,Sai Kung,Silver Terrace Road,5684,
113,Southern,"Block 1, Ocean Court",5685,
114,Wan Chai,Dorsett Wan Chai Hotel,5686,
115,Central & Western,Ovolo Central,5687,
116,Sham Shui Po,56A Yen Chow Street,5688,
117,Kwun Tong,"Block 6, Richland Gardens",5689,
118,Kwun Tong,Hong Pak Court,5690,
119,Central & Western,Lungga Mansion,5691,
120,Eastern,"Tower 2, Pacific Palisades",5692,
121,Eastern,"Tower 2, Pacific Palisades",5694,
122,Tai Po,Phase I Casa Marina,5695,
123,Tsuen Wan,Hoi Pa San Tsuen,5696,
124,Sham Shui Po,"Block 19, Shek Kip Mei Estate",5697,
125,Tsuen Wan,Hoi Pa San Tsuen,5698,
126,Central & Western,Tai Fat Building,5700,
127,Wan Chai,"Block E, Beverly Hill",5701,
128,Kwun Tong,"Block 17, Laguna City",5702,
129,Sai Kung,"Wo Yat House, Wo Ming Court",5703,
130,Sha Tin,"Mei Chuen House, Mei Tin Estate",5704,
131,Islands,Hong Kong Skycity Marriott Hotel,5706,
132,Islands,Hong Kong Skycity Marriott Hotel,5707,
133,Wong Tai Sin,Dragon Glory Mansion,5708,
134,Islands,Hong Kong Skycity Marriott Hotel,5710,
135,Sai Kung,"Block 6, On Ning Garden",5711,
136,Yau Tsim Mong,Best Western Plus Hotel Kowloon,5712,
137,Wan Chai,"Block D, Evergreen Villa",5713,
138,Wan Chai,Broadwood Park,5714,
139,Central & Western,"Block 1, Connaught Garden",5715,
140,Central & Western,"Block 2, Garden Terrace",5716,
141,Central & Western,Lungga Mansion,5717,
142,Sai Kung,"Yan Mui House, Yan Ming Court",5718,
143,Wan Chai,Hong Kong Mansion,5719,
144,Southern,"Block 4, Repulse Bay Garden",5720,
145,Kowloon City,Diamond Mansion,5721,
146,Yau Tsim Mong,Prudential Hotel,5722,
147,Tuen Mun,Sun Fung Wai,5723,
148,Central & Western,"Block 2, Garden Terrace",5724,
149,Tai Po,"Chung Chun House, Chung Nga Court",5725,
150,Sai Kung,"Tower 3, The Mediterranean",5726,
151,Sha Tin,"Block 6, World-wide Gardens",5727,
152,Wan Chai,Broadview Villa,5728,
153,Central & Western,Wah Koon Building,5729,
154,Sha Tin,"Tower 1, Court D, Dragons Range",5730,
155,Sai Kung,Nam Shan Village,5731,
156,Wan Chai,Broadview Villa,5733,
157,Sham Shui Po,Chiat Hing Building,5734,
158,Islands,"Heung Yat House, Yat Tung Estate",5735,
159,Tai Po,Ping Long Tsuen,5736,
160,Kwun Tong,"Sheung Wing House, Upper Ngau Tau Kok Estate",5737,
161,Sha Tin,"Pok On House, Pok Hong Estate",5738,
162,Tai Po,Mei Sun Building,5739,
163,Tsuen Wan,"Block D, Ting Kau Villa",5740,
164,Sha Tin,Shu Tak Building,5741,
165,Sha Tin,"Wing Shui House, Lek Yuen Estate",5742,
166,Sha Tin,"Yiu Wing House, Yiu On Estate",5743,
167,Islands,"Heung Yat House, Yat Tung Estate",5744,
168,Kwai Tsing,"Ching Mui House, Cheung Ching Estate",5745,
169,Kwai Tsing,"Shing Lok House, Kwai Shing East Estate",5746,
