,地區,大廈名單,曾有涉及個案最後到訪的日期/報告日期,相關確診/疑似個案編號
0,沙田,美田邨美秀樓,,1205
1,沙田,美田邨美秀樓,,1206
2,沙田,美田邨美秀樓,,1233
3,灣仔,銅鑼灣利景酒店,,1250
4,中西區,壹棠酒店及服務式公寓,,1251
5,離島,昇薈 10座,,1252
6,油尖旺,漾日居 2座,,1254
7,深水埗,鴻裕大廈 B座,,1263
8,九龍城,榮光街 86號,,1263
9,觀塘,坪石邨玉石樓,,1269
10,油尖旺,Grand Austin 2座,,1276
11,北區,御林皇府,,1276
12,油尖旺,福祥樓,,1283
13,葵青,荃灣帝盛酒店,,內地當局通報的 9宗個案
14,觀塘,安達邨禮達樓,,1289
15,黃大仙,彩輝邨彩華樓,,1291
16,沙田,禾輋邨德和樓,,1292
17,沙田,禾輋邨美和樓,,1293
18,沙田,水泉澳邨明泉樓,,1294
19,黃大仙,彩輝邨彩華樓,,1295
20,屯門,兆隆苑,,1296
21,油尖旺,橡樹街 39A號櫻桃大廈,,1297
22,油尖旺,凱帆軒第 3座,,1297
23,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1298
24,葵青,荃灣帝盛酒店,,1299
25,葵青,荃灣帝盛酒店,,1300
26,黃大仙,竹園南邨麗園樓,,1301
27,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1302
28,黃大仙,彩輝邨彩華樓,,1304
29,觀塘,坪石邨玉石樓,,1305
30,黃大仙,慈正邨正遠樓,,1306
31,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1307
32,葵青,荃灣帝盛酒店,,1309
33,黃大仙,慈華里 5號,,1310
34,黃大仙,萬年戲院大廈,,1311
35,黃大仙,高美樓 A座,,1312
36,荃灣,灣景花園 1座,,1313
37,油尖旺,海富苑海韻閣,,1314
38,黃大仙,鳳德邨碧鳳樓,,1315
39,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1316
40,葵青,葵盛西村 10座,,1317
41,灣仔,禮頓山第三座,,1319
42,荃灣,悅來酒店,,1320
43,觀塘,彩福邨彩歡樓,,1321
44,黃大仙,彩輝邨彩華樓,,1322
45,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1323
46,葵青,葵芳邨葵喜樓,,1324
47,灣仔,香港銅鑼灣皇冠假日酒店,,1325
48,灣仔,香港銅鑼灣皇冠假日酒店,,1326
49,觀塘,順安邨安頌樓,,1329
50,黃大仙,鳳德邨碧鳳樓,,1331
51,黃大仙,鳳德邨碧鳳樓,,1332
52,離島,藍天海岸影岸.紅 A座,,1333
53,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1334
54,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1335
55,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1336
56,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1337
57,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1338
58,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1339
59,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1340
60,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1341
61,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1342
62,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1343
63,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1344
64,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1345
65,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1346
66,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1347
67,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1348
68,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1349
69,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1350
70,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1351
71,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1352
72,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1353
73,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1354
74,西貢,善明邨善智樓,,1356
75,黃大仙,慈正邨正暉樓,,1357
76,黃大仙,慈正邨正暉樓,,1358
77,黃大仙,慈正邨正暉樓,,1359
78,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1360
79,黃大仙,彩輝邨彩華樓,,1361
80,灣仔,香港銅鑼灣皇冠假日酒店,,1362
81,油尖旺,海富苑海韻閣,,1364
82,黃大仙,慈安苑安康閣,,1365
83,深水埗,青山道 260-266號永隆大廈,,1366
84,九龍城,土瓜灣 立基大廈,,1368
85,黃大仙,牛池灣彩輝邨彩華樓,,1371
86,沙田,,,1372
87,黃大仙,彩輝邨彩華樓,,1374
88,西貢,天晉一期 7座,,1375
89,觀塘,安達邨孝達樓,,1376
90,沙田,水泉澳邨明泉樓,,1377
91,沙田,水泉澳邨明泉樓,,1378
92,沙田,水泉澳邨明泉樓,,1379
93,沙田,水泉澳邨明泉樓,,1380
94,沙田,水泉澳邨明泉樓,,1381
95,沙田,水泉澳邨明泉樓,,1382
96,沙田,水泉澳邨明泉樓,,1383
97,沙田,水泉澳邨明泉樓,,1384
98,沙田,水泉澳邨明泉樓,,1385
99,沙田,水泉澳邨明泉樓,,1386
100,沙田,水泉澳邨明泉樓,,1387
101,黃大仙,彩輝邨彩華樓,,1388
102,黃大仙,彩輝邨彩華樓,,1389
103,西貢,"日出康城, 晉海",,1390
104,屯門,山景邨景美樓,,1391
105,荃灣,荃灣悅來酒店,,1392
106,黃大仙,慈安苑安康閣,,1393
107,黃大仙,威豪花園第一座,,1394
108,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1395
109,觀塘,油塘鯉魚門邨鯉意樓,,1396
110,黃大仙,彩雲邨星晨樓,,1397
111,黃大仙,彩輝邨彩華樓,,1398
112,九龍城,土瓜灣立基大廈,,1400
113,黃大仙,彩輝邨彩華樓,,1401
114,屯門,山景邨景美樓,,1402
115,西貢,健明邨明星樓,,1404
116,黃大仙,萬年戲院大廈,,1407
117,黃大仙,高美樓 A座,,1408
118,沙田,禾輋邨德和樓,,1409
119,黃大仙,慈樂邨樂仁樓,,1410
120,觀塘,坪石邨紅石樓,,1414
121,黃大仙,竹園南邨華園樓,,1415
122,黃大仙,彩輝邨彩華樓,,1416
123,油尖旺,香港喜來登酒店,,1419
124,黃大仙,慈正邨正康樓,,1424
125,黃大仙,慈正邨正康樓,,1425
126,九龍城,長寧街嶺南大廈,,1426
127,屯門,龍門居 7座,,1427
128,元朗,康德閣,,1428
129,西貢,天晉一期 3座,,1429
130,黃大仙,萬年戲院大廈,,1430
131,元朗,嘉湖山莊樂湖居 10座,,1431
132,屯門,湖景邨湖光樓,,1432
133,西貢,將軍澳廣場 8座,,1433
134,深水埗,大南街 183號,,1434
135,深水埗,南昌邨昌賢樓,,1435
136,葵青,葵聯邨聯悅樓,,1436
137,西貢,將軍澳廣場 8座,,1437
138,北區,唐公嶺,,1438
139,觀塘,康華苑宏康閣 A座,,1439
140,黃大仙,慈愛苑愛聰閣,,1440
141,屯門,寶田中轉房屋第二座,,1442
142,西貢,寶琳邨寶勤樓,,1443
143,黃大仙,慈正邨正安樓,,1444
144,黃大仙,慈正邨正安樓,,1445
145,荃灣,灣景花園 1座,,1446
146,東區,賽西湖大廈 15座,,1447
147,灣仔,禮頓山 3座,,1448
148,黃大仙,彩虹邨丹鳳樓,,1449
149,黃大仙,彩輝邨彩華樓,,1450
150,西貢,怡心園 1座,,1453
151,葵青,荔景邨樂景樓,,1454
152,黃大仙,彩輝邨彩華樓,,1455
153,黃大仙,彩輝邨彩華樓,,1456
154,九龍城,德朗邨德瑞樓,,1457
155,黃大仙,彩輝邨彩華樓,,1458
156,觀塘,順安邨安頌樓,,1463
157,沙田,愉翠苑愉居閣,,1464
158,西貢,將軍澳廣場 8座,,1465
159,西貢,將軍澳廣場 8座,,1466
160,黃大仙,彩虹邨翠瓊樓,,1467
161,黃大仙,彩虹邨翠瓊樓,,1468
162,觀塘,觀塘帝盛酒店,,1469
163,灣仔,禮頓山 3座,,1470
164,屯門,海慧花園,,1471
165,深水埗,巴域居,,1472
166,東區,東駿苑金駿閣,,1474
