,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,中西區,Mier 醫院道 8號,,132
1,九龍城,新翠園,,351
2,南區,金豐大廈,,496
3,灣仔,柏寧酒店,,648
4,灣仔,英皇駿景酒店,,648
5,油尖旺,帝京酒店,,648
6,油尖旺,恆豐酒店,,949
7,油尖旺,帝國酒店,,949
8,油尖旺,最佳盛品酒店尖沙咀,,949
9,中西區,文咸東街 127號萬和閣,,968
10,油尖旺,香港基督教青年會,,992
11,中西區,花園台 3座,,993
12,元朗,田心村,,996
13,沙田,雲端,,997
14,元朗,十八鄉東頭村,,998
15,中西區,香港萬怡酒店,,1000
16,中西區,碧雲樓,,1001
17,屯門,松苑 1座,,1002
18,元朗,仁壽圍,,1003
19,葵青,大窩口邨富泰樓,,1004
20,屯門,海景花園 8座,,1005
21,沙田,雲疊花園 2座,,1007
22,中西區,花園台 3座,,1009
23,屯門,星堤 11座,,1013
24,葵青,荃灣絲麗酒店,,1015
25,灣仔,太極軒 138,,1017
26,油尖旺,旺角維景酒店,,1018
27,深水埗,樂年花園二座,,1018
28,東區,康怡花園 F座,,1022
29,離島,海堤灣畔一座,,1024
30,九龍城,寶石戲院大廈 A座,,1025
31,離島,裕東苑賀東閣,,1026
32,北區,聯發大廈,,1034
33,中西區,四方街 3號,,1035
34,灣仔,The Ellipsis,,1036
35,油尖旺,國際廣場,28/03/2020,"504, 756"
36,油尖旺,諾士佛臺 10號,28/03/2020,"567, 842"
37,油尖旺,K11 Musea,28/03/2020,"687, 702, 704, 705, 758, 759"
38,南區,業勤街 23號,28/03/2020,"719, 801, 849"
39,深水埗,石硤尾報案中心及西九龍機 動部隊行動基地,01/04/2020,"663, 854"
40,東區,華蘭中心,01/04/2020,"801, 960"
41,灣仔,告士打道 88號,03/04/2020,"923, 925"
42,中西區,信德中心,04/04/2020,"923, 932"
43,灣仔,皇室堡,05/04/2020,"903, 925, 944"
44,灣仔,皇室堡,11/04/2020,648
45,灣仔,台山中心,11/04/2020,648
46,東區,康怡廣場(南),11/04/2020,1022
47,灣仔,希雲街 16號,11/04/2020,1022
48,灣仔,耀華街 4號,12/04/2020,648
49,灣仔,禮雲大樓,12/04/2020,648
50,屯門,黃金海岸鄉村俱樂部.遊艇 會,12/04/2020,1013
51,灣仔,養和醫院,12/04/2020,1013
52,灣仔,養和醫院,13/04/2020,1022
53,東區,太古城中心,14/04/2020,1022
54,南區,海怡東商場,16/04/2020,496
55,沙田,愉翠商場,17/04/2020,1004
56,荃灣,大窩口第二商場,20/04/2020,1004
57,荃灣,荃薈,20/04/2020,1004
58,中西區,文華東方酒店,21/04/2020,1036
59,中西區,the L. place,21/04/2020,1036
