,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
98,"Senior Building, 112 Thomson Road",Wan Chai,1701,
99,"Oi Kan House, Tsz Oi Court",Wong Tai Sin,1702,
100,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,1703,
101,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1704,
102,"Che Wah Building, 2-8 Po Ying Lane",Wong Tai Sin,1705,
103,"On Yan House, Tsz On Court",Wong Tai Sin,1706,
104,"Block 8, City Garden",Eastern,1707,
105,"Shun Fung Lau, Yue Kwong Chuen",Southern,1708,
106,"Shun Tin House, Shatin Pass Estate",Wong Tai Sin,1709,
107,"Kam Shek House, Ping Shek Estate",Wong Tai Sin,1710,
108,Hung Fat House,Yuen Long,1712,
109,"Pok Tai House, Pok Hong Estate",Sha Tin,1713,
110,"Tower 1, Heya Green",Sham Shui Po,1714,
111,17 Tung Choi Street,Yau Tsim Mong,1715,
112,151 Kowloon City Road,Kowloon City,1716,
113,Kimberley Mansion,Yau Tsim Mong,1717,
114,Winfair Building,Wong Tai Sin,1718,
115,"Hong Tim House, Tsz Hong Estate",Wong Tai Sin,1719,
116,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1720,
117,Hayon Building,Yau Tsim Mong,1721,
118,"Pik Fung House, Fung Tak Estate",Wong Tai Sin,1722,
119,"Block 6, Whampoa Garden (Phase 4), Palm Mansions",Kowloon City,1723,
120,616 Reclamation Street,Yau Tsim Mong,1724,
121,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,1725,
122,"Toi Fung House, Fung Tak Estate",Wong Tai Sin,1726,
123,"Po Shing Mansion, 157-159 Kowloon City Road",Kowloon City,1727,
124,"Ching On House, Tsz Ching Estate",Wong Tai Sin,1728,
125,"Oi Ning House, Tsz Oi Court",Wong Tai Sin,1730,
126,"Sau Tai House, Fu Tai Estate",Tuen Mun,1731,
127,"Lai Yung House, Lai Tsui Court",Sham Shui Po,1732,
128,Wan Fung Building,Yau Tsim Mong,1733,
129,"King Yip House, Shan King Estate",Tuen Mun,1734,
130,"Pak Suet House, Choi Hung Estate",Wong Tai Sin,1735,
131,"Ching Tak House, Tsz Ching Estate",Wong Tai Sin,1736,
132,"Block 2, Kwai Fong Terrace",Kwai Tsing,1737,
133,"Block 2, Sceneway Garden",Kwun Tong,1738,
134,"Chong Tak Building, 37 Austin Road",Yau Tsim Mong,1739,
135,"Tao Yuan House, Chuk Yuen (North) Estate",Wong Tai Sin,1740,
136,"Block K, Sunshine City",Sha Tin,1741,
137,"Yung Lai House, Yau Lai Estate",Kwun Tong,1742,
138,"Block 5, Villa Tiara",Tuen Mun,1743,
139,"Oi Yan House, Tsz Oi Court",Wong Tai Sin,1744,
140,"Hing Tsui House, Hing Wah (1) Estate",Eastern,1745,
141,"Yuen Fat Building, 1-1E Nelson Street",Yau Tsim Mong,1746,
142,"Tak Lai House, Tak Tin Estate",Kwun Tong,1747,
143,"Block 3, Hill Top Gardens",Wong Tai Sin,1748,
144,"Block 26, Phase 4, South Horizons",Southern,1749,
145,"Kwai Yuen House, Chuk Yuen (South) Estate",Wong Tai Sin,1750,
146,"Yu Cheong House, Yu Ming Court",Sai Kung,1751,
147,"Block 6, Hill View Court",Sai Kung,1752,
148,"Mei King Mansion Phase 1, 2 Mei King Street",Kowloon City,1754,
149,"Man Tai House, Tsz Man Estate",Wong Tai Sin,1755,
150,"Oi Kan House, Tsz Oi Court",Wong Tai Sin,1756,
151,"San Po Kong Mansion, 2-32 Yin hing Street",Wong Tai Sin,1757,
152,"Sing San House, Choi Wan (I) Estate",Wong Tai Sin,1758,
153,"Wing Chun House, Wing Cheong Estate",Sham Shui Po,1759,
