,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,中西區,玫瑰別墅,,865
1,中西區,宏基國際賓館,,866
2,葵青,荃灣帝盛酒店,,867
3,沙田,美城苑暉城閣,,868
4,灣仔,翠谷樓,,869
5,大埔,企嶺下新圍,,870
6,葵青,荃灣絲麗酒店,,871
7,屯門,兆山苑杏景閣,,872
8,中西區,寶德臺,,873
9,灣仔,灣仔帝盛酒店,,874
10,油尖旺,金堂大廈,,875
11,元朗,嘉湖山莊樂湖居 4座,,876
12,離島,觀港樓,,878
13,觀塘,麗港城 4座,,879
14,灣仔,Tagus Residences,,881
15,西貢,企壁山,,882
16,灣仔,藍塘別墅,,883
17,觀塘,彩德邨彩誠樓,,884
18,中西區,滿峯台 B座,,885
19,東區,華美達盛景酒店,,886
20,屯門,錦發大廈,,887
21,九龍城,都會軒 2座,,888
22,南區,下碧瑤灣 33座,,889
23,沙田,翠湖花園 C座,,890
24,九龍城,東禧閣,,891
25,灣仔,柏寧酒店,,892
26,元朗,加州花園(1期 C)偉仕居紫蘭徑,,893
27,中西區,寶德臺,,894
28,九龍城,金城大廈,,895
29,沙田,名城 2期 1座,,896
30,中西區,縉城峰 2座,,897
31,北區,下山雞乙,,898
32,中西區,Lexington Hill,,899
33,中西區,雍景臺,,900
34,灣仔,永富苑,,901
35,元朗,仁壽圍,,902
36,西貢,寶盈花園 7座,,903
37,屯門,新墟村,,905
38,九龍城,愛民邨昭民樓,,912
39,九龍城,愛民邨昭民樓,,913
40,觀塘,高翔苑高靜閣,,914
41,九龍城,北帝街 123號,,915
42,油尖旺,香港旺角智選假日酒店,,廣東省衞健委通報的個案
43,中西區,弓絃巷 40-42號,,916
44,南區,海怡半島 4座,,917
45,油尖旺,美麗都大廈福建酒店,,918
46,西貢,茅莆路,,919
47,灣仔,灣仔帝盛酒店,,920
48,油尖旺,瓏璽 6B座,,921
49,元朗,錦田吉慶圍,,922
50,沙田,湖景花園 (洋房區),,923
51,觀塘,秀茂坪邨秀緻樓,,924
52,九龍城,九龍城德朗邨德璋樓,,925
53,元朗,天澤邨澤輝樓,,926
54,葵青,葵涌邨綠葵樓,,928
55,灣仔,益誠樓,,929
56,東區,華裕閣,,932
57,油尖旺,廟街 109號,,933
