,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,Rose Gardens,Central & Western,,865,
1,Bishop Lei International House,Central & Western,,866,
2,Dorsett Tsuen Wan,Kwai Tsing,,867,
3,"Fai Shing House, May Shing Court",Sha Tin,,868,
4,Green Valley Mansion,Wan Chai,,869,
5,Kei Ling Ha San Wai,Tai Po,,870,
6,Silka Tsuen Wan Hotel,Kwai Tsing,,871,
7,"Hang King House, Siu Shan Court",Tuen Mun,,872,
8,Borrett Mansions,Central & Western,,873,
9,Dorsett Wanchai,Wan Chai,,874,
10,Kam Tong Building,Yau Tsim Mong,,875,
11,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,876,
12,Island View,Islands,,878,
13,"Block 4, Laguna City",Kwun Tong,,879,
14,Tagus Residences,Wan Chai,,881,
15,Kei Pik Shan,Sai Kung,,882,
16,Blue Pool Court,Wan Chai,,883,
17,"Choi Shing House, Choi Tak Estate",Kwun Tong,,884,
18,"Block B, Monticello",Central & Western,,885,
19,Ramada Hong Kong Grand View,Eastern,,886,
20,Kam Fat Building,Tuen Mun,,887,
21,"Tower 2, The Metropolis Residence",Kowloon City,,888,
22,"Block 33, Baguio Villa (Lower)",Southern,,889,
23,"Block C, Garden Vista",Sha Tin,,890,
24,Tung Hei Court,Kowloon City,,891,
25,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,892,
26,"Orchid Path, The Westwood, (Phase 1C), Palm Springs",Yuen Long,,893,
27,Borrett Mansions,Central & Western,,894,
28,Kensington House,Kowloon City,,895,
29,"Tower 1, Festival City (Phase 2)",Sha Tin,,896,
30,"Tower 2, Island Crest",Central & Western,,897,
31,Ha Shan Kai Wat,North,,898,
32,Lexington Hill,Central & Western,,899,
33,Robinson Place,Central & Western,,900,
34,Winfield Gardens,Wan Chai,,901,
35,Yan Sau Wai,Yuen Long,,902,
36,"Block 7, Bauhinia Garden",Sai Kung,,903,
37,San Hui Village,Tuen Mun,,905,
38,"Chiu Man House, Oi Man Estate",Kowloon City,,912,
39,"Chiu Man House, Oi Man Estate",Kowloon City,,913,
40,"Ko Ching House, Ko Cheung Court",Kwun Tong,,914,
41,123 Pak Tai Street,Kowloon City,,915,
