,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Tuen Mun,"Low Block, Oi Lim House, Yau Oi Estate",4927,
1,Kwun Tong,"Nga Lai House, Yau Lai Estate",4928,
2,Kwun Tong,"Nga Lai House, Yau Lai Estate",4933,
3,Kwun Tong,"Nga Lai House, Yau Lai Estate",4934,
4,Eastern,Hyatt Centric Victoria Harbour Hong Kong,4934,
5,Kwun Tong,"Nga Lai House, Yau Lai Estate",4935,
6,Sha Tin,"Wing Shing House, Fung Shing Court",4936,
7,Kwai Tsing,"Tower 4, Highland Park",4937,
8,Wong Tai Sin,"Lok Man House, Lok Fu Estate",4938,
9,Yau Tsim Mong,Kwun Chung Building,4939,
10,Yau Tsim Mong,Metropark Hotel Mongkok,4940,
11,Yau Tsim Mong,15 Temple Street,4941,
12,Tuen Mun,"Hing Tai House, Tai Hing Estate",4942,
13,Kwai Tsing,"Tower 4, Highland Park",4944,
14,Kwai Tsing,"Tower 4, Highland Park",4945,
15,Tuen Mun,"King Wing House, Shan King Estate",4946,
16,Kwai Tsing,"Block 2, Lai King Disciplined Services Quarters",4947,
17,Tuen Mun,"Low Block, Oi Lim House, Yau Oi Estate",4948,
18,Sham Shui Po,"Lai Pak House, Lai Tsui Court",4956,
19,Sham Shui Po,"Fook Ming House, Fortune Estate",4957,
20,Tuen Mun,"King Wing House, Shan King Estate",4958,
21,Sham Shui Po,"Tower 7, Liberte",4959,
22,Sham Shui Po,"Tower 7, Liberte",4960,
23,Tuen Mun,"King Wing House, Shan King Estate",4962,
24,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,4963,
25,Yau Tsim Mong,Kwun Chung Building,4964,
26,Wong Tai Sin,"Lok Man House, Lok Fu Estate",4965,
27,Tuen Mun,"Low Block, Oi Lim House, Yau Oi Estate",4966,
28,Kowloon City,"Phase 2, Tak Wai Mansion",4967,
29,Tuen Mun,"Block 1, Oi Fai House, Yau Oi Estate",4968,
30,Tuen Mun,"Block 1, Oi Fai House, Yau Oi Estate",4969,
31,Tuen Mun,"Moon Yu House, Sam Shing Estate",4970,
32,Yuen Long,"Shek Po Tsuen, Hung Shui Kiu",4971,
33,Tuen Mun,"Lok Hei House, Siu Hei Court",4972,
34,Sham Shui Po,"Mei Yin House, Shek Kip Mei Estate",4977,
35,Tuen Mun,"Lok Hei House, Siu Hei Court",4979,
36,Southern,L'hotel Island South,4980,
37,Tuen Mun,"Lok Hei House, Siu Hei Court",4981,
38,Sham Shui Po,"Tower 7, Liberte",4982,
39,Sham Shui Po,"Lai Pak House, Lai Tsui Court",4983,
40,Yau Tsim Mong,Novotel Hong Kong Nathan Road Kowloon,4984,
41,Yuen Long,"Tsz Ping House, Tin Tsz Estate",4988,
42,Kwun Tong,"Mei Tong House, Yau Tong Estate",4989,
43,Wong Tai Sin,"Lok Man House, Lok Fu Estate",4990,
44,Yau Tsim Mong,300 Portland Street,4992,
45,Sham Shui Po,"Mei Yin House, Shek Kip Mei Estate",4993,
46,Tuen Mun,"Hing Fai House, Tai Hing Estate",4994,
47,Kwun Tong,"Mei Tong House, Yau Tong Estate",4995,
48,Yau Tsim Mong,300 Portland Street,4996,
49,Tai Po,"Chim Uk Village, Shuen Wan",4997,
50,Sha Tin,"Block 7, Villa Oceania",5001,
51,Tuen Mun,"Low Block, Oi Hei House, Yau Oi Estate",5002,
52,Central & Western,Wing Shing Building,5003,
53,Eastern,Ramada Hong Kong Grand View,5006,
54,Yau Tsim Mong,Ramada Hong Kong Grand,5007,
55,Tuen Mun,"Yan Tai House, Fu Tai Estate",5008,
56,Sham Shui Po,"Mei Yin House, Shek Kip Mei Estate",5021,
57,Sham Shui Po,"Mei Yin House, Shek Kip Mei Estate",5022,
58,Yau Tsim Mong,300 Portland Street,5023,
59,Yau Tsim Mong,300 Portland Street,5024,
60,Kowloon City,Regal Oriental Hotel,5027,
61,Kowloon City,Regal Oriental Hotel,5028,
62,Kowloon City,Regal Oriental Hotel,5029,
63,Kowloon City,Regal Oriental Hotel,5030,
64,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5031,
65,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5032,
66,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5033,
67,Yuen Long,"Ching Hoi House, Tin Ching Estate",5035,
68,Wan Chai,Eco Tree Hotel Causeway Bay,5037,
69,Tuen Mun,"Oi Hei House, Yau Oi Estate",5038,
70,Wan Chai,Best Western Hotel Causeway Bay,5039,
71,Tuen Mun,"Block 1, Venice Gardens",5041,
72,Wong Tai Sin,"Lok Man House, Lok Fu Estate",5042,
73,Kowloon City,"Block A, Fok Lin Building, Hung Hom",5043,
74,Eastern,Ramada Hong Kong Grand View,5044,
75,Eastern,Ramada Hong Kong Grand View,5045,
76,Eastern,Ramada Hong Kong Grand View,5046,
77,Central & Western,Ramada Hong Kong Harbour View,5047,
78,Islands,Hong Kong SkyCity Marriott Hotel,5048,
79,Tuen Mun,"Tai Sang House, Kin Sang Estate",5049,
80,Kowloon City,"Block A, Fok Lin Building",5050,
81,Islands,Hong Kong SkyCity Marriott Hotel,5051,
82,Wan Chai,Dorsett Wanchai,5052,
83,Wan Chai,Dorsett Wanchai,5053,
84,Yau Tsim Mong,Silka Seaview Hotel,5054,
85,Yuen Long,"Block 7, Kenswood Court, Kingswood Villas",5056,
86,Tuen Mun,"Tai Sang House, Kin Sang Estate",5057,
87,Islands,Hong Kong SkyCity Marriott Hotel,5060,
88,Tsuen Wan,Heung Che Street Market,"4696, 4727, 4816",29/08/2020
89,Yau Tsim Mong,Victoria Mall,"4491, 4679, 4764, 4872",30/08/2020
90,Yuen Long,YOHO Mall IITai Hing,"4809, 4810",30/08/2020
91,Sham Shui Po,Pei Ho Street Municipal Services Building,"1557, 1608, 1611, 1808, 1852, 1905, 1926, 1927, 2056, 2057, 2140, 2186, 2283, 2292, 2482, 2652, 3156, 3351, 3465, 3765, 3839, 4682, 4840",31/08/2020
92,Yau Tsim Mong,ELEMENTS,"1715, 3057, 4011, 4077, 4569, 4845",31/08/2020
93,Yuen Long,Tung Yick Market,"2172, 3318, 3480, 4521, 4537, 4858",31/08/2020
94,Yau Tsim Mong,Hang Shing Building 363-373 Nathan Road,"4833, 4874",31/08/2020
95,Yau Tsim Mong,Tai Kok Tsui Municipal Service Building,"4159, 4185, 4839",01/09/2020
96,Yau Tsim Mong,Honland Building Café de Coral,"4827, 4852",01/09/2020
97,Yau Tsim Mong,66 Reclamation Street,"4833, 4898",01/09/2020
98,Kwun Tong,Sau Mau Ping Shopping Centre,"1863, 1865, 1897, 2031, 2035, 2071, 2449, 2623, 2902, 4529, 4678, 4910",02/09/2020
99,Wong Tai Sin,Suet Fung House,"4853, 4869",02/09/2020
