,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Yau Tsim Mong,Best Western PLUS Hotel Kowloon,5110,
1,Yau Tsim Mong,Lap Tak House,5110,
2,Kwai Tsing,"Wang Yung House, Cheung Wang Estate",5111,
3,Sha Tin,"Tower 2, Greenheight Villa",5112,
4,Islands,Hong Kong SkyCity Marriott Hotel,5113,
5,Yau Tsim Mong,Kimberley Hotel,5114,
6,Kwai Tsing,"Block 5, Rambler Crest",5122,
7,Yau Tsim Mong,Holly Mansion,5123,
8,Yau Tsim Mong,Stanford Hillview Hotel,5123,
9,Yau Tsim Mong,Lap Tak House,5124,
10,Yau Tsim Mong,Lap Tak House,5125,
11,Eastern,Wealthy Court,5126,
12,Yau Tsim Mong,The Kimberley Hotel,5130,
13,Yau Tsim Mong,Holly Mansion,5130,
14,Yau Tsim Mong,177A Portland Street,5131,
15,Wan Chai,Fasteem Mansion,5132,
16,Tuen Mun,"Block 15, Lung Mun Oasis",5133,
17,Kwun Tong,"Wing Mei House, Yau Chui Court",5135,
18,Yau Tsim Mong,"Block 3, Prosperous Garden",5136,
19,Tuen Mun,"Block 6, Po Tin Estate",5137,
20,Kwai Tsing,The Home Of Treasure,5140,
21,Yau Tsim Mong,The Royal Garden,5141,
22,Sai Kung,"Kin Ching House, Kin Ming Estate",5143,
23,Sai Kung,"Kin Ching House, Kin Ming Estate",5144,
24,Islands,Regal Airport Hotel Hong Kong,5145,
25,Wong Tai Sin,Hong Keung Court,5148,
26,Kwai Tsing,The Home Of Treasure,5149,
27,Sai Kung,"Kin Ching House, Kin Ming Estate",5150,
28,Kwai Tsing,The Home Of Treasure,5151,
29,Kwai Tsing,The Home Of Treasure,5152,
30,Kwai Tsing,The Home Of Treasure,5153,
31,Kwai Tsing,The Home Of Treasure,5154,
32,Kwai Tsing,The Home Of Treasure,5155,
33,Kwai Tsing,The Home Of Treasure,5156,
34,Kwai Tsing,The Home Of Treasure,5157,
35,Kwai Tsing,The Home Of Treasure,5158,
36,Kwai Tsing,The Home Of Treasure,5159,
37,Kwai Tsing,The Home Of Treasure,5160,
38,Eastern,"Block 6, Braemar Hill Mansions",5161,
39,Islands,"Tower 9, Carmel Cove, Phase 3, Caribbean Coast",5163,
40,Tuen Mun,"Ting Lung House, On Ting Estate",5164,
41,Yau Tsim Mong,"Block 3, Prosperous Garden",5165,
42,Sham Shui Po,108 Ki Lung Street,5166,
43,Tai Po,"Block 15, Classical Gardens",5169,
44,Kwun Tong,"Sau Yat House, Sau Mau Ping Estate",5170,
45,Kwai Tsing,The Home Of Treasure,5174,
46,Sham Shui Po,Ming Tak Building,5175,
47,Islands,"Tower 9, Carmel Cove, Phase 3, Caribbean Coast",5176,
48,Kwai Tsing,The Home Of Treasure,5179,
49,Kwai Tsing,The Home Of Treasure,5180,
50,Yau Tsim Mong,Ramada Hong Kong Grand,5182,
51,Eastern,M1 Hotel North Point,5183,
52,Kowloon City,Harbour Grand Kowloon,5184,
53,Kwai Tsing,The Home Of Treasure,5185,
54,Sham Shui Po,"Larkspur House, So Uk Estate",5186,
55,Kwai Tsing,The Home Of Treasure,5187,
56,Islands,"Crestmont Villa, Peninsula Village, Phase 4, Discovery Bay",5189,
57,Sai Kung,"Tower 8R, Flora, Phase 2B, Le Prime, Lohas Park",5190,
58,Islands,"Crestmont Villa, Peninsula Village, Phase 4, Discovery Bay",5191,
59,North,"Tin Hee House, Tin Ping Estate",5193,
60,Tsuen Wan,Panda Hotel,5193,
61,Sai Kung,"Tower 8, The Wings",5195,
62,Kowloon City,Harbour Grand Kowloon,5197,
63,Tsuen Wan,"Silka Far East, Hong Kong",5198,
64,Kwun Tong,"Block A, Belleve Garden",5199,
65,Sai Kung,"Tower 8, The Wings",5200,
66,Tsuen Wan,Unio House,5201,
