,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,"Tower 8, Tseung Kwan O Plaza",Sai Kung,1433,
1,183 Tai Nam Street,Sham Shui Po,1434,
2,"Cheong Yin House, Nam Cheong Estate",Sham Shui Po,1435,
3,"Luen Yuet House, Kwai Luen Estate",Kwai Tsing,1436,
4,"Tower 8, Tseung Kwan O Plaza",Sai Kung,1437,
5,Tong Kung Leng,North,1438,
6,"Block A, Wang Hong House, Hong Wah Court",Kwun Tong,1439,
7,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,1440,
8,"Block 2, Po Tin Interim Housing",Tuen Mun,1442,
9,"Po Kan House, Po Lam Estate",Sai Kung,1443,
10,"Ching On House, Tsz Ching Estate",Wong Tai Sin,1444,
11,"Ching On House, Tsz Ching Estate",Wong Tai Sin,1445,
12,"Block 1, Bayview Garden",Tsuen Wan,1446,
13,"Block 15, Braemar Hill Mansions",Eastern,1447,
14,"Tower 3, the Leighton Hill",Wan Chai,1448,
15,"Tan Fung House, Choi Hung Estate",Wong Tai Sin,1449,
16,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,1450,
17,"Block 1, Serenity Place",Sai Kung,1453,
18,"Lok King House, Lai King Estate",Kwai Tsing,1454,
19,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,1455,
20,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,1456,
21,"Tak Sui House, Tak Long Estate",Kowloon City,1457,
22,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,1458,
23,"On Chung House, Shun On Estate",Kwun Tong,1463,
24,"Yu Kui House, Yu Chui Court",Sha Tin,1464,
25,"Tower 8, Tseung Kwan O Plaza",Sai Kung,1465,
26,"Tower 8, Tseung Kwan O Plaza",Sai Kung,1466,
27,"Chui King House, Choi Hung Estate",Wong Tai Sin,1467,
28,"Chui King House, Choi Hung Estate",Wong Tai Sin,1468,
29,Dorsett Kwun Tong,Kwun Tong,1469,
30,"Tower 3, the Leighton Hill",Wan Chai,1470,
31,Aquamarine Garden,Tuen Mun,1471,
32,Berwick Mansion,Sham Shui Po,1472,
33,"Kam Chun House, Tung Chun Court",Eastern,1474,
34,"Block A, Clague Garden Estate",Tsuen Wan,1475,
35,"Man Kin House, Tsz Man Estate",Wong Tai Sin,1477,
36,"Toi Fung House, Fung Tak Estate",Wong Tai Sin,1478,
37,"Po Hong House, Po Lai Court",Sham Shui Po,1479,
38,"Yin Ming House, Chung Ming Court",Sai Kung,1480,
39,"Lai Pak House, Lai Tsui Court",Sham Shui Po,1481,
40,Orion Court,Yuen Long,1482,
41,Manley House,Yau Tsim Mong,1483,
42,"Kai Lok House, Kai Yip Estate",Kwun Tong,1484,
43,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,1487,
44,"Block 7, Lung Mun Oasis",Tuen Mun,1490,
45,"Fung Hei House, Fung Lai Court",Wong Tai Sin,1491,
46,"Pang Ching Court, Chuk Yuen Estate",Wong Tai Sin,1492,
47,"Block B, Lai Tong Building",Yau Tsim Mong,1493,
48,Panda Hotel,Tsuen Wan,1495,
49,"Sin Sam House, Lung Hang Estate",Sha Tin,1497,
50,"Lucky House, To Kwa Wan",Kowloon City,1498,
51,Panda Hotel,Tsuen Wan,1499,
52,"Block 1, Serenity Place",Sai Kung,1501,
53,"Yue Yat House, Yue Tin Court",Sha Tin,1506,
54,"36 Tseuk Luk Street, San Po Kong",Wong Tai Sin,1507,
55,"36 Tseuk Luk Street, San Po Kong",Wong Tai Sin,1508,
56,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1509,
57,Ka Wah Building,Wong Tai Sin,1510,
58,Ling Nam Building,Kowloon City,1511,
59,"Tsui Lok House, Tsui Ping (South) Estate",Kwun Tong,1512,
60,"Block A, Tung Lo Court",Sham Shui Po,1513,
61,"Ching Yuen House, Tsz Ching Estate",Wong Tai Sin,1514,
62,"Ching Tai House, Tsz Ching Estate",Wong Tai Sin,1515,
63,"Block B, Lai Tong Building",Yau Tsim Mong,1516,
64,"Man Kin House, Tsz Man Estate",Wong Tai Sin,1517,
65,"Sui Fat House, Siu Sai Wan Estate",Eastern,1518,
66,"Ching Yi House, Tsz Ching Estate",Wong Tai Sin,1519,
67,"Man Kin House, Tsz Man Estate",Wong Tai Sin,1520,
68,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,1521,
69,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,1522,
70,"Cheung Bor House, Choi Wan Estate",Wong Tai Sin,1523,
71,Renaissance Habour View Hotel,Wan Chai,1530,
72,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,1531,
73,"Lok Foon House, Tsz Lok Estate",Wong Tai Sin,1532,
74,"Kam Wan House, Choi Hung Estate",Wong Tai Sin,1533,
75,"Lam Fai House, Lam Tin Estate",Kwun Tong,1534,
76,"Sin Sam House, Lung Hang Estate",Sha Tin,1536,
77,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1537,
78,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1538,
79,"Lok Shing House, Tsz Lok Estate",Wong Tai Sin,1539,
80,"Shing Choi House, Tin Shing Court",Yuen Long,1540,
81,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,1541,
82,"Tower 1, Heya Green",Sham Shui Po,1542,
83,"Yam Yue House, Shek Yam East Estate",Kwai Tsing,1543,
84,"Cheung Bor House, Choi Wan Estate",Wong Tai Sin,1544,
85,Tung Lo Court,Sham Shui Po,1545,
86,"Block 2, Po Tin Interim Housing",Tuen Mun,1546,
87,"Wo Tai House, On Tai Estate",Kwun Tong,1547,
88,"Wah Mei Lau, Garden Estate",Kwun Tong,1548,
89,"Lok Foon House, Tsz Lok Estate",Wong Tai Sin,1549,
90,"Kam Chun House, Tung Chun Court",Eastern,1550,
91,"Ching Yi House, Tsz Ching Estate",Wong Tai Sin,1551,
92,"Ching Yi House, Tsz Ching Estate",Wong Tai Sin,1552,
93,"Fu Shun House, Fu Shan Estate",Wong Tai Sin,1553,
94,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,1555,
95,"Man Yue House, Tsz Man Estate",Wong Tai Sin,1556,
96,Shun King Court,Sham Shui Po,1557,
97,53 Sheung Sze Wan Village,Sai Kung,1558,
98,Jade Villa,Sai Kung,1559,
99,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,1560,
100,"Block 1, Aquamarine Garden",Tuen Mun,1561,
101,"Hong Tak House, Tsz Hong Estate",Wong Tai Sin,1562,
102,"Lok Man House, Lok Fu Estate",Wong Tai Sin,1563,
103,"Man Yue House, Tsz Man Estate",Wong Tai Sin,1564,
104,"Man Yue House, Tsz Man Estate",Wong Tai Sin,1565,
105,"Man Yue House, Tsz Man Estate",Wong Tai Sin,1566,
106,"Hong Tim House, Tsz Hong Estate",Wong Tai Sin,1567,
107,"Block 5, Belair Monte",North,1568,
108,Po Sing Mansion,Kowloon City,1569,
109,"Block 3, Yue Man Centre",Kwun Tong,1570,
110,Siu Lam Tsuen,Tuen Mun,1571,
111,"Hong Kin House, Tsz Hong Estate",Wong Tai Sin,1572,
112,"Leung Fat House, Cheung Fat Estate",Kwai Tsing,1573,
113,Dorsett Tsuen Wan,Kwai Tsing,1574,
114,The Kimberley Hotel,Yau Tsim Mong,1575,
115,Marriott Hong Kong SkyCity,Islands,1576,
116,"Choi Foon House, Choi Fook Estate",Kwun Tong,1578,
117,"Ching Yuen House, Tsz Ching Estate",Wong Tai Sin,1579,
118,Berwick Mansion,Sham Shui Po,1581,
119,"Fung Yu House, Sam Shing Estate",Tuen Mun,1582,
120,"Toi Fung House, Fung Tak Estate",Wong Tai Sin,1583,
121,Mei Pak Court,Sha Tin,1584,
122,"Block 5, Belair Monte",North,1585,
123,"Lok Shing House, Tsz Lok Estate",Wong Tai Sin,1586,
124,"Hong Kin House, Tsz Hong Estate",Wong Tai Sin,1587,
125,"Hong Kin House, Tsz Hong Estate",Wong Tai Sin,1588,
126,"Man Yue House, Tsz Man Estate",Wong Tai Sin,1589,
127,"Tower 3, Phase I, The Beaumount",Sai Kung,1590,
128,"Block 2, Radiant Towers",Sai Kung,1591,
129,"Block 5, Park Central",Sai Kung,1592,
130,"Tower 2B, The Wings Phase II",Sai Kung,1593,
131,"Shin Chi House, Shin Ming Estate",Sai Kung,1594,
132,"Tat Yi House, Po Tat Estate",Kwun Tong,1595,
133,"Tower 5, Phase II-A, LOHAS Park",Sai Kung,1596,
134,"Tan Fung House, Choi Hung Estate",Wong Tai Sin,1597,
135,"Winfair Building, 8 Yuk Wah Crescent",Wong Tai Sin,1598,
136,"Ching Fai House, Tsz Ching Estate",Wong Tai Sin,1599,
137,Dorsett Tsuen Wan,Tsuen Wan,1600,
138,"Ching Yuen House, Tsz Ching Estate",Wong Tai Sin,1601,
139,"Kwai Tung House, Tung Tau Estate (II)",Wong Tai Sin,1602,
140,"On Yan House, Tsz On Court",Wong Tai Sin,1603,
141,"On Yan House, Tsz On Court",Wong Tai Sin,1604,
142,"Ching Wo House, Tsz Ching Estate",Wong Tai Sin,1605,
143,"Hong Tak House, Tsz Hong Estate",Wong Tai Sin,1607,
144,53 Sheung Sze Wan,Sai Kung,1608,
145,"Foo Wo House, Wo Che Estate",Sha Tin,1610,
146,"Lai Kuk House, Lai Kok Estate",Sham Shui Po,1611,
147,"Kam Wan House, Choi Hung Estate",Wong Tai Sin,1612,
148,"Leung Chun House, Leung King Estate",Tuen Mun,1613,
149,"Yuet Chuen House, Shui Chuen O Estate",Sha Tin,1615,
150,Shun King Court,Sham Shui Po,1616,
151,"Block E, Allway Gardens",Tsuen Wan,1617,
152,"Fu Shun House, Fu Shan Estate",Wong Tai Sin,1618,
153,Po Sing Mansion,Kowloon City,1619,
154,Po Sing Mansion,Kowloon City,1620,
155,Po Sing Mansion,Kowloon City,1621,
156,"Lok Shing House, Tsz Lok Estate",Wong Tai Sin,1622,
157,"Tower 6, Harbour Place",Kowloon City,1623,
158,1 Hing Yan Street,Kowloon City,1624,
159,1 Hing Yan Street,Kowloon City,1625,
160,"Ching Yi House, Tsz Ching Estate",Wong Tai Sin,1626,
161,"Block 1, Heya Green",Sham Shui Po,1627,
162,"Block 1, Heya Green",Sham Shui Po,1628,
163,Tak Fu Building,Sham Shui Po,1629,
164,"Ban Fung House, Fung Tak Estate",Wong Tai Sin,1630,
165,"Hung Cheong House, Hung Fuk Estate",Yuen Long,1631,
166,"Wang On House, Wang Tau Hom Estate",Wong Tai Sin,1632,
167,"Tower 20, Laguna Verde",Kowloon City,1633,
168,Pentahotel Hong Kong Kowloon,Wong Tai Sin,1633,
169,"Wai Sam House, Lung Hang Estate",Sha Tin,1634,
170,"Kam Pong House, Kam Tai Court",Sha Tin,1635,
171,Un On Building,Sham Shui Po,1636,
172,"Ching Fai House, Tsz Ching Estate",Wong Tai Sin,1637,
173,"Ha Hang, Ting Kok Road",Tai Po,1638,
174,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,1639,
175,"Lok Shing House, Tsz Lok Estate",Wong Tai Sin,1640,
176,"Tsui Lok House, Tsui Ping (South) Estate",Kwun Tong,1641,
177,"Leung Wai House, Leung King Estate",Tuen Mun,1642,
178,"Ching Tai House, Tsz Ching Estate",Wong Tai Sin,1643,
179,"Wo Kin House, Cheung Wo Court",Kwun Tong,1644,
180,"Block 13, Pak Tin Estate",Sham Shui Po,1647,
181,"Foo Wo House, Wo Che Estate",Sha Tin,1648,
182,"Hing Cho House, Hing Tung Estate",Eastern,1649,
183,"On Hoi House, Cheung On Estate",Kwai Tsing,1650,
184,"Block 14, Tsui Chuk Garden",Wong Tai Sin,1651,
185,"Block 1, Belvedere Garden Phase 2",Tsuen Wan,1652,
186,"Block E, Allway Gardens",Tsuen Wan,1653,
187,"Block 9, Glorious Garden",Tuen Mun,1654,
188,"Foo Wo House, Wo Che Estate",Sha Tin,1655,
189,"Ha Hang Village, Ting Kok Road",Tai Po,1656,
190,David Mansion,Yau Tsim Mong,1657,
191,Kimberley Mansion,Yau Tsim Mong,1658,
192,Gomme House,Wong Tai Sin,1659,
193,"Yung Sui House, Yung Shing Court",North,1660,
194,Shun King Court,Sham Shui Po,1661,
195,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,1662,
196,"Tip Chui House, Butterfly Building",Tuen Mun,1663,
197,"Block 2, Smithfield Court",Central & Western,1664,
198,"Yiu Sin House, Upper Wong Tai Sin Estate",Wong Tai Sin,1665,
199,"Hin Fu House, Hin Keng Estate",Sha Tin,1666,
200,"Ching Yi House, Tsz Ching Estate",Wong Tai Sin,1667,
201,Koon Fung House,Wong Tai Sin,1668,
202,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1669,
203,"Kam Wan House, Choi Hung Estate",Wong Tai Sin,1671,
204,"Yung Lai House, Yau Lai Estate",Kwun Tong,1672,
205,"Block 1, Richland Gardens",Kwun Tong,1673,
206,"Sau Yuen House, Chuk Yuen South Estate",Wong Tai Sin,1677,
207,"On Yan House, Tsz On Court",Wong Tai Sin,1679,
208,"Tin Hang House, Shun Tin Estate",Wong Tai Sin,1680,
209,"Chu Fung House, Fung Tak Estate",Wong Tai Sin,1681,
210,"Hong Tim House, Tsz Hong Estate",Wong Tai Sin,1682,
211,"Hong Tim House, Tsz Hong Estate",Wong Tai Sin,1683,
212,"Kwai Yan House, Kwai Fong Estate",Kwai Tsing,1684,
213,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1686,
214,"Oi Chung House, Tsz Oi Court, Tsz Wan Shan",Wong Tai Sin,1687,
215,"Chu Fung House, Fung Tak Estate",Wong Tai Sin,1689,
216,"Block 1, Richland Gardens",Kwun Tong,1690,
217,"Pik Yuen House, Shek Pai Wan Estate",Southern,1691,
218,"Wan Hang House, Wan Tau Tong Estate",Tai Po,1692,
219,"Pok Tai House, Pok Hong Estate",Sha Tin,1693,
220,"Kapok House, Kwong Yuen Estate",Sha Tin,1694,
221,"Tak Shan House, Tak Long Estate",Kowloon City,1695,
222,"Oi Kan House, Tsz Oi Court",Wong Tai Sin,1698,
223,"Shun Tin House, Shatin Pass Estate",Wong Tai Sin,1699,
224,"29 Nam Long Shan Road, Wong Chuk Hang",Southern,1700,
225,"Senior Building, 112 Thomson Road",Wan Chai,1701,
226,"Oi Kan House, Tsz Oi Court",Wong Tai Sin,1702,
227,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,1703,
228,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1704,
229,"Che Wah Building, 2-8 Po Ying Lane",Wong Tai Sin,1705,
230,"On Yan House, Tsz On Court",Wong Tai Sin,1706,
231,"Block 8, City Garden",Eastern,1707,
232,"Shun Fung Lau, Yue Kwong Chuen",Southern,1708,
233,"Shun Tin House, Shatin Pass Estate",Wong Tai Sin,1709,
234,"Kam Shek House, Ping Shek Estate",Wong Tai Sin,1710,
235,Hung Fat House,Yuen Long,1712,
236,"Pok Tai House, Pok Hong Estate",Sha Tin,1713,
237,"Tower 1, Heya Green",Sham Shui Po,1714,
238,17 Tung Choi Street,Yau Tsim Mong,1715,
239,151 Kowloon City Road,Kowloon City,1716,
240,Kimberley Mansion,Yau Tsim Mong,1717,
241,Winfair Building,Wong Tai Sin,1718,
242,"Hong Tim House, Tsz Hong Estate",Wong Tai Sin,1719,
243,"Lok Shun House, Tsz Lok Estate",Wong Tai Sin,1720,
244,Hayon Building,Yau Tsim Mong,1721,
245,"Pik Fung House, Fung Tak Estate",Wong Tai Sin,1722,
246,"Block 6, Whampoa Garden (Phase 4), Palm Mansions",Kowloon City,1723,
247,616 Reclamation Street,Yau Tsim Mong,1724,
248,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,1725,
249,"Toi Fung House, Fung Tak Estate",Wong Tai Sin,1726,
250,"Po Shing Mansion, 157-159 Kowloon City Road",Kowloon City,1727,
251,"Ching On House, Tsz Ching Estate",Wong Tai Sin,1728,
252,"Oi Ning House, Tsz Oi Court",Wong Tai Sin,1730,
253,"Sau Tai House, Fu Tai Estate",Tuen Mun,1731,
