,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),ParisGarden,5367,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
132,Tuen Mun,Richland Garden Shopping Arcade 小桃園餐廳小廚,5427,,,,09/11/2020
133,Kwun Tong,Sino Industrial Plaza 祥和 食堂,5427,,,,09/11/2020
134,Kwai Tsing,Kwai Chung Shopping Centre,5427,,,,09/11/2020
135,Sha Tin,Grandtech Centre,5399,,,,10/11/2020
136,Sha Tin,"New Trade Plaza, 永興食 堂",5399,,,,10/11/2020
137,Kwai Tsing,Kwong Fai Building 雲貴 軒米線專門店,5427,,,,10/11/2020
138,Kwai Tsing,Kwai Chung Shopping Centre Market,5427,,,,10/11/2020
139,Kwun Tong,E-Max Taiwan Kitchen,5427,,,,11/11/2020
140,Kwun Tong,Sino Industrial Plaza 信和 食堂,5427,,,,11/11/2020
141,Kwun Tong,E-Max,5427,,,,11/11/2020
142,Wan Chai,Hysan Place,5426,,,,11/11/2020
