,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
92,Dorsett Tsuen Wan,Kwai Tsing,,867,
93,"Fai Shing House, May Shing Court",Sha Tin,,868,
94,Green Valley Mansion,Wan Chai,,869,
95,Kei Ling Ha San Wai,Tai Po,,870,
96,Silka Tsuen Wan Hotel,Kwai Tsing,,871,
97,"Hang King House, Siu Shan Court",Tuen Mun,,872,
98,Borrett Mansions,Central & Western,,873,
99,Dorsett Wanchai,Wan Chai,,874,
100,Kam Tong Building,Yau Tsim Mong,,875,
101,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,876,
102,Island View,Islands,,878,
103,"Block 4, Laguna City",Kwun Tong,,879,
104,Tagus Residences,Wan Chai,,881,
105,Kei Pik Shan,Sai Kung,,882,
106,Blue Pool Court,Wan Chai,,883,
107,"Choi Shing House, Choi Tak Estate",Kwun Tong,,884,
108,"Block B, Monticello",Central & Western,,885,
109,Ramada Hong Kong Grand View,Eastern,,886,
110,Kam Fat Building,Tuen Mun,,887,
111,"Tower 2, The Metropolis Residence",Kowloon City,,888,
112,"Block 33, Baguio Villa (Lower)",Southern,,889,
113,"Block C, Garden Vista",Sha Tin,,890,
114,Tung Hei Court,Kowloon City,,891,
115,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,892,
116,"Orchid Path, The Westwood, (Phase 1C), Palm Springs",Yuen Long,,893,
117,Borrett Mansions,Central & Western,,894,
118,Kensington House,Kowloon City,,895,
119,"Tower 1, Festival City (Phase 2)",Sha Tin,,896,
120,"Tower 2, Island Crest",Central & Western,,897,
121,Ha Shan Kai Wat,North,,898,
122,Lexington Hill,Central & Western,,899,
123,Robinson Place,Central & Western,,900,
124,Winfield Gardens,Wan Chai,,901,
125,Yan Sau Wai,Yuen Long,,902,
126,"Block 7, Bauhinia Garden",Sai Kung,,903,
127,San Hui Village,Tuen Mun,,905,
128,"Chiu Man House, Oi Man Estate",Kowloon City,,912,
129,"Chiu Man House, Oi Man Estate",Kowloon City,,913,
130,"Ko Ching House, Ko Cheung Court",Kwun Tong,,914,
131,123 Pak Tai Street,Kowloon City,,915,
132,Holiday Inn Express Hong Kong Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
133,40-42 Circular Pathway,Central & Western,,916,
134,"Block 4, South Horizons",Southern,,917,
135,"Fujian Hotel, Mirador Mansion",Yau Tsim Mong,,918,
136,Mau Po Road,Sai Kung,,919,
137,Dorsett Wanchai,Wan Chai,,920,
138,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,921,
139,"Kat Hing Wai, Kam Tin",Yuen Long,,922,
140,Lakeview Garden (House Zone),Sha Tin,,923,
141,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,924,
142,"Tak Cheung House, Tak Long Estate",Kowloon City,,925,
143,"Chak Fai House, Tin Chak Estate",Yuen Long,,926,
144,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,928,
145,Yick Shing Mansion,Wan Chai,,929,
146,Wah Yu Court,Eastern,,932,
147,109 Temple Street,Yau Tsim Mong,,933,
148,"Section C, 5th Street, Fairview Park",Yuen Long,,934,
149,Chung Hom Kok Road,Southern,,935,
150,"Hin Kwai House, Hin Keng Estate",Sha Tin,,936,
151,Dorsett Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
152,Courtyard By Marriott Hong Kong,Central & Western,,,
153,J Residence,Wan Chai,,937,
154,288 Des Voeux Road West,Central & Western,,938,
155,Hang Hau Village,Sai Kung,,939,
156,Floral Villas,Sai Kung,,940,
157,"Block 2, Hong Kong Garden",Tsuen Wan,,943,
158,"Kin Tai House, Fu Tai Estate",Tuen Mun,,944,
159,"Block 2, Royal Jubilee",North,,945,
160,"Block 6, Coastal Skyline",Islands,,946,
161,"Block D, Pearl Gardens",Central & Western,,947,
162,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,948,
163,The Imperial Hotel,Yau Tsim Mong,,949,
164,Prudential Hotel,Yau Tsim Mong,,949,
165,Fan Tin Tsuen,Yuen Long,,950,
166,"Tower 2, Island Crest",Central & Western,,953,
167,"Block 6, New Jade Garden",Eastern,,954,
168,Tai Tseng Wai Tsuen,Yuen Long,,955,
169,"Block 8, Seaview Garden",Tuen Mun,,956,
170,Wah Yu Court,Eastern,,957,
171,Wah Yu Court,Eastern,,958,
172,Silka Tsuen Wan Hotel,Tsuen Wan,,959,
173,"Block B1, Yau Tong Industrial City",Kwun Tong,,960,
174,Prat Mansions,Yau Tsim Mong,,961,
175,"Han Kung Mansion, Kam Din Terrace, Taikoo Shing",Eastern,,962,
176,Ramada Hong Kong Grand View,Eastern,,963,
177,Sunderland Estate,Kowloon City,,964,
178,"Cheung Fai Building, 45 - 47 Cochrane Street",Central & Western,,965,
179,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,966,
180,"Harmony Court, 127 Bonham Strand",Central & Western,,968,
181,"Block 2, Sceneway Garden",Kwun Tong,,969,
182,Dorsett Tsuen Wan,Kwai Tsing,,970,
183,"Headland Drive, Discovery Bay",Islands,,971,
184,"Golden Mansion, 83-85 Chatham Road South",Yau Tsim Mong,,972,
185,"Hillier Building, 273 - 275 Queen's Road Central",Central & Western,,973,
186,Tung Hei Court,Kowloon City,,974,
187,JC Castle,Tai Po,,975,
188,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,976,
189,"Block 30, Park Island",Tsuen Wan,,977,
190,Branksome Grande,Central & Western,,978,
191,V Wanchai,Wan Chai,,979,
192,Constellation Cove,Tai Po,,981,
193,"Block 6, Royal Ascot",Sha Tin,,982,
194,"Sau Ching House, Sau Mau Ping Estate",Kwun Tong,,983,
195,"Crestmont Villa, Discovery Bay",Islands,,984,
196,"Tower 1, Harbour Green",Yau Tsim Mong,,985,
197,Bishop Lei International House,Central & Western,,987,
198,"Block 2, Carado Garden",Sha Tin,,988,
199,"Prince Apartments, 226 Prince Edward Road West",Kowloon City,,989,
200,Kennedy Park at Central,Central & Western,,990,
201,YMCA of Hong Kong,Yau Tsim Mong,,992,
202,"Block 3, Garden Terrace",Central & Western,,993,
203,Tin Sam Village,Yuen Long,,996,
204,St Moritz,Sha Tin,,997,
205,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,998,
206,Courtyard By Marriott Hong Kong,Central & Western,,1000,
207,Beau Cloud Mansion,Central & Western,,1001,
208,"Block 1, Pine Villas",Tuen Mun,,1002,
209,Yan Sau Wai,Yuen Long,,1003,
210,"Fu Tai House, Tai Wo Hau Estate",Kwai Tsing,,1004,
211,"Block 8, Seaview Garden",Tuen Mun,,1005,
212,"Block 2, Carado Garden",Sha Tin,,1007,
213,"Block 3, Garden Terrace",Central & Western,,1009,
214,"Tower 11, Avignon",Tuen Mun,,1013,
215,Silka Tsuen Wan Hotel,Kwai Tsing,,1015,
216,CHI Residences 138,Wan Chai,,1017,
217,Metropark Hotel Mongkok,Yau Tsim Mong,,1018,
218,"Block 2, Cronin Garden",Sham Shui Po,,1018,
219,Tung Chung Crescent,Islands,19/03/2020,,"212, 271"
220,Cheung Lung Industrial Building,Sham Shui Po,19/03/2020,,"291, 312, 372, 391, 429"
221,97 Hollywood Road,Central & Western,20/03/2020,,"266, 319"
222,62 Hollywood Road,Central & Western,20/03/2020,,"266, 342"
223,Manson House,Yau Tsim Mong,20/03/2020,,"428, 855"
224,Two Chinachem Plaza,Central & Western,22/03/2020,,"563, 683"
225,Ho Lee Commercial Building,Central & Western,24/03/2020,,"182, 227, 276, 343, 360, 362, 367, 384, 386, 387, 389, 394, 411, 422, 432, 433, 440, 442, 453, 497, 501, 511, 513, 576, 627, 746, 877"
226,76 Jaffe Road,Wan Chai,24/03/2020,,"276, 343, 362, 367, 386, 387, 389, 413, 432, 433, 434, 440, 477, 499, 501, 509, 513, 519, 524, 576, 635, 638, 707, 746, 864, 877, 951"
227,9 Knutsford Terrace,Yau Tsim Mong,24/03/2020,,"387, 389, 395, 411, 428, 433, 447, 450, 458, 462, 466,  483, 484, 498, 501, 510, 511, 512, 513, 514, 517, 526, 573, 581, 614, 615, 625, 663, 670, 674, 746, 755, 846, 863, 904, 906, 998"
228,10-11 Knustsford Terrace,Yau Tsim Mong,24/03/2020,,"483, 516"
229,MW Plaza,Yau Tsim Mong,24/03/2020,,"567, 842"
230,25 Carnarvon Road,Yau Tsim Mong,24/03/2020,,"662, 687, 702, 704, 705, 758, 759"
231,Lok Sing Centre,Wan Chai,25/03/2020,,"903, 923, 925, 932, 954"
232,23 Luard Road,Wan Chai,26/03/2020,,"682, 857"
233,82 Jaffe Road,Wan Chai,27/03/2020,,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973"
234,iSQUARE,Yau Tsim Mong,28/03/2020,,"504, 756"
235,10 Knutsford Terrace,Yau Tsim Mong,28/03/2020,,"567, 842"
236,K11 Musea,Yau Tsim Mong,28/03/2020,,"687, 702, 704, 705, 758, 759"
237,23 Yip Kan Street,Southern,28/03/2020,,"719, 801, 849"
238,Cheung Wah Shopping Centre,North,02/04/2020,,855
239,50 Wellington Street,Central & Western,02/04/2020,,865
240,38-46 Hennessy Road,Wan Chai,02/04/2020,,923
241,Wing On Plaza,Yau Tsim Mong,02/04/2020,,923
242,Wang Cheung Industrial Building,Kwun Tong,02/04/2020,,932
243,Perkins Road,Wan Chai,02/04/2020,,935
244,Li Po Chun Chambers,Central & Western,02/04/2020,,961
245,1–29 Tang Lung Street,Wan Chai,03/04/2020,,865
246,Tin Yiu Plaza,Yuen Long,03/04/2020,,876
247,110-116 Jaffe Road,Wan Chai,03/04/2020,,923
248,Wings Building,Central & Western,03/04/2020,,957
249,Ecumenical Christian Building,Yau Tsim Mong,03/04/2020,,961
250,Lee Garden One,Wan Chai,03/04/2020,,968
251,Lee Garden Two,Wan Chai,03/04/2020,,972
252,88 Gloucester Road,Wan Chai,03/04/2020,,"923, 925"
253,Shun Tak Centre,Central & Western,04/04/2020,,"923, 932"
254,Ching Long Shopping Centre,Kowloon City,05/04/2020,,925
255,57-58 Chuen Lung Village,Tsuen Wan,05/04/2020,,936
256,Bank Centre Mall,Yau Tsim Mong,05/04/2020,,936
257,New Town Plaza,Sha Tin,05/04/2020,,936
258,MOKO,Yau Tsim Mong,05/04/2020,,936
259,"Choi Chu House, Choi Yuen Estate",North,05/04/2020,,945
260,Chai Wan Municipal Services Building Chai Wan Market,Eastern,05/04/2020,,958
261,Windsor House,Wan Chai,05/04/2020,,"903, 925, 944"
262,Hong Kong Adventist Hospital,Wan Chai,06/04/2020,,935
263,Shek Wu Hui Municipal Services Building,North,06/04/2020,,945
264,Union Plaza,North,06/04/2020,,945
265,Yue Wan Market,Eastern,06/04/2020,,958
266,"Administration Building, Yue Wan Estate",Eastern,06/04/2020,,958
267,Domain,Kwun Tong,06/04/2020,,960
268,121 Bonham Strand,Central & Western,06/04/2020,,971
269,Emperor Group Centre,Wan Chai,06/04/2020,,972
270,Melbourne Plaza,Central & Western,06/04/2020,,978
271,Pat Tat Industrial Building,Wong Tai Sin,06/04/2020,,978
272,The Landmark Mandarin Oriental Hotel,Central & Western,06/04/2020,,978
273,New East Ocean Centre,Yau Tsim Mong,07/04/2020,,955
274,Festival Walk,Kowloon City,07/04/2020,,955
275,176 Queen's Road,Central & Western,07/04/2020,,972
276,China Insurance Group Building,Central & Western,07/04/2020,,972
277,9 Queen's Road Central,Central & Western,07/04/2020,,972
278,Kingswood Richly Plaza,Yuen Long,07/04/2020,,996
279,Golden Mansion,Yau Tsim Mong,08/04/2020,,972
280,8 Hart Avenue,Yau Tsim Mong,08/04/2020,,972
281,World-Wide House,Central & Western,08/04/2020,,981
282,Pak Yee Building,Yuen Long,08/04/2020,,996
283,On Ning Building,Yuen Long,08/04/2020,,996
284,+WOO,Yuen Long,09/04/2020,,976
285,Gold Coast Yacht and Country Club,Tuen Mun,12/04/2020,,1013
286,Hong Kong Sanatorium & Hospital,Wan Chai,12/04/2020,,1013
