,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,"Hoi Kwun Mansion, Riveiera Gardens",Tsuen Wan,,767,
1,V Happy Valley,Wan Chai,,768,
2,Man Yue Mansion,Wong Tai Sin,,769,
3,"Tower 8, The Latitude",Wong Tai Sin,,770,
4,"Tower 1, Sorrento",Yau Tsim Mong,,771,
5,"Tower 3, Park Mediterranean",Sai Kung,,772,
6,"Block C, The Manhattan",Southern,,773,
7,"Tower 1, Harbourview Horizon Suites",Kowloon City,,774,
8,10 Po Yick Lane,Tai Po,,775,
9,"Tower 3, The Coronation",Yau Tsim Mong,,776,
10,YMCA of Hong Kong,Yau Tsim Mong,,777,
11,Ho Chung New Village,Sai Kung,,778,
12,Mount Pleasure,Sha Tin,,779,
13,Hong Kong Ocean Park Marriott Hotel,Southern,,780,
14,"Wah Sin House, Wah Kwai Estate",Southern,,781,
15,Fairview Park,Yuen Long,,782,
16,"Block 1, Phase 3, Festival City",Sha Tin,,783,
17,"Tower 1, Rambler Crest",Kwai Tsing,,784,
18,"Block B, Luk Yeung Sun Chuen",Tsuen Wan,,785,
19,Dorsett Mongkok,Yau Tsim Mong,,786,
20,"Block 9, Bamboo Mansion, Whampoa Garden",Kowloon City,,787,
21,One Lasalle,Kowloon City,,788,
22,"Tower 1, One Kai Tak",Kowloon City,,789,
23,"Block B, Sunway Garden",Eastern,,790,
24,37 Celestial Heights,Kowloon City,,791,
25,"Block 5, Cronin Garden",Sham Shui Po,,792,
26,"Block 2, Stanford Villa",Southern,,793,
27,"Block 5, Fanling Town Center",North,,794,
28,"Willow Mansion, Taikoo Shing",Eastern,,795,
29,"Wo Hing House, Hing Wah (II) Estate",Eastern,,796,
30,Tseng Lan Shue Tsuen,Sai Kung,,797,
31,Fortune Villa,Central & Western,,798,
32,Courtyard By Marriott Hong Kong,Central & Western,,799,
33,Dorsett Tsuen Wan,Kwai Tsing,,800,
34,"292 Lockhart Road, Wan Chai",Wan Chai,,801,
35,"Kwai Yat House, Kwai Hong Court",Kwai Tsing,,802,
36,Convention Plaza,Wan Chai,,804,
37,"Block A, Elm Tree Tower",Wan Chai,,805,
38,Mognolia Mansion,Wan Chai,,806,
39,"Block 8, Hee Wong Terrance",Central & Western,,807,
40,"5th Street, Section I, Fairview Park",Yuen Long,,808,
41,"Seung Lai House, Wah Lai Estate",Kwai Tsing,,809,
42,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,811,
43,"Block 1, Garden Terrace",Central & Western,,812,
44,"Tower 10, Caribbean Coast",Islands,,813,
45,Sha Kok Mei Village,Sai Kung,,814,
46,"Hong Wo House, Cheung Hong Estate",Kwai Tsing,,815,
47,"Block 2, Hong Sing Garden",Sai Kung,,816,
48,Arezzo,Central & Western,,817,
49,Escapade,Central & Western,,818,
50,Dorsett Wanchai,Wan Chai,,819,
51,"Ka Kit House, Ka Lung Court",Southern,,820,
52,Novotel Century Hong Kong,Wan Chai,,821,
53,"Block 1, South Wave Court",Southern,,822,
54,Yale Lodge,Central & Western,,823,
55,"Greenpeak Villa, Wong Chuk Shan San Tsuen",Sai Kung,,824,
56,Novotel Century Hong Kong,Wan Chai,,825,
57,Ramada Hong Kong Harbour View Hotel,Central & Western,,826,
58,"Tower A, Chungking Mansions",Yau Tsim Mong,,827,
59,Peak Garden Court,Kowloon City,,828,
60,Peak Garden Court,Kowloon City,,829,
61,"Tower 5, Aria",Wong Tai Sin,,830,
62,Lau Kwai Fong Hotel,Central & Western,,832,
63,"Block 2, Hong Kong Garden",Tsuen Wan,,833,
64,"Tower 14, Hong Kong Parkview",Southern,,834,
65,"Tower 7, Bauhinia Garden",Sai Kung,,835,
66,Resiglow,Wan Chai,,836,
67,Hang Shun Mansions,Wan Chai,,838,
68,Metropark Hotel Mongkok,Yau Tsim Mong,,839,
69,"Ping Sin House, Ping Tin Estate",Kwun Tong,,840,
70,St. Moritz,Sha Tin,,843,
71,35 Station Lane,Kowloon City,,844,
72,38 Jordan Road,Yau Tsim Mong,,845,
73,"Block 2, Laguna City",Kwun Tong,,846,
74,Princeton Tower,Central & Western,,847,
75,"Chau Kwai House, Kwai Chung Estate",Kwai Tsing,,848,
76,292 Lockhart Road,Wan Chai,,849,
77,"Seabird Lane, Discovery Bay",Islands,,850,
78,"Tower 2, One Homantin",Kowloon City,,851,
79,Best Western Plus Hotel Hong Kong,Central & Western,,852,
80,"Block 1, Dragon Centre",Wan Chai,,853,
81,"Ko Fung House, Ko Cheung Court",Kwun Tong,,854,
82,"Kan Tau Tsuen, Kwan Tei",North,,855,
83,"Chuen Shui House, Shui Pin Wai Estate",Yuen Long,,856,
84,United Mansion,Wan Chai,,857,
85,"Block B, Lung Fung Garden",North,,858,
86,"Block B, Lung Fung Garden",North,,859,
87,"Block B, Lung Fung Garden",North,,860,
88,Le Billionnaire,Kowloon City,,862,
89,"Sheung Yan House, Sheung Tak Estate",Sai Kung,,863,
90,Rose Gardens,Central & Western,,865,
91,Bishop Lei International House,Central & Western,,866,
