,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Yuen Long,"Ping Yin House, Ping Yan Court",6904,
1,Kwai Tsing,"Block 1, Kwai Shing West Estate",6905,
2,Eastern,"Oi Ping House, Oi Tung Estate",6906,
3,Tsuen Wan,Sam Tung Uk Resite Village,6907,
4,Kwun Tong,"Front Block, Luen On House",6908,
5,Sha Tin,"Block C, Phase 2, Sunshine City",6909,
6,Southern,"Lei Fook House High Block, Ap Lei Chau Estate",6910,
7,Yuen Long,"Tower 1, Sol City",6911,
8,Sha Tin,"Tower 3, Man Lai Court",6912,
9,Sha Tin,"Ming Yan Lau, Jat Min Chuen",6913,
10,Kwun Tong,"Front Block, Luen On House",6914,
11,Kwun Tong,"Choi Shing House, Choi Tak Estate",6915,
12,Sham Shui Po,"Lai Yeung House, Lei Cheng Uk Estate",6916,
13,Yau Tsim Mong,"Good Luck House, Portland Street",6917,
14,Tsuen Wan,Sam Tung Uk Resite Village,6918,
15,Yau Tsim Mong,Xi Hotel,6919,
16,Kwun Tong,"Chi Tai House, On Tai Estate",6920,
17,Wan Chai,Jardine Summit,6921,
18,Sha Tin,"Tower 2, Greenhill Villa",6922,
19,Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,6923,
20,Eastern,Ramada Hong Kong Grand View,6924,
21,Kwun Tong,"Block 13, Laguna City",6925,
22,Wong Tai Sin,Hsin Kuang Centre,6926,
23,Wong Tai Sin,"Tower 1, Wing Ting Road Fire Services Married Quarters",6927,
24,Sha Tin,"Kapok House, Kwong Yuen Estate",6928,
25,Kwun Tong,"Sheung Wing House, Upper Ngau Tau Kok Estate",6929,
26,North,"Ping Yee House, Tai Ping Estate",6930,
27,Yuen Long,"Yan Wing Mansion, Ping Shan",6931,
28,Tuen Mun,"Block 1, Hong Lai Garden",6932,
29,Islands,Hong Kong SkyCity Marriott Hotel,6933,
30,Sha Tin,"Banyan House, Kwong Yuen Estate",6934,
31,Sha Tin,"Ming Chuen House, Shui Chuen O Estate",6935,
32,Southern,"Block CD, Fulham Garden",6936,
33,Sai Kung,"Sheung Chun House, Sheung Tak Estate",6937,
34,Kwun Tong,"Tsui Yue House, Tsui Ping (North) Estate",6939,
35,Kwun Tong,"Tsui Yue House, Tsui Ping (North) Estate",6940,
36,Yau Tsim Mong,"Tower 2, Harbour Green",6941,
37,Tsuen Wan,"Block 2, Park Island",6944,
38,Wong Tai Sin,"Fu Yan House, Fu Shan Estate",6945,
39,Kwai Tsing,"Kai Him Lau, Cho Yiu Chuen",6946,
40,Kwun Tong,"Tsui Lok House, Tsui Ping South Estate",6947,
41,Tsuen Wan,"Block 8, Tsuen King Garden",6948,
42,Tai Po,"Kwong Wai House, Kwong Fuk Estate",6949,
43,Kowloon City,Regal Oriental Hotel,6950,
44,Yuen Long,"Chung Shui House, Tin Chung Court",6951,
45,Eastern,Bo Sun Court,6952,
46,Eastern,Bo Sun Court,6953,
47,Sham Shui Po,"Lai Chak House, Chak On Estate",6954,
48,Kowloon City,Kaiser Estate Phase II,6954,
49,Kwun Tong,"Sau Yat House, Sau Mau Ping Estate",6955,
50,Kowloon City,Loong Pont House,6956,
51,Sham Shui Po,"Tower 3B, Phase 3, Cullinan West",6957,
52,Yau Tsim Mong,Bedford Tower,6958,
53,Kowloon City,"Tak Kei House, Tak Long Estate",6959,
54,Sha Tin,"Wing Shui House, Lek Yuen Estate",6960,
55,Tuen Mun,"Block 10, Sun Tuen Mun Centre",6961,
56,Sha Tin,"Tower 1, The Palazzo",6962,
57,Eastern,Tung Wah Group of Hospitals Fong Shu Chuen Day Activity Centre cum Hostel,6963,
58,Central & Western,"45, First Street",6964,
59,Sham Shui Po,Cheung Hing Mansion,6965,
60,Eastern,"Man Chak House, Hing Man Estate",6966,
61,Sha Tin,"Yiu Ping House, Yiu On Estate",6967,
62,Kwai Tsing,"Block 8, Kwai Shing West Estate",6968,
63,Kowloon City,"Belfran Mansion, Kowloon Tong",6969,
64,Kwun Tong,Mai Tak Industrial Building,6970,
65,Wong Tai Sin,"Tower 2, Grand View Garden",6971,
66,Yau Tsim Mong,"Block 5, Prosperous Garden",6972,
67,Wong Tai Sin,"Wai Yuen House, Chuk Yuen North Estate",6973,
68,Tuen Mun,"Ting Hong House, On Ting Estate",6974,
69,Wong Tai Sin,52-56 Ngan Fung Street,6975,
70,Kwun Tong,19-23 Hang On Street,6976,
71,Kwun Tong,"Tai On House, Wo Lok Estate",6977,
72,Sha Tin,"Block D, Garden Rivera",6979,
73,North,"Fu Ming House, Wah Ming Estate",6980,
74,Kwun Tong,"Lam Tai House, Lam Tin Estate",6988,
75,Tuen Mun,"Block 3, Oi Tak House, Yau Oi Estate",6989,
76,Southern,"Fu On Yuen, Chi Fu Fa Yuen",6990,
77,Southern,"South Tower 6, Phase 2, Residence Bel-Air",6991,
78,Kowloon City,"Tak Kei House, Tak Long Estate",6992,
79,Sha Tin,"Po On House, Kam On Court",6993,
80,Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",6994,
81,Wong Tai Sin,"Lok Tung House, Lok Fu Estate",6995,
82,Wong Tai Sin,"Block 1, San Po Kong Plaza",6996,
83,Sham Shui Po,"25 Broadway, Mei Foo Sun Chuen",6997,
84,Yau Tsim Mong,198 Fa Yuen Street,6998,
85,Tuen Mun,"Hing Yiu House, Tai Hing Estate",6999,
86,Wong Tai Sin,Ngau Chi Wan West Village,7000,
87,Sha Tin,"Golden Healthy Court, Stage 1, Golden Lion Garden",7001,
88,Kwun Tong,"Tat Hin House, Po Tat Estate",7002,
89,Eastern,"Block A, Bo Fung Gardens",7004,
90,Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",7006,
91,Kowloon City,"Choi Man House, Ho Man Tin Estate",7007,
92,Central & Western,"On Lok Building, Tai On Terrace",7008,
93,Islands,"Mun Yat House, Yat Tung (2) Estate",7009,
94,Tuen Mun,"Nga Hei House, Siu Hei Court",7010,
95,Kwai Tsing,Ha Kwai Chung Village,7011,
96,Kwai Tsing,"Block 8, Kwai Shing West Estate",7012,
97,North,Fanling Town Center,7013,
