,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,Convention Plaza,Wan Chai,,804,
1,"Block A, Elm Tree Tower",Wan Chai,,805,
2,Mognolia Mansion,Wan Chai,,806,
3,"Block 8, Hee Wong Terrance",Central & Western,,807,
4,"5th Street, Section I, Fairview Park",Yuen Long,,808,
5,"Seung Lai House, Wah Lai Estate",Kwai Tsing,,809,
6,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,811,
7,"Block 1, Garden Terrace",Central & Western,,812,
8,"Tower 10, Caribbean Coast",Islands,,813,
9,Sha Kok Mei Village,Sai Kung,,814,
10,"Hong Wo House, Cheung Hong Estate",Kwai Tsing,,815,
11,"Block 2, Hong Sing Garden",Sai Kung,,816,
12,Arezzo,Central & Western,,817,
13,Escapade,Central & Western,,818,
14,Dorsett Wanchai,Wan Chai,,819,
15,"Ka Kit House, Ka Lung Court",Southern,,820,
16,Novotel Century Hong Kong,Wan Chai,,821,
17,"Block 1, South Wave Court",Southern,,822,
18,Yale Lodge,Central & Western,,823,
19,"Greenpeak Villa, Wong Chuk Shan San Tsuen",Sai Kung,,824,
20,Novotel Century Hong Kong,Wan Chai,,825,
21,Ramada Hong Kong Harbour View Hotel,Central & Western,,826,
22,"Tower A, Chungking Mansions",Yau Tsim Mong,,827,
23,Peak Garden Court,Kowloon City,,828,
24,Peak Garden Court,Kowloon City,,829,
25,"Tower 5, Aria",Wong Tai Sin,,830,
26,Lau Kwai Fong Hotel,Central & Western,,832,
27,"Block 2, Hong Kong Garden",Tsuen Wan,,833,
28,"Tower 14, Hong Kong Parkview",Southern,,834,
29,"Tower 7, Bauhinia Garden",Sai Kung,,835,
30,Resiglow,Wan Chai,,836,
31,Hang Shun Mansions,Wan Chai,,838,
32,Metropark Hotel Mongkok,Yau Tsim Mong,,839,
33,"Ping Sin House, Ping Tin Estate",Kwun Tong,,840,
34,St. Moritz,Sha Tin,,843,
35,35 Station Lane,Kowloon City,,844,
36,38 Jordan Road,Yau Tsim Mong,,845,
37,"Block 2, Laguna City",Kwun Tong,,846,
38,Princeton Tower,Central & Western,,847,
39,"Chau Kwai House, Kwai Chung Estate",Kwai Tsing,,848,
40,292 Lockhart Road,Wan Chai,,849,
41,"Seabird Lane, Discovery Bay",Islands,,850,
42,"Tower 2, One Homantin",Kowloon City,,851,
43,Best Western Plus Hotel Hong Kong,Central & Western,,852,
44,"Block 1, Dragon Centre",Wan Chai,,853,
45,"Ko Fung House, Ko Cheung Court",Kwun Tong,,854,
46,"Kan Tau Tsuen, Kwan Tei",North,,855,
47,"Chuen Shui House, Shui Pin Wai Estate",Yuen Long,,856,
48,United Mansion,Wan Chai,,857,
49,"Block B, Lung Fung Garden",North,,858,
50,"Block B, Lung Fung Garden",North,,859,
51,"Block B, Lung Fung Garden",North,,860,
52,Le Billionnaire,Kowloon City,,862,
53,"Sheung Yan House, Sheung Tak Estate",Sai Kung,,863,
54,Rose Gardens,Central & Western,,865,
55,Bishop Lei International House,Central & Western,,866,
