,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Kowloon City,Pearl Court,351,
1,Southern,Kam Fung Building,496,
2,Wan Chai,The Park Lane Hong Kong,648,
3,Wan Chai,The Emperor Hotel,648,
4,Yau Tsim Mong,Royal Plaza Hotel,648,
5,Yuen Long,"Block 4, Locwood Court, Kingswood Villas",876,
6,Yau Tsim Mong,Prudential Hotel,949,
7,Yau Tsim Mong,Imperial Hotel,949,
8,Yau Tsim Mong,Best Western Plus Hotel Kowloon,949,
9,Central & Western,"Harmony Court, 127 Bonham Strand",968,
10,Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",1004,
11,North,Louver Mansion,1034,
12,Central & Western,3 Square Street,1035,
13,Wan Chai,The Ellipsis,1036,
14,Tsuen Wan,Tai Wo Hau Commerical Centre 2,1004,20/04/2020
15,Tsuen Wan,Smartland,1004,20/04/2020
16,Central & Western,Mandarin Oriental Hotel,1036,21/04/2020
17,Central & Western,the L. place,1036,21/04/2020
