,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Kwai Tsing,"Block 6, Kwai Shing West Estate",5472,
1,Kwai Tsing,"Block 6, Kwai Shing West Estate",5474,
2,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5475,
3,Sha Tin,Courtyard By Marriott Hong Kong Sha Tin,5476,
4,Kwai Tsing,"Silka Tsuen Wan, Hong Kong",5477,
5,Yau Tsim Mong,"Dorsett Mongkok, Hong Kong",5478,
6,Sha Tin,"Yue Chak House, Yue Tin Court",5479,
7,Islands,Hong Kong Skycity Marriott Hotel,5482,
8,Islands,Hong Kong Skycity Marriott Hotel,5483,
9,Yau Tsim Mong,"Block 2, The Long Beach",5484,
10,Kwun Tong,"Dorsett Kwun Tong, Hong Kong",5486,
11,Wan Chai,"Victoria Heights, 43A Stubbs Road",5487,
12,Islands,"Tower 3, The Visionary",5488,
13,Sha Tin,"Yue Chak House, Yue Tin Court",5492,
14,Islands,Hong Kong Skycity Marriott Hotel,5496,
15,Tuen Mun,"King On House, Shan King Estate",5497,
16,Tuen Mun,"King On House, Shan King Estate",5498,
17,Kowloon City,"Sik Man House, Ho Man Tin Estate",5499,
18,Wan Chai,168 Tung Lo Wan Road,5500,
19,Sha Tin,"Block F, Garden Rivera",5501,
20,Sai Kung,Clear Water Bay Apartments,5502,
21,Southern,Red Hill Park,5503,
22,Sai Kung,"Po Lam Estate, Po Tai House",5504,
23,Sha Tin,"Block F, Garden Rivera",5505,
24,Islands,"Ying Yat House, Yat Tung Estate",5506,
25,Kwun Tong,"Block 17, Laguna City",5507,
26,Sai Kung,Crowne Plaza Hong Kong Kowloon East Hotel,5509,
27,Eastern,"Tower 2, Pacific Palisades",5510,
28,Kowloon City,Billion Court,5511,
29,Yau Tsim Mong,Lee Man Building,5512,
30,Central & Western,Tai Fat Building,5513,
31,Wan Chai,Malibu Garden,5514,
32,Sai Kung,Alto Residences,5515,
33,Wan Chai,Chee On Building,5516,
34,Sai Kung,"Block 2, Hillview Court",5517,
35,Tsuen Wan,Hoi Pa San Tsuen,5518,
36,Central & Western,Flourish Court,5520,
37,Wong Tai Sin,"Fu Tung House, Tung Tau Estate",5521,
38,Yau Tsim Mong,"Tai Chuen Building, Cosmopolitan Estates",5523,
39,Yau Tsim Mong,Yan Hong Building,5524,
40,Sha Tin,"Block 5, Royal Ascot",5525,
41,Sha Tin,"Yiu Ping House, Yiu On Estate",5526,
42,Sha Tin,"Block 5, Royal Ascot",5529,
43,Wan Chai,"Block E, Beverly Hill",5530,
44,Yau Tsim Mong,"Tower 1, The Harbourside",5531,
45,Yuen Long,"Wah Choi House, Tin Wah Estate",5532,
46,Yau Tsim Mong,Lee Man Building,5533,
47,Yau Tsim Mong,Paradise Square,5534,
48,Kowloon City,"Tower 3, K. City",5535,
49,Yau Tsim Mong,70 Fa Yuen Street,5536,
50,Kwun Tong,"Shun Tai House, Shun Chi Court",5537,
51,Yau Tsim Mong,Far East Mansion,5538,
52,Sham Shui Po,17A-17D Shek Kip Mei Street,5539,
53,Kowloon City,Metropark Hotel Kowloon,5540,
54,Eastern,"Tower 6, Grand Promenade",5541,
55,Tsuen Wan,"Block 5, City Point",5542,
56,Central & Western,Visalia Garden,5543,
57,Wan Chai,Yick Wah Building,5544,
58,Wan Chai,Malahon Apartments,5545,
59,Yau Tsim Mong,"831 Canton Road, Kam Wah Building",5546,
60,Kowloon City,Kowloon Tong Mansion,5547,
61,Wan Chai,Hong Kong Mansion,5548,
62,Yau Tsim Mong,7 Cedar Street,5549,
63,Islands,"Block 2, Coastal Skyline",5550,
64,Sai Kung,"Tower 1, The Grandiose",5551,
65,Sai Kung,"Tower 3, Le Prestige, LOHAS Park",5552,
66,Wan Chai,"6 Dragon Terrace, Dragon Court",5553,
67,Southern,"Block 21, Baguio Villa",5554,
68,Wan Chai,451 Lockhart Road,5555,
69,Kwun Tong,"Block 34, Laguna City",5556,
70,Central & Western,"Block 2, Garden Terrace",5557,
71,Kwai Tsing,"Silka Tsuen Wan, Hong Kong",5558,
72,Yau Tsim Mong,Silka Seaview Hotel Hong Kong,5559,
73,Wan Chai,Chee On Building,5560,
74,Sha Tin,"Block A, Greenwood Garden",5561,
75,Sham Shui Po,"Tower 6, Manhattan Hill",5564,
76,Islands,Novotel Citygate Hong Kong,5565,
77,Islands,Airport Regal Hotel,5566,
78,Yuen Long,"Hay Ping House, Long Ping Estate",5567,
79,Yuen Long,Tsat Sing Kong Tsuen,5568,
80,Central & Western,"Block 2, Garden Terrace",5569,
81,Sha Tin,"Tower 4, Park Belvedere",5570,
82,Sha Tin,"Laurel Court, World-wide Gardens",5571,
83,Kwai Tsing,"Wah Shun Court, Wah Yuen Chuen",5572,
84,Sha Tin,"Block A, Greenwood Garden",5573,
85,Sha Tin,"Tower 1, Lake Silver",5574,
86,Sai Kung,"Villa Rhapsody, Symphony Bay",5575,
87,Tai Po,"Block 7, Richwood Park",5576,
88,Sham Shui Po,17A-17D Shek Kip Mei Street,5577,
89,Kwai Tsing,"Block 2, Grand Horizon",5578,
90,Kwun Tong,"Tin Yiu House, Shun Tin Estate",5579,
91,Islands,Regal Airport Hotel Hong Kong,5580,
92,Kwai Tsing,"Tower 8, Tierra Verde",5581,
93,Central & Western,Beau Cloud Mansion,5582,
94,Sha Tin,"Tower 7, The Palazzo",5583,
95,Islands,Regal Airport Hotel Hong Kong,5584,
96,Wan Chai,11 Broom Road,5585,
97,Southern,"Phase 1, Residence Bel-Air",5586,
98,Wan Chai,The Altitude,5587,
99,Yau Tsim Mong,Lee Man Building,5588,
100,Yau Tsim Mong,142-144 Tai Nam Street,5589,
101,Tsuen Wan,"Block 2, Rhine Garden",5590,
102,Yau Tsim Mong,Hing Lung Building,5591,
103,Yuen Long,Ko Po San Tsuen,5592,
104,Yuen Long,"Goodview Court, Yuen Long",5593,
105,Eastern,"Block 3, City Garden",5594,
106,Central & Western,The Morgan,5595,
107,Wan Chai,"Block C, Paterson Building",5596,
108,Central & Western,Sea View Mansion,5597,
109,Central & Western,Birchwood Place,5598,
110,Yuen Long,"M9, Yoho Midtown",5599,
111,Yuen Long,Tsat Sing Kong Tsuen,5600,
112,Yuen Long,"Hung Long House, Hung Fuk Estate",5601,
113,Sham Shui Po,"Tower 6, The Pacifica",5602,
114,Wong Tai Sin,Aspen Crest,5603,
115,Wong Tai Sin,Aspen Crest,5604,
116,Yau Tsim Mong,Lee Fat Building,5605,
117,Yau Tsim Mong,97 Hak Po Street,5606,
118,Eastern,Grand Garden,5607,
119,Yau Tsim Mong,Sun Hing Building,5608,
120,Yau Tsim Mong,40 Tung Choi Street,5609,
121,Sai Kung,Nam Shan Village,5610,
122,Sai Kung,Pak Kong Village,5611,
123,Kowloon City,"Block 2, Phase 10, Whampoa Garden",5612,
124,North,"Chow Wu House, Yuk Po Court",5613,
125,Central & Western,"Paris Court, Realty Gardens",5614,
126,Sham Shui Po,"Man Lok House, Tai Hang Sai Estate",5615,
127,Yau Tsim Mong,"Cam Key Mansion, 495 Shanghai Street",5616,
128,Wan Chai,The Altitude,5617,
129,Wan Chai,"Block C, Fontana Gardens",5618,
130,Wan Chai,"Lai Kit Lau, Lai Tak Tsuen",5619,
131,Tai Po,Tai Hang Tsz Tong Tsuen,5620,
132,Yau Tsim Mong,"Block 2, The Long Beach",5621,
133,Sai Kung,"Tower 5, Capri 33 Tong Yin Street",5622,
134,Sai Kung,"Po Tai House, Po Lam Estate",5624,
135,Southern,"Block 1, Ocean Court",5625,
136,Kwun Tong,"Wing Mei House, Yau Chui Court",5626,
137,Central & Western,Sik On House,5627,
138,Sai Kung,"Block1, Beverly Garden",5628,
139,Central & Western,Flourish Court,5629,
140,Yuen Long,"Chung Hoi House, Tin Chung Court",5630,
141,Yau Tsim Mong,Far East Consortium Mongkok Building,5631,
142,Wan Chai,"Block C-D, Woodland Heights",5632,
143,Kwun Tong,"Block P, Telford Gardens",5633,
144,Wan Chai,Celeste Court,5634,
145,Wan Chai,"Lai Kit Lau, Lai Tak Tsuen",5636,
146,Wong Tai Sin,"Tower 1, Lions Rise",5637,
147,Kowloon City,Sunderland Estate,5638,
148,Islands,Tong Fuk Tsuen Village,5639,
149,Wan Chai,"Block A, Evergreen Villa",5640,
150,Southern,"Block 2, South Wave Court",5641,
151,Sha Tin,"Fook Hoi House, Lek Yuen Estate",5642,
152,Sha Tin,"Block 6, Julimount Garden",5643,
153,Sha Tin,"Yiu Ping House, Yiu On Estate",5644,
154,Sha Tin,"Kam Wai House, Kam Fung Court",5645,
155,Sha Tin,"Fook Lam House, Kwong Lam Court",5646,
156,Sha Tin,"Block 3, Monte Vista",5647,
157,Tai Po,Fook On Building,5648,
158,Tai Po,Fook On Building,5649,
159,Wan Chai,Phoenix Apartments,5656,
160,Yau Tsim Mong,Po On Building,5657,
161,Tsuen Wan,"Savoy Heights, Hong Kong Garden",5658,
162,Kowloon City,2 Rutland Quadrant,5659,
163,Yau Tsim Mong,Lee Man Building,5660,
164,Yau Tsim Mong,"Tower 2, Central Park",5661,
165,Yau Tsim Mong,Lee Man Building,5662,
166,Kowloon City,Morning Joy Building,5663,
167,Eastern,"Block A, Healthy Gardens",5664,
168,Yau Tsim Mong,Lee Man Building,5665,
169,Yau Tsim Mong,Lee Man Building,5666,
170,Sham Shui Po,119 Tai Nan Street,5667,
171,Eastern,Tai On Building,5668,
172,Sha Tin,"Block 4, Mountain Shore",5669,
173,Sham Shui Po,Cheong Wah Building,5670,
174,Kwun Tong,"Tin Wan House, Shun Tin Estate",5671,
175,Tai Po,"Block 6, Serenity Park",5672,
176,Kowloon City,Wing On Court,5673,
177,Kwai Tsing,"Shing Lok House, Kwai Shing East Estate",5674,
178,Kwun Tong,"Tsui Hon House, Tsui Ping South Estate",5675,
179,Kwai Tsing,"Wah Pik House, Ching Wah Court",5676,
180,Southern,"Fu On Yuen, Chi Fu Fa Yuen",5677,
181,Yau Tsim Mong,"Tower 1, Central Park",5678,
182,Central & Western,Caine Building,5679,
183,Eastern,"Block 47, Heng Fa Chuen",5680,
184,Eastern,"Block 1, Tanner Garden",5681,
185,Eastern,"Tower C, Wilshire Towers",5682,
186,Sham Shui Po,17A-17D Shek Kip Mei Street,5683,
187,Sai Kung,Silver Terrace Road,5684,
188,Southern,"Block 1, Ocean Court",5685,
189,Wan Chai,Dorsett Wan Chai Hotel,5686,
190,Central & Western,Ovolo Central,5687,
191,Sham Shui Po,56A Yen Chow Street,5688,
192,Kwun Tong,"Block 6, Richland Gardens",5689,
193,Kwun Tong,Hong Pak Court,5690,
194,Central & Western,Lungga Mansion,5691,
195,Eastern,"Tower 2, Pacific Palisades",5692,
196,Eastern,"Tower 2, Pacific Palisades",5694,
197,Tai Po,Phase I Casa Marina,5695,
198,Tsuen Wan,Hoi Pa San Tsuen,5696,
199,Sham Shui Po,"Block 19, Shek Kip Mei Estate",5697,
200,Tsuen Wan,Hoi Pa San Tsuen,5698,
201,Central & Western,Tai Fat Building,5700,
202,Wan Chai,"Block E, Beverly Hill",5701,
203,Kwun Tong,"Block 17, Laguna City",5702,
204,Sai Kung,"Wo Yat House, Wo Ming Court",5703,
205,Sha Tin,"Mei Chuen House, Mei Tin Estate",5704,
206,Islands,Hong Kong Skycity Marriott Hotel,5706,
207,Islands,Hong Kong Skycity Marriott Hotel,5707,
208,Wong Tai Sin,Dragon Glory Mansion,5708,
209,Islands,Hong Kong Skycity Marriott Hotel,5710,
210,Sai Kung,"Block 6, On Ning Garden",5711,
211,Yau Tsim Mong,Best Western Plus Hotel Kowloon,5712,
212,Wan Chai,"Block D, Evergreen Villa",5713,
213,Wan Chai,Broadwood Park,5714,
214,Central & Western,"Block 1, Connaught Garden",5715,
215,Central & Western,"Block 2, Garden Terrace",5716,
216,Central & Western,Lungga Mansion,5717,
217,Sai Kung,"Yan Mui House, Yan Ming Court",5718,
218,Wan Chai,Hong Kong Mansion,5719,
219,Southern,"Block 4, Repulse Bay Garden",5720,
220,Kowloon City,Diamond Mansion,5721,
221,Yau Tsim Mong,Prudential Hotel,5722,
222,Tuen Mun,Sun Fung Wai,5723,
223,Central & Western,"Block 2, Garden Terrace",5724,
224,Tai Po,"Chung Chun House, Chung Nga Court",5725,
225,Sai Kung,"Tower 3, The Mediterranean",5726,
226,Sha Tin,"Block 6, World-wide Gardens",5727,
227,Wan Chai,Broadview Villa,5728,
228,Central & Western,Wah Koon Building,5729,
229,Sha Tin,"Tower 1, Court D, Dragons Range",5730,
230,Sai Kung,Nam Shan Village,5731,
231,Wan Chai,Broadview Villa,5733,
232,Sham Shui Po,Chiat Hing Building,5734,
233,Islands,"Heung Yat House, Yat Tung Estate",5735,
234,Tai Po,Ping Long Tsuen,5736,
235,Kwun Tong,"Sheung Wing House, Upper Ngau Tau Kok Estate",5737,
236,Sha Tin,"Pok On House, Pok Hong Estate",5738,
237,Tai Po,Mei Sun Building,5739,
238,Tsuen Wan,"Block D, Ting Kau Villa",5740,
239,Sha Tin,Shu Tak Building,5741,
240,Sha Tin,"Wing Shui House, Lek Yuen Estate",5742,
241,Sha Tin,"Yiu Wing House, Yiu On Estate",5743,
242,Islands,"Heung Yat House, Yat Tung Estate",5744,
243,Kwai Tsing,"Ching Mui House, Cheung Ching Estate",5745,
244,Kwai Tsing,"Shing Lok House, Kwai Shing East Estate",5746,
245,Tai Po,Shuen Wan Chan Uk,5747,
246,Kwai Tsing,"Tower 10, Tierra Verde",5748,
247,Tuen Mun,"Leung Shui House, Leung King Estate",5749,
248,Yuen Long,Shek Po Tsuen,5750,
249,Yau Tsim Mong,"Winfield Building, 847-865 Canton Road",5751,
250,Tuen Mun,"High Block, Oi Chi House, Yau Oi Estate",5752,
251,Tai Po,Shuen Wan Chan Uk,5753,
252,Sai Kung,"Tower 2, Alto Residences",5754,
253,Sai Kung,Silver Terrace,5755,
254,Tai Po,Ping Long Village,5756,
255,Yuen Long,"Chung Lau House, Tin Chung Court",5757,
256,Yau Tsim Mong,West Hotel,5758,
257,Central & Western,Ramada Hong Kong Harbour View Hotel,5759,
258,Kwai Tsing,Dorsett Tsuen Wan,5760,
259,Yau Tsim Mong,West Hotel,5761,
260,Yau Tsim Mong,Po Ling Building,5762,
261,Sham Shui Po,"Man On House, Tai Hang Sai Estate",5763,
262,Yau Tsim Mong,15 Yim Po Fong Street,5764,
263,North,"Block 3, Tsui Lai Garden",5765,
264,Kowloon City,"Block A, Merit Industrial Centre",5766,
265,Sham Shui Po,"Stage 3, Mei Foo Sun Chuen, 64 Broadway",5767,
266,Kwai Tsing,"Fung King House, Lai King Estate",5768,
267,Yau Tsim Mong,Kwong Yuen Building,5769,
268,Sham Shui Po,Capitol Building,5770,
269,Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",5771,
270,Yau Tsim Mong,561 Nathan Road,5772,
271,Sha Tin,"Sun Hok House, Sun Chui Estate",5773,
272,Sha Tin,"Sun Kit House, Sun Chui Estate",5774,
273,Kowloon City,"Block G, Lok Man Sun Chuen",5775,
274,Sham Shui Po,"Begonia House, So Uk Estate",5776,
275,Eastern,"Ngan Chun House, Tung Chun Court",5777,
276,Southern,"Tung Hing House , Lei Tung Estate",5778,
