,地區,大廈名單,"曾有涉及個案最後到訪的日期","相關確診/疑似/個案編號",相關確診/疑似/個案編號
0,灣仔,安慧苑,,,"114, 213"
1,南區,碧瑤灣 28座,,,"加拿大衞生當局通報的個案及第 117, 118個案"
2,大埔,富亨邨亨泰樓,,,"119, 124, 140"
3,東區,港利中心,,,139
4,西貢,清水灣道 684號,,,141
5,葵青,宏福花園,,,142
6,北區,華明邨禮明樓,,,143
7,西貢,海逸居,,,145
8,東區,堡壘大樓,,,146
9,中西區,加列山道 65號嘉麗園,,,"147, 148"
10,南區,華富(二)邨華昌樓,,,149
11,油尖旺,唯港薈,,,150
12,油尖旺,重慶大廈 A座,,,151
13,屯門,海典軒 1座,,,152
14,沙田,曉翠山莊 10座,,,153
15,九龍城,鶴齡街 8號,,,154
16,黃大仙,龍蟠苑龍珠閣,,,155
17,中西區,港島香格里拉大酒店,,,156
18,大埔,逸瓏灣 16座,,,"157,158"
19,南區,紅山半島,,,"160,235"
20,屯門,屯門市廣場 4座,,,161
21,油尖旺,御金‧國峯 7座,,,162
22,中西區,薄扶林道 86號嘉瑜園,,,163
23,黃大仙,彩輝邨彩華樓,,,167
24,灣仔,尚翹峰 2座,,,168
25,東區,香港維港凱悅尚萃酒店,,,169
0,東區,藍灣半島 2座,,,170
1,沙田,富寶花園 8座,,,171
2,沙田,香港體育學院運動員宿舍,,,172
3,黄大仙,慈愛苑愛慧閣,,,173
4,油尖旺,凱帆軒 3座,,,"174,222"
5,觀塘,油麗邨盈麗樓,,,"175,176"
6,中西區,豪景臺,,,"177,178"
7,中西區,地利根德里 3A號,,,180
8,灣仔,金櫻閣,,,"181,215"
9,西貢,大網仔路,,,182
10,中西區,羅便臣道 60號信怡閣,,,183
11,南區,碧瑤灣 47座,,,184
12,灣仔,景光街 5號景祥大樓,,,185
13,東區,藍灣半島 1座,,,186
14,深水埗,E 酒店,,,190
15,沙田,新港城 C座,,,191
16,油尖旺,恆裕閣,,,192
17,屯門,香港屯門貝爾特酒店,,,193
18,中西區,康威園,,,194
19,九龍城,行德園,,,195
20,葵青,葵芳邨葵安樓,,,196
21,西貢,廣明苑廣寧閣,,,198
22,油尖旺,金巴利道 26號,,,199
23,油尖旺,帝國酒店,,,200
24,元朗,白沙村,,,201
25,南區,麗景園 4座,,,"203,223"
26,沙田,玖瓏山月瓏閣 3座,,,204
27,西貢,日出康城首都 2座,,,"205,256"
28,南區,香島道 46號,,,206
29,中西區,曉峯閣 1座,,,207
30,中西區,四方街 20號,,,208
31,油尖旺,K11 ARTUS,,,209
32,灣仔,海華苑 1座,,,210
33,灣仔,囍滙 3座,,,"211,214,230"
0,離島,東堤灣畔 5座,,,212
1,灣仔,玫瑰新邨,,,216
2,中西區,高街 1號,,,217
3,灣仔,威景臺 A座,,,218
4,荃灣,翠豐臺 5座,,,219
5,荃灣,萬景峯 1座,,,220
6,深水埗,怡閣苑怡泰閣,,,221
7,油尖旺,富榮花園 12座,,,223
8,中西區,梅苑,,,224
9,南區,赤柱村道 4號,,,225
10,南區,影灣園 3座,,,226
11,黃大仙,譽‧港灣 7座,,,226
12,九龍城,海逸豪園綠庭軒 3座,,,227
13,九龍城,鶴齡街 8號,,,228
14,荃灣,綠楊新邨 C座,,,229
15,灣仔,香港瑞吉酒店,,,"230,264"
16,元朗,天瑞邨瑞林樓,,,231
17,北區,逸峯 1座,,,232
18,葵青,長康邨康平樓,,,233
19,南區,淺水灣南灣道,,,234
20,灣仔,英皇駿景酒店,,,236
