,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,中西區,Mier 醫院道 8號,,132
1,九龍城,新翠園,,351
2,南區,金豐大廈,,496
3,灣仔,柏寧酒店,,648
4,灣仔,英皇駿景酒店,,648
5,油尖旺,帝京酒店,,648
6,元朗,嘉湖山莊樂湖居 4座,,876
7,油尖旺,恆豐酒店,,949
8,油尖旺,帝國酒店,,949
9,油尖旺,最佳盛品酒店尖沙咀,,949
10,中西區,文咸東街 127號萬和閣,,968
11,屯門,松苑 1座,,1002
12,元朗,仁壽圍,,1003
13,葵青,大窩口邨富泰樓,,1004
14,屯門,海景花園 8座,,1005
15,沙田,雲疊花園 2座,,1007
16,中西區,花園台 3座,,1009
17,屯門,星堤 11座,,1013
18,葵青,荃灣絲麗酒店,,1015
19,灣仔,太極軒 138,,1017
20,油尖旺,旺角維景酒店,,1018
21,深水埗,樂年花園二座,,1018
22,東區,康怡花園 F座,,1022
23,離島,海堤灣畔一座,,1024
24,九龍城,寶石戲院大廈 A座,,1025
25,離島,裕東苑賀東閣,,1026
26,北區,聯發大廈,,1034
27,中西區,四方街 3號,,1035
28,灣仔,The Ellipsis,,1036
29,九龍城,海逸豪園 17座,,1038
30,深水埗,石硤尾報案中心及西九龍機動 部隊行動基地,01/04/2020,"663, 854"
31,東區,華蘭中心,01/04/2020,"801, 960"
32,灣仔,告士打道 88號,03/04/2020,"923, 925"
33,中西區,信德中心,04/04/2020,"923, 932"
34,灣仔,皇室堡,05/04/2020,"903, 925, 944"
35,灣仔,耀華街 4號,12/04/2020,648
36,灣仔,禮雲大樓,12/04/2020,648
37,屯門,黃金海岸鄉村俱樂部.遊艇會,12/04/2020,1013
38,灣仔,養和醫院,12/04/2020,1013
39,灣仔,養和醫院,13/04/2020,1022
40,東區,太古城中心,14/04/2020,1022
41,南區,海怡東商場,16/04/2020,496
42,沙田,愉翠商場,17/04/2020,1004
43,荃灣,大窩口第二商場,20/04/2020,1004
44,荃灣,荃薈,20/04/2020,1004
45,中西區,文華東方酒店,21/04/2020,1036
46,中西區,the L. place,21/04/2020,1036
