,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Kowloon City,Pearl Court,351,
1,Southern,Kam Fung Building,496,
2,Wan Chai,The Park Lane Hong Kong,648,
3,Wan Chai,The Emperor Hotel,648,
4,Yau Tsim Mong,Royal Plaza Hotel,648,
5,Yuen Long,"Block 4, Locwood Court, Kingswood Villas",876,
6,Yau Tsim Mong,Prudential Hotel,949,
7,Yau Tsim Mong,Imperial Hotel,949,
8,Yau Tsim Mong,Best Western Plus Hotel Kowloon,949,
9,Central & Western,"Harmony Court, 127 Bonham Strand",968,
10,Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",1004,
11,Islands,"Block 1, Seaview Crescent",1024,
12,Kowloon City,"Block A, Lux Theatre Building",1025,
13,Islands,"Hor Tung House, Yu Tung Court",1026,
14,North,Louver Mansion,1034,
15,Central & Western,3 Square Street,1035,
16,Wan Chai,The Ellipsis,1036,
17,Central & Western,Shun Tak Centre,"923, 932",04/04/2020
18,Wan Chai,Windsor House,"903, 925, 944",05/04/2020
19,Tsuen Wan,Tai Wo Hau Commerical Centre 2,1004,20/04/2020
20,Tsuen Wan,Smartland,1004,20/04/2020
21,Central & Western,Mandarin Oriental Hotel,1036,21/04/2020
22,Central & Western,the L. place,1036,21/04/2020
