,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,Sheung Heu Building,Kwun Tong,,643,
1,8 Kennedy Road,Central & Western,,644,
2,"Belleve Court, Pictorial Garden",Sha Tin,,645,
3,"Block 15, Caribbean Coast",Islands,,646,
4,Renaissance Harbour View Hotel,Wan Chai,,647,
5,The Park Lane Hong Kong,Wan Chai,,648,
6,"114 Broadway, Mei Foo Sun Chuen",Sham Shui Po,,649,
7,Page 148,Yau Tsim Mong,,650,
8,"Block 11, Caribbean Coast",Islands,,651,
9,"On Tao House, Cheung On Estate",Kwai Tsing,,652,
10,"Best Western Grand Hotel, Tsim Sha Tsui",Yau Tsim Mong,,653,
11,"Pik Lam House, Tsui Lam Estate",Sai Kung,,654,
12,"Block 8, Provident Centre",Eastern,,655,
13,"Block 48, Heng Fa Chuen",Eastern,,656,
14,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,657,
15,Tsing Fai San Tsuen,Kwai Tsing,,658,
16,"On Tao House, Cheung On Estate",Kwai Tsing,,659,
17,Park Hotel Hong Kong,Yau Tsim Mong,,660,
18,"Block 4, Hong Kong Parkview",Southern,,661,
19,"Hong Yat House, Yat Tung Estate",Islands,,662,
20,"Fu Loy House, Fu Cheong Estate",Sham Shui Po,,663,
21,Kingston Lodge,Sha Tin,,664,
22,"Tower 7, The Waterfront",Yau Tsim Mong,,665,
23,"Tower 7, The Waterfront",Yau Tsim Mong,,666,
24,Chek Nai Ping,Sha Tin,,667,
25,Elegant Terrace,Wan Chai,,668,
26,Metropark Hotel Mongkok,Yau Tsim Mong,,669,
27,Ko Po Tsuen,Yuen Long,,670,
28,"Palm Drive, Redhill Peninsula",Southern,,671,
29,YMCA of Hong Kong,Yau Tsim Mong,,672,
30,"Block B, Paterson Building",Wan Chai,,673,
31,"Cheung Chi House, Cheung Wah Estate",North,,674,
32,Hong Kong Skycity Marriott Hotel,Islands,,675,
33,Dorsett Wanchai,Wan Chai,,676,
34,"Pik Shan House, Shek Pai Wan Estate",Southern,,677,
35,"Lung Wah House, Lower Wong Tai Sin Estate",Wong Tai Sin,,678,
36,L’ Hotel Island South,Southern,,679,
37,"Block 4, Phase 3, Metrocity",Sai Kung,,680,
38,L’ Hotel Island South,Southern,,681,
39,"Tower 10, Mount Pavilia",Sai Kung,,682,
40,Fairview Height,Central & Western,,683,
41,"Lowrise 9, Mayfair by the Sea I",Tai Po,,684,
42,"Villa San De Oka, San Uk Ka Tsuen",Tai Po,,685,
43,Artisan House,Central & Western,,686,
44,"Tower 2A, Century Link",Islands,,687,
45,"Block 9, Deerhill Bay",Tai Po,,688,
46,The Manhattan,Southern,,689,
47,The Avenue,Wan Chai,,690,
48,"Siu Fu House, Siu Kwai Court",Tuen Mun,,691,
49,"Block D, Villa Lotto",Wan Chai,,692,
50,Bishop Lei International House,Central & Western,,693,
51,Pak Fai Mansion,Central & Western,,694,
52,Lai Yee Court,Eastern,,695,
53,"Block 17, Mei Fai Court, South Horizons",Southern,,696,
54,"Block 17, Mei Fai Court, South Horizons",Southern,,697,
55,"Block 4, Laguna City",Kwun Tong,,698,
56,Panorama Gardens,Central & Western,,699,
57,Dorsett Kwun Tong,Kwun Tong,,700,
58,"Tower 6, The Papillons",Sai Kung,,701,
59,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,702,
60,"Marigold House, So Uk Estate",Sham Shui Po,,703,
61,Kwun Tong Mansion,Kwun Tong,,704,
62,"Block B, Fuk Ming Building",Yau Tsim Mong,,705,
63,Boland Court Phase 1,Kowloon City,,706,
64,Oceanic Mansion,Eastern,,707,
65,Glory Heights,Central & Western,,708,
66,"Block 7, Villa Athena",Sha Tin,,709,
67,"Pacific House, Affluence Garden",Tuen Mun,,710,
68,"Pacific House, Affluence Garden",Tuen Mun,,711,
69,Luxe Manor Hotel,Yau Tsim Mong,,712,
70,"Pik Shan House, Shek Pai Wan Estate",Southern,,713,
71,Fortune Villa,Central & Western,,714,
72,"Tower 6, Banyan Garden",Sham Shui Po,,715,
73,"Fung Wai House, Sun Tin Wai Estate",Sha Tin,,716,
74,"Block 1, City Garden",Eastern,,717,
75,"Yin Tat House, On Tat Estate",Kwun Tong,,718,
76,"Tower One, Phase 4, Bel-Air On The Peak",Southern,,719,
77,"Tower 10, Mayfair by the Sea II",Tai Po,,720,
78,Arezzo,Central & Western,,721,
79,Hong Kong Reese Hotel,Southern,,722,
80,"Tower 1, Grand Promenade",Eastern,,723,
81,"Block 7, Oscar by the Sea",Sai Kung,,724,
82,"Block 7, Oscar by the Sea",Sai Kung,,725,
83,"Tower 3, Park Delvedere",Sha Tin,,726,
84,"Pik Ngan House, Shek Pai Wan Estate",Southern,,727,
85,Hong Kong Reese Hotel,Southern,,728,
86,Ha Tsuen Shi,Yuen Long,,729,
87,"Block 30A, Park Yoho Genova",Yuen Long,,730,
88,Dorsett Kwun Tong,Kwun Tong,,731,
89,"Tower 6, Banyan Garden",Sham Shui Po,,732,
90,"Best Western Grand Hotel, Tsim Sha Tsui",Yau Tsim Mong,,733,
91,"Yuet Yat House, Yat Tung (II) Estate",Islands,,734,
92,"Friendship Court, 12 -22 Blue Pool Road",Wan Chai,,735,
93,Parker 33,Eastern,,736,
94,"Phase 1, Blessings Garden",Central & Western,,737,
95,Dragon Court,Central & Western,,739,
96,Aigburth,Central & Western,,740,
97,"Wang Ngai House, Cheung Wang Estate",Kwai Tsing,,741,
98,"Block A, Elm Tree Towers",Wan Chai,,742,
99,"Tower 2B, Century Link",Islands,,743,
100,Crowfields Court,Kowloon City,,745,
101,35 Station Lane,Kowloon City,,746,
102,"Tower 1A, Century Link",Islands,,747,
103,"Mei Wah Court, South Horizon",Southern,,748,
104,"La Rossa A, Coastal Skyline",Islands,,749,
105,"Tung Hiu House, Tung Yuk Court",Eastern,,750,
106,"Tower 2, Queen’s Terrace",Central & Western,,751,
107,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,752,
108,Headland Hotel,Islands,,753,
109,"Tak Fu House, Hau Tak Estate",Sai Kung,,754,
110,On Keung Building,Wong Tai Sin,,755,
111,Luxury Court,Yau Tsim Mong,,756,
112,Tung Hei Court,Kowloon City,,757,
113,Windsor Mansions,Yau Tsim Mong,,758,
114,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,759,
115,Yick Shing Mansion,Wan Chai,,760,
116,Yonking Garden,Tuen Mun,,761,
117,"10 Seahorse Lane, Beach Village, Discovery Bay",Islands,,764,
118,"Block 5, Yar Chee Villas",Southern,,765,
119,"Hoi Kwun Mansion, Riveiera Gardens",Tsuen Wan,,767,
120,V Happy Valley,Wan Chai,,768,
121,Man Yue Mansion,Wong Tai Sin,,769,
122,"Tower 8, The Latitude",Wong Tai Sin,,770,
123,"Tower 1, Sorrento",Yau Tsim Mong,,771,
124,"Tower 3, Park Mediterranean",Sai Kung,,772,
125,"Block C, The Manhattan",Southern,,773,
126,"Tower 1, Harbourview Horizon Suites",Kowloon City,,774,
127,10 Po Yick Lane,Tai Po,,775,
128,"Tower 3, The Coronation",Yau Tsim Mong,,776,
129,YMCA of Hong Kong,Yau Tsim Mong,,777,
130,Ho Chung New Village,Sai Kung,,778,
131,Mount Pleasure,Sha Tin,,779,
132,Hong Kong Ocean Park Marriott Hotel,Southern,,780,
