,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號
0,觀塘,雙喜大廈,,643
1,中西區,堅尼地道 8號,,644
2,沙田,碧濤花園百利閣,,645
3,離島,映灣園 15座,,646
4,灣仔,香港萬麗海景酒店,,647
5,灣仔,柏寧酒店,,648
6,深水埗,美孚新邨百老匯街 114號,,649
7,油尖旺,Page 148,,650
8,離島,映灣園 11座,,651
9,葵青,長安邨安濤樓,,652
10,油尖旺,尖沙咀香港華麗酒店,,653
11,西貢,翠林邨碧林樓,,654
12,東區,和富中心 8座,,655
13,東區,杏花邨 48座,,656
14,灣仔,香港銅鑼灣皇冠假日酒店,,657
15,葵青,青輝新村,,658
16,葵青,長安邨安濤樓,,659
17,油尖旺,香港百樂酒店,,660
18,南區,陽明山莊 4座,,661
19,離島,逸東邨康逸樓,,662
20,深水埗,富昌邨富萊樓,,663
21,沙田,皇御居,,664
22,油尖旺,漾日居 7座,,665
23,油尖旺,漾日居 7座,,666
24,沙田,赤坭坪,,667
25,灣仔,富雅閣,,668
26,油尖旺,旺角維景酒店,,669
27,元朗,高埔村,,670
28,南區,紅山半島棕櫚徑,,671
29,油尖旺,香港基督教青年會,,672
30,灣仔,百德大廈 B座,,673
31,北區,祥華邨祥智樓,,674
32,離島,香港天際萬豪酒店,,675
33,灣仔,灣仔帝盛酒店,,676
34,南區,石排灣邨碧山樓,,677
35,黃大仙,黃大仙下邨龍華樓,,678
36,南區,如心南灣海景酒店,,679
37,西貢,新都城 3期 4座,,680
38,南區,如心南灣海景酒店,,681
39,西貢,傲瀧 10座,,682
40,中西區,輝煌台,,683
41,大埔,逸瓏灣 I9座,,684
42,大埔,新屋家村怡翠山莊,,685
43,中西區,瑧蓺,,686
44,離島,東環第 2A座,,687
45,大埔,鹿茵山莊 9座,,688
46,南區,曼克頓花園,,689
47,灣仔,囍匯,,690
48,屯門,兆畦苑兆富閣,,691
49,灣仔,樂陶苑 D座,,692
50,中西區,宏基國際賓館,,693
51,中西區,百輝大廈,,694
52,東區,麗怡苑,,695
53,南區,海怡半島 17座美暉閣,,696
54,南區,海怡半島 17座美暉閣,,697
55,觀塘,麗港城 4座,,698
56,中西區,景雅花園,,699
57,觀塘,觀塘帝盛酒店,,700
58,西貢,海翩匯 6座,,701
59,荃灣,荃灣中心天津樓,,702
60,深水埗,蘇屋邨壽菊樓,,703
61,觀塘,觀塘大廈,,704
62,油尖旺,福明大廈 B座,,705
63,九龍城,寶能閣一期,,706
64,東區,海景樓,,707
65,中西區,嘉和苑,,708
66,沙田,雅典居 7座,,709
67,屯門,澤豐花園澤安樓,,710
68,屯門,澤豐花園澤安樓,,711
69,油尖旺,帝樂文娜公館,,712
70,南區,石排灣邨碧山樓,,713
71,中西區,富山苑,,714
72,深水埗,泓景臺 6座,,715
73,沙田,新田圍邨豐圍樓,,716
74,東區,城市花園 1座,,717
75,觀塘,安達邨賢達樓,,718
76,南區,貝沙灣南灣四期 1座,,719
77,大埔,逸瓏灣二期 10座,,720
78,中西區,瀚然,,721
79,南區,香港瑞思酒店,,722
80,東區,嘉亨灣 1座,,723
81,西貢,清水灣半島 7座,,724
82,西貢,清水灣半島 7座,,725
83,沙田,雅景臺 3座,,726
84,南區,石排灣邨碧銀樓,,727
85,南區,香港瑞思酒店,,728
86,元朗,廈村市,,729
87,元朗,Park Yoho Genova 30A座,,730
88,觀塘,觀塘帝盛酒店,,731
89,深水埗,泓景臺 6座,,732
90,油尖旺,尖沙咀香港華麗酒店,,733
91,離島,逸東(二)邨悅逸樓,,734
92,灣仔,藍塘道 12-22號友誼大廈,,735
93,東區,柏匯,,736
94,中西區,殷樺花園 1期,,737
95,中西區,恒龍閣,,739
96,中西區,譽皇居,,740
97,葵青,長宏邨宏毅樓,,741
98,灣仔,愉富大廈 A座,,742
99,離島,東環 2B座,,743
100,九龍城,嘉樂閣,,745
101,九龍城,差館里 35號,,746
102,離島,東環 1A座,,747
103,南區,海怡半島美華閣,,748
104,離島,藍天海岸 3期影岸‧紅 A座,,749
105,東區,東旭苑東曉閣,,750
106,中西區,帝后華庭 2座,,751
107,荃灣,荃灣中心天津樓,,752
108,離島,逸泰居,,753
109,西貢,厚德邨德富樓,,754
110,黃大仙,安強大樓,,755
111,油尖旺,豪華閣,,756
112,九龍城,東禧閣,,757
113,油尖旺,豐樂大廈,,758
114,觀塘,秀茂坪邨秀緻樓,,759
115,灣仔,益誠大廈,,760
116,屯門,雍景園,,761
117,離島,愉景灣碧濤海馬徑 10號,,764
118,南區,雅致洋房 5座,,765
119,荃灣,海濱花園海觀閣,,767
120,灣仔,V Happy Valley,,768
121,黃大仙,萬義大廈,,769
122,黃大仙,譽‧港灣 8座,,770
123,油尖旺,擎天半島 1座,,771
124,西貢,逸瓏海滙 3座,,772
125,南區,曼克頓花園 C座,,773
126,九龍城,紅磡海韻軒 1座,,774
127,大埔,普益里 10號,,775
128,油尖旺,御金國峰 3座,,776
129,油尖旺,香港基督教青年會,,777
130,西貢,蠔涌新村,,778
131,沙田,樂山,,779
132,南區,香港海洋公園萬豪酒店,,780
133,南區,華貴邨華善樓,,781
134,元朗,錦繡花園,,782
135,沙田,名城第三期一座,,783
136,葵青,藍澄灣 1座,,784
137,荃灣,綠楊新邨 B座,,785
138,油尖旺,旺角帝盛酒店,,786
139,九龍城,黃埔花園銀竹苑 9座,,787
140,九龍城,One Lasalle,,788
141,九龍城,啟德一號一座,,789
142,東區,新威園 B座,,790
143,九龍城,半山壹號 37座,,791
144,深水埗,樂年花園 5座,,792
