,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似/個案編號,相關確診/疑似/個案編號
0,灣仔,香港瑞吉酒店,,,"230,264"
1,東區,杏翠苑翠瑩閣,,,"238,268"
2,元朗,天耀邨耀富樓,,,"258,259"
3,灣仔,威景臺 A座,,,260
4,中西區,山市街 2號順安大廈,,,261
5,九龍城,昌盛金鋪大樓,,,262
6,葵青,石蔭東邨蔭恒樓,,,263
7,灣仔,金櫻閣,,,264
8,中西區,麥當勞道 24號聚安樓,,,265
9,南區,麗景園,,,266
10,中西區,西浦,,,267
11,東區,康怡花園 Q座,,,269
12,深水埗,美孚新邨 1期 23座,,,270
13,離島,映灣園 12座,,,271
14,油尖旺,駿發花園 4座,,,272
15,油尖旺,海富苑海嵐閣 B座,,,273
16,觀塘,觀塘帝盛酒店,,,274
17,黃大仙,啟德花園 2座,,,275
18,灣仔,恆信大廈,,,276
19,灣仔,謝斐道 307 號,,,277
20,灣仔,Tagus Residences,,,278
21,離島,寶峰寶琳閣,,,279
22,中西區,太極軒 120,,,281
23,中西區,荷李活道 208 號,,,282
24,南區,如心南灣海景酒店,,,283
25,沙田,海柏花園 6座,,,284
26,油尖旺,浪澄灣 7座,,,285
27,西貢,北港㘭路,,,286
0,荃灣,樂悠居,,,287
1,葵青,青衣長安邨安海樓,,,287
2,東區,和富中心 6座,,,288
3,東區,鯉景灣安曉閣,,,289
4,南區,奧華·時尚精品酒店,,,290
5,南區,龍德苑晉德閣,,,291
6,灣仔,香港珀麗酒店,,,292
7,灣仔,萬茂苑,,,293
8,荃灣,環宇海灣 1座,,,295
9,北區,粉嶺圍南,,,296
10,東區,華美達盛景酒店,,,297
11,北區,華明邨禮明樓,,,298
12,九龍城,海韻軒 3座,,,299
13,油尖旺,九龍珀麗酒店,,,300
14,沙田,廣林苑馥林閣,,,301
15,沙田,香港體育學院精英運動員宿舍,,,302
16,東區,東霖苑,,,"303, 304"
17,東區,筲箕灣道 191-193 號,,,306
18,觀塘,德田邨德瑞樓,,,308
19,灣仔,鳳輝臺蔚雲閣,,,309
20,中西區,駿豪閣,,,310
21,九龍城,鶴齡街 8號,,,311
22,葵青,葵康苑葵逸閣,,,312
23,油尖旺,麗東大廈,,,313
24,深水埗,怡閣苑怡泰閣,,,314
25,中西區,威勝大廈,,,315
26,南區,數碼港艾美酒店,,,316
27,西貢,匡湖居,,,317
28,南區,AQUA 33 四座,,,318
29,中西區,羲皇臺 8座,,,319
30,屯門,漣山,,,320
31,離島,諾富特東薈城酒店,,,321
32,九龍城,施他佛道 25號,,,322
0,油尖旺,君頤峰 6座,,,323
1,油尖旺,九龍珀麗酒店,,,324
2,中西區,聯邦花園維也納閣,,,325
3,南區,曼克頓花園 D座,,,326
4,中西區,曉峰閣 1座,,,327
5,離島,昇薈 10座,,,328
6,大埔,大埔中心 4期 8座,,,332
7,油尖旺,太子道西 207 號加多利大廈,,,333
8,東區,賽西湖大廈,,,334
9,油尖旺,香港華麗酒店,,,335
10,九龍城,窩打老道 152 號,,,336
11,葵青,美寧大廈,,,337
12,葵青,葵涌邨秋葵樓,,,338
13,東區,西灣河東熹苑華熹閣,,,339
14,西貢,西貢逸瓏海匯 1座,,,339
15,東區,柴灣小西灣邨瑞發樓,,,340
16,灣仔,跑馬地樂活道 38號,,,341
17,南區,鴨脷洲利東邨東業樓,,,342
18,東區,北角灝美旅舍,,,342
19,灣仔,灣仔香島大廈,,,343
20,西貢,新都城第一期 4座,,,344
21,中西區,半山寶雲山莊,,,345
22,灣仔,寶明大廈,,,346
23,沙田,雅典居 7座,,,347
24,東區,富景花園 3座,,,348
25,沙田,耀安邨耀遜樓,,,349
26,大埔,江庫雅苑 10座,,,350
27,大埔,江庫雅苑 10座,,,351
28,西貢,西沙路西徑村,,,352
29,觀塘,觀塘帝盛酒店,,,353
30,中西區,荷李活道 53號,,,354
31,沙田,駿景園 11座,,,從日本回港(鑽石公主號)
32,中西區,澤安閣,,,從日本回港(鑽石公主號)
0,東區,太古城金山閣,,,358
1,九龍城,施他佛道,,,359
2,中西區,皇后大道西 312 號,,,360
3,中西區,瑧璈,,,361
4,中西區,金谷大廈,,,362
5,南區,曼克頓花園 C座,,,363
6,沙田,富豪花園翡翠閣,,,366
7,中西區,金谷大廈,,,367
8,中西區,香港四季酒店,,,"368,369"
9,中西區,平安里 1號,,,370
10,離島,滿東邨滿和樓,,,371
11,南區,海怡半島 12座,,,372
12,灣仔,星港大廈,,,373
13,南區,碧瑤灣 25座,,,374
14,中西區,威勝大廈,,,375
15,大埔,新屋家,,,377
16,中西區,匯賢居,,,378
17,九龍城,牛津道 1號,,,379
18,東區,明園西街 6號,,,380
19,西貢,匡湖居,,,381
20,大埔,新達廣場 3座,,,383
21,灣仔,恆信大廈,,,384
22,西貢,廣明苑廣昌閣,,,385
23,離島,銀灣邨銀月樓,,,386
24,灣仔,恆信大廈,,,387
25,西貢,景林邨景棉樓,,,388
26,灣仔,波斯富大廈,,,389
27,灣仔,香港珀麗酒店,,,390
28,灣仔,鳳輝臺 1A號,,,391
29,離島,大浪灣村,,,392
30,大埔,康樂東路,,,393
31,元朗,富盛大廈,,,394
32,屯門,青磚圍雍景園,,,395
0,離島,香港愉景灣酒店,,,396
1,葵青,盈翠半島 8座,,,397
2,荃灣,荃灣帝盛酒店,,,398
3,屯門,順風圍,,,399
4,油尖旺,香港金域假日酒店,,,400
5,油尖旺,香港金域假日酒店,,,401
6,中西區,威利大廈,,,402
7,灣仔,雅栢苑 A座,,,403
8,灣仔,雅栢苑 A座,,,404
9,九龍城,海逸豪園 16座,,,405
10,南區,旭逸居 2座,,,406
11,東區,嘉亨灣 1座,,,407
12,北區,料壆村 12巷,,,408
13,油尖旺,維港灣 6座,,,409
14,中西區,半山干德道 52號,,,410
15,屯門,屯門新墟村,,,411
16,觀塘,觀塘紀律部隊宿舍,,,412
17,元朗,屏欣苑屏愛閣,,,413
18,深水埗,美孚新邨吉利徑 8號,,,414
19,九龍城,冠熹苑,,,415
20,油尖旺,尖沙咀君怡酒店,,,415
21,油尖旺,最佳盛品酒店,,,415
22,大埔,南華莆,,,416
23,中西區,殷樺花園,,,417
24,油尖旺,東方花園 B座,,,418
25,灣仔,香港銅鑼灣維景酒店,,,419
26,灣仔,Happy Valley 88,,,420
27,油尖旺,日和閣,,,421
28,東區,金源洋樓,,,422
29,灣仔,希雲大廈,,,423
30,離島,映灣園 6座,,,424
31,油尖旺,荔枝角道 19號,,,428
32,南區,鴨脷洲海怡半島 6座,,,429
0,油尖旺,一號銀海 2座,,,430
1,北區,清河邨清澤樓,,,431
2,灣仔,軒尼詩道 357 號宜興樓,,,432
3,灣仔,恆信大廈,,,432
4,灣仔,恆信大廈,,,433
5,灣仔,恆信大廈,,,434
6,中西區,港景別墅,,,435
7,元朗,天恒邨恒麗樓,,,436
8,九龍城,One Homantin 5 座,,,437
9,中西區,菁英臺,,,438
10,大埔,新翠山莊,,,439
11,灣仔,恆信大廈,,,440
12,油尖旺,香港瑰麗酒店,,,441
13,東區,興華(一)邨卓華樓,,,442
14,東區,太隆樓,,,444
15,黃大仙,譽港灣 6座,,,446
16,九龍城,愛民邨昭民樓,,,447
17,西貢,南豐廣場 6座,,,448
18,深水埗,基隆街 280 號,,,450
19,中西區,皇后大道中 379 號,,,451
20,中西區,孖沙街 8號,,,452
21,中西區,東街 18號,,,453
22,觀塘,順利邨利業樓,,,454
23,元朗,仁壽圍,,,455
24,觀塘,秀茂坪邨秀華樓,,,458
25,油尖旺,亮賢居,,,459
26,西貢,新都城第二期九座,,,460
27,離島,蘅峰曦欣閣,,,461
28,觀塘,凱德大廈 A座,,,462
29,南區,福群大樓 B座,,,463
30,中西區,俊傑花園,,,464
31,中西區,堅尼地道 8號,,,465
32,元朗,新元朗中心第 4座,,,466
0,灣仔,愉富大廈 A座,,,467
1,中西區,御海園 2座,,,468
2,灣仔,香港遨舍衛蘭軒,,,469
3,油尖旺,香港基督教青年會,,,470
4,屯門,新屯門中心 2座,,,471
5,大埔,嘉熙 2座,,,472
6,油尖旺,新填地街 392 號,,,473
7,油尖旺,帝樂文娜公館,,,474
8,西貢,海逸居,,,475
9,南區,南灣道 57號,,,476
10,灣仔,益誠樓,,,477
11,西貢,日出康城晉海 5B,,,478
12,荃灣,海濱花園海翠閣,,,480
13,東區,金華街 33號,,,481
14,觀塘,觀塘帝盛酒店,,,482
15,沙田,豐景花園,,,483
16,黃大仙,慈正邨正明樓,,,484
17,南區,如心南灣海景酒店,,,485
18,沙田,香港沙田萬怡酒店,,,486
19,灣仔,香港遨舍衛蘭軒,,,487
20,觀塘,曉麗苑曉天閣,,,488
21,觀塘,曉麗苑曉天閣,,,489
22,元朗,嘉湖山莊樂湖居 4座,,,490
23,觀塘,麗晶花園 14座,,,491
24,葵青,盈翠半島 8座,,,492
25,油尖旺,富榮花園 3座,,,493
26,深水埗,高雲閣,,,494
27,沙田,顯徑邨顯揚樓,,,495
28,南區,金豐大廈,,,496
29,油尖旺,偉利閣,,,497
30,油尖旺,華源大廈,,,498
31,油尖旺,金威廣場,,,499
32,東區,杏花邨 33座,,,500
0,灣仔,恆信大廈,,,501
1,屯門,卓爾居 3座,,,504
2,沙田,帝堡城 2座,,,507
3,南區,薄扶林道 142 號 CD座,,,508
4,九龍城,興利大廈,,,509
5,沙田,隆亨邨慧心樓,,,510
6,元朗,峻巒 2B,,,511
7,油尖旺,偉成大廈,,,512
8,灣仔,軒尼詩道 310 至 312 號,,,513
9,九龍城,皓畋三座,,,514
10,觀塘,凱德大廈 A座,,,515
11,油尖旺,渡船街 319 號順興大廈,,,516
12,深水埗,基隆街 280 號,,,517
13,觀塘,德福花園 Q2座,,,518
14,油尖旺,彌敦道 315 號,,,519
15,油尖旺,漾日居 3座,,,520
16,中西區,聚賢居 2座,,,522
17,中西區,聚賢居 2座,,,523
18,灣仔,嘉易大廈,,,524
19,灣仔,駱克道 238-240 號,,,525
20,葵青,葵涌邨綠葵樓,,,526
21,灣仔,驊宅,,,528
22,油尖旺,海景大廈,,,529
23,油尖旺,長樂街 22號,,,531
24,葵青,荃灣絲麗酒店,,,532
25,南區,石排灣邨碧山樓,,,533
26,東區,福昌樓,,,534
27,中西區,歌賦街 32號,,,535
28,灣仔,金禧大廈,,,536
29,中西區,Ardshiel,,,537
30,沙田,嵐岸 6座,,,538
31,沙田,錦英苑 E座,,,539
32,中西區,香港華美達海景酒店,,,540
0,西貢,澳貝村,,,541
1,中西區,漢寧大廈,,,542
2,中西區,德輔道西 217 號,,,543
3,中西區,福利別墅,,,544
4,觀塘,君立酒店,,,545
5,元朗,喜利大廈,,,546
6,北區,凱榮路,,,547
7,中西區,豫苑,,,548
8,屯門,寶怡花園 2座,,,549
9,九龍城,佛光街 30號,,,550
10,九龍城,紅樂道 12號,,,551
11,大埔,下坑村,,,552
12,東區,和富中心 1座,,,553
13,油尖旺,旺角智選假日酒店,,,554
14,中西區,輝鴻閣,,,555
15,中西區,華麗都會酒店,,,556
16,灣仔,灣仔帝盛酒店,,,557
17,沙田,玖瓏山,,,558
18,九龍城,大夫第 A座,,,559
19,中西區,香港華美達海景酒店,,,560
20,屯門,海典軒,,,561
21,西貢,富康花園 4座,,,562
22,中西區,輝煌臺,,,563
23,中西區,學士臺 2座,,,564
24,沙田,帝堡城 2座,,,565
25,中西區,列堤頓道 32號,,,566
26,油尖旺,基隆街 101 號,,,567
27,東區,杏花邨 41座,,,568
28,西貢,日出康城領凱 10座,,,569
29,黃大仙,星河名居 E座,,,570
30,南區,松苑,,,571
31,觀塘,康利苑 1座,,,572
32,沙田,盛薈 5座,,,573
0,西貢,怡明邨怡茵樓,,,574
1,中西區,堅尼地道 48號,,,575
2,中西區,金谷大廈,,,576
3,中西區,金谷大廈,,,577
4,中西區,金谷大廈,,,578
5,中西區,金谷大廈,,,579
6,屯門,大興邨興盛樓,,,580
7,屯門,兆畦苑兆富閣,,,581
8,東區,和富中心 4座,,,583
9,中西區,敦皓,,,584
10,灣仔,永德大廈 B座,,,585
11,油尖旺,帝柏海灣 1座,,,586
12,北區,崗下村,,,587
13,北區,崗下村,,,588
14,灣仔,柏寧酒店,,,589
15,觀塘,康利苑 1座,,,590
16,觀塘,滙景花園 1座,,,591
17,灣仔,維多利中心 3座,,,592
18,元朗,Grand Yoho 10 座,,,593
19,油尖旺,晉逸精品酒店,,,594
20,離島,嘉暉花園,,,595
21,元朗,嘉湖山莊翠湖居 1座,,,596
22,觀塘,觀塘帝盛酒店,,,597
23,沙田,沙田第一城 8座,,,598
24,北區,祥華邨祥德樓,,,599
25,西貢,日出康城領峯 7座,,,600
26,灣仔,世紀香港酒店,,,601
27,油尖旺,尖沙咀擎天半島 3座,,,602
28,九龍城,啟德 1號(I)1 座,,,603
29,油尖旺,華麗酒店,,,604
