,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),"HingWoHouse,PoNgaCourt",5382,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
92,Wan Chai,Everbright Centre,"5375, 5384",,,,06/11/2020
93,Sha Tin,Sha Tin Fun City Steak Expert,5382,,,,06/11/2020
94,Wan Chai,Kin Lee Building,5384,,,,06/11/2020
95,Islands,Citygate,"5388, 5389",,,,06/11/2020
96,Tsuen Wan,Tsuen Wan Plaza Super Star Chinese Cuisine,5399,,,,06/11/2020
97,Tsuen Wan,Citywalk Mak's Noodle,5399,,,,06/11/2020
98,Tsuen Wan,Citywalk Mixian Sense,5399,,,,06/11/2020
99,Sham Shui Po,Hoi Lai Shopping Centre 喜兆年酒家,5436,,,,06/11/2020
100,Sham Shui Po,Hoi Lai Shopping Centre,5436,,,,06/11/2020
101,Yau Tsim Mong,Wu Sang House Majesty Seafood Restaurant,5439,,,,06/11/2020
102,Yau Tsim Mong,Langham Place,5446,,,,06/11/2020
103,Kowloon City,Comfort Court Tak Cheong Noodle,"5367, 5371",,,,07/11/2020
104,Wan Chai,Haywood Mansion,5371,,,,07/11/2020
105,Sha Tin,SKH Holy Spirit Primary School,"5375, 5382",,,,07/11/2020
106,Central & Western,Chong Yuet Ming Amenities Centre The University of Hong Kong Café 330,5382,,,,07/11/2020
107,Central & Western,Meng Wah Complex The University of Hong Kong,5382,,,,07/11/2020
108,Sha Tin,M.C. BOX Lung Heng Market,5384,,,,07/11/2020
109,Islands,Inspiration Lake Children's Playground,5388,,,,07/11/2020
110,Tuen Mun,14 Yan Oi Tong Circuit,5398,,,,07/11/2020
111,Central & Western,22-32 Po Fu Lam Road 鴻興茶餐廳,5419,,,,07/11/2020
112,Yau Tsim Mong,MOKO Pak Loh Chiu Chow Restaurant,5419,,,,07/11/2020
113,Yau Tsim Mong,85-87 Ivy Street Golden Sand Restaurant,5427,,,,07/11/2020
114,Yau Tsim Mong,West9zone,5427,,,,07/11/2020
115,Tai Po,Fortune Plaza Julimount Restaurant,5432,,,,07/11/2020
116,Tsuen Wan,Tsuen Wan Plaza Super Star Chinese Cuisine,5444,,,,07/11/2020
117,Tsuen Wan,Citywalk,5444,,,,07/11/2020
118,Tsuen Wan,Yeung Uk Road Municipal Services Building,5444,,,,07/11/2020
119,Wan Chai,178-186 Johnston Road McDonald's,5384,,,,08/11/2020
120,Yau Tsim Mong,Langham Place McDonald's,5391,,,,08/11/2020
121,Yau Tsim Mong,Wu Sang House Gold Garden Restaurant,5391,,,,08/11/2020
122,Tuen Mun,8 Ming Ngai Street Tuen Mun Miu Fat Chai,5398,,,,08/11/2020
123,Sha Tin,Man Wo House Wo Che Estate,5418,,,,08/11/2020
124,Yau Tsim Mong,141 Prince Edward Road West Yuen Long Bistro,5427,,,,08/11/2020
