,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,The Morgan,Central & Western,,584,
1,"Block B, Wing Tak Mansion",Wan Chai,,585,
2,"Block 1, Central Park",Yau Tsim Mong,,586,
3,Kong Ha Village,North,,587,
4,Kong Ha Village,North,,588,
5,The Park Lane,Wan Chai,,589,
6,"Block 1, Hong Lee Court",Kwun Tong,,590,
7,"Block 1, Sceneway Garden",Kwun Tong,,591,
8,"Block 3, Victoria Centre",Wan Chai,,592,
9,"Block 10, Grand Yoho",Yuen Long,,593,
10,Butterfly on Prat Boutique Hotel,Yau Tsim Mong,,594,
11,Monterey Villas,Islands,,595,
12,"Block 1, Chestwood Court, Kingswood Villas",Yuen Long,,596,
13,Dorsett Kwun Tong,Kwun Tong,,597,
14,"Block 8, City One Shatin",Sha Tin,,598,
15,"Cheung Tak House, Cheung Wah Estate",North,,599,
16,"Tower 7, Le Prime, Lohas Park",Sai Kung,,600,
17,Novotel Century Hong Kong Hotel,Wan Chai,,601,
18,"Block 3, The Sorrento, Tsim Sha Tsui",Yau Tsim Mong,,602,
19,"Tower 1, One Kai Tak (I)",Kowloon City,,603,
20,"Best Western Grand Hotel, Tsim Sha Tsui",Yau Tsim Mong,,604,
21,Bishop Lei International House,Central & Western,,605,
22,Shining Building,Wan Chai,,606,
23,"Tower 2, Anglers’ Bay",Tsuen Wan,,607,
24,Fairview Park,Yuen Long,,608,
25,Kwun Hei Court,Kowloon City,,609,
26,Kak Tin Village,Sha Tin,,610,
27,4 Argyle Street,Yau Tsim Mong,,611,
28,"Block A, Elm Tree Tower",Wan Chai,,612,
29,"Block A, Elm Tree Tower",Wan Chai,,613,
30,"Yiu Tsui House, Kai Tsui Court",Eastern,,614,
31,Wong Nai Tun Tsuen,Yuen Long,,615,
32,"Block AB, Scenic Villas",Southern,,616,
33,"Block C, Devon Court",Kowloon City,,617,
34,Wing Wah Mansion,Central & Western,,618,
35,"Ming Yan House, Ming Nga Court",Tai Po,,619,
36,"Ming Yan House, Ming Nga Court",Tai Po,,620,
37,"Tower 8, The Leighton Hill",Wan Chai,,621,
38,"Block A, Elm Tree Towers",Wan Chai,,622,
39,"Tower 1A, Century Link",Islands,,623,
40,"Tower 3A, Tierra Verde",Kwai Tsing,,624,
41,Ma Kwu Lam Village,Tai Po,,625,
42,Hang Shun Mansions,Wan Chai,,626,
43,"Sun On Building, 484-496, Queen’s Road West",Central & Western,,627,
44,"Block 2, New Jade Garden",Eastern,,628,
45,"Mei Sang House, Shek Kip Mei Estate",Sham Shui Po,,629,
46,Hang Shun Mansions,Wan Chai,,630,
47,"Tower 2, Robinson Place",Central & Western,,631,
48,"Siu Fu House, Siu Kwai Court",Tuen Mun,,632,
49,"Block 6, Casa De Oro",Yuen Long,,633,
50,Kadoorie Avenue Mansion,Kowloon City,,634,
51,"Tat Hei House, Po Tat Estate",Kwun Tong,,637,
52,Po Hong Mansion,Tai Po,,638,
53,"Kan Wah House, Lok Wah North Estate",Kwun Tong,,639,
54,The Morgan,Central & Western,,640,
55,Headland Hotel,Islands,,641,
56,Sheung Heu Building,Kwun Tong,,643,
57,8 Kennedy Road,Central & Western,,644,
58,"Belleve Court, Pictorial Garden",Sha Tin,,645,
59,"Block 15, Caribbean Coast",Islands,,646,
60,Renaissance Harbour View Hotel,Wan Chai,,647,
61,The Park Lane Hong Kong,Wan Chai,,648,
62,"114 Broadway, Mei Foo Sun Chuen",Sham Shui Po,,649,
63,Page 148,Yau Tsim Mong,,650,
64,"Block 11, Caribbean Coast",Islands,,651,
65,"On Tao House, Cheung On Estate",Kwai Tsing,,652,
66,"Best Western Grand Hotel, Tsim Sha Tsui",Yau Tsim Mong,,653,
67,"Pik Lam House, Tsui Lam Estate",Sai Kung,,654,
68,"Block 8, Provident Centre",Eastern,,655,
69,"Block 48, Heng Fa Chuen",Eastern,,656,
70,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,657,
71,Tsing Fai San Tsuen,Kwai Tsing,,658,
72,"On Tao House, Cheung On Estate",Kwai Tsing,,659,
73,Park Hotel Hong Kong,Yau Tsim Mong,,660,
74,"Block 4, Hong Kong Parkview",Southern,,661,
75,"Hong Yat House, Yat Tung Estate",Islands,,662,
76,"Fu Loy House, Fu Cheong Estate",Sham Shui Po,,663,
77,Kingston Lodge,Sha Tin,,664,
78,"Tower 7, The Waterfront",Yau Tsim Mong,,665,
79,"Tower 7, The Waterfront",Yau Tsim Mong,,666,
80,Chek Nai Ping,Sha Tin,,667,
81,Elegant Terrace,Wan Chai,,668,
82,Metropark Hotel Mongkok,Yau Tsim Mong,,669,
83,Ko Po Tsuen,Yuen Long,,670,
84,"Palm Drive, Redhill Peninsula",Southern,,671,
85,YMCA of Hong Kong,Yau Tsim Mong,,672,
86,"Block B, Paterson Building",Wan Chai,,673,
87,"Cheung Chi House, Cheung Wah Estate",North,,674,
88,Hong Kong Skycity Marriott Hotel,Islands,,675,
89,Dorsett Wanchai,Wan Chai,,676,
90,"Pik Shan House, Shek Pai Wan Estate",Southern,,677,
91,"Lung Wah House, Lower Wong Tai Sin Estate",Wong Tai Sin,,678,
92,L’ Hotel Island South,Southern,,679,
93,"Block 4, Phase 3, Metrocity",Sai Kung,,680,
94,L’ Hotel Island South,Southern,,681,
95,"Tower 10, Mount Pavilia",Sai Kung,,682,
96,Fairview Height,Central & Western,,683,
97,"Lowrise 9, Mayfair by the Sea I",Tai Po,,684,
98,"Villa San De Oka, San Uk Ka Tsuen",Tai Po,,685,
99,Artisan House,Central & Western,,686,
100,"Tower 2A, Century Link",Islands,,687,
101,"Block 9, Deerhill Bay",Tai Po,,688,
102,The Manhattan,Southern,,689,
103,The Avenue,Wan Chai,,690,
104,"Siu Fu House, Siu Kwai Court",Tuen Mun,,691,
105,"Block D, Villa Lotto",Wan Chai,,692,
106,Bishop Lei International House,Central & Western,,693,
107,Pak Fai Mansion,Central & Western,,694,
