,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Pearl Court,Kowloon City,,351
1,Kam Fung Building,Southern,,496
2,The Park Lane Hong Kong,Wan Chai,,648
3,The Emperor Hotel,Wan Chai,,648
4,Royal Plaza Hotel,Yau Tsim Mong,,648
5,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,876
6,Prudential Hotel,Yau Tsim Mong,,949
7,Imperial Hotel,Yau Tsim Mong,,949
8,Best Western Plus Hotel Kowloon,Yau Tsim Mong,,949
9,"Harmony Court, 127 Bonham Strand",Central & Western,,968
10,"Fu Tai House, Tai Wo Hau Estate",Kwai Tsing,,1004
11,"Block A, Lux Theatre Building",Kowloon City,,1025
12,"Hor Tung House, Yu Tung Court",Islands,,1026
13,Louver Mansion,North,,1034
14,3 Square Street,Central & Western,,1035
15,The Ellipsis,Wan Chai,,1036
16,Windsor House,Wan Chai,05/04/2020,"903, 925, 944"
17,Tai Wo Hau Commerical Centre 2,Tsuen Wan,20/04/2020,1004
18,Smartland,Tsuen Wan,20/04/2020,1004
19,Mandarin Oriental Hotel,Central & Western,21/04/2020,1036
20,the L. place,Central & Western,21/04/2020,1036
