,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Sham Shui Po,"Cheung Tai House, Cheung Sha Wan Estate",4409,
1,Kwun Tong,"Sau Tak House, Sau Mau Ping South Estate",4410,
2,Sha Tin,"Fung Shek House, Shek Mun Estate",4411,
3,Tuen Mun,"Tin Yue House, Tin King Estate",4412,
4,Tsuen Wan,Indi home,4413,
5,Kwai Tsing,Kwai Chung Container Terminal,4414,
6,Islands,Pak Lee Villa,4415,
7,Southern,"Pik Long House, Shek Pai Wan Estate",4416,
8,Tuen Mun,"Wing Lun House, Siu Lun Court",4417,
9,Kwai Tsing,Kwai Chung Container Terminal,4418,
10,Kowloon City,99 Maidstone Road,4419,
11,Kwai Tsing,Kwai Chung Container Terminal,4420,
12,Tuen Mun,"Block 12, Yuet Wu Villa",4421,
13,North,Ho Sheung Heung,4422,
14,North,Ho Sheung Heung,4423,
15,Tai Po,"Sun Wo House, Tai Wo Estate",4424,
16,Kowloon City,"Ka Lei Lau, Ka Wai Chuen",4425,
17,Yuen Long,"Hor Ping House, Long Ping Estate",4426,
18,Eastern,Continental Mansion,4427,
19,Wong Tai Sin,"Hong Kin House, Tsz Hong Estate",4428,
20,Sha Tin,"Golden Healthy Court, Phase 1, Golden Lion Garden",4429,
21,Tuen Mun,"Tin Yue House, Tin King Estate",4430,
22,Tuen Mun,"Tin Yue House, Tin King Estate",4431,
23,Yuen Long,"Block A, Ho Shun Tai Building",4432,
24,Yuen Long,"Hor Ping House, Long Ping Estate",4433,
25,Yuen Long,"Block C, Leung Choy Building",4434,
26,Sha Tin,"Estoril Heights, Belair Gardens",4435,
27,Southern,"Tung Cheong House, Lei Tung Estate",4436,
28,Eastern,"Oi Chak House, Oi Tung Estate",4437,
29,Tai Po,"Shin Tsui House, Fu Shin Estate",4438,
30,Tai Po,"Shin Tsui House, Fu Shin Estate",4439,
31,Tuen Mun,"Block 11, Lung Mun Oasis",4440,
32,Tuen Mun,"Block 3, Pierhead Garden",4441,
33,Sham Shui Po,1 Wing Lung Street,4442,
34,Kwai Tsing,Kwai Chung Container Terminal,4443,
35,Kwai Tsing,Kwai Chung Container Terminal,4444,
36,Kwai Tsing,Kwai Chung Container Terminal,4445,
37,Tuen Mun,"Leung Wai House, Leung King Estate",4446,
38,Sha Tin,Kwai Tei New Village,4447,
39,Tuen Mun,"Tower 1, Phase 2, Tai Hing Gardens",4448,
40,Sha Tin,"Sun Fong House, Sun Chui Estate",4449,
41,Kwai Tsing,"Block 6, Kwai Shing West Estate",4450,
42,Tuen Mun,"Wu Yuet House, Wu King Estate",4451,
43,Tuen Mun,"Luk Tin House, Yan Tin Estate",4452,
44,Yuen Long,"Tower 2, Crystal Park",4453,
45,Kwai Tsing,Rambler Oasis Hotel,4454,
46,Kwai Tsing,Kwai Chung Container Terminal,4454,
47,Tuen Mun,"Chun Yu House, Sam Shing Estate",4455,
48,Yuen Long,"Heng Cheuk House, Tin Heng Estate",4456,
49,Kwai Tsing,"Kai Him Lau, Cho Yiu Chuen",4457,
50,Wong Tai Sin,"Pak Fung House, Choi Wan Estate",4458,
51,Tuen Mun,"Tower 1, Century Gateway",4459,
52,Southern,Yen Ching Building,4460,
53,Tuen Mun,"Block 2, Po Tin Estate",4461,
54,Tuen Mun,"Wu Yuet House, Wu King Estate",4462,
55,Kwai Tsing,Kam Heng Building,4463,
56,Tuen Mun,"Tower 2, Ori",4467,
57,Sai Kung,Sea Breeze Villa,4468,
58,Kowloon City,"Block 8, Lily Mansions, Site 9, Whampoa Garden",4469,
59,Eastern,"Ngar Tsui House, Hiu Tsui Court",4470,
60,Wong Tai Sin,"Chu Fung House, Fung Tak Estate",4471,
61,Yuen Long,"Hing Fook Building, 19 Ping Wui Street",4472,
62,Kowloon City,"Tower 5, Oasis Kai Tak",4473,
63,Sham Shui Po,"Gladiolus House, So Uk Estate",4474,
64,Eastern,"Block 5, Harmony Garden",4475,
65,Sham Shui Po,Beverly Court,4476,
66,Kowloon City,"Tower 5, Oasis Kai Tak",4477,
67,Yau Tsim Mong,Hung Hay Building,4478,
68,Sham Shui Po,Kam Fai Building,4479,
69,Tuen Mun,"Block 2, Pierhead Garden",4480,
70,Yau Tsim Mong,"Phase 1, Tsui Yuen Mansion",4481,
71,Yau Tsim Mong,Cheung Hing Mansion,4482,
72,Kwun Tong,"Sau Wah House, Sau Mau Ping Estate",4491,
73,Yuen Long,"Tower 7, The Parcville",4492,
74,Eastern,"Block 5, Harmony Garden",4493,
75,North,Ho Sheung Heung,4494,
76,Kwai Tsing,"Lai Ying House, Lai Yan Court",4495,
77,Yuen Long,"Yat Chi House, Tin Yat Estate",4496,
78,Kowloon City,99 Maidstone Road,4497,
79,Sham Shui Po,Yee Wa Building,4498,
80,Sham Shui Po,Yee Wa Building,4499,
81,Tuen Mun,"High Block, King Kwai House, Shan King Estate",4500,
82,North,Ho Sheung Heung,4501,
83,Wong Tai Sin,"Pak Yuen House, Chuk Yuen North Estate",4502,
84,Central & Western,Tung Hing Mansion,4503,
85,Kwai Tsing,"On Chiu House, Cheung On Estate",4504,
86,Sha Tin,The Met. Acappella,4505,
87,Yuen Long,"Yuet Wing House, Tin Yuet Estate",4510,
88,Yuen Long,"Block 6, Emerald Green",4512,
89,Kowloon City,"Kin Man House, Oi Man Estate",4513,
90,Tuen Mun,"Tin Yue House, Tin King Estate",4514,
91,Islands,"Cherish Court, Peninsula-Vl-Capeland, Phase 4, Discovery Bay",4515,
92,Tuen Mun,Po Tong Ha Tsuen,4517,
93,Yuen Long,"Hing Fook Building, 19 Ping Wui Street",4518,
94,Kwai Tsing,"Yam Hing House, Shek Yam East Estate",4519,
95,North,Ho Sheung Heung,4520,
96,Yuen Long,"Block 12, Sereno Verde",4521,
97,Kwun Tong,"Block C1, Telford Gardens",4522,
98,Sham Shui Po,"Gladiolus House, So Uk Estate",4523,
99,Kwun Tong,"Ko On House, Ko Cheung Court",4524,
100,Sham Shui Po,"Gladiolus House, So Uk Estate",4525,
101,Eastern,"May Wah House, Hing Wah (I) Estate",4526,
102,Tsuen Wan,Indi home,4527,
103,Tuen Mun,"Ting Yau House, Siu On Court",4528,
